keys,name,url,population
RU_STA,Ставропольский край,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11069.json,2800674
RU_KIR,Кировская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11070.json,1283238
RU_ME,Республика Марий Эл,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11077.json,682333
RU_NIZ,Нижегородская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11079.json,3234752
RU_ORE,Оренбургская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11084.json,1977720
RU_PNZ,Пензенская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11095.json,1331655
RU_PER,Пермский край,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11108.json,2623122
RU_BA,Республика Башкортостан,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11111.json,4063293
RU_MO,Республика Мордовия,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11117.json,805056
RU_TA,Республика Татарстан,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11119.json,3894284
RU_SAM,Самарская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11131.json,3193514
RU_SAR,Саратовская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11146.json,2462950
RU_UD,Удмуртская Республика,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11148.json,1513044
RU_ULY,Ульяновская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11153.json,1246618
RU_CU,Чувашская Республика,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11156.json,1231117
RU_KGN,Курганская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11158.json,845537
RU_SVE,Свердловская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11162.json,4325256
RU_TYU,Тюменская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11176.json,1498779
RU_KHM,Ханты-Мансийский автономный округ — Югра,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11193.json,1655074
RU_CHE,Челябинская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11225.json,3493036
RU_YAN,Ямало-Ненецкий автономный округ,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11232.json,538547
RU_ALT,Алтайский край,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11235.json,2350080
RU_IRK,Иркутская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11266.json,2404195
RU_KEM,Кемеровская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11282.json,2694877
RU_KYA,Красноярский край,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11309.json,2876497
RU_NVS,Новосибирская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11316.json,2788849
RU_OMS,Омская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11318.json,1960081
RU_BU,Республика Бурятия,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11330.json,984511
RU_KK,Республика Хакасия,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11340.json,537513
RU_TOM,Томская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11353.json,1078280
RU_AMU,Амурская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11375.json,798424
RU_KAM,Камчатский край,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11398.json,315557
RU_MAG,Магаданская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11403.json,144091
RU_PRI,Приморский край,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11409.json,1913037
RU_SA,Республика Саха (Якутия),https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11443.json,964330
RU_SAK,Сахалинская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11450.json,490181
RU_KHA,Хабаровский край,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11457.json,1328302
RU_SPE,Санкт-Петербург,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/2.json,5351935
RU_MOW,Москва,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/213.json,12506468
RU_ZAB,Забайкальский край,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/21949.json,1072806
RU_CR,Республика Крым,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/977.json,1913731
