date,cases_total,cases_new,cured_total,cured_new
2020-09-23,327,2,118,4
2020-09-24,329,2,122,4
2020-09-25,329,0,124,2
2020-09-26,330,1,127,3
2020-09-27,330,0,127,0
2020-09-28,330,0,127,0
2020-09-29,330,0,129,2
2020-09-30,332,2,129,0
2020-10-01,333,1,132,3
2020-10-02,335,2,132,0
2020-10-03,336,1,132,0
2020-10-04,338,2,132,0
2020-10-05,338,0,132,0
2020-10-06,338,0,132,0
2020-10-07,339,1,132,0
2020-10-08,340,1,136,4
2020-10-09,342,2,136,0
2020-10-10,348,6,136,0
2020-10-11,351,3,136,0
2020-10-12,353,2,136,0
2020-10-13,356,3,136,0
2020-10-14,361,5,136,0
