timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь со снегом слабый,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Снег,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый,Осадки (достигают поверхности земли)
1588284000,"Четверг, 30 апреля
22:00 (UTC)",,,,,,,,,,81.9,,,северо-западный,,,,1,,,,,,,,,,,751,,-1.2,,,,,,,,
1588287600,"Четверг, 30 апреля
23:00 (UTC)",,,,,,,,,,85.5,,,северо-западный,,,,1,,,,,,,,,,,751,,-1.8,,,,,,,,
1588291200,"Пятница, 1 мая
00:00 (UTC)",,,,,,,,,,89.4,,,,,,,0,,,,,,,True,,,4.0,751,,-3.1,,,,,,6.0,,
1588294800,"Пятница, 1 мая
01:00 (UTC)",,,,,,,,,,90.8,,,,,,,0,,,,,,,,,,,751,,-2.7,,,,,,,,
1588298400,"Пятница, 1 мая
02:00 (UTC)",,,,,,,,,,90.7,,,,,,,0,,,,,,,,,,,751,,-3.5,,,,,,,,
1588302000,"Пятница, 1 мая
03:00 (UTC)",,,,,,,,,,91.5,,-3.7,северо-западный,,,,1,,,0,,менее 0.1,,,,,10.0,751,,-2.1,,,,,,10.0,,
1588312800,"Пятница, 1 мая
06:00 (UTC)",,,,,,,,,,50.9,,,северный,,,,3,,,,,,,,,,10.0,752,,6.1,,,,,,6.0,,
1588316400,"Пятница, 1 мая
07:00 (UTC)",,,,,,,,,,44.8,,,северный,,,,3,,,,,,,,,,,752,,6.1,,,,,,,,
1588320000,"Пятница, 1 мая
08:00 (UTC)",,,,,,,,,,45.3,,,северный,,,,4,,,,,,,,,,,751,,6.7,,,,,,,,
1588323600,"Пятница, 1 мая
09:00 (UTC)",,,,,,,,,,40.1,,,северный,,,,3,,,,,,,,,,10.0,751,,7.6,,,,,,7.0,,
1588327200,"Пятница, 1 мая
10:00 (UTC)",,,,,,,,,,39.6,,,северо-восточный,,,,2,,,,,,,,,,,751,,7.8,,,,,,,,
1588330800,"Пятница, 1 мая
11:00 (UTC)",,,,,,,,,,37.6,,,северный,,,,2,,,,,,,,,,,751,,8.0,,,,,,,,
1588334400,"Пятница, 1 мая
12:00 (UTC)",,,,,,,,,,33.5,,,восточный,,,,3,,,,,,,,,,10.0,751,,9.7,,,,,,2.0,,
1588338000,"Пятница, 1 мая
13:00 (UTC)",,,,,,,,,,31.8,,,северо-восточный,,,,2,,,,,,,,,,,751,,10.6,,,,,,,,
1588341600,"Пятница, 1 мая
14:00 (UTC)",,,,,,,,,,32.2,,,северо-восточный,,,,1,,,,,,,,,,,751,,9.6,,,,,,,,
1588345200,"Пятница, 1 мая
15:00 (UTC)",,,,,,,,,,30.8,,,северный,,,10.6,2,,,0,,,,,,,10.0,751,,9.8,,,,,,2.0,,
1588348800,"Пятница, 1 мая
16:00 (UTC)",,,,,,,,,,31.3,,,северо-восточный,,,,2,,,,,,,,,,,751,,9.1,,,,,,,,
1588352400,"Пятница, 1 мая
17:00 (UTC)",,,,,,,,,,34.5,,,северо-восточный,,,,1,,,,,,,,,,,751,,7.8,,,,,,,,
1588356000,"Пятница, 1 мая
18:00 (UTC)",,,,,,,,,,39.8,,,северо-восточный,,,,1,,,,,,,,,,10.0,752,,6.6,,,,,,0.0,,
1588359600,"Пятница, 1 мая
19:00 (UTC)",,,,,,,,,,42.3,,,северо-восточный,,,,1,,,,,,,,,,,752,,5.6,,,,,,,,
1588363200,"Пятница, 1 мая
20:00 (UTC)",,,,,,,,,,45.8,,,северо-восточный,,,,2,,,,,,,,,,,752,,4.8,,,,,,,,
1588366800,"Пятница, 1 мая
21:00 (UTC)",,,,,,,,,,47.4,,,северо-восточный,,,,2,,,,,,,,,,10.0,752,,4.2,,,,,,0.0,,
1588370400,"Пятница, 1 мая
22:00 (UTC)",,,,,,,,,,52.8,,,северо-восточный,,,,2,,,,,,,,,,,752,,3.2,,,,,,,,
1588374000,"Пятница, 1 мая
23:00 (UTC)",,,,,,,,,,58.4,,,,,,,0,,,,,,,,,,,753,,2.1,,,,,,,,
1588377600,"Суббота, 2 мая
00:00 (UTC)",,,,,,,,,,62.4,,,восточный,,,,1,,,,,,,,,,10.0,753,,1.4,,,,,,0.0,,
1588381200,"Суббота, 2 мая
01:00 (UTC)",,,,,,,,,,71.6,,,,,,,0,,,,,,,,,,,753,,-0.4,,,,,,,,
1588384800,"Суббота, 2 мая
02:00 (UTC)",,,,,,,,,,76.5,,,восточный,,,,1,,,,,,,,,,,753,,-1.1,,,,,,,,
1588388400,"Суббота, 2 мая
03:00 (UTC)",,,,,,,,,,64.6,,-1.4,восточный,,,,1,,,0,,0,,,,,10.0,753,,2.5,,,,,,0.0,,
1588392000,"Суббота, 2 мая
04:00 (UTC)",,,,,,,,,,53.0,,,восточный,,,,2,,,,,,,,,,,754,,5.4,,,,,,,,
1588395600,"Суббота, 2 мая
05:00 (UTC)",,,,,,,,,,46.6,,,юго-восточный,,,,3,,,,,,,,,,,754,,7.5,,,,,,,,
1588399200,"Суббота, 2 мая
06:00 (UTC)",,,,,,,,,,36.9,,,юго-восточный,,,,3,,,,,,,,,,10.0,754,,9.4,,,,,,0.0,,
1588402800,"Суббота, 2 мая
07:00 (UTC)",,,,,,,,,,32.2,,,юго-восточный,,,,3,,,,,,,,,,,754,,10.4,,,,,,,,
1588406400,"Суббота, 2 мая
08:00 (UTC)",,,,,,,,,,30.6,,,восточный,,,,2,,,,,,,,,,,753,,11.3,,,,,,,,
1588410000,"Суббота, 2 мая
09:00 (UTC)",,,,,,,,,,28.3,,,восточный,,,,4,,,,,,,,,,10.0,753,,12.0,,,,,,2.0,,
1588413600,"Суббота, 2 мая
10:00 (UTC)",,,,,,,,,,26.2,,,восточный,,,,3,,,,,,,,,,,753,,13.4,,,,,,,,
1588417200,"Суббота, 2 мая
11:00 (UTC)",,,,,,,,,,25.0,,,восточный,,,,3,,,,,,,,,,,753,,13.8,,,,,,,,
1588420800,"Суббота, 2 мая
12:00 (UTC)",,,,,,,,,,24.2,,,юго-восточный,,,,4,,,,,,,,,,10.0,752,,14.5,,,,,,4.0,,
1588424400,"Суббота, 2 мая
13:00 (UTC)",,,,,,,,,,23.0,,,восточный,,,,2,,,,,,,,,,,752,,14.6,,,,,,,,
1588428000,"Суббота, 2 мая
14:00 (UTC)",,,,,,,,,,23.6,,,юго-восточный,,,,4,,,,,,,,,,,752,,14.9,,,,,,,,
1588431600,"Суббота, 2 мая
15:00 (UTC)",,,,,,,,,,22.9,,,юго-восточный,,,15.1,3,,,0,,,,,,,10.0,751,,14.8,,,,,,4.0,,
1588435200,"Суббота, 2 мая
16:00 (UTC)",,,,,,,,,,24.2,,,юго-восточный,,,,4,,,,,,,,,,,751,,13.6,,,,,,,,
1588438800,"Суббота, 2 мая
17:00 (UTC)",,,,,,,,,,27.2,,,восточный,,,,2,,,,,,,,,,,751,,11.9,,,,,,,,
1588442400,"Суббота, 2 мая
18:00 (UTC)",,,,,,,,,,35.5,,,восточный,,,,2,,,,,,,,,,10.0,751,,8.6,,,,,,2.0,,
1588446000,"Суббота, 2 мая
19:00 (UTC)",,,,,,,,,,38.2,,,восточный,,,,2,,,,,,,,,,,751,,8.0,,,,,,,,
1588449600,"Суббота, 2 мая
20:00 (UTC)",,,,,,,,,,39.5,,,юго-восточный,,,,2,,,,,,,,,,,751,,7.5,,,,,,,,
1588453200,"Суббота, 2 мая
21:00 (UTC)",,,,,,,,,,42.5,,,юго-восточный,,,,3,,,,,,,,,,10.0,752,,7.1,,,,,,0.0,,
1588456800,"Суббота, 2 мая
22:00 (UTC)",,,,,,,,,,49.0,,,юго-восточный,,,,2,,,,,,,,,,,752,,6.0,,,,,,,,
1588460400,"Суббота, 2 мая
23:00 (UTC)",,,,,,,,,,50.5,,,юго-восточный,,,,2,,,,,,,,,,,752,,6.0,,,,,,,,
1588464000,"Воскресенье, 3 мая
00:00 (UTC)",,,,,,,,,,50.6,,,юго-восточный,,,,3,,,,,,,,,,10.0,752,,6.4,,,,,,7.0,,
1588467600,"Воскресенье, 3 мая
01:00 (UTC)",,,,,,,,,,52.9,,,юго-восточный,,,,3,,,,,,,,,,,751,,6.2,,,,,,,,
1588471200,"Воскресенье, 3 мая
02:00 (UTC)",,,,,,,,,,53.7,,,юго-восточный,,,,3,,,,,,,,,,,751,,6.4,,,,,,,,
1588474800,"Воскресенье, 3 мая
03:00 (UTC)",,,,,,,,,,52.7,,5.8,юго-восточный,,,,2,,,0,,0,,,,,10.0,751,,6.9,,,,,,7.0,,
1588478400,"Воскресенье, 3 мая
04:00 (UTC)",,,,,,,,,,49.3,,,юго-восточный,,,,3,,,,,,,,,,,751,,8.2,,,,,,,,
1588482000,"Воскресенье, 3 мая
05:00 (UTC)",,,,,,,,,,53.5,,,юго-восточный,,,,3,,,,,,,,,,,751,,8.6,,,,,,,,
1588485600,"Воскресенье, 3 мая
06:00 (UTC)",,,,,,,,,,48.6,,,юго-восточный,,,,4,True,,,,,,,,,10.0,751,,10.7,,,,,,7.0,,
1588489200,"Воскресенье, 3 мая
07:00 (UTC)",,,,,,,,,,46.9,,,юго-восточный,,,,3,,,,,,,,,,,751,,12.0,,,,,,,,
1588492800,"Воскресенье, 3 мая
08:00 (UTC)",,,,,,,,,,39.2,,,юго-восточный,,,,3,,,,,,,,,,,751,,16.2,,,,,,,,
1588496400,"Воскресенье, 3 мая
09:00 (UTC)",,,,,,,,,,35.8,,,юго-восточный,,,,4,,,,,,,,,,10.0,751,,18.3,,,,,,7.0,,
1588500000,"Воскресенье, 3 мая
10:00 (UTC)",,,,,,,,,,33.6,,,юго-восточный,,,,4,,,,,,,,,,,750,,20.0,,,,,,,,
1588503600,"Воскресенье, 3 мая
11:00 (UTC)",,,,,,,,,,35.6,,,юго-восточный,,,,5,,,,,,,,,,,750,,19.5,,,,,,,,
1588507200,"Воскресенье, 3 мая
12:00 (UTC)",,,,,,,,,,38.2,,,южный,,,,5,,,,,,,,,,10.0,750,,18.6,,,,,,7.0,,
1588510800,"Воскресенье, 3 мая
13:00 (UTC)",,,,,,,,,,49.2,,,юго-восточный,,,,3,,,,,,,,,,,750,,17.8,,,,,,,,
1588514400,"Воскресенье, 3 мая
14:00 (UTC)",,,,,,,,,,34.4,,,юго-восточный,,,,4,,,,,,,,,,,749,,21.1,,,,,,,,
1588518000,"Воскресенье, 3 мая
15:00 (UTC)",,,,,,,,,,33.3,,,юго-восточный,,,21.7,5,,,менее 0.1,,,,,,,10.0,749,,21.4,,,,,,2.0,,
1588521600,"Воскресенье, 3 мая
16:00 (UTC)",,,,,,,,,,36.9,,,юго-восточный,,,,4,,,,,,,,,,,749,,20.3,,,,,,,,
1588525200,"Воскресенье, 3 мая
17:00 (UTC)",,,,,,,,,,44.8,,,южный,,,,4,,,,,,,,,,,750,,18.5,,,,,,,,
1588528800,"Воскресенье, 3 мая
18:00 (UTC)",,,,,,,,,,52.8,,,юго-восточный,,,,1,,,,,,,,,,10.0,750,,16.9,,,,,,10.0,,
1588532400,"Воскресенье, 3 мая
19:00 (UTC)",,,,,,,,,,62.3,,,юго-восточный,,,,2,,,,,,,,,,,750,,14.1,,,,,,,,
1588536000,"Воскресенье, 3 мая
20:00 (UTC)",,,,,,,,,,63.2,,,юго-восточный,,,,2,,,,,,,,,,,750,,14.5,,,,,,,,
1588539600,"Воскресенье, 3 мая
21:00 (UTC)",,,,,,,,,,64.5,,,юго-восточный,,,,3,,,,,,,,,,10.0,750,,14.2,,,,,,10.0,,
1588543200,"Воскресенье, 3 мая
22:00 (UTC)",,,,,,,,,,66.4,,,западный,,,,1,,,,,,,,,,,750,,12.7,,,,,,,,
1588546800,"Воскресенье, 3 мая
23:00 (UTC)",,,,,,,,,,76.7,,,юго-восточный,,,,2,,,,,,,,,,,750,,10.0,,,,,,,,
1588550400,"Понедельник, 4 мая
00:00 (UTC)",,,,,,,,,,63.6,,,южный,,,,3,,,,,,,,,,10.0,750,,12.1,,,,,,6.0,,
1588554000,"Понедельник, 4 мая
01:00 (UTC)",,,,,,,,,,61.9,,,южный,,,,2,,,,,,,,,,,750,,12.6,,,,,,,,
1588557600,"Понедельник, 4 мая
02:00 (UTC)",,,,,,,,,,63.2,,,южный,,,,3,,,,,,,,,,,751,,12.3,,,,,,,,
1588561200,"Понедельник, 4 мая
03:00 (UTC)",,,,,,,,,,59.7,,8.8,южный,,,,3,,,0,,менее 0.1,,,,,10.0,751,,13.9,,,,,,7.0,,
1588564800,"Понедельник, 4 мая
04:00 (UTC)",,,,,,,,,,62.0,,,южный,,,,3,,,,,,,,,,,751,,14.7,,,,,,,,
1588568400,"Понедельник, 4 мая
05:00 (UTC)",,,,,,,,,,57.2,,,юго-западный,,,,5,,,,,,,,,,,751,,16.8,,,,,,,,
1588572000,"Понедельник, 4 мая
06:00 (UTC)",,10.0,,,,,,,,55.2,,,юго-западный,,,,5,,,,,,,,,,10.0,752,,17.6,,,,,,10.0,,
1588575600,"Понедельник, 4 мая
07:00 (UTC)",,,,,,,,,,88.8,,,южный,,,,2,,,,,,,,,,,752,,12.8,,,,,,,,
1588579200,"Понедельник, 4 мая
08:00 (UTC)",,,,,,,,,,90.6,,,южный,,,,1,,,,,,,,,,,752,,13.0,,,,,,,,
1588582800,"Понедельник, 4 мая
09:00 (UTC)",,,,,,True,,,,87.8,,,восточный,,,,3,,,,,,,,,,10.0,752,,14.2,,,,,,10.0,,
1588586400,"Понедельник, 4 мая
10:00 (UTC)",,,,,,,,,,73.2,,,восточный,,,,2,,,,,,,,,,,752,,16.4,,,,,,,,
1588590000,"Понедельник, 4 мая
11:00 (UTC)",,,,,,,,,,67.4,,,восточный,,,,3,,,,,,,,,,,751,,17.6,,,,,,,,
1588593600,"Понедельник, 4 мая
12:00 (UTC)",,,,,,,,,,46.6,,,юго-восточный,,,,4,,,,,,,,,,10.0,751,,20.3,,,True,,,10.0,,
1588597200,"Понедельник, 4 мая
13:00 (UTC)",,,,,,,,,,41.5,,,юго-восточный,,,,3,,,,,,,,,,,750,,21.5,,,,,,,,
1588600800,"Понедельник, 4 мая
14:00 (UTC)",,,,,,,,,,29.0,,,юго-восточный,,,,5,,,,,,,,,,,749,,22.3,,,,,,,,
1588604400,"Понедельник, 4 мая
15:00 (UTC)",,,,,,,,,,27.8,,,юго-восточный,,,22.8,4,,,4,,,,,,,10.0,749,,21.8,,,,,,10.0,,
1588608000,"Понедельник, 4 мая
16:00 (UTC)",,,,,,,,,,28.8,,,юго-восточный,,,,3,,,,,,,,,,,749,,21.0,,,,,,,,
1588611600,"Понедельник, 4 мая
17:00 (UTC)",,,,,,,,,,32.8,,,юго-восточный,,,,3,,,,,,,,,,,749,,19.0,,,,,,,,
1588615200,"Понедельник, 4 мая
18:00 (UTC)",,,,,,,,,,34.7,,,юго-восточный,,,,3,,,,,,,,,,10.0,749,,18.1,,,,,,10.0,,
1588618800,"Понедельник, 4 мая
19:00 (UTC)",,,,,,,,,,39.8,,,южный,,,,4,,,,,,,,,,,749,,18.2,,,,,,,,
1588622400,"Понедельник, 4 мая
20:00 (UTC)",,,,,,,,,,45.4,,,юго-западный,,,,1,,,,,,,,,,,750,,17.0,,,,,,,,
1588626000,"Понедельник, 4 мая
21:00 (UTC)",,,,,,True,,,,54.8,,,западный,,,,1,,,,,,,,,,10.0,750,,16.2,,,,,,10.0,,
1588629600,"Понедельник, 4 мая
22:00 (UTC)",,,,,,,,,,64.1,,,северо-западный,,,,1,,,,,,,,,,,750,,14.5,,,,,,,,
1588633200,"Понедельник, 4 мая
23:00 (UTC)",,,,,,,,,,69.1,,,северо-восточный,,,,1,,,,,,,,,,,750,,14.6,,,,,,,,
1588636800,"Вторник, 5 мая
00:00 (UTC)",,,,,,,,,,72.3,,,восточный,,,,1,,,,,,,,,,10.0,750,,13.8,,,True,,,7.0,,
1588640400,"Вторник, 5 мая
01:00 (UTC)",,,,,,,,,,71.3,,,юго-восточный,,,,1,,,,,,,,,,,750,,13.8,,,,,,,,
1588644000,"Вторник, 5 мая
02:00 (UTC)",,,,,,,,,,70.7,,,восточный,,,,2,,,,,,,,,,,750,,13.3,,,,,,,,
1588647600,"Вторник, 5 мая
03:00 (UTC)",,,,,,,,,,61.4,,12.5,восточный,,,,1,,,менее 0.1,,4,,,,,10.0,749,,14.1,,,,,,10.0,,
1588651200,"Вторник, 5 мая
04:00 (UTC)",,,,,,,,,,51.2,,,восточный,,,,2,,,,,,,,,,,749,,15.2,,,,,,,,
1588654800,"Вторник, 5 мая
05:00 (UTC)",,,,,,,,,,45.0,,,восточный,,,,2,,,,,,,,,,,749,,16.9,,,,,,,,
1588658400,"Вторник, 5 мая
06:00 (UTC)",,,,,,,,,,33.1,,,юго-восточный,,,,3,,,,,,,,,,10.0,749,,19.1,,,,,,10.0,,
1588662000,"Вторник, 5 мая
07:00 (UTC)",,,,,,,,,,30.4,,,юго-восточный,,,,3,,,,,,,,,,,748,,21.6,,,,,,,,
1588665600,"Вторник, 5 мая
08:00 (UTC)",,,,,,,,,,27.1,,,южный,,,,3,,,,,,,,,,,748,,23.5,,,,,,,,
1588669200,"Вторник, 5 мая
09:00 (UTC)",,,,,,,,,,27.8,,,юго-восточный,,,,4,,,,,,,,,,10.0,748,,23.0,,,,,,10.0,,
1588672800,"Вторник, 5 мая
10:00 (UTC)",,12.0,,,,,,,,22.3,,,южный,,,,4,,,,,,,,,,,748,,26.3,,,,,,,,
1588676400,"Вторник, 5 мая
11:00 (UTC)",,12.0,,,,,,,,20.5,,,южный,,,,4,,,,,,,,,,,747,,27.0,,,,,,,,
1588680000,"Вторник, 5 мая
12:00 (UTC)",,12.0,,,,,,,,21.9,,,юго-восточный,,,,5,,,,,,,,,,10.0,747,,25.9,,,,,,9.0,,
1588683600,"Вторник, 5 мая
13:00 (UTC)",,16.0,,,,,,,,36.2,,,южный,,,,9,,,,,,,,,,,748,,21.3,,,,,,,,
1588687200,"Вторник, 5 мая
14:00 (UTC)",,16.0,,,,,,,,31.1,,,юго-восточный,,,,2,,,,,,,,,,,747,,23.8,,,,,,,,
1588690800,"Вторник, 5 мая
15:00 (UTC)",,16.0,,,,,,,,37.3,,,южный,,,27.2,1,,,0.3,,,,,,True,10.0,747,,21.9,,,,,,10.0,,
1588694400,"Вторник, 5 мая
16:00 (UTC)",,16.0,,,,,,,,37.0,,,восточный,,,,1,,,,,,,,,,,747,,21.5,,,,,,,,
1588698000,"Вторник, 5 мая
17:00 (UTC)",,16.0,,,,,,,,42.0,,,восточный,,,,2,,,,,,,,,,,747,,20.0,,,,,,,,
1588701600,"Вторник, 5 мая
18:00 (UTC)",,,,,,,,,,48.4,,,юго-западный,,,,2,,,,,,,,,True,10.0,747,,18.7,,,,,,10.0,,
1588705200,"Вторник, 5 мая
19:00 (UTC)",,12.0,,,,,,,,56.1,,,,,,,0,,,,,,,,,,,747,,17.0,,,,,,,,
1588708800,"Вторник, 5 мая
20:00 (UTC)",,,,,,,,,,65.9,,,восточный,,,,1,,,,,,,,,,,747,,14.5,,,,,,,,
1588712400,"Вторник, 5 мая
21:00 (UTC)",,,,,,,,,,71.4,,,южный,,,,1,,,,,,,,,,10.0,747,,14.4,,,,,,10.0,,
1588716000,"Вторник, 5 мая
22:00 (UTC)",,,,,,,,,,73.0,,,юго-восточный,,,,2,,,,,,,,,,,746,,15.1,,,,,,,,
1588719600,"Вторник, 5 мая
23:00 (UTC)",,,,,,,,,,71.6,,,юго-восточный,,,,2,,,,,,,,,,,746,,15.1,,,,,,,,
1588723200,"Среда, 6 мая
00:00 (UTC)",,,,,,,,,,61.7,,,юго-восточный,,,,3,,,,,,,,,,10.0,746,,15.3,,,True,,,10.0,,
1588726800,"Среда, 6 мая
01:00 (UTC)",,,,,,,,,,58.7,,,юго-восточный,,,,3,,,,,,,,,,,745,,14.8,,,,,,,,
1588730400,"Среда, 6 мая
02:00 (UTC)",,,,,,,,,,63.5,,,юго-восточный,,,,3,,,,,,,,,,,745,,13.7,,,,,,,,
1588734000,"Среда, 6 мая
03:00 (UTC)",,,,,,,,,,61.1,,13.7,юго-восточный,,,,3,,,0.3,,0.3,,,,,10.0,745,,14.5,,,,,,7.0,,
1588737600,"Среда, 6 мая
04:00 (UTC)",,,,,,,,,,58.2,,,юго-восточный,,,,4,,,,,,,,,,,745,,15.9,,,,,,,,
1588741200,"Среда, 6 мая
05:00 (UTC)",,,,,,,,,,56.4,,,южный,,,,4,,,,,,,,,,,745,,16.6,,,,,,,,
1588744800,"Среда, 6 мая
06:00 (UTC)",,,,,,,,,,55.2,,,южный,,,,3,,,,,,,,,,10.0,745,,17.9,,,,,,10.0,,
1588748400,"Среда, 6 мая
07:00 (UTC)",,,,,,,,,,54.1,,,южный,,,,3,,,,,,,,,,,745,,19.2,,,,,,,,
1588752000,"Среда, 6 мая
08:00 (UTC)",,,,,,,,,,48.6,,,южный,,,,3,,,,,,,,,,,744,,20.7,,,,,,,,
1588755600,"Среда, 6 мая
09:00 (UTC)",,11.0,,,,,,,,40.3,,,южный,,,,6,,,,,,,,,,10.0,744,,22.0,,,,,,7.0,,
1588759200,"Среда, 6 мая
10:00 (UTC)",,,,,,,,,,57.5,,,южный,,,,7,,,,,,,,,,,744,,19.6,,,,,,,,
1588762800,"Среда, 6 мая
11:00 (UTC)",,,,,,,,,,42.7,,,южный,,,,7,,,,,,,,,,,743,,21.4,,,,,,,,
1588766400,"Среда, 6 мая
12:00 (UTC)",,12.0,,,,,,,,43.7,,,юго-восточный,,,,6,,,,,,,,,,10.0,743,,20.9,,,True,,,7.0,,
1588770000,"Среда, 6 мая
13:00 (UTC)",,,,,,,,,,39.6,,,южный,,,,7,,,,,,,,,,,742,,21.4,,,,,,,,
1588773600,"Среда, 6 мая
14:00 (UTC)",,,,,,,,,,43.8,,,юго-восточный,,,,6,,,,,,,,,,,742,,20.2,,,,,,,,
1588777200,"Среда, 6 мая
15:00 (UTC)",,11.0,,,,,,,,39.8,,,южный,,,22.8,6,,,0.5,,,,,,,10.0,742,,20.1,,,,,,10.0,,
1588780800,"Среда, 6 мая
16:00 (UTC)",,,,,,,,,,45.8,,,южный,,,,4,,,,,,,,,,,742,,18.6,,,,,,,,
1588784400,"Среда, 6 мая
17:00 (UTC)",,,,,,,,,,52.3,,,юго-восточный,,,,5,,,,,,,,,,,742,,17.7,,,,,,,,
1588788000,"Среда, 6 мая
18:00 (UTC)",,15.0,,,,,,,,63.2,,,южный,,,,5,,,,,,,,,,10.0,742,,16.4,,,,,,10.0,,
1588791600,"Среда, 6 мая
19:00 (UTC)",,,,,,,,,,88.9,,,юго-восточный,,,,1,,,,,,,,,,,742,,13.4,,,,,,,,
1588795200,"Среда, 6 мая
20:00 (UTC)",,,,,,,,,,79.0,,,юго-восточный,,,,3,,,,,,,,,,,742,,14.3,,,,,,,,
1588798800,"Среда, 6 мая
21:00 (UTC)",,10.0,,,,,,,,83.1,,,юго-восточный,,,,3,,,,,,,,,,10.0,742,,13.3,,,True,,,10.0,,
1588802400,"Среда, 6 мая
22:00 (UTC)",,,,,,,,,,84.7,,,юго-восточный,,,,2,,,,,,,,,,,741,,12.5,,,,,,,,
1588806000,"Среда, 6 мая
23:00 (UTC)",,,,,,,,,,82.0,,,юго-восточный,,,,2,,,,,,,,,,,741,,12.9,,,,,,,,
1588809600,"Четверг, 7 мая
00:00 (UTC)",,,,,,,,,,81.5,,,юго-восточный,,,,3,,,,,,,,,,10.0,741,,13.2,,,True,,,10.0,,
1588813200,"Четверг, 7 мая
01:00 (UTC)",,,,,,,,,,80.4,,,юго-восточный,,,,3,,,,,,,,,,,741,,13.3,,,,,,,,
1588816800,"Четверг, 7 мая
02:00 (UTC)",,,,,,,,,,82.0,,,юго-восточный,,,,3,,,,,,,,,,,741,,12.9,,,,,,,,
1588820400,"Четверг, 7 мая
03:00 (UTC)",,,,,,,,,,82.6,,12.5,юго-восточный,,,,3,,,менее 0.1,,0.4,,,,,10.0,740,,13.2,,,,,,7.0,,
1588824000,"Четверг, 7 мая
04:00 (UTC)",,,,,,,,,,78.0,,,южный,,,,4,,,,,,,,,,,740,,14.6,,,,,,,,
1588827600,"Четверг, 7 мая
05:00 (UTC)",,,,,,,,,,71.2,,,южный,,,,5,,,,,,,,,,,740,,16.0,,,,,,,,
1588831200,"Четверг, 7 мая
06:00 (UTC)",,10.0,,,,,,,,64.0,,,южный,,,,6,,,,,,,,,,10.0,740,,18.0,,,,,,7.0,,
1588834800,"Четверг, 7 мая
07:00 (UTC)",,,,,,,,,,58.5,,,южный,,,,5,,,,,,,,,,,740,,18.6,,,,,,,,
1588838400,"Четверг, 7 мая
08:00 (UTC)",,,,,,,,,,51.6,,,юго-западный,,,,5,,,,,,,,,,,740,,19.1,,,,,,,,
1588842000,"Четверг, 7 мая
09:00 (UTC)",,12.0,,,,,,,,40.9,,,южный,,,,6,,,,,,,,,,10.0,741,,21.2,,,,,,7.0,,
1588845600,"Четверг, 7 мая
10:00 (UTC)",,,,,,,,,,39.3,,,юго-западный,,,,6,,,,,,,,,,,741,,21.3,,,,,,,,
1588849200,"Четверг, 7 мая
11:00 (UTC)",,13.0,,,,,,,,36.8,,,южный,,,,4,,,,,,,,,,,741,,21.7,,,,,,,,
1588852800,"Четверг, 7 мая
12:00 (UTC)",,13.0,,,,,,,,34.9,,,южный,,,,5,,,,,,,,,,10.0,741,,22.0,,,,,,7.0,,
1588856400,"Четверг, 7 мая
13:00 (UTC)",,,,,,,,,,38.5,,,южный,,,,3,,,,,,,,,,,741,,21.2,,,,,,,,
1588860000,"Четверг, 7 мая
14:00 (UTC)",,,,,,,,,,37.5,,,южный,,,,4,,,,,,,,,,,741,,21.4,,,,,,,,
1588863600,"Четверг, 7 мая
15:00 (UTC)",,11.0,,,,,,,,37.3,,,южный,,,22.3,3,,,0,,,,,,,10.0,741,,20.9,,,,,,7.0,,
1588867200,"Четверг, 7 мая
16:00 (UTC)",,,,,,,,,,37.9,,,южный,,,,2,,,,,,,,,,,741,,20.2,,,,,,,,
1588870800,"Четверг, 7 мая
17:00 (UTC)",,,,,,,,,,44.5,,,южный,,,,2,,,,,,,,,,,741,,18.4,,,,,,,,
1588874400,"Четверг, 7 мая
18:00 (UTC)",,11.0,,,,,,,,70.5,,,западный,,,,3,,,,,,,,,,10.0,742,,14.8,,,,,,6.0,,
1588878000,"Четверг, 7 мая
19:00 (UTC)",,,,,,,,,,79.3,,,,,,,0,,,,,,,,,,,742,,13.0,,,,,,,,
1588881600,"Четверг, 7 мая
20:00 (UTC)",,,,,,,,,,83.0,,,,,,,0,,,,,,,,,,,742,,12.3,,,,,,,,
1588885200,"Четверг, 7 мая
21:00 (UTC)",,,,,,,,,,82.0,,,южный,,,,1,,,,,,,,,,10.0,742,,12.7,,,,,,9.0,,
1588888800,"Четверг, 7 мая
22:00 (UTC)",,,,,,,,,,81.9,,,южный,,,,2,,,,,,,,,,,742,,12.4,,,,,,,,
