timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Туман без изменений (небо видно),Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой снег слабый,Снег слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный
1589824800,"Понедельник, 18 мая
18:00 (UTC)",,,,,,,,,,,,,,10,741,,,17.1,,58.1,,,,,5,,,0,,,,
1589835600,"Понедельник, 18 мая
21:00 (UTC)",,,,,,,,,,,,,,10,740,,,17.4,,58.2,,,,северный,7,,,1,,,,
1589846400,"Вторник, 19 мая
00:00 (UTC)",,,,,0,,,,0,,,,,10,740,,,15.1,,73.5,13.6,,,,6,,,0,,,,
1589857200,"Вторник, 19 мая
03:00 (UTC)",,,,,,,,,,,,,,10,741,,,19.8,,60.7,,,,северо-восточный,9,,,1,,,,
1589868000,"Вторник, 19 мая
06:00 (UTC)",,,,,,,,,,,,,,10,741,,,25.8,,38.7,,,,восточный,7,,,2,,,,
1589878800,"Вторник, 19 мая
09:00 (UTC)",,,,,,,,,,,,,,10,741,,True,21.7,,66.1,,,,,9,,,0,,,,
1589889600,"Вторник, 19 мая
12:00 (UTC)",,,,,менее 0.1,,,,,,,,,10,741,,,27.4,,39.2,,True,,юго-западный,7,,27.8,1,,,,
1589900400,"Вторник, 19 мая
15:00 (UTC)",,,,,,,,,,,,,,10,742,,,18.6,,69.0,,,,южный,6,,,1,,,,
1589911200,"Вторник, 19 мая
18:00 (UTC)",,,,,,,,,,,,,,10,742,,,14.9,,82.2,,,,,0,,,0,,,,
1589922000,"Вторник, 19 мая
21:00 (UTC)",,,,,,,,,,,,,,10,743,,,13.9,,82.7,,,,,0,,,0,,,,
1589932800,"Среда, 20 мая
00:00 (UTC)",,,,,0,,,,менее 0.1,,,,,10,744,,,17.1,,75.8,13.1,,,западный,10,,,3,,,,
1589943600,"Среда, 20 мая
03:00 (UTC)",,,,,,,,,,,,,,10,746,,,19.2,,66.0,,,,западный,9,,,3,,,,
1589954400,"Среда, 20 мая
06:00 (UTC)",,,,,,,,,,,,,,10,746,,,22.6,,48.5,,,,северо-западный,7,,,2,,,,
1589965200,"Среда, 20 мая
09:00 (UTC)",,,,,,,,,,,,,,10,747,,,23.7,,44.5,,,,западный,7,,,2,,,,
1589976000,"Среда, 20 мая
12:00 (UTC)",,,10.0,,0,,,,,,,,,10,748,,,16.7,,63.3,,,,западный,10,,23.7,4,,,,
1589986800,"Среда, 20 мая
15:00 (UTC)",,,,,,,,,,,,,,10,749,,,13.6,,83.2,,True,,западный,10,,,2,,,,
1589997600,"Среда, 20 мая
18:00 (UTC)",,,,,,,,,,,,True,,10,749,,,12.7,,85.9,,,,северо-западный,10,,,2,,,,
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,,,,,,,2,749,True,,11.2,,96.1,,,,северо-западный,10,,,1,,,,
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,,10,,,,10,,,,,4,749,True,,11.3,,96.7,11.1,,,северо-западный,10,,,1,,,,
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,,,,,,,,,,,,4,749,True,,11.7,,96.1,,,,,10,,,0,,,,
1590040800,"Четверг, 21 мая
06:00 (UTC)",,,,,,,,,,,,,,10,749,,,13.6,,90.1,,True,,северо-западный,10,,,1,,,,
1590051600,"Четверг, 21 мая
09:00 (UTC)",,,,,,,,,,,,,,10,749,,,15.2,,81.2,,True,,северо-западный,9,,,1,,,,
1590062400,"Четверг, 21 мая
12:00 (UTC)",,,,,5,,,,,,,,,10,749,,,16.4,,77.7,,,,северо-восточный,9,,16.7,1,,,,
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,,,,,,,,,,,,10,750,,,14.2,,92.5,,,,,7,,,0,,,,
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,,,,,,,,,,,,10,750,,,13.6,,96.2,,,,восточный,9,,,1,,,,
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,,,,,10,750,,,13.3,,95.5,,,,южный,9,,,1,,,,
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,0,,,,5,,True,,,4,750,,,12.8,,97.4,12.2,,,,9,,,0,,,,
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,,True,,,,,,,,,,1,751,,,14.1,,96.2,,,,северный,10,,,1,,,,
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,,,,,,,,,,,,10,751,,,19.2,,70.5,,True,,западный,9,,,2,,,,
1590138000,"Пятница, 22 мая
09:00 (UTC)",,,,,,,,,,,,,,10,751,,True,17.1,,80.9,,,,западный,10,,,1,,,,
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,,1,,,,,,,,,10,751,,,17.0,,69.6,,True,,западный,9,,20.2,1,,,,
1590159600,"Пятница, 22 мая
15:00 (UTC)",,,,,,,,,,,,,,10,752,,,14.2,,85.5,,,,,9,,,0,,,,
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,,,,,,,,,,,,10,752,,,11.8,,97.4,,,,,0,,,0,,,,
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,,,,,,,,,True,,,4,752,,,10.8,,97.4,,,,,2,,,0,,,,
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,,,0,,,,1,,,,,0,752,,,9.8,,98.0,9.0,,True,юго-восточный,0,,,1,,,,
1590202800,"Суббота, 23 мая
03:00 (UTC)",,,,True,,,,,,,,,,4,752,,,15.1,,94.4,,,,восточный,9,,,1,,,,
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,,,,,,,,,,,,10,752,,,21.0,,49.4,,True,,восточный,6,,,1,,,,
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,,,,,,,,,,,10,751,,,23.3,,37.5,,,,западный,5,,,1,,,,
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,,,0,,,,,,,,,10,751,,,22.8,,34.6,,,,северо-восточный,4,,23.8,1,,,,
1590246000,"Суббота, 23 мая
15:00 (UTC)",,,,,,,,,,,,,,10,752,,,15.5,,59.7,,,,,5,,,0,,,,
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,,,,,,,,,,,,10,752,,,12.3,,81.9,,,,,0,,,0,,,,
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,,,,,,,,,,,,10,752,,,10.5,,91.7,,,,,0,,,0,,,,
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,,0,,,,0,,,,,10,752,,,13.4,,84.3,9.6,,,восточный,4,,,1,,,,
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,,,,,,,,,,,,10,752,,,21.1,,52.5,,,,юго-восточный,7,,,2,,,,
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,,,,,,,,,,,,10,752,,,23.2,,40.6,,,,южный,10,,,1,,,,
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,,,,,,,10,751,,,21.6,,48.9,,True,,юго-западный,10,,,1,,,,
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,,менее 0.1,,,,,,,,,10,751,,,22.3,,47.5,,True,,восточный,9,,23.8,1,,,,
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,,,,,,,,,,,,10,751,,,19.0,,64.7,,,,восточный,7,,,1,,,,
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,,,,,,,10,752,,,17.5,,67.0,,,,,6,,,0,,,,
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,,,,,10,752,,,14.5,,88.4,,,,,4,,,0,,,,
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,0,,,,менее 0.1,,,,,10,753,,,16.3,,81.9,13.7,,,,7,,,0,,,,
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,,,,,,,,,,10,753,,,21.7,,61.6,,,,восточный,7,,,1,,,,
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,,,,,,,,,,,,10,753,,,22.2,,62.5,,,,северо-восточный,10,,,1,,,,
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,True,,,,,,,,,,,,4,753,,,20.9,,75.5,,,,северный,10,,,1,,,,
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,,2,,,True,,,,,,10,751,,,21.0,,75.5,,,,юго-восточный,10,,27.1,1,,,,
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,,,,,,,,,,,10,750,,,21.4,,69.1,,,,южный,4,,,3,,,,
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,,,,,,,10,749,,,21.6,,61.1,,,,юго-западный,0,,,2,,,,
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,,,,,,,,10,749,,,17.2,,80.9,,,,северо-восточный,0,,,1,,,,
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,,0,,,,2,,,,,10,748,,,16.5,,95.0,14.6,,,,4,,,0,,,,
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,,,,,,,,,,,,10,747,,,25.2,,58.5,,,,южный,2,,,2,,,,
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,12.0,,,,,,,,,,,10,744,,,33.7,,22.2,,,,юго-западный,7,,,6,,,,
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,17.0,,,,,,,,,,,10,741,,,35.4,,16.8,,,,юго-западный,6,,,8,,,,
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,19.0,,0,,,,,,,,,10,738,,,32.4,,21.7,,,,западный,9,,35.5,6,,,,
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,16.0,,,,,,,,,,,10,741,,,21.9,,44.0,,,,северо-западный,6,,,3,,,,
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,11.0,,,,,,,,,,,10,743,,,15.1,,58.4,,,,западный,0,,,1,,,,
1590526800,"Вторник, 26 мая
21:00 (UTC)",True,,,,,,,,,,,,,10,745,,,12.1,,91.1,,,,северо-западный,10,,,2,,,,
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,0.4,,,,0.4,,,,,10,747,,,10.4,,79.5,10.0,True,,северо-западный,6,,,3,,,,
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,,,,,,,,,,10,749,,,12.1,,57.2,,,,северо-западный,7,,,3,,,,
1590559200,"Среда, 27 мая
06:00 (UTC)",,,,,,,,,,,,,,10,750,,,15.4,,36.2,,,,северный,2,,,3,,,,
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,,,,,10,750,,,16.5,,34.0,,,,северный,5,,,3,,,,
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,0,,,,,,,,,10,751,,,13.8,,47.7,,,,северо-западный,10,,17.2,2,,,,
1590591600,"Среда, 27 мая
15:00 (UTC)",,,,,,,,,,,,,,10,752,,,10.7,,65.5,,,,северный,5,,,1,,,,
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,,,,,,,10,752,,,7.8,,77.4,,,,северо-западный,0,,,1,,,,
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,,,,,10,752,,,5.6,,88.8,,,,северный,0,,,1,,,,
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,0,,,,0,,,,,10,753,,,7.4,,96.0,3.8,,,,2,,,0,,,,
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,,,,,,,,,,,,10,753,,,13.2,,58.7,,,,западный,7,,,2,,,,
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,,,,,,,,,,,,10,751,,,14.5,,49.6,,,,западный,9,,,2,,,,
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,,,,,,,10,750,,,16.8,,38.5,,,,западный,10,,,1,,,,
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,0,,,,,,,,,10,749,,,17.8,,37.2,,,,западный,7,,18.4,2,,,,
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,,,,,,,,,,10,749,,,12.0,,62.2,,,,северный,0,,,1,,,,
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,,,,,,,10,749,,,7.4,,80.1,,,,,0,,,0,,,,
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,,,,,10,748,,,5.8,,82.2,,,,юго-западный,0,,,1,,,,
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,0,,,,0,,,,,10,749,,,10.1,,76.2,3.9,,,,4,,,0,,,,
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,,,,,,,,,,10,748,,,17.2,,40.6,,,,юго-восточный,0,,,2,,,,
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,,,,,,,,,,,10,747,,,19.9,,33.3,,,,юго-западный,1,,,2,,,,
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,,,,,,,,10,746,,,22.3,,28.0,,,,юго-западный,6,,,2,,,,
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,,0,,,,,,,,,10,744,,,22.0,,29.5,,,,южный,2,,22.9,2,,,,
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,,,,,,,,,,,,10,743,,,18.5,,37.4,,,,южный,10,,,1,,,,
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,,,,,,,,,,,,10,741,,,17.0,,39.1,,,,южный,10,,,2,,,,
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,,,,,,,10,740,,,14.8,,58.3,,,,южный,10,,,1,,,,
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,0,,,,0,,,,,10,739,,,16.9,,60.9,14.5,,,западный,9,,,4,,,,
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,,,,,,,,,,,,10,740,,,19.5,,63.5,,,,западный,4,,,3,,,,
1590818400,"Суббота, 30 мая
06:00 (UTC)",,,,,,,,,,,,,,10,740,,,20.3,,48.5,,,,западный,7,,,3,,,,
1590829200,"Суббота, 30 мая
09:00 (UTC)",,,,,,,,,,,,,,10,739,,,21.2,,37.9,,,,западный,9,,,3,,,,
1590840000,"Суббота, 30 мая
12:00 (UTC)",,,10.0,,0,,,,,,,,,10,739,,,21.5,,36.0,,,,западный,7,,22.1,4,,,,
1590850800,"Суббота, 30 мая
15:00 (UTC)",,,,,,,,,,,,,,10,741,,,16.6,,55.6,,,,северо-западный,2,,,2,,,,
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,,,,,,,,,,,,10,743,,,12.6,,63.7,,,,западный,0,,,1,,,,
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,,,,,,,10,743,,,8.5,,82.0,,,,южный,0,,,1,,,,
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,0,,,,0,,,,,10,743,,,12.2,,69.1,7.4,,,юго-западный,7,,,3,,,,
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,12.0,,,,,,,,,,,10,743,,,20.3,,42.1,,,,юго-западный,6,,,7,,,,
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,13.0,,,,,,,,,,,10,742,,,22.5,,37.0,,,,юго-западный,9,,,5,,,,
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,,14.0,,,,,,,,,,,10,742,,,24.4,,31.9,,,,юго-западный,7,,,5,,,,
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,,13.0,,0,,,,,,,,,10,741,,,23.9,,33.5,,,,западный,9,,25.6,3,,,,
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,,,,,,,,,,,,,10,741,,,18.8,,49.8,,,,западный,7,,,1,,,,
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,,,,,,,,,,,,,10,741,,,15.3,,80.1,,,,северо-восточный,6,,,1,,,,
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,,,,,,,10,740,,,13.0,,85.3,,,,восточный,7,,,1,,,,
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,,менее 0.1,,,,менее 0.1,,,,,10,740,,,13.8,,86.0,12.8,True,,северный,10,,,1,,,,
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,,,,,,,,,,,,10,739,,,15.3,,81.7,,True,,восточный,9,,,1,,,,
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,,,,,,,10,739,,,22.5,,51.8,,True,,северный,4,,,2,,,,
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,,,,,,,,10,740,,,24.5,,47.7,,,,северный,7,,,2,,,,
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,,,менее 0.1,,,,,,,,,10,740,,,22.9,,48.9,,,,северо-восточный,9,,25.1,1,,,,
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,,,,,,,,,,,,10,739,,,19.7,,64.0,,,,восточный,7,,,2,,,,
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,,,,,,,10,737,,,19.8,,61.5,,,,южный,10,,,1,,,,
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,,,,,10,736,,,19.8,,62.3,,,,южный,2,,,3,,,,
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,10.0,,0,,,,менее 0.1,,,,,10,736,,,21.0,,62.6,19.3,,,юго-западный,4,,,6,,,,
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,10.0,,,,,,,,,,,10,737,,,23.9,,56.4,,,,западный,6,,,3,,,,
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,,,,,,,,,,,,10,737,,,24.9,,37.7,,,,западный,7,,,4,,,,
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,11.0,,,,,,,,,,,10,738,,,26.3,,31.1,,,,западный,6,,,4,,,,
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,11.0,,0,,,,,,,,,10,738,,,24.6,,37.1,,,,западный,2,,26.3,3,,,,
1591110000,"Вторник, 2 июня
15:00 (UTC)",,,,,,,,,,,,,,10,739,,,18.6,,53.6,,,,западный,4,,,1,,,,
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,,,,,,,10,740,,,14.6,,67.2,,,,северо-западный,6,,,1,,,,
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,,,,,10,741,,,10.4,,76.8,,,,западный,0,,,2,,,,
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,,0,,,,0,,,,,10,742,,,11.0,,79.0,9.9,,,западный,0,,,2,,,,
1591153200,"Среда, 3 июня
03:00 (UTC)",,,,,,,,,,,,,,10,743,,,13.6,,67.0,,,,западный,6,,,3,,,,
1591164000,"Среда, 3 июня
06:00 (UTC)",,,,,,,,,,,,,,10,744,,,17.2,,45.7,,,,западный,6,,,3,,,,
1591174800,"Среда, 3 июня
09:00 (UTC)",,,,,,,,,,,,,,10,744,,,18.6,,38.5,,,,северо-западный,9,,,2,,,,
1591185600,"Среда, 3 июня
12:00 (UTC)",,,,,0,,,,,,,,,10,743,,,18.0,,36.5,,,,западный,9,,19.2,2,,,,
1591196400,"Среда, 3 июня
15:00 (UTC)",,,,,,,,,,,,,,10,743,,,11.9,,64.4,,,,западный,6,,,1,,,,
1591207200,"Среда, 3 июня
18:00 (UTC)",,,,,,,,,,,,,,10,742,,,9.6,,68.5,,,,северный,4,,,1,,,,
1591218000,"Среда, 3 июня
21:00 (UTC)",,,,,,,,,,,,,,10,742,,,7.5,,81.3,,,,,2,,,0,,,,
1591228800,"Четверг, 4 июня
00:00 (UTC)",,,,,менее 0.1,,,,менее 0.1,,,True,,10,742,,,7.5,,87.7,7.1,,,северо-западный,10,,,1,,,,
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,,,,,,,,,,,,10,742,,,13.8,,48.1,,,,северный,6,,,2,,,,
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,,,,,,,,,,,,10,741,,,16.7,,36.4,,,,северо-западный,7,,,2,,,,
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,,,,,,,,,,,,10,740,,,17.6,,30.8,,,,северо-западный,7,,,2,,,,
1591272000,"Четверг, 4 июня
12:00 (UTC)",,,,,0,,,,,,,,,10,740,,,16.5,,34.0,,,,северный,7,,18.6,1,,,,
1591282800,"Четверг, 4 июня
15:00 (UTC)",,,,,,,,,,,,,,10,740,,,10.8,,56.1,,,,,7,,,0,,,,
1591293600,"Четверг, 4 июня
18:00 (UTC)",,,,,,,,,,,,,,10,739,,,8.3,,66.8,,,,северный,4,,,1,,,,
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,,,,,,,,,,,10,739,,,8.3,,71.7,,,,северо-западный,10,,,1,,,,
1591315200,"Пятница, 5 июня
00:00 (UTC)",,,,,0,,,,0,,,,,10,738,,,8.1,,77.5,5.8,,,западный,6,,,3,,,,
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,,,,,,,,,,,,4,738,True,,7.9,,88.4,,,,северо-западный,9,,,1,,,,
1591336800,"Пятница, 5 июня
06:00 (UTC)",,,,,,,,,,,,,,10,739,,,9.8,,75.1,,True,,юго-западный,10,,,2,,,,
1591347600,"Пятница, 5 июня
09:00 (UTC)",,,,,,,,True,,,,,,10,739,,,11.1,,70.3,,,,южный,7,,,1,,,,
1591358400,"Пятница, 5 июня
12:00 (UTC)",,,,,3,,,True,,,,,,10,740,,,10.5,,80.0,,,,,9,,12.1,0,,,,
1591369200,"Пятница, 5 июня
15:00 (UTC)",,,,,,,,True,,,,,,10,742,,,8.2,,92.1,,,,северо-западный,10,,,1,,,,
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,,,,,,,,,,,,10,743,,,7.6,,94.7,,True,,западный,5,,,1,,,,
1591390800,"Пятница, 5 июня
21:00 (UTC)",,,,,,,,,,,,,,10,743,,,5.9,,97.3,,,,северо-западный,2,,,1,,,,
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,,0.9,,,,4,,,,,10,744,,,7.3,,96.6,5.2,,,юго-западный,7,,,1,,,,
1591412400,"Суббота, 6 июня
03:00 (UTC)",,,,,,,,,,,,,,10,745,,,9.5,,89.1,,,,северо-западный,10,,,1,,,,
1591423200,"Суббота, 6 июня
06:00 (UTC)",,,,,,,,,,,,,,10,746,,,13.9,,63.1,,,,западный,9,,,1,,,,
1591434000,"Суббота, 6 июня
09:00 (UTC)",,,,,,,,,,,,,,10,746,,,16.1,,54.4,,,,западный,7,,,2,,,,
1591444800,"Суббота, 6 июня
12:00 (UTC)",,,,,0,,,,,,,,,10,747,,,16.4,,53.7,,,,западный,7,,17.1,2,,,,
1591455600,"Суббота, 6 июня
15:00 (UTC)",,,,,,,,,,,,,,10,748,,,11.8,,75.9,,,,западный,4,,,1,,,,
1591466400,"Суббота, 6 июня
18:00 (UTC)",,,,,,,,,,,,,,10,748,,,6.7,,93.3,,,,,0,,,0,,,,
1591477200,"Суббота, 6 июня
21:00 (UTC)",,,,,,,,,,,,,,10,748,,,8.2,,97.3,,,,западный,2,,,1,,,,
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,,,,0,,,,0,,,,,10,749,,,11.6,,89.9,6.1,,,юго-западный,6,,,2,,,,
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,,,,,,,,,,,,,10,749,,,17.3,,67.4,,,,западный,7,,,2,,,,
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,,,,,,,,,,,,,10,748,,,19.7,,61.9,,True,,западный,7,,,4,,,,
1591520400,"Воскресенье, 7 июня
09:00 (UTC)",,,,,,,,,,,,,,10,747,,True,23.0,,48.0,,,,западный,7,,,3,,,,
1591531200,"Воскресенье, 7 июня
12:00 (UTC)",,,,,1,,,,,,,,,10,747,,,18.0,,66.6,,,,западный,9,True,23.1,1,,,,
1591542000,"Воскресенье, 7 июня
15:00 (UTC)",,,,,,,,,,,,,,10,746,,,15.8,,70.7,,,,западный,4,,,2,,,,
1591552800,"Воскресенье, 7 июня
18:00 (UTC)",,,,,,,,,,,,,,10,746,,,15.8,,72.6,,,,западный,0,,,2,,,,
1591563600,"Воскресенье, 7 июня
21:00 (UTC)",,,,,,,,,,,,,,10,746,,,13.8,,83.8,,,,западный,6,,,2,,,,
1591574400,"Понедельник, 8 июня
00:00 (UTC)",,,,,0,,,,1,,,,,10,747,,,13.2,,84.2,12.7,,,северо-западный,9,,,1,,,,
1591585200,"Понедельник, 8 июня
03:00 (UTC)",,,,,,,,,,,,,,10,747,,,18.2,,53.8,,,,северо-западный,6,,,1,,,,
1591596000,"Понедельник, 8 июня
06:00 (UTC)",,,,,,,,,,,,,,10,747,,,21.7,,36.8,,,,западный,7,,,2,,,,
1591606800,"Понедельник, 8 июня
09:00 (UTC)",,,,,,,,,,,,,,10,745,,,24.8,,35.0,,,,западный,7,,,3,,,,
1591617600,"Понедельник, 8 июня
12:00 (UTC)",,,,,менее 0.1,,,,,,,,,10,744,,True,23.7,,42.5,,,,северо-западный,9,,25.3,2,,,,
1591628400,"Понедельник, 8 июня
15:00 (UTC)",,,,,,,,,,,,,,4,743,True,,15.4,,90.8,,,,,10,,,0,,,,
1591639200,"Понедельник, 8 июня
18:00 (UTC)",,,10.0,,,,,,,,,True,,10,743,,,15.2,,87.3,,,,западный,10,,,1,,,,
1591650000,"Понедельник, 8 июня
21:00 (UTC)",,,,,,,,,,,,,,10,742,,,15.1,,86.1,,True,,западный,10,,,2,,,,
1591660800,"Вторник, 9 июня
00:00 (UTC)",,,,,4,,,,4,,,,,10,742,,,14.7,,93.1,14.3,True,,северо-западный,9,,,1,,,,
1591671600,"Вторник, 9 июня
03:00 (UTC)",,,,,,,,,,,,,,10,744,,,15.5,,68.8,,,,северо-западный,7,,,2,,,,
1591682400,"Вторник, 9 июня
06:00 (UTC)",,,,,,,,,,,,,,10,745,,,18.6,,43.9,,,,северо-западный,1,,,3,,,,
1591693200,"Вторник, 9 июня
09:00 (UTC)",,,,,,,,,,,,,,10,745,,,20.2,,36.6,,,,северо-западный,2,,,3,,,,
1591704000,"Вторник, 9 июня
12:00 (UTC)",,,,,0,,,,,,,,,10,745,,,19.9,,37.3,,,,северный,2,,21.0,3,,,,
1591714800,"Вторник, 9 июня
15:00 (UTC)",,,,,,,,,,,,,,10,746,,,13.8,,58.5,,,,,0,,,0,,,,
1591725600,"Вторник, 9 июня
18:00 (UTC)",,,,,,,,,,,,,,10,747,,,8.7,,82.0,,,,,0,,,0,,,,
1591736400,"Вторник, 9 июня
21:00 (UTC)",,,,,,,,,,,,,,10,746,,,9.0,,79.8,,,,юго-западный,0,,,1,,,,
1591747200,"Среда, 10 июня
00:00 (UTC)",,,,,0,,,,0,,,,,10,747,,,12.2,,71.5,7.7,,,западный,7,,,2,,,,
1591758000,"Среда, 10 июня
03:00 (UTC)",,,,,,,,,,,,,,10,747,,,16.0,,66.2,,,,северо-западный,9,,,1,,,,
1591768800,"Среда, 10 июня
06:00 (UTC)",,,,,,,,,,,,,,10,747,,,19.3,,50.9,,,,западный,10,,,2,,,,
1591779600,"Среда, 10 июня
09:00 (UTC)",,,,,,,,,,,,True,,10,746,,,17.6,,61.4,,,,северо-западный,10,,,2,,,,
1591790400,"Среда, 10 июня
12:00 (UTC)",,,,,2,,,True,,,,,,10,747,,,13.3,,87.7,,,,северный,10,,21.2,1,,,,
