timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневый дождь со снегом,Ливневый дождь,Снежная крупа (возможно с дождем) умеренная или сильная,Количество облаков уменьшилось,Дождь со снегом слабый,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,Снег слабый с перерывами,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1590040800,"Четверг, 21 мая
06:00 (UTC)",,5.0,True,,,,,,,,,,89.7,,,,западный,,,,2,,,,,,,,,,,,10.0,739,,,8.7,,,,10.0,
1590051600,"Четверг, 21 мая
09:00 (UTC)",,6.0,,,,,,,,,,,84.5,,,,северо-западный,,,,2,,,,,,,,,True,,,10.0,740,,,10.2,,,,10.0,
1590062400,"Четверг, 21 мая
12:00 (UTC)",,6.0,,,,,,,,,,,75.5,,,,западный,,,,3,,,,,,,,,,,,20.0,739,,,12.3,,,True,9.0,
1590073200,"Четверг, 21 мая
15:00 (UTC)",,7.0,,,,,,,,,,,74.4,,,,западный,,,12.3,3,,,,2,,,,,,,,20.0,739,,,11.7,,,,10.0,
1590084000,"Четверг, 21 мая
18:00 (UTC)",,7.0,,,,True,,,,,,,82.8,,,,западный,,,,2,,,,,,,,,,,,20.0,740,,,10.2,,,,10.0,
1590094800,"Четверг, 21 мая
21:00 (UTC)",,5.0,True,,,,,,,,,,89.1,,,,западный,,,,1,,,,,,,,,,,,10.0,739,,,9.1,,,,10.0,
1590105600,"Пятница, 22 мая
00:00 (UTC)",,5.0,,,,,,,,,True,,91.6,,,,западный,,,,1,,,,,,,,,,,,4.0,738,,,9.4,,,,10.0,
1590116400,"Пятница, 22 мая
03:00 (UTC)",,3.0,,,,,,,,,,,90.3,,,8.8,северо-западный,,,,1,,,,8,,,10,,True,,,10.0,738,,,8.8,,,,10.0,
1590127200,"Пятница, 22 мая
06:00 (UTC)",,4.0,True,,,,,,,,,,88.4,,,8.0,северо-западный,,,,1,,,,,,,,,,,,10.0,738,,,8.0,,,,10.0,
1590138000,"Пятница, 22 мая
09:00 (UTC)",,6.0,,,,,,,,,,,82.1,,,,западный,,,,2,,,,,,,,,,,,20.0,739,,,9.3,,,True,9.0,
1590148800,"Пятница, 22 мая
12:00 (UTC)",,7.0,,,,,,,,,,,64.6,,,,северо-западный,,,,2,,,,,,,,,,,,20.0,740,,,10.6,,,True,9.0,
1590159600,"Пятница, 22 мая
15:00 (UTC)",,7.0,,,,,,,,,,,72.2,,,,западный,,,11.0,3,,,,0.8,,,,,,,,20.0,742,,,8.1,,,,9.0,
1590170400,"Пятница, 22 мая
18:00 (UTC)",,7.0,,,,,,,,,,,79.9,,,,западный,,,,1,,,,,,,,,,,,20.0,743,,,6.1,,,,7.0,
1590181200,"Пятница, 22 мая
21:00 (UTC)",,3.0,,,,,,,,,,,87.5,,,,юго-западный,,,,1,,,,,,,,,,,,20.0,744,,,4.4,,,,4.0,
1590192000,"Суббота, 23 мая
00:00 (UTC)",,6.0,,,,,,,,,,,89.4,True,,,западный,,,,2,,,,,,,,,,,,4.0,745,,,5.1,,,,10.0,
1590202800,"Суббота, 23 мая
03:00 (UTC)",,5.0,,,,,,,,,,,87.6,,,4.3,западный,,,,2,,,,менее 0.1,,,0.8,,,,,20.0,746,,,5.5,,,True,10.0,
1590213600,"Суббота, 23 мая
06:00 (UTC)",,5.0,,,,,,,,,,,85.9,True,,,северо-западный,,,,1,,,,,,,,,,,,10.0,747,,,7.4,,,,10.0,
1590224400,"Суббота, 23 мая
09:00 (UTC)",,4.0,,,,,,,,,,,74.9,,,,северо-западный,,,,1,,,,,,,,,,,,20.0,749,,,8.9,,,True,10.0,
1590235200,"Суббота, 23 мая
12:00 (UTC)",,5.0,,,,,,,,,,,67.7,,,,западный,,,,1,,,,,,,,,,,,20.0,750,,,10.2,,,True,10.0,
1590246000,"Суббота, 23 мая
15:00 (UTC)",,4.0,,,,,,,,,,,70.1,,,,северный,,,10.4,2,,,,0.3,,,,,,,,20.0,751,,,10.1,,,,10.0,
1590256800,"Суббота, 23 мая
18:00 (UTC)",,4.0,,,,,,,,,,,75.5,,,,северо-восточный,,,,2,,,,,,,,,,,,20.0,751,,,9.2,,,,10.0,
1590267600,"Суббота, 23 мая
21:00 (UTC)",,6.0,,,,,,,,,,,83.1,,,,северо-восточный,,,,2,,,,,,,,,,,,20.0,751,,,8.3,,,,10.0,
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,6.0,,,,,,,,,,,84.7,,,,северо-восточный,,,,3,,,,,,,,,,,,20.0,750,,,7.2,,,,9.0,
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,9.0,,,,,,,,,,,80.3,,,7.1,северо-восточный,,,,3,,,,0,,,0.3,,,,,20.0,748,,,8.5,,,,9.0,
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,9.0,,,,,,,,,,,71.7,,,,северо-восточный,,,,4,,,,,,,,,,,,20.0,747,,,10.6,,,,10.0,
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,9.0,,,,,,,,,,,67.6,,,,северо-восточный,,,,3,,,,,,,,,,,,20.0,747,,,11.8,,,,10.0,
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,11.0,,,,,,,,,,,68.6,,,,восточный,,,,2,,,,,,,,,,,,20.0,747,,,12.4,,,,10.0,
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,7.0,,,,,,,,,,,71.1,,,,восточный,,,13.2,3,,,,0,,,,,,,,20.0,747,,,12.9,,,,10.0,
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,5.0,,,,,,,,,,,84.4,,,,южный,,,,1,,,,,,,,,,,,20.0,749,,,10.0,,,True,7.0,
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,6.0,,,,,,,,,,,80.9,,,,юго-западный,,,,2,,,,,,,,,,,,20.0,751,,,9.1,,,,10.0,
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,4.0,,,,,,,,,,,86.5,,,,юго-западный,,,,1,,,,,,,,,,,,20.0,751,,,6.7,,,,10.0,
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,5.0,,,,,,,,,,,80.9,,,6.5,юго-западный,,,,1,,,,0.1,,,0.1,,,,,20.0,752,,,8.6,,,,10.0,
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,4.0,,,,,,,,,,,66.1,,,,юго-западный,,,,1,,,,,,,,,,,,20.0,752,,,11.4,,,,7.0,
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,4.0,,,,,,,,,,,46.3,,,,западный,,,,1,,,,,,,,,,,,20.0,751,,,14.8,,,,7.0,
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,10.0,,,,,,,,,,,51.8,,,,западный,,,,2,,,,,,,,,,,,20.0,753,,,14.5,,,True,4.0,
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,7.0,,,,,,,,,,,55.1,,,,западный,,,16.2,2,,,,0.3,,,,,,,,20.0,754,,,12.9,,,,7.0,
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,5.0,,,,,,,,,,,75.4,,,,западный,,,,1,,,,,,,,,,,,20.0,755,,,8.8,,,,2.0,
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,2.0,,,,,,,,,,,81.3,,,,юго-западный,,,,1,,,,,,,,,,,,20.0,756,,,8.0,,,,4.0,
1590451200,"Вторник, 26 мая
00:00 (UTC)",,3.0,,,,,,,,,,,87.7,,,,,,,,0,,,,,,,,,,,,20.0,758,,,6.5,,,,7.0,
1590462000,"Вторник, 26 мая
03:00 (UTC)",,2.0,,,,,,,,,,,68.3,,,5.3,западный,,,,1,,,,0,,,0.3,,,,,20.0,759,,,10.7,,,,4.0,
1590472800,"Вторник, 26 мая
06:00 (UTC)",,4.0,,,,,,,,,,,53.6,,,,западный,,,,2,,,,,,,,,,,,20.0,760,,,13.2,,,,6.0,
1590483600,"Вторник, 26 мая
09:00 (UTC)",,6.0,,,,,,,,,,,42.1,,,,юго-западный,,,,2,,,,,,,,,,,,20.0,760,,,16.4,,,,9.0,
1590494400,"Вторник, 26 мая
12:00 (UTC)",,4.0,,,,,,,,,,,41.6,,,,юго-западный,,,,1,,,,,,,,,,,,20.0,759,,,15.8,,,,10.0,
1590505200,"Вторник, 26 мая
15:00 (UTC)",,2.0,,,,,,,,,,,45.8,,,,юго-восточный,,,16.5,1,,,,0,,,,,,,,20.0,758,,,15.1,,,,10.0,
1590516000,"Вторник, 26 мая
18:00 (UTC)",,2.0,,,,,,,,,,,69.9,,,,,,,,0,,,,,,,,,,,,20.0,758,,,11.3,,,,10.0,
1590526800,"Вторник, 26 мая
21:00 (UTC)",,3.0,,,,,,,,,,,55.4,,,,северо-восточный,,,,1,,,,,,,,,,,,20.0,757,,,12.6,,,,7.0,
1590537600,"Среда, 27 мая
00:00 (UTC)",,5.0,,,,,,,,,,,59.3,,,,северо-восточный,,,,2,,,,,,,,,,,,20.0,755,,,12.1,,,,10.0,
1590548400,"Среда, 27 мая
03:00 (UTC)",,5.0,,,,True,,,,,,,71.8,,,10.1,северный,,,,2,,,,0.4,,,0.4,,,,,20.0,753,,,11.2,,,,10.0,
1590559200,"Среда, 27 мая
06:00 (UTC)",,8.0,,,,,,,,,,,83.4,,,,северо-западный,,,,1,,,,,,,,,True,,,10.0,750,,,10.8,,,,10.0,
1590570000,"Среда, 27 мая
09:00 (UTC)",,8.0,,,,,,,,,,,73.6,,,,северный,,,,3,,,,,,,,,,,,20.0,749,,,12.8,,,True,10.0,
1590580800,"Среда, 27 мая
12:00 (UTC)",,7.0,,,,,,,,,,,76.2,,,,северо-западный,,,,1,,,,,,,,,,,,20.0,749,,,13.3,,,True,10.0,
1590591600,"Среда, 27 мая
15:00 (UTC)",,4.0,,,,,,,,,,,85.7,,,,северо-западный,,,13.6,1,,,,0.9,,,,,,,,20.0,749,,,11.3,,,,10.0,
1590602400,"Среда, 27 мая
18:00 (UTC)",,5.0,,,,,,,,,,,88.0,,,,северо-западный,,,,1,,,,,,,,,,,,20.0,750,,,10.3,,,True,10.0,
1590613200,"Среда, 27 мая
21:00 (UTC)",,5.0,,,,,,,,,,,88.0,,,,западный,,,,2,,,,,,,,,,,,20.0,750,,,9.9,,,,10.0,
1590624000,"Четверг, 28 мая
00:00 (UTC)",,6.0,,,,,,,,,,,89.1,,,,западный,,,,2,,,,,,,,,,,,20.0,751,,,8.6,,,,10.0,
1590634800,"Четверг, 28 мая
03:00 (UTC)",,5.0,,,,,,,,,,,78.5,,,7.9,западный,,,,2,,,,0.1,,,1,,,,,20.0,751,,,11.0,,,,0.0,
1590645600,"Четверг, 28 мая
06:00 (UTC)",,7.0,,,,,,,,,,,54.4,,,,западный,,,,2,,,,,,,,,,,,20.0,752,,,16.0,,,,2.0,
1590656400,"Четверг, 28 мая
09:00 (UTC)",,8.0,,,,,,,,,,,44.8,,,,западный,,,,3,,,,,,,,,,,,20.0,752,,,18.5,,,,7.0,
1590667200,"Четверг, 28 мая
12:00 (UTC)",,9.0,,,,,,,,,,,34.1,,,,юго-западный,,,,3,,,,,,,,,,,,20.0,751,,,20.2,,,,7.0,
1590678000,"Четверг, 28 мая
15:00 (UTC)",,8.0,,,,,,,,,,,34.2,,,,западный,,,20.5,2,,,,0,,,,,,,,20.0,751,,,19.6,,,,7.0,
1590688800,"Четверг, 28 мая
18:00 (UTC)",,5.0,,,,,,,,,,,62.7,,,,юго-западный,,,,1,,,,,,,,,,,,20.0,752,,,12.3,,,,0.0,
1590699600,"Четверг, 28 мая
21:00 (UTC)",,2.0,,,,,,,,,,,76.6,,,,юго-западный,,,,1,,,,,,,,,,,,20.0,752,,,9.4,,,,1.0,
1590710400,"Пятница, 29 мая
00:00 (UTC)",,2.0,,,,,,,,,,,81.8,,,,,,,,0,,,,,,,,,,,,20.0,753,,,7.5,,,,2.0,
1590721200,"Пятница, 29 мая
03:00 (UTC)",,3.0,,,,,,,,,,,58.7,,,7.3,юго-западный,,,,1,,,,0,,,0,,,,,20.0,753,,,14.9,,,,0.0,
1590732000,"Пятница, 29 мая
06:00 (UTC)",,4.0,,,,,,,,,,,36.7,,,,западный,,,,1,,,,,,,,,,,,20.0,753,,,20.5,,,,0.0,
1590742800,"Пятница, 29 мая
09:00 (UTC)",,6.0,,,,,,,,,,,29.3,,,,западный,,,,2,,,,,,,,,,,,20.0,752,,,22.7,,,,4.0,
1590753600,"Пятница, 29 мая
12:00 (UTC)",,7.0,,,,,,,,,,,25.0,,,,западный,,,,2,,,,,,,,,,,,20.0,751,,,23.8,,,,7.0,
1590764400,"Пятница, 29 мая
15:00 (UTC)",,6.0,,,,,,,,,,,34.9,,,,,,,24.1,0,,,,0,,,,,,,,20.0,750,,,22.1,,,,10.0,
1590775200,"Пятница, 29 мая
18:00 (UTC)",,5.0,,,,,,,,,,,52.6,,,,северный,,,,2,,,,,,,,,,,,20.0,750,,,17.7,,,,10.0,
1590786000,"Пятница, 29 мая
21:00 (UTC)",,4.0,,,,,,,,,,,56.3,,,,северный,,,,1,,,,,,,,,,,,20.0,750,,,16.2,,,,10.0,
1590796800,"Суббота, 30 мая
00:00 (UTC)",,4.0,,,,,,,,,,,60.5,,,,северо-восточный,,,,2,,,,,,,,,,,,20.0,750,,,15.5,,,,10.0,
1590807600,"Суббота, 30 мая
03:00 (UTC)",,5.0,,,,,,,,,,,65.5,,,15.0,северо-восточный,,,,2,,,,0,,,0,,,,,20.0,750,,,15.0,,,,10.0,
1590818400,"Суббота, 30 мая
06:00 (UTC)",,6.0,,,,,,,,,,,87.1,,,13.1,северо-восточный,,,,2,,,,,,,,,,,,10.0,750,,,13.2,,,,10.0,
1590829200,"Суббота, 30 мая
09:00 (UTC)",,5.0,,,,,,,,,,,87.1,,,,северо-восточный,,,,2,,,,,,,,,True,,,10.0,750,,,13.7,,,,10.0,
1590840000,"Суббота, 30 мая
12:00 (UTC)",,6.0,,,,,,,,,,,80.6,,,,северо-восточный,,,,3,,,,,,,,,,,,20.0,749,,,14.5,,,True,10.0,
1590850800,"Суббота, 30 мая
15:00 (UTC)",,7.0,,,,,,,,,,,80.4,,,,северо-восточный,,,15.1,3,,,,7,,,,,,,,20.0,749,,,13.5,,,,10.0,
1590861600,"Суббота, 30 мая
18:00 (UTC)",,8.0,True,,,,,,,,,,86.3,,,,северо-восточный,,,,3,,,,,,,,,,,,10.0,748,,,11.3,,,,10.0,
1590872400,"Суббота, 30 мая
21:00 (UTC)",,9.0,,,,,,,,,,,89.1,,,,северо-восточный,,,,2,,,,,,,,,,,,10.0,748,True,,9.5,,,,10.0,
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,6.0,,,,,,,,,,,89.1,,,,северо-восточный,,,,2,,,,,,,,,,,,10.0,747,True,,9.2,,,,10.0,
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,9.0,,,,,,,,,,,86.6,,,8.4,северо-восточный,,,,3,,,,18,,,26,,,,,10.0,746,True,,8.4,,,,10.0,
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,10.0,,,,,,,,,,,84.8,,,,северо-восточный,,,,4,,,,,,,,,,,,10.0,745,True,,8.4,,,,10.0,
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,10.0,,,,,,,,,,,82.0,,,,северо-восточный,,,,4,,,,,,,,,,,,10.0,745,True,,8.7,,,,10.0,
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,11.0,,,,,,,,,,,82.5,,,,северо-восточный,,,,3,,,,,,,,,True,,,10.0,745,,,8.2,,,,10.0,
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,9.0,,,,,,,,,,,84.3,,,,восточный,,,8.7,2,,,,6,,,,,True,,,10.0,744,,,8.4,,,,10.0,
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,7.0,,,,,,,,,,,81.3,,,,восточный,,,,3,,,,,,,,,,,,10.0,744,,,7.9,,,True,10.0,
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,8.0,,,,,,,,,,,81.8,,,,северо-восточный,,,,1,,,,,,,,,True,,,10.0,744,,,7.2,,,,10.0,
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,6.0,,,,,,,,,,,82.9,,,,северо-восточный,,,,2,,,,,,,,,True,,,10.0,744,,,6.9,,,,10.0,
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,6.0,,,,,,,,,,,75.3,,,6.7,северный,,,,2,,,,4,,,9,,,,,20.0,744,,,8.2,,,,9.0,
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,8.0,,,,,,,,,,,53.4,,,,северный,,,,4,,,,,,,,,,,,20.0,745,,,10.9,,,,7.0,
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,9.0,,,,,,,,,,,39.7,,,,северный,,,,4,,,,,,,,,,,,20.0,746,,,12.2,,,,7.0,
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,8.0,,,,,,,,,,,36.8,,,,северо-восточный,,,,3,,,,,,,,,,,,20.0,747,,,12.7,,,,9.0,
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,7.0,,,,,,,,,,,45.1,,,,северный,,,13.1,3,,,,0,,,,,,,,20.0,748,,,11.5,,,,9.0,
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,7.0,,,,,,,,,,,60.8,,,,северо-западный,,,,1,,,,,,,,,,,,20.0,749,,,9.5,,,,10.0,
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,4.0,,,,,,,,,,,65.5,,,,северный,,,,1,,,,,,,,,,,,20.0,750,,,8.5,,,,10.0,
1591056000,"Вторник, 2 июня
00:00 (UTC)",,4.0,,,,,,,,,,,65.4,,,,северный,,,,1,,,,,,,,,,,,20.0,750,,,8.1,,,,10.0,
1591066800,"Вторник, 2 июня
03:00 (UTC)",,5.0,,,,,,,,,,,61.5,,,8.0,северо-восточный,,,,2,,,,0,,,0,,,,,20.0,751,,,9.1,,,,9.0,
1591077600,"Вторник, 2 июня
06:00 (UTC)",,5.0,,,,,,,,,,,53.8,,,,северный,,,,2,,,,,,,,,,,,20.0,751,,,12.3,,,,4.0,
1591088400,"Вторник, 2 июня
09:00 (UTC)",,6.0,,,,,,,,,,,44.9,,,,северо-восточный,,,,2,,,,,,,,,,,,20.0,751,,,14.3,,,,7.0,
1591099200,"Вторник, 2 июня
12:00 (UTC)",,6.0,,,,,,,,,,,35.9,,,,восточный,,,,2,,,,,,,,,,,,20.0,751,,,16.0,,,,7.0,
1591110000,"Вторник, 2 июня
15:00 (UTC)",,5.0,,,,,,,,,,,35.8,,,,северо-восточный,,,16.6,1,,,,0,,,,,,,,20.0,751,,,15.7,,,,9.0,
1591120800,"Вторник, 2 июня
18:00 (UTC)",,4.0,,,,,,,,,,,70.9,,,,,,,,0,,,,,,,,,,,,20.0,751,,,9.2,,,,1.0,
1591131600,"Вторник, 2 июня
21:00 (UTC)",,1.0,,,,,,,,,,,87.0,,,,,,,,0,,,,,,,,,,,,20.0,751,,,5.8,,,,0.0,
1591142400,"Среда, 3 июня
00:00 (UTC)",,2.0,,,,,,,,,,,88.1,,,,,,,,0,,,,,,,,,,,,20.0,751,,,5.2,,,,0.0,
1591153200,"Среда, 3 июня
03:00 (UTC)",,3.0,,,,,,,,,,,62.1,,,4.9,восточный,,,,2,,,,0,,,0,,,,,20.0,752,,,11.6,,,,0.0,
1591164000,"Среда, 3 июня
06:00 (UTC)",,5.0,,,,,,,,,,,41.7,,,,северо-восточный,,,,2,,,,,,,,,,,,20.0,752,,,15.9,,,,2.0,
1591174800,"Среда, 3 июня
09:00 (UTC)",,6.0,,,,,,,,,,,28.3,,,,восточный,,,,2,,,,,,,,,,,,20.0,751,,,17.9,,,,2.0,
1591185600,"Среда, 3 июня
12:00 (UTC)",,7.0,,,,,,,,,,,28.1,,,,юго-восточный,,,,1,,,,,,,,,,,,20.0,751,,,19.1,,,,7.0,
1591196400,"Среда, 3 июня
15:00 (UTC)",,5.0,,,,,,,,,,,31.2,,,,юго-восточный,,,19.4,1,,,,0,,,,,,,,20.0,750,,,19.0,,,,2.0,
1591207200,"Среда, 3 июня
18:00 (UTC)",,5.0,,,,,,,,,,,53.5,,,,восточный,,,,1,,,,,,,,,,,,20.0,750,,,12.6,,,,2.0,
1591218000,"Среда, 3 июня
21:00 (UTC)",,2.0,,,,,,,,,,,60.3,,,,восточный,,,,1,,,,,,,,,,,,20.0,750,,,11.1,,,,0.0,
1591228800,"Четверг, 4 июня
00:00 (UTC)",,3.0,,,,,,,,,,,64.4,,,,восточный,,,,2,,,,,,,,,,,,20.0,750,,,9.9,,,,2.0,
1591239600,"Четверг, 4 июня
03:00 (UTC)",,5.0,,,,,,,,,,,55.5,,,9.8,восточный,,,,2,,,,0,,,0,,,,,20.0,750,,,13.2,,,,4.0,
1591250400,"Четверг, 4 июня
06:00 (UTC)",,10.0,,,,,,,,,,,33.3,,,,восточный,,,,5,,,,,,,,,,,,20.0,749,,,18.2,,,,4.0,
1591261200,"Четверг, 4 июня
09:00 (UTC)",,10.0,,,,,,,,,,,25.2,,,,восточный,,,,5,,,,,,,,,,,,20.0,749,,,20.1,,,,7.0,
1591272000,"Четверг, 4 июня
12:00 (UTC)",,10.0,,,,,,,,,,,25.8,,,,восточный,,,,4,,,,,,,,,,,,20.0,748,,,22.0,,,,10.0,
1591282800,"Четверг, 4 июня
15:00 (UTC)",,10.0,,,,,,,,,,,30.1,,,,восточный,,,22.3,3,,,,0,,,,,,,,20.0,747,,,20.4,,,,9.0,
1591293600,"Четверг, 4 июня
18:00 (UTC)",,7.0,,,,,,,,,,,36.5,,,,восточный,,,,4,,,,,,,,,,,,20.0,746,,,18.8,,,,10.0,
1591304400,"Четверг, 4 июня
21:00 (UTC)",,7.0,,,,,,,,,,,47.7,,,,юго-восточный,,,,3,,,,,,,,,,,,20.0,746,,,17.5,,,,10.0,
1591315200,"Пятница, 5 июня
00:00 (UTC)",,8.0,,,,,,,,,,,87.9,,,,юго-восточный,,,,3,,,,,,,,,,,,4.0,746,True,,15.6,,,,10.0,
1591326000,"Пятница, 5 июня
03:00 (UTC)",,7.0,,,,,,,,,,,89.6,,,15.5,юго-западный,,,,1,,,,2,,,2,,True,,,20.0,747,,,16.0,,,,10.0,
1591336800,"Пятница, 5 июня
06:00 (UTC)",,5.0,,,,,,,,,,,73.7,,,,юго-западный,,,,2,,,,,,,,,,,,20.0,748,,,18.8,,,True,9.0,
1591347600,"Пятница, 5 июня
09:00 (UTC)",,6.0,,,,,,,,,,,56.3,,,,юго-западный,,,,2,,,,,,,,,,,,20.0,749,,,22.0,,,,7.0,
1591358400,"Пятница, 5 июня
12:00 (UTC)",,5.0,,,,,,,,,,,45.1,,,,юго-западный,,,,1,,,,,,,,,,,,20.0,749,,,22.7,,,,7.0,
1591369200,"Пятница, 5 июня
15:00 (UTC)",,5.0,,,,,,,,,,,41.0,,,,юго-восточный,,,24.7,2,,,,0,,,,,,,,20.0,748,,,23.6,,,,7.0,
1591380000,"Пятница, 5 июня
18:00 (UTC)",,3.0,,,,,,,,,,,57.5,,,,юго-восточный,,,,2,,,,,,,,,,,,20.0,748,,,19.4,,,,2.0,
1591390800,"Пятница, 5 июня
21:00 (UTC)",,3.0,,,,,,,,,,,80.3,,,,восточный,,,,2,,,,,,,,,,,,20.0,749,,,16.3,,,,2.0,
1591401600,"Суббота, 6 июня
00:00 (UTC)",,4.0,,,,,,,,,,,84.5,,,,восточный,,,,2,,,,,,,,,,,,20.0,748,,,15.2,,,,7.0,
1591412400,"Суббота, 6 июня
03:00 (UTC)",,5.0,,,,,,,,,,,77.1,,,15.1,юго-восточный,,,,2,,,,0,,,0,,,,,20.0,749,,,15.6,,,,10.0,
1591423200,"Суббота, 6 июня
06:00 (UTC)",,6.0,,,,,,,,,,,68.2,,,,южный,,,,1,,,,,,,,,,,,20.0,749,,,19.2,,,,9.0,
1591434000,"Суббота, 6 июня
09:00 (UTC)",,5.0,,,,,,,,,,,64.0,,,,южный,,,,2,,,,,,,,,,,,20.0,749,,,19.9,,,,10.0,
1591444800,"Суббота, 6 июня
12:00 (UTC)",,6.0,,,,True,,,,,,,62.9,,,,юго-восточный,,,,3,,,,,,,,,,,,20.0,748,,,20.5,,,,10.0,
1591455600,"Суббота, 6 июня
15:00 (UTC)",,8.0,,,,,,,,,,,61.6,,,,юго-восточный,,,20.7,4,,,,0.1,,,,,,,,20.0,748,,,18.4,,,True,10.0,
1591466400,"Суббота, 6 июня
18:00 (UTC)",,9.0,,,,,,,,,,,70.7,,,,юго-восточный,,,,3,,,,,,,,,,,,20.0,749,,,15.5,,,True,9.0,
1591477200,"Суббота, 6 июня
21:00 (UTC)",,7.0,,,,,,,,,,,81.6,,,,юго-восточный,,,,2,,,,,,,,,,,,20.0,749,,,14.1,,,,9.0,
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,5.0,,,,,,,,,,,83.1,,,,восточный,,,,1,,,,,,,,,,,,20.0,749,,,13.2,,,,9.0,
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,4.0,,,,,,,,,,,76.9,,,13.0,юго-восточный,,,,2,,,,менее 0.1,,,0.1,,,,,20.0,750,,,14.5,,,,9.0,
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,4.0,,,,,,,,,,,60.3,,,,восточный,,,,2,,,,,,,,,,,,20.0,750,,,18.0,,,,7.0,
1591520400,"Воскресенье, 7 июня
09:00 (UTC)",,7.0,,,,,,,,,,,51.5,,,,восточный,,,,2,,,,,,,,,,,,20.0,750,,,20.2,,,,9.0,
1591531200,"Воскресенье, 7 июня
12:00 (UTC)",,6.0,,,,,,,,,,,58.2,,,,юго-западный,,,,2,,,,,,,,,,,,20.0,750,,,20.9,,,,7.0,
1591542000,"Воскресенье, 7 июня
15:00 (UTC)",,4.0,,,,,,,,,,,47.8,,,,южный,,,22.7,1,,,,менее 0.1,,,,,,,,20.0,749,,,21.3,,,True,7.0,
1591552800,"Воскресенье, 7 июня
18:00 (UTC)",,10.0,,,,,,,,,,,89.5,,,,,,,,0,,,,,,,,,,,,20.0,750,,,14.7,,,True,6.0,
1591563600,"Воскресенье, 7 июня
21:00 (UTC)",,3.0,,,,,,,,,,,91.2,,,,восточный,,,,1,,,,,,,,,,,,20.0,751,,,12.9,,,,2.0,
1591574400,"Понедельник, 8 июня
00:00 (UTC)",,2.0,,,,,,,,,,,91.7,,,,,,,,0,,,,,,,,True,,,,2.0,751,,,10.4,,,,0.0,
1591585200,"Понедельник, 8 июня
03:00 (UTC)",,3.0,,,,,,,,,,,76.2,,,10.2,восточный,,,,1,,,,5,,,5,,,,,20.0,752,,,16.4,,,,1.0,
1591596000,"Понедельник, 8 июня
06:00 (UTC)",,5.0,,,,,,,,,,,59.8,,,,северо-восточный,,,,2,,,,,,,,,,,,20.0,752,,,20.7,,,,1.0,
