timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневой дождь со снегом слабый,"Высота снежного покрова, см",Ливневый дождь со снегом,Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км",Дождь (незамерзающий) умеренный непрерывный,"Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1589576400,"Пятница, 15 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,741,,,8.4,,98.0,,,True,западный,9.0,,,,4
1589587200,"Суббота, 16 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,742,,,7.3,,93.4,,,True,северо-западный,10.0,,,,4
1589598000,"Суббота, 16 мая
03:00 (UTC)",,,,,2,,,,,9,,,10.0,,744,,,6.3,,83.4,,5.9,,западный,6.0,,,,3
1589608800,"Суббота, 16 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,745,,,10.0,,58.3,,,,западный,2.0,,,,3
1589619600,"Суббота, 16 мая
09:00 (UTC)",,,10.0,,,,,,,,,,10.0,,745,,,12.6,,38.1,,,,западный,5.0,,,,3
1589630400,"Суббота, 16 мая
12:00 (UTC)",,,10.0,,,,,,,,,,10.0,,746,,,13.4,,33.4,,,,западный,5.0,,,,4
1589641200,"Суббота, 16 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,746,,,13.1,,30.0,,,,западный,5.0,,,14.0,4
1589652000,"Суббота, 16 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,8.1,,60.8,,,,,0.0,,,,0
1589662800,"Суббота, 16 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,5.1,,79.2,,,,,7.0,,,,0
1589673600,"Воскресенье, 17 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,7.0,,69.0,,,,западный,7.0,,,,1
1589684400,"Воскресенье, 17 мая
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,748,,,9.3,,64.7,,5.0,True,юго-западный,2.0,,,,1
1589695200,"Воскресенье, 17 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,13.1,,49.6,,,,юго-западный,1.0,,,,2
1589706000,"Воскресенье, 17 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,15.2,,42.1,,,,юго-западный,7.0,,,,2
1589716800,"Воскресенье, 17 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,15.7,,33.1,,,,юго-западный,6.0,,,,3
1589727600,"Воскресенье, 17 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,747,,,13.6,,46.3,,,,западный,9.0,,,16.7,2
1589738400,"Воскресенье, 17 мая
18:00 (UTC)",True,,,,,,,,,,,,10.0,,747,,,10.3,,74.1,,,,юго-восточный,7.0,,,,1
1589749200,"Воскресенье, 17 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,7.8,,83.0,,,,южный,6.0,,,,1
1589760000,"Понедельник, 18 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,9.2,,69.4,,,,юго-западный,9.0,,,,1
1589770800,"Понедельник, 18 мая
03:00 (UTC)",,,,,0.3,,,,,0.3,,,10.0,,747,,,10.2,,69.1,,6.8,,юго-восточный,7.0,,,,1
1589781600,"Понедельник, 18 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,14.6,,50.0,,,,южный,7.0,,,,2
1589792400,"Понедельник, 18 мая
09:00 (UTC)",,,,,,,,,True,,,,10.0,,745,,,10.4,,77.3,,,,западный,9.0,,,,3
1589803200,"Понедельник, 18 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,744,,,14.7,,50.7,,,True,южный,7.0,,,,2
1589814000,"Понедельник, 18 мая
15:00 (UTC)",,,,,2,,,,,,,,10.0,,744,,,14.1,,53.9,,,True,южный,7.0,,,15.7,1
1589824800,"Понедельник, 18 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,744,,,10.0,,79.4,,,,восточный,6.0,,,,1
1589835600,"Понедельник, 18 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,743,,,8.8,,91.5,,,,восточный,6.0,,,,1
1589846400,"Вторник, 19 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,742,,,8.0,,92.8,,,,восточный,4.0,,,,1
1589857200,"Вторник, 19 мая
03:00 (UTC)",,,,,0,,,,,2,,,10.0,,741,,,11.3,,74.3,,8.0,,юго-восточный,6.0,,,,2
1589868000,"Вторник, 19 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,740,,,13.9,,66.2,,,,юго-восточный,7.0,,,,2
1589878800,"Вторник, 19 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,740,,,11.0,,79.0,,,,западный,10.0,,,,3
1589889600,"Вторник, 19 мая
12:00 (UTC)",,,10.0,,,,,,,,,,10.0,,740,,,9.5,,78.2,,,,западный,10.0,,,,4
1589900400,"Вторник, 19 мая
15:00 (UTC)",,,,True,3,,,,,,,,10.0,,741,,,6.9,,98.0,,,,северо-западный,10.0,,,15.9,3
1589911200,"Вторник, 19 мая
18:00 (UTC)",,,,True,,,,,,,,,10.0,,741,,,6.3,,98.0,,,,северо-западный,10.0,,,,3
1589922000,"Вторник, 19 мая
21:00 (UTC)",,,10.0,True,,,,,,,,,10.0,,740,,,6.2,,98.0,,,,северо-западный,10.0,,,,4
1589932800,"Среда, 20 мая
00:00 (UTC)",,,,,,,,,,,,,,,740,,,5.4,,97.3,,,,северо-западный,,,,,3
1589943600,"Среда, 20 мая
03:00 (UTC)",,,,True,7,,,,,10,,,10.0,,740,,,5.0,,99.3,,4.9,,северо-западный,10.0,,,,3
1589954400,"Среда, 20 мая
06:00 (UTC)",,,,True,,,,,,,,,10.0,,740,,,5.6,,100.0,,,,западный,10.0,,,,3
1589965200,"Среда, 20 мая
09:00 (UTC)",,,,True,,,,,,,,,10.0,,741,,,6.2,,96.6,,,,северо-западный,10.0,,,,4
1589976000,"Среда, 20 мая
12:00 (UTC)",,,10.0,,,,,,,,,,10.0,,741,,,8.6,,76.5,,,True,западный,9.0,,,,4
1589986800,"Среда, 20 мая
15:00 (UTC)",,,,,3,,,,,,,,10.0,,742,,,8.8,,75.4,,,,северо-западный,10.0,,,8.9,3
1589997600,"Среда, 20 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,743,,,8.1,,80.2,,,,северо-западный,9.0,,,,1
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,743,,,8.1,,85.4,,,,северо-западный,10.0,,,,1
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,743,,,7.4,,98.0,,,,,10.0,,,,0
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,,,0,,,,,3,,,10.0,,744,,,7.8,,89.0,,7.2,,западный,9.0,,,,2
1590040800,"Четверг, 21 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,744,,,11.9,,61.3,,,,западный,0.0,,,,2
1590051600,"Четверг, 21 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,744,,,14.4,,32.2,,,,западный,2.0,,,,3
1590062400,"Четверг, 21 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,744,,,16.0,,26.8,,,,западный,1.0,,,,3
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,744,,,16.1,,29.7,,,,северный,1.0,,,16.5,1
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,744,,,12.1,,49.7,,,,восточный,6.0,,,,1
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,744,,,10.9,,70.7,,,,западный,9.0,,,,1
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,743,,,9.3,,93.5,,,True,,10.0,,,,0
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,,,0.5,,,,,0.5,,,10.0,,744,,,6.4,,88.3,,6.3,,западный,10.0,,,,4
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,11.0,,,,,,,,,,10.0,,745,,,10.1,,59.2,,,,западный,6.0,,,,4
1590138000,"Пятница, 22 мая
09:00 (UTC)",,,10.0,,,,,,,,,,10.0,,746,,,12.7,,44.8,,,,юго-западный,7.0,,,,4
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,15.2,,33.4,,,,западный,9.0,,,,4
1590159600,"Пятница, 22 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,747,,,13.7,,41.6,,,,юго-западный,7.0,,,15.4,3
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,9.7,,62.1,,,,западный,0.0,,,,3
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,,,,,,,,,,,,,749,,,6.8,,80.6,,,,западный,,,,,1
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,3.8,,97.9,,,,,0.0,,,,0
1590202800,"Суббота, 23 мая
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,751,,,7.8,,80.2,,3.4,,северо-западный,5.0,,,,1
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,12.7,,55.4,,,,северный,5.0,,,,1
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,15.5,,43.4,,,,северо-восточный,7.0,,,,2
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,16.6,,42.2,,,,восточный,7.0,,,,2
1590246000,"Суббота, 23 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,751,,,16.1,,43.8,,,,северо-восточный,7.0,,,17.3,2
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,13.6,,56.0,,,,северо-восточный,10.0,,,,2
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,11.5,,61.7,,,,северо-восточный,10.0,,,,2
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,True,,,,,,,,,10.0,,747,,,10.2,,77.3,,,,северо-восточный,10.0,,,,1
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,,,2,,,,,2,,,10.0,,746,,,10.6,,81.7,,9.5,True,восточный,10.0,,,,2
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,15.7,,62.2,,,True,южный,7.0,,,,1
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,14.5,,67.2,,,,западный,10.0,,,,3
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,10.0,,,,,,,,,,10.0,,752,,,13.8,,60.9,,,,западный,10.0,,,,4
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,754,,,13.7,,58.8,,,,западный,7.0,,,16.5,3
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,755,,,11.4,,64.7,,,,юго-западный,7.0,,,,2
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,756,,,8.8,,81.4,,,,восточный,7.0,,,,1
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,756,,,9.0,,83.2,,,,юго-восточный,10.0,,,,1
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,756,,,9.8,,81.0,,8.8,,юго-восточный,9.0,,,,1
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,757,,,14.2,,50.6,,,,западный,2.0,,,,4
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,757,,,17.1,,39.7,,,,западный,7.0,,,,4
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,10.0,,,,,,,,,,10.0,,758,,,17.1,,37.5,,,,северо-западный,7.0,,,,4
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,759,,,16.7,,39.3,,,,западный,0.0,,,18.0,3
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,760,,,11.7,,65.3,,,,,0.0,,,,0
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,761,,,9.4,,76.1,,,,,0.0,,,,0
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,761,,,9.0,,76.0,,,,восточный,0.0,,,,1
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,762,,,12.0,,69.5,,7.6,,юго-восточный,9.0,,,,1
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,762,,,17.8,,45.6,,,,восточный,6.0,,,,1
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,762,,,19.1,,37.8,,,,восточный,7.0,,,,2
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,760,,,20.0,,35.0,,,,северо-восточный,9.0,,,,4
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,759,,,18.7,,39.3,,,,северо-восточный,9.0,,,20.3,2
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,757,,,16.3,,48.8,,,,северо-восточный,10.0,,,,2
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,754,,,14.0,,58.5,,,,северо-восточный,10.0,,,,4
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,11.6,,85.2,,,,северо-восточный,10.0,True,,,3
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,4,,,,,4,,,10.0,,751,,,14.3,,76.9,,11.3,,северный,0.0,,,,1
1590559200,"Среда, 27 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,20.0,,58.8,,,,юго-восточный,0.0,,,,2
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,20.3,,57.7,,,,западный,6.0,,,,3
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,19.6,,59.1,,,,западный,0.0,,,,5
1590591600,"Среда, 27 мая
15:00 (UTC)",,,10.0,,0,,,,,,,,10.0,,754,,,16.4,,65.4,,,,западный,7.0,,,21.1,4
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,755,,,13.1,,74.6,,,,северо-западный,6.0,,,,3
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,755,,,11.5,,81.8,,,,северо-западный,0.0,,,,2
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,756,,,9.4,,98.0,,,,западный,0.0,,,,1
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,757,,,12.2,,84.7,,9.4,,северо-западный,2.0,,,,1
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,757,,,16.2,,57.5,,,,северный,2.0,,,,1
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,757,,,18.3,,48.6,,,,западный,5.0,,,,3
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,757,,,20.2,,40.9,,,,западный,4.0,,,,2
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,756,,,20.3,,38.5,,,,западный,0.0,,,20.6,2
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,757,,,15.5,,60.5,,,,,0.0,,,,0
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,757,,,11.8,,79.7,,,,,0.0,,,,0
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,757,,,10.5,,89.8,,,,,0.0,,,,0
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,758,,,16.8,,63.8,,10.0,,,0.0,,,,0
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,757,,,21.5,,38.8,,,,восточный,0.0,,,,1
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,756,,,22.7,,34.6,,,,западный,0.0,,,,1
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,755,,,23.4,,31.8,,,,юго-восточный,0.0,,,,2
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,754,,,23.1,,33.1,,,,юго-восточный,0.0,,,23.7,1
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,754,,,19.2,,41.7,,,,восточный,0.0,,,,1
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,754,,,17.2,,46.7,,,,восточный,0.0,,,,1
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,753,,,15.1,,58.0,,,,восточный,0.0,,,,1
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,753,,,17.8,,56.0,,14.2,,юго-восточный,0.0,,,,1
1590818400,"Суббота, 30 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,22.2,,41.5,,,,южный,2.0,,,,2
1590829200,"Суббота, 30 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,24.6,,31.3,,,,восточный,5.0,,,,2
1590840000,"Суббота, 30 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,26.0,,28.6,,,,юго-восточный,5.0,,,,2
1590850800,"Суббота, 30 мая
15:00 (UTC)",,,,,0,,,,,,,,10.0,,748,,,25.7,,30.1,,,,юго-восточный,0.0,,,26.5,1
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,22.3,,40.9,,,,восточный,7.0,,,,1
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,19.9,,50.8,,,,восточный,10.0,,,,2
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,,745,,,17.7,,61.9,,,,,10.0,,,,0
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,744,,,16.3,,77.2,,16.2,,юго-восточный,10.0,,,,1
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,,,,,,,True,,,,10.0,,743,,,15.4,,94.4,,14.6,,северный,10.0,,,,1
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,,743,,,20.4,,70.2,,,,северо-западный,7.0,,,,1
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,,743,,,15.6,,100.0,,,,восточный,10.0,True,,,1
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,,,,18,,,,,,,,10.0,,743,,,14.3,,98.1,,,,северный,10.0,,,20.4,2
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,,743,,,12.3,,100.0,,,,восточный,9.0,True,,,2
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,,744,,,11.5,,100.0,,,,северный,10.0,,,,2
1590969600,"Понедельник, 1 июня
00:00 (UTC)",True,,,,,,,,,,,,10.0,,744,,,10.5,,100.0,,,,северный,10.0,,,,1
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,,,4,,,,,22,,,10.0,,745,,,9.2,,100.0,,9.0,True,северный,10.0,,,,1
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,10.2,,96.7,,,True,северный,10.0,,,,1
1591002000,"Понедельник, 1 июня
09:00 (UTC)",True,,,,,,,,,,,,10.0,,748,,,10.2,,88.0,,,,северный,10.0,,,,2
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,11.1,,77.9,,,True,северо-восточный,10.0,,,,2
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,,,0.3,,,,,,,,10.0,,751,,,11.2,,72.3,,,,восточный,10.0,,,11.5,2
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,9.6,,80.4,,,,северо-восточный,2.0,,,,2
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,8.5,,87.2,,,,северо-восточный,2.0,,,,1
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,7.1,,92.1,,,,,1.0,,,,0
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,,,0,,,,,0.3,,,10.0,,753,,,10.0,,77.8,,7.1,,восточный,2.0,,,,2
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,,,,,,,,,,,10.0,,753,,,13.3,,60.0,,,,восточный,7.0,,,,3
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,,,,,,,,,,,10.0,,753,,,14.8,,54.4,,,,восточный,7.0,,,,3
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,,,,,,,,,,,10.0,,753,,,14.8,,57.9,,,,восточный,10.0,,,,3
1591110000,"Вторник, 2 июня
15:00 (UTC)",,,,,0,,,,,,,,10.0,,753,,,14.0,,63.6,,,,восточный,6.0,,,15.1,4
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,,,,,,10.0,,753,,,12.6,,68.2,,,,восточный,10.0,,,,3
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,,,,10.0,,753,,,11.4,,74.3,,,,восточный,7.0,,,,2
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,,,,,,,,,,10.0,,753,,,10.2,,81.6,,,,восточный,5.0,,,,3
1591153200,"Среда, 3 июня
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,753,,,12.3,,73.5,,10.1,,восточный,7.0,,,,3
1591164000,"Среда, 3 июня
06:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,15.3,,60.9,,,,восточный,9.0,,,,4
1591174800,"Среда, 3 июня
09:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,18.0,,51.6,,,,восточный,9.0,,,,3
1591185600,"Среда, 3 июня
12:00 (UTC)",,,10.0,,,,,,,,,,10.0,,752,,,18.0,,54.9,,,,восточный,9.0,,,,3
1591196400,"Среда, 3 июня
15:00 (UTC)",,,10.0,,0,,,,,,,,10.0,,751,,,17.3,,57.7,,,,восточный,10.0,,,18.5,3
1591207200,"Среда, 3 июня
18:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,16.6,,56.0,,,,восточный,9.0,,,,3
1591218000,"Среда, 3 июня
21:00 (UTC)",,,,True,,,,,,,,,10.0,,750,,,14.2,,71.4,,,,восточный,10.0,,,,3
1591228800,"Четверг, 4 июня
00:00 (UTC)",True,,,,,,,,,,,,10.0,,750,,,14.0,,72.8,,,,восточный,10.0,,,,4
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,,,0.5,,,,,0.5,,,10.0,,749,,,14.3,,68.6,,13.6,True,восточный,10.0,,,,3
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,11.0,,,,,,True,,,,10.0,,749,,,15.1,,71.1,,,,восточный,10.0,,,,3
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,12.0,,,,,,,,,True,10.0,,748,,,18.6,,56.2,,,,восточный,10.0,,,,4
1591272000,"Четверг, 4 июня
12:00 (UTC)",,,12.0,,,,,,,,True,,10.0,,748,,,18.7,,62.9,,,,восточный,10.0,,,,4
1591282800,"Четверг, 4 июня
15:00 (UTC)",,,,,4,,,,,,True,,10.0,,748,,,16.7,,100.0,,,,восточный,10.0,,,20.8,3
1591293600,"Четверг, 4 июня
18:00 (UTC)",,,11.0,,,,,,,,True,,4.0,,748,,,16.3,,100.0,,,,южный,10.0,,,,1
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,16.3,,100.0,,,True,южный,10.0,,,,1
1591315200,"Пятница, 5 июня
00:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,16.0,,100.0,,,True,,10.0,,,,0
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,,,14,,,,,18,,,10.0,,751,,,16.5,,99.4,,16.0,,юго-восточный,10.0,,,,1
1591336800,"Пятница, 5 июня
06:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,19.4,,82.8,,,,южный,7.0,,,,1
1591347600,"Пятница, 5 июня
09:00 (UTC)",,,,,,,,,,,,,10.0,,753,,,21.4,,73.2,,,,южный,7.0,,,,2
1591358400,"Пятница, 5 июня
12:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,23.6,,53.8,,,,юго-восточный,7.0,,,,2
1591369200,"Пятница, 5 июня
15:00 (UTC)",,,,,0.3,,,,,,,,10.0,,751,,,22.4,,61.7,,,,юго-восточный,7.0,True,,24.4,2
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,19.9,,78.7,,,,юго-западный,10.0,True,,,2
1591390800,"Пятница, 5 июня
21:00 (UTC)",,,,,,,,,,,True,,10.0,,751,,,16.4,,96.9,,,,восточный,10.0,,,,2
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,True,,,,,,,,,10.0,,752,,,15.6,,100.0,,,,восточный,10.0,,,,1
1591412400,"Суббота, 6 июня
03:00 (UTC)",,,,True,11,,,,,11,,,10.0,,751,,,14.6,,100.0,,14.6,,восточный,10.0,,,,2
1591423200,"Суббота, 6 июня
06:00 (UTC)",,,,True,,,,,,,,,10.0,,751,,,14.4,,100.0,,,,юго-восточный,10.0,,,,2
1591434000,"Суббота, 6 июня
09:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,17.8,,86.4,,,True,южный,10.0,,,,1
1591444800,"Суббота, 6 июня
12:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,16.6,,92.6,,,,юго-восточный,10.0,,,,3
1591455600,"Суббота, 6 июня
15:00 (UTC)",,,,,0.8,,,,,,,,10.0,,751,,,16.6,,77.2,,,,юго-восточный,9.0,,,17.9,2
1591466400,"Суббота, 6 июня
18:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,14.8,,95.6,,,,восточный,9.0,,,,2
1591477200,"Суббота, 6 июня
21:00 (UTC)",,,,,,,,,,,True,,10.0,,751,,,12.8,,100.0,,,,восточный,10.0,,,,2
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,12.4,,100.0,,,,,10.0,,,,0
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,,,,19,,,,,19,,,10.0,,752,,,13.3,,100.0,,12.4,,,10.0,,,,0
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,17.0,,82.0,,,,северо-западный,7.0,,,,2
