timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Морось (незамерзающая). Снежные зерна,Ливневый дождь со снегом,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,"Пыльная (песчаная) буря, слабая или умеренная",Пыльная/песчаная буря,"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Пыльная (песчаная) буря, слабая или умеренная началась (усилилась)",Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,,,71.0,,юго-западный,,,4.0,,,,,,,,,,10.0,742,4.3,,,0.0
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,,,,,,,,78.9,,западный,,,4.0,,,,,,,,,,10.0,742,2.7,,,1.0
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,,,,,,,,,,84.9,1.2,западный,,,3.0,,,0,,0,,,,,10.0,743,3.5,,,1.0
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,,,,,,,,,,55.1,,западный,,,4.0,,,,,,,,,,10.0,743,10.0,,,4.0
1590138000,"Пятница, 22 мая
09:00 (UTC)",,,,,,,,,,,,36.4,,западный,,,3.0,,,,,,,,,,10.0,743,13.2,,,7.0
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,,,,,,,,,36.7,,западный,,,2.0,,,,,,,,,,10.0,743,14.2,,,7.0
1590159600,"Пятница, 22 мая
15:00 (UTC)",,,,,,,,,,,,53.2,,северный,,15.4,3.0,,,менее 0.1,,,True,,,,10.0,743,11.8,,,9.0
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,,,,,,,,,,67.0,,западный,,,3.0,,,,,,,,,,10.0,744,9.0,,True,7.0
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,,,,,,,,,,78.1,,северо-западный,,,2.0,,,,,,,,,,10.0,744,5.2,,,2.0
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,,,,,,,,,,91.9,,северо-западный,,,1.0,,,,,,,,,,10.0,744,4.0,,,7.0
1590202800,"Суббота, 23 мая
03:00 (UTC)",,,,,,,,,,,,75.8,2.5,западный,,,2.0,,,менее 0.1,,менее 0.1,,,,,10.0,745,4.6,,,9.0
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,,,,,,,,,,75.0,,северный,,,1.0,,,,,,,,,,10.0,745,9.2,,,9.0
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,,,,,,,,,59.5,,юго-западный,,,2.0,,,,,,,,,,10.0,746,13.1,,True,7.0
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,,,,,,,,,,53.4,,северо-западный,,,5.0,,,,,,,,,,10.0,745,15.2,,True,7.0
1590246000,"Суббота, 23 мая
15:00 (UTC)",,11.0,,,,,,,,,,83.4,,восточный,True,15.3,5.0,,,0.8,,,,,,,10.0,746,10.5,,,9.0
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,,,,,,,,,,84.9,,северный,,,3.0,,,,,,,,,,10.0,747,9.0,,True,7.0
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,,,,,,,,,,90.2,,северный,,,1.0,,,,,,,,,,10.0,746,7.9,,,9.0
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,,,,,,,,,92.8,,северо-западный,,,1.0,,,,,,,,,,10.0,746,8.1,,,9.0
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,,,,,,,,,,92.7,6.8,северо-западный,,,1.0,,,0,,0.8,,,,,10.0,747,7.4,,,9.0
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,,,,,,,,,,89.1,,западный,,,2.0,,,,,,,,,,10.0,747,9.1,,,9.0
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,,,,,66.0,,северный,,,3.0,,,,,,,,,,10.0,748,13.1,,,7.0
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,,,,,,,,True,47.6,,западный,,,2.0,,,,,,,,,,10.0,748,13.4,,,9.0
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,,,,,,,,,,75.3,,западный,,14.5,5.0,,,5,,,,,,,10.0,749,11.0,,True,7.0
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,,,,,87.1,,южный,,,4.0,,,,,,,,,,10.0,749,7.2,,True,7.0
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,,,96.6,,южный,,,2.0,,,,,,,True,,,6.0,750,4.7,,,4.0
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,,,,,95.2,,южный,,,2.0,,,,,,,,,,10.0,751,4.3,,,2.0
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,,,,,,,,94.0,3.0,юго-западный,,,1.0,,,0,,5,,,,,10.0,751,6.7,,,2.0
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,,,,,,,,,,59.7,,южный,,,3.0,,,,,,,,,,10.0,752,13.8,,,4.0
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,,,,,,49.2,,юго-западный,,,3.0,,,,,,,,,,10.0,753,15.3,,,7.0
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,,,,,,,,,39.6,,юго-западный,,,2.0,,,,,,,,,,10.0,753,16.6,,,7.0
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,,,,,,,,,39.2,,юго-восточный,,18.5,2.0,,,0,,,,,,,10.0,753,17.3,,,7.0
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,,,,,60.8,,северо-восточный,,,2.0,,,,,,,,,,10.0,753,13.1,,,6.0
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,,,,,,73.1,,северо-восточный,,,3.0,,,,,,,,,,10.0,754,9.9,,,7.0
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,,,,,,,,,79.4,,северо-восточный,,,3.0,,,,,,,,,,10.0,754,10.0,,,9.0
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,,,,,,,,,,89.8,9.7,западный,,,1.0,,,1,,1,True,,,,10.0,754,10.4,,,10.0
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,,,,,,,,,,92.3,,северный,,,2.0,,,,,,True,,,,10.0,754,11.0,,,10.0
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,,,,,,,,,,72.3,,северо-западный,,,6.0,,,,,,,,,,10.0,753,13.8,,True,9.0
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,,,,,,,,,,60.7,,северо-восточный,,,5.0,,,,,,,,,,10.0,752,16.1,,True,9.0
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,,,,,,,,,,92.4,,восточный,,16.5,4.0,,,0.8,,,True,,,,10.0,752,11.8,,,9.0
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,,,,,,,,,,94.8,,северо-восточный,,,3.0,,,,,,True,,,,10.0,752,11.0,,,10.0
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,,,,,,,94.8,,северный,,,2.0,,,,,,True,,,,10.0,752,9.7,,,10.0
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,,,,,96.0,,северо-восточный,,,4.0,,,,,,True,,,,5.0,751,9.4,,,10.0
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,,,,,,,,94.8,8.2,северный,,,3.0,,,3,,4,,,,,10.0,751,9.5,,True,9.0
1590559200,"Среда, 27 мая
06:00 (UTC)",,,,,,,,,,,,89.9,,северный,,,3.0,,,,,,,,,,10.0,752,11.0,,True,10.0
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,,,70.1,,северный,,,3.0,,,,,,,,,,10.0,752,14.8,,,7.0
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,,,,,,,,61.3,,северо-западный,,,2.0,,,,,,,,,,10.0,752,15.3,,,10.0
1590591600,"Среда, 27 мая
15:00 (UTC)",,,,,,,,,,,,66.5,,северо-восточный,,15.4,1.0,,,0,,,,,,,10.0,752,15.2,,,10.0
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,,,,,74.3,,,,,0.0,,,,,,,,,,10.0,752,14.1,,,9.0
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,,,,,северо-восточный,,,1.0,,,,,,,,,,,753,,,,
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,,,,,96.0,,северо-западный,,,1.0,,,,,,,True,,,6.0,753,9.0,,,2.0
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,,,,,,,,,,94.8,8.0,северный,,,1.0,,,0,,0,,,,,10.0,752,9.8,,,6.0
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,,,,,,,,,,59.1,,восточный,,,4.0,,,,,,,,,,10.0,752,16.5,,,7.0
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,,,,,75.5,,восточный,,,4.0,,,,,,True,,,,10.0,752,15.4,,,10.0
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,,,,,,,,48.6,,восточный,,,6.0,,,,,,,,,,10.0,750,19.5,,True,7.0
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,,,True,,,,,62.5,,северо-восточный,,19.5,5.0,,,менее 0.1,,,,,,,10.0,750,18.7,,,9.0
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,,,,,75.9,,северо-восточный,,,5.0,,,,,,,,,,10.0,748,14.8,,True,4.0
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,,,78.0,,северо-восточный,,,6.0,,,,,,,,,,10.0,748,14.6,,,6.0
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,,,,True,88.3,,северо-восточный,,,3.0,,,,,,,,,,10.0,747,13.6,,,7.0
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,,,,,,,,80.7,13.3,восточный,,,5.0,,,менее 0.1,,менее 0.1,,,,,10.0,747,15.7,,True,9.0
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,,,,,,,,,63.6,,юго-восточный,,,7.0,,,,,,,,,,10.0,746,19.7,,True,4.0
1590742800,"Пятница, 29 мая
09:00 (UTC)",,11.0,,,,,,,,,,45.9,,юго-восточный,,,7.0,,,,,,,,,,10.0,745,24.6,,,7.0
1590753600,"Пятница, 29 мая
12:00 (UTC)",,13.0,,,,,,,,,,37.9,,юго-восточный,,,8.0,,,,,,,,,,10.0,744,27.4,,,7.0
1590764400,"Пятница, 29 мая
15:00 (UTC)",,12.0,,,,,,,,,,36.6,,восточный,,27.5,7.0,,,0,,,,,,,10.0,743,26.4,,,9.0
1590775200,"Пятница, 29 мая
18:00 (UTC)",,10.0,,,,,,,,,,41.7,,восточный,,,5.0,,,,,,,,,,10.0,743,23.0,,,9.0
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,,,,,67.6,,восточный,,,3.0,,,,,,,,,,10.0,742,18.4,,,9.0
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,,,,,,,,67.3,,восточный,,,5.0,,,,,,,,,,10.0,741,17.1,,,9.0
1590807600,"Суббота, 30 мая
03:00 (UTC)",,11.0,,,,,True,,,,,60.5,15.8,восточный,,,4.0,,,0.7,,0.7,,,,,10.0,741,17.2,,,9.0
1590818400,"Суббота, 30 мая
06:00 (UTC)",,10.0,,,,,,,,,,50.6,,восточный,,,6.0,,,,,,,,,,10.0,739,20.5,,True,7.0
1590829200,"Суббота, 30 мая
09:00 (UTC)",,13.0,,,,,,,,,,46.5,,юго-восточный,,,3.0,,,,,,,,,,10.0,739,22.4,,,9.0
1590840000,"Суббота, 30 мая
12:00 (UTC)",,11.0,,,,,,,,,,80.5,,восточный,,,4.0,,,,,,True,,,,10.0,740,18.0,,,10.0
1590850800,"Суббота, 30 мая
15:00 (UTC)",,12.0,,,,,True,,,,,83.5,,южный,,23.1,6.0,,,4,,,,,,,10.0,741,16.2,,,6.0
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,,,,,,,,,,87.1,,юго-восточный,,,3.0,,,,,,,,,,10.0,742,13.1,,True,4.0
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,,,,,96.1,,юго-восточный,,,3.0,,,,,,,,,,10.0,742,11.7,,,0.0
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,,,,,,,,96.1,,южный,,,4.0,,,,,,,,,,10.0,741,11.5,,,0.0
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,,,,,,,,,,93.0,10.5,юго-восточный,,,3.0,,,0,,4,,,,,10.0,741,12.2,,,2.0
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,,,,,,,,,,81.7,,южный,,,4.0,,,,,,,,,,10.0,741,15.1,,,9.0
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,,,,,,,,,,,86.7,,юго-западный,,,5.0,,,,,,True,,,,10.0,741,15.0,,,9.0
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,,,,,,True,,,,,79.2,,юго-западный,,,6.0,,,,,,,,,,10.0,740,15.9,,,9.0
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,,,,,,,,,,,69.1,,юго-западный,,17.4,6.0,,,2,,,,,,,10.0,740,16.8,,,4.0
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,,,,,,,,,,,88.2,,южный,,,4.0,,,,,,,,,,10.0,740,13.0,,,6.0
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,,,,,88.7,,юго-западный,,,3.0,,,,,,,,,,10.0,740,11.5,,True,9.0
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,,,,,,,,,89.1,,южный,,,3.0,,,,,,,,,,10.0,739,9.4,,True,7.0
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,,,,,,,,,,94.8,8.4,южный,,,3.0,,,2,,4,,,,,10.0,739,10.1,,,9.0
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,,,,,86.0,,южный,,,3.0,,,,,,,,,,10.0,740,13.4,,,9.0
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,True,,,,,73.2,,юго-восточный,,,3.0,,,,,,,,,,10.0,741,16.0,,,9.0
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,,,,,,,,,,52.8,,юго-западный,,,4.0,,,,,,,,,,10.0,740,19.7,,True,6.0
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,,,,,,,,,,58.2,,северный,,19.4,1.0,,,менее 0.1,,,,,,,10.0,740,19.3,,True,7.0
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,,,,True,93.0,,северный,,,3.0,,,,,,,,,,10.0,741,13.2,,,10.0
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,,,95.5,,восточный,,,6.0,,,,,,True,,,,10.0,741,12.6,,,9.0
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,,,,,,,,94.9,,восточный,,,3.0,,,,,,,,,,10.0,741,12.4,,True,9.0
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,,,,,,,,,,91.9,12.4,юго-восточный,,,3.0,,,18,,18,,,,,10.0,741,13.8,,,6.0
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,,,,,,,,,,76.8,,юго-восточный,,,3.0,,,,,,,,,,10.0,741,17.2,,,4.0
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,,,,,,,,,,57.0,,южный,,,6.0,,,,,,,,,,10.0,741,20.5,,,9.0
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,,,,,,,,,,49.1,,южный,,,5.0,,,,,,,,,,10.0,741,22.6,,,7.0
1591110000,"Вторник, 2 июня
15:00 (UTC)",,10.0,,,,,,,,,,67.0,,южный,,22.6,1.0,,,менее 0.1,,,,,,,10.0,741,17.8,,True,9.0
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,,,,,92.5,,северо-восточный,,,2.0,,,,,,True,,,,10.0,742,15.1,,,10.0
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,,,94.3,,северо-восточный,,,3.0,,,,,,True,,,,10.0,741,13.3,,,9.0
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,,,,,,,,,97.4,,северо-восточный,,,2.0,,,,,,,,,,10.0,740,13.1,,True,9.0
1591153200,"Среда, 3 июня
03:00 (UTC)",,,,,,,,,,,,96.8,12.8,восточный,,,3.0,,,6,,6,,,,,10.0,740,14.1,,True,10.0
1591164000,"Среда, 3 июня
06:00 (UTC)",,,,,,,,,,,,93.1,,восточный,,,2.0,,,,,,,True,,,8.0,740,14.8,,,10.0
1591174800,"Среда, 3 июня
09:00 (UTC)",,,,,,,,,,,,79.9,,северный,,,2.0,,,,,,,,,,10.0,740,17.6,,,10.0
1591185600,"Среда, 3 июня
12:00 (UTC)",,,,,,,,,,,,91.4,,северный,,,1.0,,,,,,True,,,,6.0,739,16.7,,,10.0
1591196400,"Среда, 3 июня
15:00 (UTC)",,,,,,,,,,,,95.6,,западный,,17.9,3.0,,,8,,,True,,,,8.0,738,16.0,,,10.0
1591207200,"Среда, 3 июня
18:00 (UTC)",,,,,,,,,,,,95.6,,юго-западный,,,3.0,,,,,,True,,,,10.0,738,14.2,,,10.0
1591218000,"Среда, 3 июня
21:00 (UTC)",,,,,,,,,,,,96.8,,юго-западный,,,2.0,,,,,,,True,,,6.0,738,13.7,,,9.0
1591228800,"Четверг, 4 июня
00:00 (UTC)",,,,,,,,,,,,100.0,,южный,,,2.0,,,,,,,,,True,1.0,738,11.8,,,
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,,,,,,,,,,100.0,11.0,южный,,,3.0,,,1,,9,,,,True,0.0,738,12.2,,,
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,,,,,,,,,,98.7,,южный,,,3.0,,,,,,,True,,,6.0,739,13.3,,,10.0
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,,,,,,,,,,66.4,,южный,,,4.0,,,,,,,,,,10.0,739,18.9,,,4.0
1591272000,"Четверг, 4 июня
12:00 (UTC)",,12.0,,,,,,,,,,56.0,,юго-западный,,,7.0,,,,,,,,,,10.0,740,19.5,,,6.0
1591282800,"Четверг, 4 июня
15:00 (UTC)",,,,,,,,,,,,54.1,,юго-западный,,20.8,6.0,,,0,,,,,,,10.0,741,19.3,,,4.0
1591293600,"Четверг, 4 июня
18:00 (UTC)",,,,,,,,,,,,74.3,,южный,,,4.0,,,,,,,,,,10.0,742,14.1,,,2.0
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,,,,,,,,,75.2,,южный,,,5.0,,,,,,,,,,10.0,742,13.4,,,7.0
1591315200,"Пятница, 5 июня
00:00 (UTC)",,,,,,,,,,,,92.3,,южный,,,4.0,,,,,,,,,,10.0,743,10.2,,,9.0
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,,,,,,,,,,89.4,9.7,южный,,,3.0,,,0,,0,,,,,10.0,744,12.5,,,9.0
1591336800,"Пятница, 5 июня
06:00 (UTC)",,,,,,,,,,,,61.4,,южный,,,4.0,,,,,,,,,,10.0,744,17.7,,,5.0
1591347600,"Пятница, 5 июня
09:00 (UTC)",,10.0,,,,,,,,,,43.9,,южный,,,7.0,,,,,,,,,,10.0,744,21.5,,,6.0
1591358400,"Пятница, 5 июня
12:00 (UTC)",,,,,,,,,,,,58.3,,юго-западный,,,5.0,,,,,,,,,,10.0,744,19.5,,,9.0
1591369200,"Пятница, 5 июня
15:00 (UTC)",,,,,,,,,,,,87.7,,юго-западный,,21.5,7.0,,,4,,,True,,,,10.0,744,13.8,,,10.0
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,,,,,,,,,,93.1,,южный,,,5.0,,,,,,,,,,10.0,744,13.8,,True,6.0
1591390800,"Пятница, 5 июня
21:00 (UTC)",,,,,,,,,,,,93.6,,южный,,,1.0,,,,,,,,,,10.0,744,11.8,,,7.0
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,,,,,,,,,92.3,,южный,,,2.0,,,,,,,,,,10.0,745,11.6,,,7.0
1591412400,"Суббота, 6 июня
03:00 (UTC)",,,,,,,,,,,,93.1,11.0,южный,,,3.0,,,0.8,,5,,,,,10.0,745,13.7,,,9.0
1591423200,"Суббота, 6 июня
06:00 (UTC)",,,,,,,,,,,,91.4,,южный,,,3.0,,,,,,,,,,10.0,745,15.9,,,9.0
1591434000,"Суббота, 6 июня
09:00 (UTC)",,,,,,,,,,,,79.1,,юго-западный,,,3.0,,,,,,True,,,,10.0,746,19.1,,,9.0
1591444800,"Суббота, 6 июня
12:00 (UTC)",,,,,,,,,,,,64.0,,южный,,,5.0,,,,,,,,,,10.0,745,23.4,,True,9.0
1591455600,"Суббота, 6 июня
15:00 (UTC)",,,,,,,,,,,,64.9,,юго-западный,,23.8,4.0,,,менее 0.1,,,,,,,10.0,745,23.7,,,9.0
1591466400,"Суббота, 6 июня
18:00 (UTC)",,,,,,,,,,,,80.8,,южный,,,3.0,,,,,,,,,,10.0,745,20.4,,,9.0
1591477200,"Суббота, 6 июня
21:00 (UTC)",,,,,,,,,,,,91.4,,юго-западный,,,3.0,,,,,,,,,,10.0,746,16.6,,,7.0
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,,,,,,,,,,,94.4,,юго-западный,,,3.0,,,,,,,,,,10.0,746,15.3,,,6.0
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,,,,,,,,,,,86.9,14.8,южный,,,1.0,,,0,,менее 0.1,,,,,10.0,747,17.4,,,2.0
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,,,,,,,,,,,64.8,,юго-западный,,,3.0,,,,,,,,,,10.0,747,23.3,,,2.0
1591520400,"Воскресенье, 7 июня
09:00 (UTC)",,,,,,,,,,,,49.9,,юго-западный,,,3.0,,,,,,,,,,10.0,747,26.6,,,1.0
1591531200,"Воскресенье, 7 июня
12:00 (UTC)",,,,,,,,,,,,44.8,,,,,,,,,,,,,,,10.0,747,28.0,,,4.0
1591542000,"Воскресенье, 7 июня
15:00 (UTC)",,,,,,,,,,,,57.3,,западный,,28.6,4.0,,,0,,,,,,,10.0,747,26.2,,,7.0
1591552800,"Воскресенье, 7 июня
18:00 (UTC)",,,,,,,,,,,,78.5,,северо-восточный,,,1.0,,,,,,,,,,10.0,747,21.4,,,9.0
1591563600,"Воскресенье, 7 июня
21:00 (UTC)",,,,,,,,,,,,92.1,,,,,0.0,,,,,,,,,,10.0,748,17.5,,,9.0
1591574400,"Понедельник, 8 июня
00:00 (UTC)",,,,,,,,,,,,95.0,,северо-восточный,,,1.0,,,,,,,True,,,3.0,747,17.0,,,9.0
1591585200,"Понедельник, 8 июня
03:00 (UTC)",,,,,,,,,,,,100.0,16.0,северный,,,1.0,,,0,,0,,,,True,0.0,747,16.4,,,
1591596000,"Понедельник, 8 июня
06:00 (UTC)",,,,,,,,,,,,80.2,,северный,,,2.0,,,,,,,,,,10.0,748,22.9,,True,2.0
1591606800,"Понедельник, 8 июня
09:00 (UTC)",,,,,,,,,,,,60.1,,западный,,,2.0,,,,,,,,,,10.0,747,27.2,,,7.0
1591617600,"Понедельник, 8 июня
12:00 (UTC)",,,,,,,,,,,True,82.7,,южный,,,3.0,,,,,,,,,,10.0,748,22.6,,,9.0
1591628400,"Понедельник, 8 июня
15:00 (UTC)",,,,,,,,,,,,77.0,,северный,,27.6,1.0,,,0.9,,,,,,,10.0,747,24.8,,True,9.0
1591639200,"Понедельник, 8 июня
18:00 (UTC)",,,,,,,,,,,,85.8,,северо-восточный,,,2.0,,,,,,,,,,10.0,747,22.2,,True,4.0
1591650000,"Понедельник, 8 июня
21:00 (UTC)",,,,,,,,,,,,89.2,,восточный,,,2.0,,,,,,,,,,10.0,747,18.2,,,4.0
1591660800,"Вторник, 9 июня
00:00 (UTC)",,,,,,,,,,,,95.6,,северо-восточный,,,2.0,,,,,,,True,,,3.0,748,16.9,,,2.0
1591671600,"Вторник, 9 июня
03:00 (UTC)",,,True,,,,,,,,,92.2,16.1,северо-восточный,,,2.0,,,0,,0.9,,,,,3.0,748,19.2,,,2.0
1591682400,"Вторник, 9 июня
06:00 (UTC)",,,,,,,,,,,,70.5,,восточный,,,4.0,,,,,,,,,,10.0,748,24.0,,True,2.0
1591693200,"Вторник, 9 июня
09:00 (UTC)",,,,,,,,,,,,52.1,,восточный,,,5.0,,,,,,,,,,10.0,749,26.2,,True,4.0
1591704000,"Вторник, 9 июня
12:00 (UTC)",,,,,,,,,,,,50.4,,восточный,,,4.0,,,,,,,,,,10.0,749,27.2,,,4.0
1591714800,"Вторник, 9 июня
15:00 (UTC)",,,,,,,,,,,,52.8,,восточный,,27.2,4.0,,,0,,,,,,,10.0,748,26.4,,,4.0
1591725600,"Вторник, 9 июня
18:00 (UTC)",,,,,,,,,,,,59.2,,восточный,,,3.0,,,,,,,,,,10.0,748,21.6,,,4.0
1591736400,"Вторник, 9 июня
21:00 (UTC)",,,,,,,,,,,,82.5,,северо-восточный,,,3.0,,,,,,,,,,10.0,748,17.1,,,2.0
1591747200,"Среда, 10 июня
00:00 (UTC)",,,,,,,,,,,,91.4,,северо-восточный,,,2.0,,,,,,,,,,10.0,748,15.4,,,4.0
1591758000,"Среда, 10 июня
03:00 (UTC)",,,,,,,,,,,,83.2,14.6,восточный,,,1.0,,,0,,,,,,,10.0,749,18.4,,,2.0
1591768800,"Среда, 10 июня
06:00 (UTC)",,,,,,,,,,,,62.9,,восточный,,,2.0,,,,,,,,,,10.0,749,24.1,,,2.0
1591779600,"Среда, 10 июня
09:00 (UTC)",,,,,,,,,,,,51.0,,северо-восточный,,,2.0,,,,,,,,,,10.0,749,25.8,,,6.0
1591790400,"Среда, 10 июня
12:00 (UTC)",,,,,,,,,,,,39.9,,восточный,,,3.0,,,,,,,,,,10.0,748,27.1,,,4.0
1591801200,"Среда, 10 июня
15:00 (UTC)",,,,,,,,,,,,49.3,,восточный,,27.1,3.0,,,0,,,,,,,10.0,748,26.6,,,2.0
1591812000,"Среда, 10 июня
18:00 (UTC)",,,,,,,,,,,,56.9,,восточный,,,2.0,,,,,,,,,,10.0,748,23.2,,,2.0
1591822800,"Среда, 10 июня
21:00 (UTC)",,,,,,,,,,,,78.5,,северо-восточный,,,1.0,,,,,,,,,,10.0,748,18.3,,,2.0
1591833600,"Четверг, 11 июня
00:00 (UTC)",,,,,,,,,,,,90.2,,северо-восточный,,,1.0,,,,,,,,,,10.0,748,16.0,,,2.0
1591844400,"Четверг, 11 июня
03:00 (UTC)",,,,,,,,,,,,80.6,15.6,северный,,,1.0,,,0,,0,,,,,10.0,748,18.8,,,2.0
1591855200,"Четверг, 11 июня
06:00 (UTC)",,,,,,,,,,,,56.6,,восточный,,,3.0,,,,,,,,,,10.0,748,24.9,,,2.0
1591866000,"Четверг, 11 июня
09:00 (UTC)",,,,,,,,,,,,46.0,,северо-восточный,,,5.0,,,,,,,,,,10.0,747,27.2,,,2.0
1591876800,"Четверг, 11 июня
12:00 (UTC)",,,,,,,,,,,,46.0,,восточный,,,5.0,,,,,,,,,,10.0,747,28.2,,,4.0
1591887600,"Четверг, 11 июня
15:00 (UTC)",,,,,,,,,,,,48.0,,восточный,,28.4,5.0,,,0,,,,,,,10.0,746,27.6,,,7.0
