timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневый дождь,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Мгла,Дождь (незамерзающий) слабый с перерывами,Ухудшение видимости из-за дыма или вулканического пепла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C","Пыль, песок или брызги, поднятые ветром",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1589641200,"Суббота, 16 мая
15:00 (UTC)",,,,,,17,,,,,,,,,1,759,True,,,,13.4,,89.4,,,,северный,10.0,,25.9,1
1589652000,"Суббота, 16 мая
18:00 (UTC)",,,,,,,,,,,,,,,4,759,,,,,14.6,True,93.1,,,,северо-западный,10.0,,,1
1589662800,"Суббота, 16 мая
21:00 (UTC)",,,,,,,,,True,,,,,,4,761,,,,,11.8,,84.6,,,,северо-западный,10.0,,,4
1589673600,"Воскресенье, 17 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,11.3,,80.1,,,True,западный,2.0,,,3
1589684400,"Воскресенье, 17 мая
03:00 (UTC)",,,,,,9,,26,,,,,,,10,766,,,,,10.7,,78.4,9.9,,,западный,0.0,,,4
1589695200,"Воскресенье, 17 мая
06:00 (UTC)",,,,10.0,,,,,,,,,,,10,768,,,,,14.8,,52.9,,,,западный,2.0,,,4
1589706000,"Воскресенье, 17 мая
09:00 (UTC)",,,,11.0,,,,,,,,,,,10,768,,,,,17.2,,34.5,,,,западный,7.0,,,5
1589716800,"Воскресенье, 17 мая
12:00 (UTC)",,,,11.0,,,,,,,,,,,10,768,,,,,18.5,,32.9,,,,северо-западный,7.0,,,3
1589727600,"Воскресенье, 17 мая
15:00 (UTC)",,,,,,0,,,,,,,,,10,768,,,,,18.5,,30.2,,,,северо-западный,6.0,,19.2,2
1589738400,"Воскресенье, 17 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,768,,,,,11.5,,73.3,,,,,2.0,,,0
1589749200,"Воскресенье, 17 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,768,,,,,10.0,,82.7,,,,южный,0.0,,,1
1589760000,"Понедельник, 18 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,11.8,,77.0,,,,южный,2.0,,,1
1589770800,"Понедельник, 18 мая
03:00 (UTC)",,,,,,0,,0,,,,,,,10,766,,,,,12.9,,72.1,9.2,,,южный,9.0,,,1
1589781600,"Понедельник, 18 мая
06:00 (UTC)",,,,,,,,,,True,,,,,10,765,,,,,16.6,,52.0,,,,южный,9.0,,,2
1589792400,"Понедельник, 18 мая
09:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,18.4,,37.9,,,True,южный,10.0,,,3
1589803200,"Понедельник, 18 мая
12:00 (UTC)",,,,,,,True,,,,,,,,10,763,,,,,17.4,,44.5,,,,южный,10.0,,,5
1589814000,"Понедельник, 18 мая
15:00 (UTC)",,,,,,менее 0.1,,,,,,,,,10,762,,,,,15.3,,59.2,,,True,южный,10.0,,19.7,2
1589824800,"Понедельник, 18 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,13.5,,77.8,,,True,южный,9.0,,,2
1589835600,"Понедельник, 18 мая
21:00 (UTC)",,,,,,,,,True,,,,,,4,762,,,,,13.3,,86.5,,,,юго-западный,7.0,,,2
1589846400,"Вторник, 19 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,12.1,,84.7,,,,юго-западный,7.0,,,3
1589857200,"Вторник, 19 мая
03:00 (UTC)",,,,,,1,,1,,,,,,,10,762,,,,,12.7,,82.0,11.9,,True,юго-западный,7.0,,,3
1589868000,"Вторник, 19 мая
06:00 (UTC)",,,,10.0,,,,,,,,,,,10,762,,,,,16.6,,68.1,,,True,юго-западный,7.0,,,5
1589878800,"Вторник, 19 мая
09:00 (UTC)",,,,16.0,,,,,,,,,,,10,762,,,,,18.6,,38.5,,,,западный,9.0,,,8
1589889600,"Вторник, 19 мая
12:00 (UTC)",,,,16.0,,,,,,,,,,,10,763,,,,,18.7,,25.8,,,,западный,6.0,,,6
1589900400,"Вторник, 19 мая
15:00 (UTC)",,,,13.0,,0,,,,,,,,,10,764,,,,,17.4,,26.4,,,,западный,6.0,,18.9,6
1589911200,"Вторник, 19 мая
18:00 (UTC)",,,,13.0,,,,,,,,,,,10,765,,,,,14.1,,38.3,,,,западный,1.0,,,2
1589922000,"Вторник, 19 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,12.3,,52.3,,,,юго-западный,2.0,,,1
1589932800,"Среда, 20 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,11.3,,64.3,,,,южный,9.0,,,1
1589943600,"Среда, 20 мая
03:00 (UTC)",,,,,,менее 0.1,,менее 0.1,,True,,,,,10,765,,,,,12.5,,66.3,11.2,,,юго-западный,10.0,,,2
1589954400,"Среда, 20 мая
06:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,15.6,,46.9,,,True,юго-восточный,9.0,,,3
1589965200,"Среда, 20 мая
09:00 (UTC)",,,,,,,,,,True,,,,,10,763,,,,,16.1,,65.3,,,,южный,10.0,,,1
1589976000,"Среда, 20 мая
12:00 (UTC)",,,,,,,,,,,,,,,10,760,,,,,22.7,,32.1,,,True,южный,9.0,,,3
1589986800,"Среда, 20 мая
15:00 (UTC)",,,,,,0.5,,,,True,,,,,10,760,,,,,19.5,,56.0,,,,северный,9.0,,23.0,1
1589997600,"Среда, 20 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,759,,,,,17.5,,63.5,,,True,юго-восточный,7.0,,,4
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,758,,,,,16.9,,70.5,,,,южный,9.0,,,3
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,758,,,,,16.9,,63.8,,,,юго-западный,9.0,,,2
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,,,,менее 0.1,,0.5,,,,,,,10,758,,,,,16.9,,67.3,16.2,,,,9.0,,,0
1590040800,"Четверг, 21 мая
06:00 (UTC)",,,,,,,,,,,,,,,10,759,,,,,20.7,,50.3,,,,юго-западный,9.0,,,3
1590051600,"Четверг, 21 мая
09:00 (UTC)",,,,,,,,,,,,,,,10,759,,,,,23.2,,40.6,,,True,западный,4.0,,,4
1590062400,"Четверг, 21 мая
12:00 (UTC)",,,,,,,,,,,,,,,10,759,,,,,26.2,,29.0,,,True,западный,2.0,,,2
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,,,,менее 0.1,,,,,,,,,10,758,,,,,25.3,,46.4,,,,юго-восточный,2.0,,27.5,3
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,759,,,,,19.1,,64.3,,,,северный,7.0,,,1
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,759,,,,,17.7,,73.9,,,,северный,9.0,,,1
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,757,,,,,17.5,,82.0,,,True,восточный,9.0,,,3
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,,,,менее 0.1,,менее 0.1,,,,,,,10,757,,,,,18.2,,72.6,17.1,,,восточный,9.0,,,2
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,,,,,,,,,,,,,10,755,,,,,21.2,,66.4,,,,восточный,9.0,,,4
1590138000,"Пятница, 22 мая
09:00 (UTC)",,,,,,,,,,,,,,,10,756,,,,,22.2,,64.5,,,,западный,9.0,,,1
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,,,,,,,,,,,,10,755,,,,,24.8,,56.6,,,,северо-восточный,7.0,,,2
1590159600,"Пятница, 22 мая
15:00 (UTC)",,,,,,0,,,,,,,,,10,756,,,,,25.5,,44.1,,,,северный,7.0,,26.7,3
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,756,,,,,20.5,,63.3,,,,,7.0,,,0
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,,,,,,,,True,,,,,10,757,,,,,18.6,,71.7,,,,северо-западный,10.0,,,3
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,756,,,,,17.5,,74.4,,,True,северный,9.0,,,2
1590202800,"Суббота, 23 мая
03:00 (UTC)",,,,,,0.3,,0.3,,,,,,,10,756,,,,,17.1,,78.3,16.3,,,северный,7.0,,,2
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,,,,,,,,,,,,,10,756,,,,,21.0,,61.0,,,,северо-западный,9.0,,,1
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,10.0,,,True,,,,,,,,10,758,,,,,20.1,,66.6,,,,западный,9.0,,,5
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,,,,,,,,True,,,,,4,760,,,,,17.6,,86.9,,,,западный,10.0,,,5
1590246000,"Суббота, 23 мая
15:00 (UTC)",,,,14.0,,0.3,,,,,,,,,10,762,,,,,13.8,,81.0,,,True,западный,9.0,,21.6,6
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,,14.0,,,,,,,,,,,10,764,,,,,12.5,,72.5,,,True,западный,7.0,,,5
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,11.2,,78.0,,,,западный,2.0,,,3
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,10.5,,83.4,,,,западный,4.0,,,3
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,,,,0,,0.3,,,,,,,10,767,,,,,10.8,,79.5,10.1,,,северо-западный,9.0,,,2
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,,,,,,,,True,,,,,10,768,,,,,12.1,,72.0,,,,северо-западный,9.0,,,2
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,,,,,,,,10,769,,,,,17.6,,44.0,,,True,северный,7.0,,,3
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,,,,,,,,,,,,10,768,,,,,20.2,,33.9,,,True,северо-западный,7.0,,,2
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,,,,менее 0.1,,,,,,,,,10,769,,,,,19.5,,32.1,,,,северо-западный,7.0,,20.5,1
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,770,,,,,16.4,,46.1,,,,западный,9.0,,,1
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,770,,,,,15.8,,50.3,,,True,северо-западный,9.0,,,2
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,770,,,,,15.5,,50.6,,,True,северо-западный,9.0,,,2
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,,менее 0.1,,менее 0.1,,,,,,,10,770,,,,,16.6,,48.5,14.4,,,северный,6.0,,,3
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,,,,,,,,,,,,,10,770,,,,,20.6,,34.2,,,,северо-восточный,0.0,,,4
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,,,,,,,,,10,769,,,,,24.2,,26.6,,,,северный,1.0,,,4
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,11.0,,,,,,,,,,,10,767,,,,,25.9,,24.3,,,,северо-восточный,7.0,,,4
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,10.0,,0,,,,,,,,,10,765,,,,,24.7,,31.5,,,,восточный,7.0,,26.4,2
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,18.6,,57.7,,,,западный,2.0,,,2
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,12.0,,,,,,,,,,,10,763,,,,,22.7,,29.9,,,,северный,9.0,,,4
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,12.0,,,,,,,,,,,10,761,,,,,20.4,,38.0,,,,северный,9.0,,,5
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,,12.0,,0,,0,,,,,,,10,761,,,,,19.3,,48.9,18.5,,,северо-восточный,9.0,,,2
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,,,,,,,,,,,,,10,761,,,,,22.5,,57.1,,,,юго-западный,6.0,,,2
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,,11.0,,,,,,,,,,,10,762,,,,,25.4,,33.1,,,,западный,2.0,,,6
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,,14.0,,,,,,,,,,,10,763,,,,,24.6,,38.6,,True,,западный,0.0,,,6
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,,12.0,,0,,,,,,,,,10,765,,,,,22.2,,46.2,,,,западный,0.0,,25.9,6
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,,12.0,,,,,,,,,,,10,766,,,,,18.9,,55.5,,,,западный,0.0,,,3
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,767,,,,,16.8,,70.0,,,,западный,0.0,,,3
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,768,,,,,14.5,,81.1,,,,юго-западный,0.0,,,1
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,,0,,0,,,,,,,10,769,,,,,15.9,,71.2,13.9,,,западный,1.0,,,2
1590559200,"Среда, 27 мая
06:00 (UTC)",,,,,,,,,,,,,,,10,769,,,,,20.5,,47.6,,,,северо-западный,4.0,,,2
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,,,,,,10,768,,,,,24.7,,31.8,,,,западный,4.0,,,1
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,,,,,,,,,,,10,767,,,,,27.5,,26.2,,,,северо-западный,9.0,,,2
1590591600,"Среда, 27 мая
15:00 (UTC)",,,,,,0,,,,,,,,,10,767,,,,,26.7,,26.1,,,,северный,9.0,,27.8,1
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,767,,,,,18.8,,48.8,,,,,6.0,,,0
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,17.1,,84.1,,,,юго-западный,0.0,,,1
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,,True,,,,,,4,766,,,,,14.3,,93.1,,,,северо-западный,0.0,,,1
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,,,,0,,0,,,,,,,10,766,,,,,21.5,,50.5,14.1,,,северо-восточный,0.0,,,3
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,27.4,,31.7,,,,северо-восточный,0.0,,,3
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,30.2,,23.6,,,,северо-восточный,0.0,,,3
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,31.4,,19.6,,,,восточный,0.0,,,2
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,,0,,,,,,,,,10,763,,,,,29.6,,27.7,,,,юго-восточный,0.0,,31.8,2
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,22.1,,45.8,,,,восточный,1.0,,,1
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,17.5,,68.3,,,,северный,0.0,,,1
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,19.8,,63.6,,,,северо-восточный,0.0,,,2
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,,0,,0,,,,,,,10,762,,,,,22.9,,42.2,16.8,,,северо-восточный,1.0,,,3
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,10.0,,,,,,,,,,,10,761,,,,,28.8,,35.4,,,,восточный,0.0,,,3
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,12.0,,,,,,,,,,,10,759,,,,,32.7,,22.7,,,,восточный,1.0,,,4
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,14.0,,,,,,,,,,,10,758,,,,,31.6,,26.7,,True,,восточный,1.0,,,6
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,,12.0,,0,,,,,,,,,10,757,,,,,30.1,,29.7,,,,восточный,2.0,,33.1,4
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,,10.0,,,,,,,,,,,10,756,,,,,24.8,,56.2,,,,восточный,2.0,,,2
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,756,,,,,22.4,,66.7,,,,восточный,6.0,,,1
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,756,,,,,20.8,,80.4,,,,юго-восточный,9.0,,,1
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,,,,0,,0,,,,,,,10,757,,,,,21.1,,78.4,20.0,,,юго-западный,9.0,,,2
1590818400,"Суббота, 30 мая
06:00 (UTC)",,,,14.0,,,,,,,,,,,10,759,,,,,24.0,,52.2,,True,,западный,7.0,,,7
1590829200,"Суббота, 30 мая
09:00 (UTC)",,,,14.0,,,,,,True,,,,,10,760,,,,,25.9,,43.4,,,,западный,9.0,,,4
1590840000,"Суббота, 30 мая
12:00 (UTC)",,,,12.0,,,,,,,,,,,10,760,,,,,27.7,,36.8,,,True,западный,6.0,,,4
1590850800,"Суббота, 30 мая
15:00 (UTC)",,,,,,менее 0.1,,,,,,,,,10,761,,,,,27.2,,28.0,,,,западный,1.0,,28.1,4
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,22.5,,42.1,,,,западный,1.0,,,3
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,19.1,,54.8,,,,западный,0.0,,,3
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,16.8,,62.9,,,,западный,2.0,,,2
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,,,,менее 0.1,True,менее 0.1,,,,,,,10,765,,,,,17.8,,64.0,16.4,,,северо-западный,10.0,,,2
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,19.1,,63.0,,,True,северо-западный,10.0,,,1
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,24.4,,33.9,,,,северный,7.0,,,2
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,26.5,,27.6,,,,северный,7.0,,,2
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,,,,,менее 0.1,,,,,,,,,10,763,,,,,25.7,,33.4,,,,северный,6.0,,27.2,1
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,18.7,,58.9,,,,,2.0,,,0
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,17.0,,78.8,,,,юго-восточный,0.0,,,1
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,,,,,,True,,,,,,4,763,,,,,14.6,,90.7,,,,,2.0,,,0
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,,,,0,,менее 0.1,,,,,,,10,763,,,,,20.5,,66.3,13.8,,,,7.0,,,0
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,26.2,,32.0,,,,северо-восточный,7.0,,,2
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,27.7,,25.5,,,,восточный,2.0,,,3
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,,11.0,,,,,,,,,,,10,760,,,,,28.2,,26.2,,,,восточный,2.0,,,4
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,,,,0,,,,,,,,,10,760,,,,,26.7,,27.1,,,,восточный,6.0,,28.7,4
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,,,,,,,,10,760,,,,,21.7,,43.9,,,,северо-восточный,4.0,,,1
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,,,,,,10,759,,,,,20.1,,55.8,,,,северо-западный,9.0,,,1
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,,,,,,,,,,,10,759,,,,,19.6,,62.3,,,,северный,9.0,,,2
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,,,,0,,0,,,,,,,10,758,,,,,20.1,,63.7,18.1,,,северный,2.0,,,2
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,,,,,,,,,,,,,10,758,,,,,28.9,,31.4,,,,северо-восточный,9.0,,,2
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,,,,,,,,,,,,,10,757,,,,,31.8,,28.8,,,,северо-восточный,9.0,,,2
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,,11.0,,,,,,,,,,,10,756,,,,,32.5,,22.2,,,,восточный,9.0,,,4
1591110000,"Вторник, 2 июня
15:00 (UTC)",,,,10.0,,0,,,,,,,,,10,756,,,,,28.9,,40.6,,,,восточный,7.0,,33.1,3
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,,,,,,,,10,756,,,,,24.1,,62.9,,,,восточный,9.0,,,1
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,,,,,,10,754,,,,,23.4,,60.4,,,,юго-восточный,9.0,,,1
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,,,,,,,,,,,,10,753,,,,,21.9,,69.6,,,,северо-восточный,10.0,,,1
1591153200,"Среда, 3 июня
03:00 (UTC)",,,,,,0,,0,,,,,,,10,753,,,,,22.2,,76.1,20.4,,,юго-восточный,2.0,,,3
1591164000,"Среда, 3 июня
06:00 (UTC)",,,,,,,,,,,,,,,10,753,,,,,25.0,,63.1,,,,юго-восточный,0.0,,,3
1591174800,"Среда, 3 июня
09:00 (UTC)",,,,,,,,,,,,,,,10,754,,,,,29.0,,47.4,,,,юго-западный,2.0,,,3
1591185600,"Среда, 3 июня
12:00 (UTC)",,,,,,,,,,,,,,,10,753,,,,,32.5,,30.8,,,,юго-восточный,9.0,,,2
1591196400,"Среда, 3 июня
15:00 (UTC)",,,,,,0,,,,,,,,,10,753,,,,,30.9,,43.1,,,,восточный,7.0,,33.6,2
1591207200,"Среда, 3 июня
18:00 (UTC)",,,,,,,,,,,,,,,10,755,,,,,25.2,,67.7,,,,юго-западный,9.0,,,1
1591218000,"Среда, 3 июня
21:00 (UTC)",,,True,15.0,,,,,,,,,,,2,757,,,,,22.2,,61.3,,,,западный,10.0,,,7
1591228800,"Четверг, 4 июня
00:00 (UTC)",,,,15.0,,,,,,True,,,,,10,758,,,,,18.6,,83.2,,,,западный,9.0,,,3
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,,,,5,,5,,,,,,,10,760,,,,,19.5,,81.2,18.0,,,западный,2.0,,,3
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,,,,,,,,,,,,,10,760,,,,,22.7,,61.4,,,,западный,7.0,,,3
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,,,,,,,,,,,,,10,760,,,,,26.7,,41.4,,,,западный,6.0,,,2
1591272000,"Четверг, 4 июня
12:00 (UTC)",,,,,,,,,,,,,,,10,760,,,,,28.4,,34.6,,,,северо-восточный,2.0,,,2
1591282800,"Четверг, 4 июня
15:00 (UTC)",,,,,,0,,,,,,,,,10,760,,,,,27.5,,37.7,,,,северо-западный,2.0,,28.7,2
1591293600,"Четверг, 4 июня
18:00 (UTC)",,,,,,,,,,,,,,,10,761,,,,,22.6,,49.1,,,,северный,6.0,,,1
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,19.6,,79.7,,,,,9.0,,,0
1591315200,"Пятница, 5 июня
00:00 (UTC)",,True,,,,,,,,,,,,,10,762,,,,,20.4,,63.3,,,,северо-западный,9.0,,,2
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,,,,менее 0.1,,менее 0.1,,,,,,,10,763,,,,,22.0,,58.1,18.8,,True,юго-восточный,9.0,,,1
1591336800,"Пятница, 5 июня
06:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,21.3,,66.0,,,True,северо-западный,9.0,,,2
1591347600,"Пятница, 5 июня
09:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,27.0,,41.4,,,,западный,7.0,,,3
1591358400,"Пятница, 5 июня
12:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,27.7,,35.3,,,,западный,7.0,,,3
1591369200,"Пятница, 5 июня
15:00 (UTC)",,,,,,0.3,,,,,,,,,10,765,,,,,25.6,,39.7,,,,западный,6.0,,27.8,3
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,20.5,,62.5,,,,северо-западный,4.0,,,1
1591390800,"Пятница, 5 июня
21:00 (UTC)",,,,,,,,,True,,,,,,4,766,,,,,17.4,,86.4,,,,,1.0,,,0
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,17.2,,69.2,,,,северо-западный,0.0,,,1
1591412400,"Суббота, 6 июня
03:00 (UTC)",,,,,,0,,0.3,,,,,,,10,767,,,,,19.8,,66.6,16.5,,,северо-западный,2.0,,,1
1591423200,"Суббота, 6 июня
06:00 (UTC)",,,,,,,,,,,,,,,10,767,,,,,25.1,,37.8,,,,западный,7.0,,,1
1591434000,"Суббота, 6 июня
09:00 (UTC)",,,,,,,,,,,,,,,10,767,,,,,27.3,,30.0,,,,северный,7.0,,,1
1591444800,"Суббота, 6 июня
12:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,28.4,,26.2,,,,юго-западный,7.0,,,2
1591455600,"Суббота, 6 июня
15:00 (UTC)",,,,,,0,,,,,,,,,10,766,,,,,27.8,,28.7,,,,западный,2.0,,29.1,1
1591466400,"Суббота, 6 июня
18:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,22.4,,54.6,,,,южный,1.0,,,2
1591477200,"Суббота, 6 июня
21:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,19.7,,73.3,,,,западный,0.0,,,1
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,17.3,,83.6,,,,северо-западный,0.0,,,1
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,,,,,0,,0,,,,,,,10,766,,,,,21.0,,57.5,17.0,,,северо-западный,0.0,,,1
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,28.8,,24.4,,,,северо-восточный,2.0,,,3
1591520400,"Воскресенье, 7 июня
09:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,30.9,,19.5,,,,северо-восточный,2.0,,,3
1591531200,"Воскресенье, 7 июня
12:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,32.1,,16.6,,,,восточный,4.0,,,3
1591542000,"Воскресенье, 7 июня
15:00 (UTC)",,,,,,0,,,,,,,,,10,764,,,,,29.8,,24.7,,,,юго-восточный,6.0,,32.1,3
1591552800,"Воскресенье, 7 июня
18:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,21.8,,54.4,,,,,0.0,,,0
