timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Снежная крупа (возможно с дождем) умеренная или сильная,Количество облаков уменьшилось,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C",Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый,Туман без изменений (небо видно)
1594069200,"Понедельник, 6 июля
21:00 (UTC)",,,,,,,,,,,,83.0,,,,южный,,,1,,,,,,,,,,,20,750,,,16.6,,,10.0,,
1594080000,"Вторник, 7 июля
00:00 (UTC)",,,,,,,,,,,,87.9,,,,,,,0,,,,,,,,,,,20,750,,,15.8,,,,,
1594090800,"Вторник, 7 июля
03:00 (UTC)",,,,,,,,,,,,82.8,,,14.9,юго-западный,,,1,,,0,,,0,,,,,20,751,,,15.0,,,,,
1594101600,"Вторник, 7 июля
06:00 (UTC)",,,,,,,,,,,,75.1,,,14.8,юго-западный,,,1,,,0,,,,,,,,20,751,,,15.6,,,10.0,,
1594112400,"Вторник, 7 июля
09:00 (UTC)",,,,,,,,,,,,50.4,,,,юго-западный,,,2,,,,,,,,,,,20,752,,,19.9,,,9.0,,
1594123200,"Вторник, 7 июля
12:00 (UTC)",,,,,,,,,,,,53.1,,,,западный,,,2,,,,,,,,,,,20,752,,,19.7,,,10.0,,
1594134000,"Вторник, 7 июля
15:00 (UTC)",,,,,,,,,,,,54.2,,,,западный,,,2,,,0,,,,,,,,20,752,,,19.7,,,9.0,,
1594144800,"Вторник, 7 июля
18:00 (UTC)",,,,,,,,,,,,70.6,,,,юго-западный,,22.1,1,,,0,,,,,,,,20,752,,,17.7,,,10.0,,
1594155600,"Вторник, 7 июля
21:00 (UTC)",,,,,,,,,,,,74.0,,,,западный,,,1,,,,,,,,,,,20,752,,,15.1,,,10.0,,
1594166400,"Среда, 8 июля
00:00 (UTC)",,,,,,,,,,,,73.3,,,,западный,,,1,,,,,,,,,,,20,753,,,14.2,,,10.0,,
1594177200,"Среда, 8 июля
03:00 (UTC)",,,,,,,,,,,,84.8,,,12.4,западный,,,1,,,0,,,0,,,,,20,752,,,12.8,,,10.0,,
1594188000,"Среда, 8 июля
06:00 (UTC)",,,,,,,,,,,,73.1,,,12.4,западный,,,1,,,0,,,,,,,,20,752,,,15.9,,,9.0,,
1594198800,"Среда, 8 июля
09:00 (UTC)",,,,,,,,,,,,53.9,,,,южный,,,1,,,,,,,,,,,20,753,,,18.6,,,9.0,,
1594209600,"Среда, 8 июля
12:00 (UTC)",,10.0,,,,,True,,,,,41.1,,,,западный,,,2,,,,,,,,,,,20,753,,,19.8,,,6.0,,
1594220400,"Среда, 8 июля
15:00 (UTC)",,,,,,,,,,,,51.6,,,,южный,,,1,,,0.7,,,,,,,,20,752,,,20.4,,,5.0,,
1594231200,"Среда, 8 июля
18:00 (UTC)",,,,,,,,,,,,61.1,,,,северо-западный,,22.4,1,,,0.7,,,,,,,,20,753,,,16.4,,,6.0,,
1594242000,"Среда, 8 июля
21:00 (UTC)",,,,,,,,,,,,91.1,,,,,,,0,,,,,,,,,,,20,754,,,11.2,,,7.0,,
1594252800,"Четверг, 9 июля
00:00 (UTC)",,,,,,,,,,,,93.5,,,,западный,,,1,,,,,,,,,,,20,754,,,9.6,,,2.0,,
1594263600,"Четверг, 9 июля
03:00 (UTC)",,,,,,,,,,,,96.0,,,8.2,,,,0,,,0,,,0.7,,,,,20,754,,,8.9,,,5.0,,
1594274400,"Четверг, 9 июля
06:00 (UTC)",,,,,,,,,,,,62.5,,,8.2,юго-западный,,,1,,,0,,,,,,,,20,755,,,16.8,,,2.0,,
1594285200,"Четверг, 9 июля
09:00 (UTC)",,,,,,,,,,,,48.1,,,,западный,,,2,,,,,,,,,,,20,755,,,17.7,,,6.0,,
1594296000,"Четверг, 9 июля
12:00 (UTC)",,,,,,,,,,,,35.7,,,,юго-западный,,,1,,,,,,,,,,,20,755,,,21.3,,,6.0,,
1594306800,"Четверг, 9 июля
15:00 (UTC)",,,,,,,True,,,,,41.3,,,,юго-западный,,,3,,,менее 0.1,,,,,,,,20,756,,,19.7,,,5.0,,
1594317600,"Четверг, 9 июля
18:00 (UTC)",,,,,,,,,,,,56.8,,,,юго-западный,,22.1,1,,,менее 0.1,,True,,,,,,20,756,,,16.5,,,7.0,,
1594328400,"Четверг, 9 июля
21:00 (UTC)",,,,,,,,,,,,80.9,,,,юго-западный,,,2,,,,,,,,,,,20,757,,,12.9,,,7.0,,
1594339200,"Пятница, 10 июля
00:00 (UTC)",,,,,,,,,,,,94.7,,,,,,,0,,,,,,,,,,,20,757,,,9.0,,,7.0,,
1594350000,"Пятница, 10 июля
03:00 (UTC)",,,,,,,,,,,,96.7,,,8.4,южный,,,1,,,0,,,менее 0.1,,,,,20,758,,,9.5,,,7.0,,
1594360800,"Пятница, 10 июля
06:00 (UTC)",,,,,,,,,,,,66.5,,,8.4,юго-восточный,,,2,,,0,,,,,,,,20,757,,,17.3,,,5.0,,
1594371600,"Пятница, 10 июля
09:00 (UTC)",,,,,,,,,,,,52.8,,,,южный,,,2,,,,,,,,,,,20,757,,,19.7,,,9.0,,
1594382400,"Пятница, 10 июля
12:00 (UTC)",,,,,,,,,,,,68.7,,,,юго-восточный,,,3,,,,,True,,,,,,20,755,,,17.2,,,10.0,,
1594393200,"Пятница, 10 июля
15:00 (UTC)",,10.0,,,,,,,,,,95.6,,,,юго-восточный,,,3,,,0.9,,,,,,,,4,754,,,14.4,,,10.0,,
1594404000,"Пятница, 10 июля
18:00 (UTC)",,,True,,,,,,,,,96.2,,,,южный,,21.1,1,,,1,,,,,,,,4,753,,,15.4,,,10.0,,
1594414800,"Пятница, 10 июля
21:00 (UTC)",,,,,,,True,,,,,97.5,,,,,,,0,,,,,,,,,,,20,753,,,14.6,,,7.0,,
1594425600,"Суббота, 11 июля
00:00 (UTC)",,,,,,,,,,,,98.1,,,,южный,,,1,,,,,True,,,,,,50,753,,,15.7,,,10.0,,
1594436400,"Суббота, 11 июля
03:00 (UTC)",,,,,,,,,,,,98.1,,,14.0,юго-восточный,,,1,,,2,,,4,True,,,,50,751,,,16.1,,,10.0,,
1594447200,"Суббота, 11 июля
06:00 (UTC)",,,,,,,True,,,,,94.5,,,14.0,юго-западный,,,2,,,6,,,,,,,,20,751,,,18.7,,,9.0,,
1594458000,"Суббота, 11 июля
09:00 (UTC)",,12.0,,,,,,,,,,53.9,,,,юго-западный,,,5,,,,,,,,,,,20,753,,,20.0,,,9.0,,
1594468800,"Суббота, 11 июля
12:00 (UTC)",,12.0,,,,,,,,,,48.6,,,,юго-западный,,,5,,,,,,,,,,,20,754,,,20.7,,,9.0,,
1594479600,"Суббота, 11 июля
15:00 (UTC)",,11.0,,,,,,,,,,44.9,,,,юго-западный,,,4,,,0,,,,,,,,20,756,,,19.9,,,7.0,,
1594490400,"Суббота, 11 июля
18:00 (UTC)",,13.0,,,,,,,,,,53.0,,,,западный,,22.7,2,,,0,,,,,,,,20,757,,,16.5,,,9.0,,
1594501200,"Суббота, 11 июля
21:00 (UTC)",,,,,,,,,,,,77.6,,,,западный,,,1,,,,,,,,,,,20,759,,,12.5,,,10.0,,
1594512000,"Воскресенье, 12 июля
00:00 (UTC)",,,,,,,,,,,,94.1,,,,,,,0,,,,,,,,,,,20,759,,,8.2,,,10.0,,
1594522800,"Воскресенье, 12 июля
03:00 (UTC)",,,,,,,,,,,,96.7,,,8.0,,,,0,,,0,,,0,,,,,20,759,,,8.1,,,7.0,,
1594533600,"Воскресенье, 12 июля
06:00 (UTC)",,,,,,,,,,,,74.6,,,8.0,западный,,,1,,,0,,,,,,,,20,760,,,15.6,,,10.0,,
1594544400,"Воскресенье, 12 июля
09:00 (UTC)",,,,,,,,,,,,54.9,,,,,,,0,,,,,,,,,,,20,760,,,19.4,,,9.0,,
1594555200,"Воскресенье, 12 июля
12:00 (UTC)",,,,,,,,,,,,59.8,,,,юго-западный,,,2,,,,,,,,,,,20,760,,,19.2,,,10.0,,
1594566000,"Воскресенье, 12 июля
15:00 (UTC)",,,,,,,,,,,,60.4,,,,западный,,,2,,,0,,,,,,,,20,759,,,18.6,,,10.0,,
1594576800,"Воскресенье, 12 июля
18:00 (UTC)",,,,,,,,,,,,67.9,,,,,,20.8,0,,,0,,,,,,,,20,759,,,17.5,,,7.0,,
1594587600,"Воскресенье, 12 июля
21:00 (UTC)",,,,,,,,,,,,87.7,,,,западный,,,1,,,,,,,,,,,20,759,,,13.3,,,7.0,,
1594598400,"Понедельник, 13 июля
00:00 (UTC)",,,,,,,,,,,,96.1,,,,западный,,,2,,,,,,,,,,,20,759,,,10.4,,,5.0,,
1594609200,"Понедельник, 13 июля
03:00 (UTC)",,,,,,,,,,,,91.2,,,10.1,западный,,,2,,,,,,0,,,,,20,759,,,12.6,,,7.0,,
1594620000,"Понедельник, 13 июля
06:00 (UTC)",,,,,,,,,,,,75.6,,,10.1,северо-западный,,,2,,,0,,,,,,,,20,759,,,15.6,,,6.0,,
1594630800,"Понедельник, 13 июля
09:00 (UTC)",,,,,,,,,,,,51.2,,,,западный,,,2,,,,,,,,,,,20,758,,,19.1,,,5.0,,
1594641600,"Понедельник, 13 июля
12:00 (UTC)",,,,,,,,,,,,40.2,,,,северо-западный,,,2,,,,,,,,,,,20,757,,,21.5,,,6.0,,
1594652400,"Понедельник, 13 июля
15:00 (UTC)",,,,,,,,,,,,44.4,,,,северо-западный,,,3,,,0,,,,,,,,20,757,,,21.2,,,6.0,,
1594663200,"Понедельник, 13 июля
18:00 (UTC)",,,,,,,,,,,,56.9,,,,северо-западный,,22.6,1,,,0,,,,,,,,20,757,,,17.1,,,4.0,,
1594674000,"Понедельник, 13 июля
21:00 (UTC)",,,,,,,,,,,,92.9,,,,,,,0,,,,,,,,,,,20,757,,,9.7,,,0.0,,
1594684800,"Вторник, 14 июля
00:00 (UTC)",,,,,,,,,,,,96.0,,,,западный,,,1,,,,,,,,,,,20,758,,,8.7,,,0.0,,
1594695600,"Вторник, 14 июля
03:00 (UTC)",,,,,,,,,,,,95.4,,,7.0,западный,,,1,,,0,,,0,,,,,20,758,,,10.1,,,0.0,,
1594706400,"Вторник, 14 июля
06:00 (UTC)",,,,,,,,,,,,70.0,,,10.5,северо-западный,,,1,,,0,,,,,,,,20,753,,,16.7,,,1.0,,
1594717200,"Вторник, 14 июля
09:00 (UTC)",,,,,,,,,,,,48.9,,,,северо-западный,,,3,,,,,,,,,,,20,758,,,19.4,,,6.0,,
1594728000,"Вторник, 14 июля
12:00 (UTC)",,,,,,,,,,,,36.4,,,,северо-западный,,,2,,,,,,,,,,,20,758,,,21.4,,,5.0,,
1594738800,"Вторник, 14 июля
15:00 (UTC)",,,,,,,,,,,,33.4,,,,северо-западный,,,2,,,0,,,,,,,,50,757,,,20.8,,,5.0,,
1594749600,"Вторник, 14 июля
18:00 (UTC)",,,,,,,,,,,,43.5,,,,северо-западный,,22.2,1,,,0,,,,,,,,20,757,,,17.2,,,5.0,,
1594760400,"Вторник, 14 июля
21:00 (UTC)",,,,,,,,,,,,56.3,,,,северный,,,2,,,,,,,,,,,20,757,,,14.5,,,4.0,,
1594771200,"Среда, 15 июля
00:00 (UTC)",,,,,,,,,,,,65.3,,,,северный,,,1,,,,,,,,,,,20,757,,,12.1,,,2.0,,
1594782000,"Среда, 15 июля
03:00 (UTC)",,,,,,,,,,,,68.7,,,11.6,северный,,,1,,,0,,,0,,,,,20,757,,,12.5,,,7.0,,
1594792800,"Среда, 15 июля
06:00 (UTC)",,,,,,,,,,,,62.1,,,11.6,северный,,,2,,,0,,,,,,,,20,756,,,16.9,,,7.0,,
1594803600,"Среда, 15 июля
09:00 (UTC)",,,,,,,,,,,,44.9,,,,северный,,,3,,,,,,,,,,,20,756,,,19.9,,,10.0,,
1594814400,"Среда, 15 июля
12:00 (UTC)",,,,,,,,,,,,43.0,,,,северный,,,2,,,,,,,,,,,20,756,,,20.5,,,10.0,,
1594825200,"Среда, 15 июля
15:00 (UTC)",,,,,,,,,,,,43.9,,,,северный,,,2,,,0,,,,,,,,20,755,,,20.7,,,10.0,,
1594836000,"Среда, 15 июля
18:00 (UTC)",,,,,,,,,,,,56.4,,,,северный,,21.2,1,,,0,,,,,,,,20,755,,,18.1,,,10.0,,
1594846800,"Среда, 15 июля
21:00 (UTC)",,,,,,,,,,,,65.3,,,,северный,,,2,,,,,,,,,,,20,755,,,16.1,,,10.0,,
1594857600,"Четверг, 16 июля
00:00 (UTC)",,,,,,,,,,,,71.3,,,,,,,0,,,,,,,,,,,20,755,,,14.0,,,10.0,,
1594868400,"Четверг, 16 июля
03:00 (UTC)",,,,,,,,,,,,74.9,,,13.4,северо-западный,,,1,,,0,,,0,,,,,20,754,,,14.4,,,10.0,,
1594879200,"Четверг, 16 июля
06:00 (UTC)",,,,,,,,,,,,75.3,,,13.4,северо-западный,,,2,,,0,,,,,,,,20,754,,,17.3,,,9.0,,
1594890000,"Четверг, 16 июля
09:00 (UTC)",,,,,,,,,,,,48.0,,,,северный,,,2,,,,,,,,,,,20,754,,,20.7,,,9.0,,
1594900800,"Четверг, 16 июля
12:00 (UTC)",,,,,,,,,,,,46.7,,,,северо-западный,,,3,,,,,,,,,,,20,754,,,21.9,,,9.0,,
1594911600,"Четверг, 16 июля
15:00 (UTC)",,10.0,,,,,,,,,,44.4,,,,северо-западный,,,3,,,0,,,,,,,,20,755,,,21.3,,,7.0,,
1594922400,"Четверг, 16 июля
18:00 (UTC)",,,,,,,,,,,,55.5,,,,северо-западный,,22.7,1,,,0,,,,,,,,20,755,,,19.1,,,7.0,,
1594933200,"Четверг, 16 июля
21:00 (UTC)",,,,,,,,,,,,71.4,,,,,,,0,,,,,,,,,,,20,756,,,14.5,,,0.0,,
1594944000,"Пятница, 17 июля
00:00 (UTC)",,,,,,,,,,,,92.9,,,,западный,,,1,,,,,,,,,,,20,756,,,10.5,,,0.0,,
1594954800,"Пятница, 17 июля
03:00 (UTC)",,,,,,,,,,,,96.1,,,8.8,западный,,,1,,,0,,,0,,,,,20,757,,,11.4,,,0.0,,
1594965600,"Пятница, 17 июля
06:00 (UTC)",,,,,,,,,,,,68.8,,,8.8,западный,,,2,,,0,,,,,,,,20,757,,,19.8,,,0.0,,
1594976400,"Пятница, 17 июля
09:00 (UTC)",,,,,,,,,,,,40.3,,,,северо-западный,,,2,,,,,,,,,,,20,758,,,23.8,,,2.0,,
1594987200,"Пятница, 17 июля
12:00 (UTC)",,,,,,,,,,,,25.1,,,,западный,,,4,,,,,,,,,,,20,758,,,25.0,,,1.0,,
1594998000,"Пятница, 17 июля
15:00 (UTC)",,,,,,,,,,,,26.7,,,,северо-западный,,,2,,,0,,,,,,,,20,758,,,25.3,,,0.0,,
1595008800,"Пятница, 17 июля
18:00 (UTC)",,,,,,,,,,,,38.1,,,,северо-западный,,25.9,1,,,0,,,,,,,,20,759,,,21.7,,,0.0,,
1595019600,"Пятница, 17 июля
21:00 (UTC)",,,,,,,,,,,,88.8,,,,,,,0,,,,,,,,,,,20,760,,,12.2,,,1.0,,
1595030400,"Суббота, 18 июля
00:00 (UTC)",,,,,,,,,,,,94.7,,,,,,,0,,,,,,,,,,,20,761,,,9.3,,,0.0,,
1595041200,"Суббота, 18 июля
03:00 (UTC)",,,,,,,,,,,,96.0,,,8.1,,,,0,,,0,,,0,,,,,20,761,,,9.5,,,0.0,,
1595052000,"Суббота, 18 июля
06:00 (UTC)",,,,,,,,,,,,49.7,,,8.1,,,,0,,,0,,,,,,,,20,762,,,22.3,,,0.0,,
1595062800,"Суббота, 18 июля
09:00 (UTC)",,,,,,,,,,,,33.1,,,,северо-западный,,,1,,,,,,,,,,,20,762,,,26.2,,,0.0,,
1595073600,"Суббота, 18 июля
12:00 (UTC)",,,,,,,,,,,,28.2,,,,северо-западный,,,2,,,,,,,,,,,20,761,,,28.1,,,2.0,,
1595084400,"Суббота, 18 июля
15:00 (UTC)",,,,,,,,,,,,28.9,,,,северо-западный,,,1,,,0,,,,,,,,20,761,,,27.8,,,5.0,,
1595095200,"Суббота, 18 июля
18:00 (UTC)",,,,,,,,,,,,57.8,,,,,,28.7,0,,,0,,,,,,,,20,761,,,22.1,,,9.0,,
1595106000,"Суббота, 18 июля
21:00 (UTC)",,,,,,,,,,,,90.8,,,,юго-западный,,,1,,,,,,,,,,,20,761,,,15.8,,,4.0,,
1595116800,"Воскресенье, 19 июля
00:00 (UTC)",,,,,,,,,,,,94.9,,,,,,,0,,,,,,,,,,,20,762,,,13.8,,,4.0,,
1595127600,"Воскресенье, 19 июля
03:00 (UTC)",,,,,,,,,,,,93.7,,,0.0,,,,0,,,0,,,0,,,,,20,761,,,14.0,,,10.0,,
1595138400,"Воскресенье, 19 июля
06:00 (UTC)",,,,,,,,,,,,75.3,,,13.3,,,,0,,,0,,,,,,,,20,761,,,20.1,,,10.0,,
1595149200,"Воскресенье, 19 июля
09:00 (UTC)",,,,,,,,,,,,58.3,,,,западный,,,1,,,,,,,,,,,20,761,,,24.4,,,10.0,,
1595160000,"Воскресенье, 19 июля
12:00 (UTC)",,,,,,,,,,,,40.5,,,,западный,,,2,,,,,,,,,,,20,760,,,27.4,,,7.0,,
1595170800,"Воскресенье, 19 июля
15:00 (UTC)",,,,,,,,,,,,34.1,,,,северо-западный,,,2,,,0,,,,,,,,20,759,,,26.6,,,6.0,,
1595181600,"Воскресенье, 19 июля
18:00 (UTC)",,,,,,,,,,,,51.6,,,,северо-западный,,28.2,1,,,0,,,,,,,,20,759,,,23.0,,,7.0,,
1595192400,"Воскресенье, 19 июля
21:00 (UTC)",,,,,,,,,,,,86.8,,,,западный,,,1,,,,,,,,,,,20,759,,,16.0,,,7.0,,
1595203200,"Понедельник, 20 июля
00:00 (UTC)",,,,,,,,,,,,92.5,,,,,,,0,,,,,,,,,,,20,758,,,13.9,,,4.0,,
1595214000,"Понедельник, 20 июля
03:00 (UTC)",,,,,,,,,,,,95.5,,,12.6,,,,0,,,0,,,0,,,,,20,758,,,13.1,,,7.0,,
1595224800,"Понедельник, 20 июля
06:00 (UTC)",,,,,,,,,,,,53.0,,,12.6,северный,,,1,,,0,,,,,,,,20,757,,,23.2,,,4.0,,
1595235600,"Понедельник, 20 июля
09:00 (UTC)",,,,,,,,,,,,45.8,,,,северо-западный,,,1,,,,,,,,,,,20,757,,,25.3,,,7.0,,
1595246400,"Понедельник, 20 июля
12:00 (UTC)",,,,,,,,,,,True,31.6,,,,западный,,,3,,,,,,,,,,,20,756,,,27.9,,,5.0,,
1595257200,"Понедельник, 20 июля
15:00 (UTC)",,,,,,,,,,,,32.9,,,,северо-западный,,,2,,,0,,,,,,,,20,755,,,26.5,,True,5.0,,
1595268000,"Понедельник, 20 июля
18:00 (UTC)",,,,,,,,,,,,54.5,,,,,,28.5,0,,,0,,,,,,,,20,755,,,22.2,,True,5.0,,
1595278800,"Понедельник, 20 июля
21:00 (UTC)",,,,,,,,,,,,90.2,,,,,,,0,,,,,,,,,,,20,755,,,15.0,,,0.0,,
1595289600,"Вторник, 21 июля
00:00 (UTC)",,,,,,,,,,,,96.1,,,,,,,0,,,,,,,,,,,20,754,,,12.8,,,0.0,,
1595300400,"Вторник, 21 июля
03:00 (UTC)",,,,,,,,,,,,97.4,,,11.3,,,,0,,,0,,,0,,,,,20,753,,,12.4,,,2.0,,
1595311200,"Вторник, 21 июля
06:00 (UTC)",,,,,,,,,,,,68.9,,,11.3,западный,,,1,,,0,,,,,,,,20,753,,,20.4,,,6.0,,
1595322000,"Вторник, 21 июля
09:00 (UTC)",,,,,,,,,,,,39.9,,,,западный,,,2,,,,,,,,,,,20,752,,,26.2,,,6.0,,
1595332800,"Вторник, 21 июля
12:00 (UTC)",,10.0,,,,,,,,,True,71.7,,,,западный,,,4,,,,,,,,,,,20,752,,,21.2,,,7.0,,
1595343600,"Вторник, 21 июля
15:00 (UTC)",,,,,,,,,,,,70.4,,,,западный,,,3,,,менее 0.1,,,,,,,,20,752,,,21.1,,True,7.0,,
1595354400,"Вторник, 21 июля
18:00 (UTC)",,,,,True,,,,,,,90.9,,,,западный,,26.6,2,,,2,,,,,,,,20,752,,,17.2,,,10.0,,
1595365200,"Вторник, 21 июля
21:00 (UTC)",,,,,,,,,,,,79.2,,,,западный,,,3,,,,,,,,,,,20,752,,,16.1,,,10.0,,
1595376000,"Среда, 22 июля
00:00 (UTC)",,,,,,,,,,,,90.6,,,,западный,,,2,,,,,,,,,,,20,752,,,12.8,,,2.0,,
1595386800,"Среда, 22 июля
03:00 (UTC)",,,,,,,,,,,,94.9,,,11.4,юго-западный,,,1,,,2,,,2,,,,,20,751,,,12.1,,,0.0,,
1595397600,"Среда, 22 июля
06:00 (UTC)",,,,,,,,,,,,72.9,,,11.4,западный,,,3,,,0,,,,,,,,20,751,,,17.2,,,9.0,,
1595408400,"Среда, 22 июля
09:00 (UTC)",,,,,True,,,,,,,79.7,,,,западный,,,3,,,,,,,,,,,20,750,,,16.1,,,7.0,,
1595419200,"Среда, 22 июля
12:00 (UTC)",,10.0,,,,,,,,,,56.5,,,,западный,,,3,,,,,,,,,,,20,750,,,20.0,,True,7.0,,
1595430000,"Среда, 22 июля
15:00 (UTC)",,11.0,,,,,,,,,,64.2,,,,западный,,,4,,,2,,True,,,,,,20,750,,,17.0,,,9.0,,
1595440800,"Среда, 22 июля
18:00 (UTC)",,10.0,,,,,,,,,,74.4,,,,западный,,20.4,2,,,2,,,,,,,,20,751,,,14.6,,True,9.0,,
1595451600,"Среда, 22 июля
21:00 (UTC)",,,,,,,,,,,,74.5,,,,западный,,,3,,,,,,,,,,,20,752,,,12.1,,,7.0,,
1595462400,"Четверг, 23 июля
00:00 (UTC)",,,,,,,,,,,,82.2,,,,западный,,,1,,,,,,,,,,,20,752,,,10.0,,,4.0,,
1595473200,"Четверг, 23 июля
03:00 (UTC)",,,,,,,,,,,,89.7,,,8.5,юго-западный,,,2,,,0,,,2,,,,,20,752,,,9.0,,,2.0,,
1595484000,"Четверг, 23 июля
06:00 (UTC)",,,,,,,,,,,,61.0,,,8.5,западный,,,3,,,0,,,,,,,,20,752,,,15.6,,,2.0,,
1595494800,"Четверг, 23 июля
09:00 (UTC)",,,,,,,,,,,,45.7,,,,западный,,,4,,,,,,,,,,,20,752,,,18.3,,,5.0,,
1595505600,"Четверг, 23 июля
12:00 (UTC)",,14.0,,,,,,,,,True,65.7,,,,западный,,,4,,,,,,,,,,,20,752,,,13.9,,,9.0,,
1595516400,"Четверг, 23 июля
15:00 (UTC)",,,,,,,,,,,,56.3,,,,юго-западный,True,,2,,,3,,,,,,,,20,752,,,16.3,,,7.0,,
1595527200,"Четверг, 23 июля
18:00 (UTC)",,,,,,,True,,,,,66.7,,,,юго-западный,,20.9,1,,,3,,,,,,,,20,752,,,14.1,,,5.0,,
1595538000,"Четверг, 23 июля
21:00 (UTC)",,,,,,,,,,,,88.0,,,,юго-западный,,,1,,,,,,,,,,,20,752,,,10.1,,,2.0,,
1595548800,"Пятница, 24 июля
00:00 (UTC)",,,,,,,,,,,,93.4,,,,юго-западный,,,1,,,,,,,,,,,20,752,,,8.3,,,,,
1595559600,"Пятница, 24 июля
03:00 (UTC)",,,,,,,,,,,,96.0,,,6.8,,,,0,,,0,,,3,,,,,20,752,,,7.7,,,2.0,,
1595570400,"Пятница, 24 июля
06:00 (UTC)",,,,,,,,,,,,72.2,,,6.8,юго-западный,,,2,,,0,,,,,,,,20,753,,,13.5,,,7.0,,
1595581200,"Пятница, 24 июля
09:00 (UTC)",,,,,,,,,,,,54.7,,,,юго-западный,,,2,,,,,,,,,,,20,753,,,17.4,,,9.0,,
1595592000,"Пятница, 24 июля
12:00 (UTC)",,,,,,,,,,,,65.2,,,,южный,,,1,,,,,,,,,,,20,753,,,17.6,,True,9.0,,
1595602800,"Пятница, 24 июля
15:00 (UTC)",,,,,,,,,,,,59.7,,,,юго-западный,,,1,,,1,,,,,,,,20,753,,,17.1,,,9.0,,
1595613600,"Пятница, 24 июля
18:00 (UTC)",,,,,True,,,,,,,78.5,,,,юго-западный,,20.4,1,,,1,,,,,,,,20,753,,,14.7,,,10.0,,
1595624400,"Пятница, 24 июля
21:00 (UTC)",,,,,True,,,,,,,94.3,,,,,,,0,,,,,,,,,,,20,754,,,12.8,,,10.0,,
1595635200,"Суббота, 25 июля
00:00 (UTC)",,,,,,,,,,,,95.5,,,,южный,,,1,,,,,,,True,,,,10,753,,,12.6,,,10.0,,
1595646000,"Суббота, 25 июля
03:00 (UTC)",,,,,,,,,,,,96.1,,,12.5,южный,,,2,,,4,,,6,True,,,,10,753,,,12.6,,,10.0,,
1595656800,"Суббота, 25 июля
06:00 (UTC)",,,,,,,,,,,,95.5,,,12.5,южный,,,1,,,6,,,,,,,,20,753,,,13.2,,True,10.0,,
1595667600,"Суббота, 25 июля
09:00 (UTC)",,,,,,,True,,,,,81.1,,,,южный,,,2,,,,,,,,,,,20,753,,,18.2,,,7.0,,
1595678400,"Суббота, 25 июля
12:00 (UTC)",,,,,,,True,,,,,64.7,,,,южный,,,3,,,,,,,,,,,20,753,,,21.2,,,7.0,,
1595689200,"Суббота, 25 июля
15:00 (UTC)",True,,,,,,,,,,,96.8,,,,южный,,,1,,,11,,,,,,,,10,754,,,13.6,,,10.0,,
1595700000,"Суббота, 25 июля
18:00 (UTC)",,,,,,,True,,,,,96.2,,,,,,23.7,0,,,10,,,,,,,,20,755,,,15.2,,,6.0,,
1595710800,"Суббота, 25 июля
21:00 (UTC)",,,,,,,,,,,,96.8,,,,,,,0,,,,,,,,,,,20,756,,,12.6,,,0.0,,
1595721600,"Воскресенье, 26 июля
00:00 (UTC)",,,,,,,,,,,,97.4,,,,западный,,,1,,,,,,,,,,,20,757,,,11.7,,,0.0,,
1595732400,"Воскресенье, 26 июля
03:00 (UTC)",,,,,,,,,,,,98.0,,,9.3,западный,,,1,,,0.4,,,12,,,,,20,758,,,10.1,,,2.0,,
1595743200,"Воскресенье, 26 июля
06:00 (UTC)",,,,,,,,,,,,85.7,,,9.3,северо-западный,,,1,,,0,,,,,,,,20,759,,,15.9,,,7.0,,
1595754000,"Воскресенье, 26 июля
09:00 (UTC)",,,,,,,,,,,,51.0,,,,восточный,,,1,,,,,,,,,,,20,759,,,21.0,,,5.0,,
1595764800,"Воскресенье, 26 июля
12:00 (UTC)",,,,,,,,,,,,45.2,,,,юго-восточный,,,1,,,,,,,,,,,20,760,,,22.1,,,5.0,,
1595775600,"Воскресенье, 26 июля
15:00 (UTC)",,,,,,,,,,,,38.4,,,,северо-восточный,,,1,,,0,,,,,,,,20,759,,,23.8,,,4.0,,
1595786400,"Воскресенье, 26 июля
18:00 (UTC)",,,,,,,,,,,,61.4,,,,,,24.5,0,,,0,,,,,,,,20,759,,,19.3,,,1.0,,
1595797200,"Воскресенье, 26 июля
21:00 (UTC)",,,,,,,,,,,,94.9,,,,,,,0,,,,,,,,,,,20,760,,,12.0,,,0.0,,
