timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Ливневый дождь со снегом,Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Мгла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Град,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Туман без изменений (небо не видно)
1589943600,"Среда, 20 мая
03:00 (UTC)",,,2,,,,2,,,True,,4.0,739,,,8.1,,94.0,,7.6,,,10.0,,,0,
1589954400,"Среда, 20 мая
06:00 (UTC)",,,2,,,,,True,,,,10.0,738,,,9.2,,81.5,,7.6,,восточный,10.0,,,1,
1589965200,"Среда, 20 мая
09:00 (UTC)",,,,,,,,,,,,10.0,738,,,12.3,,58.1,,,,западный,7.0,,,1,
1589976000,"Среда, 20 мая
12:00 (UTC)",,,,,,,,,,,,10.0,738,,,14.2,,46.2,,,,западный,9.0,,,1,
1589986800,"Среда, 20 мая
15:00 (UTC)",,,0.4,,,,,,,,,10.0,738,,,11.7,,62.6,,,,северный,9.0,,,1,
1589997600,"Среда, 20 мая
18:00 (UTC)",,,менее 0.1,,,,,,,,,10.0,739,,,9.5,,60.3,,,True,западный,9.0,,15.6,1,
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,,,,,10.0,739,,,5.1,,77.0,,,,северо-западный,0.0,,,1,
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,,,,,,,,,10.0,740,,,2.2,,87.2,,,,северо-западный,0.0,,,1,
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,менее 0.1,,,,0.4,,,,,10.0,740,,,3.5,,83.1,,1.4,,северо-западный,0.0,,,2,
1590040800,"Четверг, 21 мая
06:00 (UTC)",,,0,,,,,,,,,10.0,740,,,8.5,,63.2,,1.4,,западный,2.0,,,2,
1590051600,"Четверг, 21 мая
09:00 (UTC)",,,,,,,,,,,,10.0,740,,,10.0,,52.0,,,,северо-западный,6.0,,,2,
1590062400,"Четверг, 21 мая
12:00 (UTC)",,,,,,,,,,,,10.0,740,,,13.4,,33.4,,,,западный,5.0,,,3,
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,0,,,,,,,,,10.0,740,,,11.2,,44.3,,,,северо-западный,7.0,,,1,
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,менее 0.1,,,,,True,,,,10.0,741,,,4.6,,79.7,,,,,2.0,,13.4,0,
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,,,10.0,741,,,2.6,,91.1,,,,северо-западный,0.0,,,1,
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,,,,,,,,10.0,742,,,2.6,,93.1,,,,юго-западный,6.0,,,1,
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,менее 0.1,,,,менее 0.1,,,,,10.0,742,,,2.6,,94.5,,1.3,,юго-западный,7.0,,,1,
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,0,,,,,,,,,10.0,741,,,8.3,,67.3,,1.3,,западный,9.0,,,1,
1590138000,"Пятница, 22 мая
09:00 (UTC)",,,,,,,,,,,,10.0,741,,,10.2,,57.1,,,,северо-западный,9.0,,,1,
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,,,,,,,True,,10.0,742,,,7.3,,75.7,,,,южный,9.0,,,3,
1590159600,"Пятница, 22 мая
15:00 (UTC)",,,1,,,,,,,,,10.0,742,,,10.4,,61.0,,,True,юго-восточный,9.0,,,4,
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,1,,,,,,,True,,10.0,743,,,7.2,,83.5,,,,северо-западный,10.0,,13.7,1,
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,,,,,,,True,,,4.0,743,,,4.6,,94.5,,,,,7.0,,,0,
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,,,,,,,True,,,4.0,743,,,4.5,,96.6,,,,,7.0,,,0,
1590202800,"Суббота, 23 мая
03:00 (UTC)",,,2,,,,3,,True,,,4.0,743,,,5.8,,96.6,,3.8,,северный,9.0,,,1,
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,2,,,,,,,True,,4.0,744,,,7.1,,89.6,,3.8,,северный,10.0,,,1,
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,,,,,,,,,10.0,745,,,9.4,,77.1,,,True,северный,10.0,,,1,
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,,,,,,,,,,10.0,746,,,9.0,,78.2,,,True,восточный,7.0,,,1,
1590246000,"Суббота, 23 мая
15:00 (UTC)",,,1,,,,,,,,,10.0,746,,,9.8,,74.6,,,True,северный,7.0,,,1,
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,0.7,,,,,,,,,10.0,746,,,9.3,,71.4,,,True,северный,9.0,,10.8,1,
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,,,,,,,,,,10.0,746,,,7.3,,75.2,,,True,северный,10.0,,,2,
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,,,,,,,,,10.0,746,,,6.0,,85.2,,,True,,10.0,,,0,
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,менее 0.1,,,,1,,,,,10.0,746,,,5.2,,83.9,,5.2,,,9.0,,,0,
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,менее 0.1,,,,,,,,,10.0,747,,,9.9,,64.9,,5.2,,восточный,7.0,,,1,
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,,,,,10.0,746,,,12.6,,50.5,,,,северо-западный,9.0,,,1,
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,,,,,,,,,10.0,746,,,14.8,,43.8,,,,южный,7.0,,,2,
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,0,,,,,,,,,10.0,746,,,13.2,,52.1,,,,юго-западный,9.0,,,2,
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,менее 0.1,,,,,True,,,,10.0,747,,,9.2,,76.6,,,,юго-восточный,6.0,,16.0,1,
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,,,10.0,748,,,6.1,,92.0,,,,юго-восточный,0.0,,,1,
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,,,,,10.0,748,,,3.5,,93.8,,,,,0.0,,,0,
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,менее 0.1,,,,менее 0.1,,,,,10.0,749,,,5.7,,92.0,,2.9,,южный,9.0,,,1,
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,менее 0.1,,,,,,,,,10.0,750,,,12.8,,66.4,,2.9,,южный,7.0,,,1,
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,,,,,,10.0,750,,,15.2,,49.1,,,,западный,7.0,,,1,
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,,,,,,,,,10.0,750,,,17.6,,38.8,,,,юго-восточный,7.0,,,2,
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,0,,,,,,,,,10.0,750,,,16.6,,45.6,,,,юго-восточный,7.0,,,2,
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,0,,,,,,,,,10.0,751,,,14.6,,54.4,,,,восточный,7.0,,17.7,1,
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,,,,,,10.0,751,,,12.0,,66.7,,,,северо-восточный,7.0,,,1,
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,,,,,,,,,10.0,751,,,7.8,,83.0,,,,северный,0.0,,,1,
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,0,,,,0,,,,,10.0,752,,,9.3,,75.0,,6.8,,северо-восточный,10.0,,,1,
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,0,,,,,,,,,10.0,752,,,11.4,,72.8,,6.8,,юго-восточный,10.0,,,3,
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,,,,,,,,,,10.0,752,,,15.1,,52.3,,,,восточный,10.0,,,2,
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,,,,True,,,,,,10.0,752,,,12.8,,71.6,,,,восточный,10.0,,,2,
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,0.5,,,,,,,True,,10.0,751,,,13.0,,74.6,,,,северный,10.0,,,1,
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,1,,,,,,,True,,10.0,751,,,10.8,,91.1,,,,,10.0,,15.6,0,
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,,,True,,,,10.0,750,,,8.5,,94.7,,,,,7.0,,,0,
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,,,,,10.0,750,,,9.4,,91.0,,,True,северо-восточный,9.0,,,1,
1590548400,"Среда, 27 мая
03:00 (UTC)",,,1,,,,2,,,,,10.0,750,,,10.8,,85.7,,8.1,,северо-восточный,9.0,,,1,
1590559200,"Среда, 27 мая
06:00 (UTC)",,,0.3,,,,,,,,,10.0,751,,,13.1,,71.2,,8.1,,восточный,7.0,,,1,
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,,,10.0,751,,,14.2,,63.2,,,,восточный,9.0,,,2,
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,,,,,,,,10.0,751,,,16.0,,54.7,,,,юго-восточный,7.0,,,1,
1590591600,"Среда, 27 мая
15:00 (UTC)",,,0,,,,,,,,,10.0,750,,,15.6,,55.0,,,,восточный,7.0,,,2,
1590602400,"Среда, 27 мая
18:00 (UTC)",,,0,,,,,,,,,10.0,750,,,13.3,,67.9,,,,юго-восточный,7.0,,17.5,1,
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,,,10.0,751,,,9.2,,90.3,,,,юго-восточный,7.0,,,1,
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,,,,,10.0,750,,,6.4,,94.6,,,,,7.0,,,0,
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,0,,,,0,,,,,10.0,750,,,7.6,,96.0,,5.7,,северный,9.0,,,1,
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,0,,,,,,,,,10.0,750,,,13.2,,74.7,,5.7,,северо-восточный,10.0,,,1,
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,,,,,10.0,750,,,15.1,,65.6,,,,юго-восточный,10.0,,,3,
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,,,,,,True,,10.0,749,,,15.2,,67.8,,,,восточный,10.0,,,2,
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,0.3,,,,,,,,,10.0,748,,,14.9,,72.5,,,True,восточный,10.0,,,2,
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,0.3,,,,,,,,,10.0,746,,,13.6,,77.3,,,True,северо-восточный,9.0,,15.8,2,
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,,,10.0,744,,,14.0,,69.4,,,,восточный,7.0,,,3,
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,,,,,10.0,742,,,15.5,,70.7,,,,восточный,9.0,,,3,
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,менее 0.1,,,,0.3,,,True,,10.0,742,,,14.3,,84.9,,13.4,,юго-восточный,10.0,,,2,
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,2,,,,,,,,,10.0,742,,,15.8,,89.6,,13.4,True,юго-восточный,10.0,,,3,
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,,,,,,10.0,742,,,17.3,,88.6,,,True,юго-восточный,9.0,,,3,
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,,,,,,,,,10.0,742,,,20.1,,78.8,,,True,восточный,10.0,,,1,
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,4,,,,,,,,,10.0,741,,,20.3,,82.4,,,True,северо-восточный,9.0,,,2,
1590775200,"Пятница, 29 мая
18:00 (UTC)",True,,12,,,,,,,,,10.0,740,,,16.1,,95.6,,,,северо-восточный,10.0,,21.1,2,
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,True,,,,10.0,739,,,15.6,,93.2,,,,северо-восточный,7.0,,,3,
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,,,,,,True,,10.0,739,,,15.7,,92.0,,,,северо-восточный,10.0,,,2,
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,14,,,,17,,,,,10.0,737,,,15.6,,90.2,,15.4,True,северо-восточный,10.0,,,2,
1590818400,"Суббота, 30 мая
06:00 (UTC)",,,3,,,,,,,,,10.0,736,,,17.0,,78.3,,15.4,True,северо-восточный,9.0,,,2,
1590829200,"Суббота, 30 мая
09:00 (UTC)",,,,,,,,,,,,10.0,736,,,19.6,,61.5,,,,восточный,10.0,,,3,
1590840000,"Суббота, 30 мая
12:00 (UTC)",,11.0,,,,,,,,,,2.0,736,True,,14.6,,92.5,,,,восточный,10.0,,,3,
1590850800,"Суббота, 30 мая
15:00 (UTC)",,,14,,,,,,,True,,4.0,737,,,14.6,,95.0,,,,юго-восточный,10.0,,,2,
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,15,,,,,,,,,10.0,738,,,14.0,,92.5,,,True,юго-восточный,9.0,,20.3,2,
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,,,,,10.0,738,,,12.3,,93.6,,,,юго-восточный,6.0,,,1,
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,,,,,True,,,4.0,738,,,10.6,,94.8,,,,юго-восточный,1.0,,,1,
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,0.6,,,,15,,,,,10.0,738,,,10.8,,96.1,,9.7,,южный,2.0,,,1,
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,0,,,,,,,,,10.0,739,,,12.7,,89.4,,9.7,,юго-западный,10.0,,,2,
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,,,,,,,,,,,10.0,739,,,16.6,,70.0,,,,юго-западный,7.0,,,1,
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,,,,,True,,,,,,10.0,738,,,16.0,,74.6,,,,юго-западный,7.0,,,2,
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,,2,,,,,,,,,10.0,738,,,16.1,,67.6,,,,западный,9.0,,,2,
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,,5,,,True,,,,,,10.0,739,,,10.6,,92.9,,,,северный,10.0,,18.0,2,
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,,,True,,10.0,739,,,9.2,,93.5,,,,северный,10.0,,,2,
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,,,,,,,True,,4.0,739,,,8.7,,94.7,,,,северный,10.0,,,2,
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,10,,,,12,,,True,,4.0,738,,,8.6,,94.1,,8.6,,северный,10.0,,,2,
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,9,,,,,,,True,,4.0,738,,,9.2,,92.2,,8.5,,северо-восточный,10.0,,,3,
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,,,,True,,4.0,738,,,10.4,,92.3,,,,северо-восточный,10.0,,,3,
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,,,,,,,,,,10.0,738,,,13.6,,82.6,,,True,северо-восточный,9.0,,,2,
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,5,,,,,,,,,10.0,737,,,15.1,,72.5,,,,восточный,9.0,,,3,
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,3,,,,,,,True,,10.0,738,,,12.7,,88.2,,,,восточный,10.0,,15.2,3,
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,,,10.0,738,,,12.4,,91.2,,,True,восточный,10.0,,,2,
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,,,,,,,,10.0,737,,,11.9,,90.5,,,True,восточный,10.0,,,3,
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,5,,,,10,,,True,,10.0,737,,,11.0,,94.8,,11.0,,восточный,9.0,,,2,
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,7,,,True,,,,,,10.0,737,,,13.6,,85.4,,11.0,,юго-восточный,7.0,,,3,
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,,,,,,,,,,10.0,738,,,16.7,,68.1,,,,юго-восточный,7.0,,,4,
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,,,,True,,,,,,10.0,738,,,17.0,,64.7,,,,южный,7.0,,,3,
1591110000,"Вторник, 2 июня
15:00 (UTC)",,,2,,,,,,,,,10.0,739,,,17.2,,57.3,,,True,южный,7.0,,,2,
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,менее 0.1,,,,,,,,,10.0,739,,,13.3,,81.5,,,,,7.0,,18.5,0,
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,,,10.0,739,,,12.6,,87.6,,,,,7.0,,,0,
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,,,,,,True,,,4.0,739,,,10.4,,92.9,,,,,9.0,,,0,
1591153200,"Среда, 3 июня
03:00 (UTC)",,,0,,,,2,,True,,,4.0,738,,,10.4,,92.9,,10.2,,,9.0,,,0,
1591164000,"Среда, 3 июня
06:00 (UTC)",,,0,,,,,,,,,10.0,738,,,15.2,,78.0,,10.2,,,6.0,,,0,
1591174800,"Среда, 3 июня
09:00 (UTC)",,,,,,,,,,,,10.0,738,,,18.8,,53.6,,,,северо-восточный,7.0,,,2,
1591185600,"Среда, 3 июня
12:00 (UTC)",,,,,,,,,,,,10.0,738,,,15.9,,72.2,,,,восточный,10.0,,,2,
1591196400,"Среда, 3 июня
15:00 (UTC)",,,0,,,,,,,,,10.0,737,,,18.0,,56.8,,,,,9.0,,,0,
1591207200,"Среда, 3 июня
18:00 (UTC)",,,0,,,,,,,,,10.0,737,,,14.4,,80.0,,,,,7.0,,19.9,0,
1591218000,"Среда, 3 июня
21:00 (UTC)",,,,,,,,,,,,10.0,736,,,11.3,,92.9,,,,западный,5.0,,,1,
1591228800,"Четверг, 4 июня
00:00 (UTC)",,,,,,,,,,,,10.0,736,,,9.5,,95.4,,,,южный,0.0,,,1,
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,0,,,,0,,,,,10.0,736,,,10.3,,96.1,,8.2,,,9.0,,,0,
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,0,,,,,,,,,10.0,736,,,15.5,,74.5,,8.2,,юго-западный,9.0,,,2,
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,,,,,,,,,,10.0,736,,,15.6,,68.4,,,True,юго-западный,7.0,,,3,
1591272000,"Четверг, 4 июня
12:00 (UTC)",,,,,,,,,,,,10.0,737,,,14.5,,74.9,,,True,юго-западный,7.0,,,3,
1591282800,"Четверг, 4 июня
15:00 (UTC)",,,1,,,,,,,,,10.0,737,,,17.3,,53.2,,,,южный,7.0,,,3,
1591293600,"Четверг, 4 июня
18:00 (UTC)",,14.0,4,,,,,,,,,10.0,739,,,10.8,,93.5,,,,юго-восточный,9.0,True,17.8,2,
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,,,,,,,,,10.0,739,,,11.0,,86.9,,,,южный,7.0,,,3,
1591315200,"Пятница, 5 июня
00:00 (UTC)",,,,,,,,,,,,10.0,739,,,8.6,,92.2,,,,южный,7.0,,,1,
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,3,,,,4,,,,,10.0,739,,,10.4,,89.2,,8.3,,юго-восточный,7.0,,,2,
1591336800,"Пятница, 5 июня
06:00 (UTC)",,,3,,,,,,,,,10.0,739,,,11.3,True,94.8,,8.3,,юго-восточный,10.0,,,2,
1591347600,"Пятница, 5 июня
09:00 (UTC)",,10.0,,,,,,,,,,10.0,739,,,13.2,,78.3,,,True,южный,10.0,,,4,
1591358400,"Пятница, 5 июня
12:00 (UTC)",,10.0,,,,True,,,,,,10.0,740,,,15.7,,79.2,,,,южный,7.0,,,3,
1591369200,"Пятница, 5 июня
15:00 (UTC)",,,15,,,,,,,,,10.0,740,,,17.6,,66.1,,,,юго-западный,7.0,,,2,
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,11,,,,,,,,,10.0,740,,,15.0,,83.3,,,,южный,2.0,,17.6,1,
1591390800,"Пятница, 5 июня
21:00 (UTC)",,,,,,,,,True,,,4.0,741,,,12.6,,94.3,,,,южный,2.0,,,1,
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,,,,,,True,,,2.0,741,,,13.7,,96.2,,,,юго-восточный,10.0,,,2,
1591412400,"Суббота, 6 июня
03:00 (UTC)",,,0,,,,15,,True,,,4.0,742,,,14.0,,96.2,,12.4,,юго-восточный,9.0,,,2,
1591423200,"Суббота, 6 июня
06:00 (UTC)",,,0,,,,,,,,,10.0,742,,,18.2,,79.5,,12.4,,южный,7.0,,,2,
1591434000,"Суббота, 6 июня
09:00 (UTC)",,,,,,,,,,,,10.0,742,,,21.7,,68.7,,,,юго-восточный,7.0,,,4,
1591444800,"Суббота, 6 июня
12:00 (UTC)",,,,,,,,,,,,10.0,742,,,23.0,,64.7,,,,южный,10.0,,,3,
1591455600,"Суббота, 6 июня
15:00 (UTC)",,,0,,,,,,,,,10.0,742,,,23.8,,59.7,,,,южный,7.0,,,3,
1591466400,"Суббота, 6 июня
18:00 (UTC)",,,0,,,,,,,,,1.0,743,,,21.5,,72.7,,,,южный,9.0,,24.5,2,
1591477200,"Суббота, 6 июня
21:00 (UTC)",,,,,,,,,,,,10.0,743,,,18.0,,88.1,,,,южный,9.0,,,1,
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,,,,,,,,True,,,4.0,743,,,16.3,,93.2,,,,юго-восточный,7.0,,,1,
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,,0,,,,0,,True,,,4.0,744,,,17.4,,88.6,,15.7,,южный,9.0,,,1,
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,,0,,,,,,,,,10.0,745,,,23.3,,67.7,,15.7,,юго-восточный,4.0,,,1,
1591520400,"Воскресенье, 7 июня
09:00 (UTC)",,,,,,,,,,,,10.0,745,,,26.0,,59.8,,,,южный,4.0,,,2,
1591531200,"Воскресенье, 7 июня
12:00 (UTC)",,,,,,,,,,,,10.0,745,,,26.3,,58.1,,,,юго-западный,7.0,,,1,
1591542000,"Воскресенье, 7 июня
15:00 (UTC)",,,0,,,,,,,,,10.0,745,,,27.1,,53.0,,,,западный,6.0,,,1,
1591552800,"Воскресенье, 7 июня
18:00 (UTC)",,,0,,,,,,,,,10.0,745,,,21.9,,77.1,,,,южный,9.0,,27.9,1,
1591563600,"Воскресенье, 7 июня
21:00 (UTC)",,,,,,,,,,,,10.0,745,,,21.0,,79.4,,,,восточный,9.0,,,2,
1591574400,"Понедельник, 8 июня
00:00 (UTC)",,,,,,,,,,,,10.0,745,,,16.8,,93.8,,,,,6.0,,,0,
1591585200,"Понедельник, 8 июня
03:00 (UTC)",,,0,,,,0,,,,,10.0,746,,,17.6,,95.1,,16.3,,,2.0,,,0,
1591596000,"Понедельник, 8 июня
06:00 (UTC)",,,0,,,,,,,,,10.0,746,,,25.5,,52.6,,16.3,,юго-восточный,0.0,,,1,
1591606800,"Понедельник, 8 июня
09:00 (UTC)",,,,,,,,,,,,10.0,746,,,27.8,,42.8,,,,южный,6.0,,,1,
1591617600,"Понедельник, 8 июня
12:00 (UTC)",,,,,,,,,,,,10.0,746,,,27.9,,44.8,,,,юго-восточный,7.0,,,2,
1591628400,"Понедельник, 8 июня
15:00 (UTC)",,,0,,,,,,,,,10.0,745,,,27.4,,42.9,,,,юго-восточный,4.0,,,2,
1591639200,"Понедельник, 8 июня
18:00 (UTC)",,,0,,,,,,,,,10.0,745,,,23.1,,63.1,,,,юго-восточный,6.0,,28.5,1,
1591650000,"Понедельник, 8 июня
21:00 (UTC)",,,,,,,,,,,,10.0,745,,,19.4,,77.7,,,,южный,7.0,,,1,
1591660800,"Вторник, 9 июня
00:00 (UTC)",,,,,,,,,,,,10.0,745,,,18.4,,79.0,,,,южный,7.0,,,1,
1591671600,"Вторник, 9 июня
03:00 (UTC)",,,0,,,,0,,,,,10.0,746,,,18.8,,85.9,,16.3,,,0.0,,,0,
1591682400,"Вторник, 9 июня
06:00 (UTC)",,,0,,,,,,,,,10.0,746,,,25.2,,65.2,,16.3,,юго-восточный,0.0,,,2,
1591693200,"Вторник, 9 июня
09:00 (UTC)",,,,,,,,,,,,10.0,746,,,28.0,,51.6,,,,юго-восточный,6.0,,,3,
1591704000,"Вторник, 9 июня
12:00 (UTC)",,,,,,,,,,,,10.0,745,,,28.7,,45.3,,,,юго-восточный,6.0,,,3,
1591714800,"Вторник, 9 июня
15:00 (UTC)",,,0.5,,,True,,,,,,10.0,745,,,25.8,,64.9,,,,восточный,4.0,,,2,
1591725600,"Вторник, 9 июня
18:00 (UTC)",,,0.5,,,,,True,,,,10.0,745,,,24.3,,70.1,,,,юго-восточный,4.0,,29.2,2,
1591736400,"Вторник, 9 июня
21:00 (UTC)",,,,,,,,,,,,10.0,745,,,21.6,,77.0,,,,восточный,0.0,,,2,
1591747200,"Среда, 10 июня
00:00 (UTC)",,,,,,,,,,,,10.0,746,,,19.2,,80.7,,,,юго-восточный,0.0,,,2,
1591758000,"Среда, 10 июня
03:00 (UTC)",,,0,,,,0.5,,,,,10.0,746,,,19.0,,78.1,,18.4,,юго-восточный,0.0,,,2,
1591768800,"Среда, 10 июня
06:00 (UTC)",,,0,,,,,,,,,10.0,746,,,23.8,,66.1,,18.4,,юго-восточный,0.0,,,2,
1591779600,"Среда, 10 июня
09:00 (UTC)",,,,,,,,,,,,10.0,746,,,27.5,,57.6,,,,юго-восточный,0.0,,,3,
1591790400,"Среда, 10 июня
12:00 (UTC)",,,,,,,,,,,,10.0,745,,,28.6,,52.7,,,,юго-восточный,2.0,,,3,
1591801200,"Среда, 10 июня
15:00 (UTC)",,,0,,,,,,,,,10.0,745,,,28.2,,51.6,,,,юго-восточный,1.0,,,3,
1591812000,"Среда, 10 июня
18:00 (UTC)",,,0,,,,,,,,,10.0,745,,,25.1,,62.3,,,,восточный,0.0,,28.9,2,
1591822800,"Среда, 10 июня
21:00 (UTC)",,,,,,,,,,,,10.0,745,,,21.0,,71.7,,,,юго-восточный,0.0,,,2,
1591833600,"Четверг, 11 июня
00:00 (UTC)",,,,,,,,,,,,,745,,,19.8,,70.6,,,,юго-восточный,,,,2,
1591844400,"Четверг, 11 июня
03:00 (UTC)",,,0,,,,0,,,,,10.0,745,,,19.2,,72.8,,18.7,,юго-восточный,2.0,,,2,
1591855200,"Четверг, 11 июня
06:00 (UTC)",,,0,,,,,,,,,10.0,745,,,24.5,,57.3,,18.7,,юго-восточный,2.0,,,2,
1591866000,"Четверг, 11 июня
09:00 (UTC)",,,,,,,,,,,,10.0,745,,,27.3,,48.2,,,,восточный,6.0,,,3,
1591876800,"Четверг, 11 июня
12:00 (UTC)",,,,,,,,,,,,10.0,745,,,27.8,,46.2,,,,юго-восточный,6.0,,,4,
1591887600,"Четверг, 11 июня
15:00 (UTC)",,,0,,,,,,,,,10.0,744,,,27.6,,45.9,,,,восточный,2.0,,,3,
1591898400,"Четверг, 11 июня
18:00 (UTC)",,,0,,,,,,,,,10.0,743,,,23.9,,61.7,,,,восточный,0.0,,28.5,1,
1591909200,"Четверг, 11 июня
21:00 (UTC)",,,,,,,,,,,,10.0,743,,,21.5,,70.0,,,,северо-восточный,0.0,,,1,
