timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневой дождь очень сильный,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Дождь (незамерзающий) слабый с перерывами,"Дождь замерзающий, образующий гололёд, слабый","Горизонтальная видимость, км",Дождь (незамерзающий) умеренный непрерывный,"Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1589943600,"Среда, 20 мая
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,706.0,,,11.0,,48.6,11.0,,юго-восточный,0.0,,,2.0
1589954400,"Среда, 20 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,706.0,,,13.2,,43.3,,,южный,0.0,,,2.0
1589965200,"Среда, 20 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,21.1,,39.0,,,северо-восточный,0.0,,,2.0
1589976000,"Среда, 20 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,22.1,,24.9,,,восточный,0.0,,,2.0
1589986800,"Среда, 20 мая
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,702.0,,,21.8,,26.8,,,северо-восточный,0.0,,23.5,2.0
1589997600,"Среда, 20 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,17.1,,33.5,,,восточный,0.0,,,1.0
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,15.5,,34.0,,,восточный,0.0,,,1.0
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,700.0,,,12.7,,36.2,,,,2.0,,,0.0
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,701.0,,,12.4,,32.6,12.4,,юго-западный,2.0,,,2.0
1590040800,"Четверг, 21 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,701.0,,,13.5,,30.3,,,восточный,0.0,,,2.0
1590051600,"Четверг, 21 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,700.0,,,23.4,,27.9,,,северо-восточный,0.0,,,2.0
1590062400,"Четверг, 21 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,699.0,,,26.1,,24.6,,,восточный,0.0,,,2.0
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,699.0,,,22.2,,27.7,,,восточный,5.0,,27.5,2.0
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,699.0,,,17.0,,32.0,,,восточный,0.0,,,1.0
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,699.0,,,15.7,,47.9,,,восточный,0.0,,,1.0
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,698.0,,,15.0,,49.4,,,северо-восточный,2.0,,,2.0
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,698.0,,,15.3,,47.1,15.0,,юго-западный,6.0,,,2.0
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,699.0,,,17.5,,40.4,,,юго-западный,2.0,,,2.0
1590138000,"Пятница, 22 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,698.0,,,24.0,,60.9,,,восточный,7.0,,,1.0
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,698.0,,,23.2,,64.3,,,южный,9.0,,,1.0
1590159600,"Пятница, 22 мая
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,699.0,,True,20.4,,66.7,,,южный,10.0,,26.5,2.0
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,,,,,,,,True,,,,,,20.0,,698.0,,,16.1,,77.2,,,северо-западный,7.0,,,2.0
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,14.0,,,,,,,,,,,,,20.0,,701.0,,,14.0,,77.9,,,северный,10.0,,,2.0
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,14.0,,,,,,,,,,,,,10.0,,698.0,,,13.7,,74.2,,,северный,4.0,,,4.0
1590202800,"Суббота, 23 мая
03:00 (UTC)",,,,,,8,,,8,,,,,,,2.0,,699.0,,,12.4,True,87.0,12.0,,северо-восточный,10.0,,,2.0
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,,,,,,,,,True,,,,,2.0,,702.0,,,10.1,,97.4,9.5,,северо-западный,10.0,,,2.0
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,,,,,,,,True,,,,,2.0,,703.0,,,10.0,,97.4,,,северный,10.0,,,1.0
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,,,,,,,,,,True,,,,4.0,,706.0,,,7.8,,88.4,,,северный,10.0,,,2.0
1590246000,"Суббота, 23 мая
15:00 (UTC)",,,,,,17,,,,,,,,,,10.0,,707.0,,,8.6,,86.0,,True,юго-западный,10.0,,12.4,1.0
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,709.0,,,8.0,,86.0,,True,северный,10.0,,,1.0
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,,,,,,True,,,,,,,,10.0,,708.0,,,8.6,,82.0,,,северо-западный,10.0,,,1.0
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,708.0,,,7.4,,81.8,,,,10.0,,,0.0
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,,,,1,,,18,,,,,,,20.0,,708.0,,,7.6,,91.5,6.0,,восточный,10.0,,,1.0
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,8.4,,84.8,,,северо-восточный,9.0,,,1.0
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,10.0,,69.6,,,южный,10.0,,,2.0
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,12.0,,60.1,,,южный,10.0,,,2.0
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,,,,0,,,,,,,,,,10.0,,708.0,,,11.8,,65.7,,,юго-восточный,10.0,,12.0,2.0
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,711.0,,,8.0,,77.5,,True,восточный,10.0,,,2.0
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,710.0,,,5.0,,74.8,,,южный,10.0,,,2.0
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,710.0,,,4.3,,77.4,,,южный,10.0,,,2.0
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,,менее 0.1,,,менее 0.1,,,,,,,20.0,,710.0,,,5.0,,74.8,4.3,,юго-восточный,10.0,,,2.0
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,709.0,,,7.3,,70.0,,,южный,10.0,,,2.0
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,707.0,,,8.0,,73.7,,,южный,10.0,,,2.0
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,707.0,,,9.4,,74.0,,,южный,10.0,,,2.0
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,,,1,,,,,,,,,,20.0,,707.0,,,8.1,,78.0,,True,юго-восточный,10.0,,10.0,2.0
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,7.0,,78.4,,,юго-восточный,10.0,,,2.0
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,6.3,,78.8,,,юго-восточный,10.0,,,2.0
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,,,,5.3,,81.0,,,восточный,10.0,,,2.0
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,,,,0,,,1,,,,,,,20.0,,706.0,,,6.0,,74.4,5.0,,восточный,7.0,,,2.0
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,707.0,,,10.2,,69.6,,,юго-восточный,2.0,,,2.0
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,16.6,,64.1,,,северный,7.0,,,2.0
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,18.2,,62.8,,,северо-восточный,7.0,,,2.0
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,709.0,,,17.4,,70.6,,,южный,7.0,,20.0,1.0
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,709.0,,,16.2,,71.3,,,,7.0,,,0.0
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,13.1,,73.6,,,северо-восточный,0.0,,,1.0
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,709.0,,,10.8,,80.1,,,,0.0,,,0.0
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,708.0,,,13.6,,75.2,9.5,,,7.0,,,0.0
1590559200,"Среда, 27 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,16.0,,68.9,,,южный,7.0,,,2.0
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,17.4,,71.5,,,южный,9.0,,,2.0
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,707.0,,,20.0,,67.5,,,южный,6.0,,,2.0
1590591600,"Среда, 27 мая
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,707.0,,,19.0,,71.8,,,восточный,9.0,,21.0,2.0
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,707.0,,,17.2,,74.8,,,восточный,9.0,,,2.0
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,707.0,,,14.7,,78.0,,,,9.0,,,0.0
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,705.0,,,12.0,,79.7,,,,0.0,,,0.0
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,705.0,,,16.0,,68.9,10.0,,восточный,0.0,,,1.0
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,705.0,,,19.0,,66.4,,,северо-западный,0.0,,,1.0
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,23.2,,30.0,,,северный,0.0,,,2.0
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,25.0,,24.8,,,восточный,0.0,,,1.0
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,703.0,,,24.5,,25.7,,,северо-восточный,0.0,,25.0,2.0
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,18.4,,44.5,,,восточный,0.0,,,2.0
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,16.0,,44.8,,,восточный,0.0,,,2.0
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,701.0,,,14.3,,45.2,,,северо-восточный,0.0,,,2.0
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,701.0,,,16.6,,33.6,14.3,,северо-западный,2.0,,,2.0
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,701.0,,,19.5,,30.7,,,восточный,2.0,,,2.0
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,698.0,,,25.4,,22.2,,,северо-восточный,2.0,,,3.0
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,697.0,,,27.0,,24.5,,,северо-восточный,0.0,,,2.0
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,,,True,1,,,,,,,,,,10.0,,697.0,,,24.0,,50.8,,,юго-западный,10.0,,28.5,2.0
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,697.0,,,20.0,,60.8,,True,южный,6.0,,,2.0
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,700.0,,,18.5,,61.6,,,восточный,6.0,,,1.0
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,16.8,,62.5,,,северо-восточный,7.0,,,1.0
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,,,,0,,,менее 0.1,,,,,,,20.0,,704.0,,,17.5,,54.0,16.8,,северный,6.0,,,2.0
1590818400,"Суббота, 30 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,19.0,,39.7,,,восточный,6.0,,,2.0
1590829200,"Суббота, 30 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,705.0,,,17.3,,33.0,,,северо-восточный,7.0,,,2.0
1590840000,"Суббота, 30 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,705.0,,,18.8,,27.8,,,восточный,10.0,,,1.0
1590850800,"Суббота, 30 мая
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,706.0,,,17.1,,39.7,,,восточный,10.0,,20.0,2.0
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,706.0,,,15.3,,54.6,,,юго-восточный,10.0,,,2.0
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,706.0,,,15.0,,55.2,,,восточный,10.0,,,2.0
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,,,,,,,,,,True,,10.0,,706.0,,,11.2,,52.3,,,южный,10.0,,,2.0
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,,,,1,,,1,,,,,,,20.0,,707.0,,,9.6,,53.0,9.6,True,южный,10.0,,,2.0
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,706.0,,,14.2,,39.4,,,южный,7.0,,,2.0
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,705.0,,,17.5,,28.2,,,восточный,2.0,,,2.0
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,705.0,,,21.5,,25.6,,,восточный,2.0,,,2.0
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,704.0,,,20.0,,28.9,,,северо-восточный,2.0,,21.5,2.0
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,705.0,,,16.1,,37.8,,,восточный,2.0,,,1.0
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,13.0,,46.8,,,восточный,6.0,,,2.0
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,12.1,,49.7,,,северо-восточный,6.0,,,1.0
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,702.0,,,13.5,,42.8,12.1,,северный,0.0,,,1.0
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,701.0,,,19.4,,29.8,,,юго-западный,0.0,,,2.0
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,700.0,,,19.8,,46.5,,,восточный,2.0,,,1.0
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,700.0,,,24.0,,53.6,,,северный,6.0,,,2.0
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,700.0,,,22.4,,54.6,,,северо-восточный,2.0,,25.0,1.0
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,700.0,,,17.6,,57.0,,,северный,0.0,,,1.0
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,16.1,,58.6,,,северный,0.0,,,1.0
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,700.0,,,14.0,,61.8,,,,0.0,,,0.0
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,700.0,,,16.6,,73.8,11.5,,северо-западный,2.0,,,1.0
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,699.0,,,19.0,,68.2,,,,4.0,,,0.0
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,698.0,,,23.4,,59.6,,,южный,7.0,,,1.0
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,699.0,,,23.8,,34.4,,,юго-западный,9.0,,,4.0
1591110000,"Вторник, 2 июня
15:00 (UTC)",,,12.0,,,0,,,,,,,,,,20.0,,697.0,,,24.2,,35.8,,,южный,2.0,,26.5,2.0
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,697.0,,,20.0,,45.3,,,северный,9.0,,,2.0
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,696.0,,,17.6,,49.8,,,северный,7.0,,,1.0
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,695.0,,,15.7,,61.8,,,северо-восточный,0.0,,,1.0
1591153200,"Среда, 3 июня
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,697.0,,,17.0,,58.1,14.0,,юго-западный,0.0,,,1.0
1591164000,"Среда, 3 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,697.0,,,20.4,,57.0,,,западный,4.0,,,2.0
1591174800,"Среда, 3 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,698.0,,,21.2,,39.8,,,юго-восточный,7.0,,,2.0
1591185600,"Среда, 3 июня
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,698.0,,,23.0,,37.7,,,южный,10.0,,,2.0
1591196400,"Среда, 3 июня
15:00 (UTC)",,,20.0,,,9,True,,,,,,,,,4.0,,703.0,,,18.0,,89.8,,,,10.0,,,
1591207200,"Среда, 3 июня
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,702.0,,,16.7,,86.3,,True,юго-западный,10.0,,,3.0
1591218000,"Среда, 3 июня
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,702.0,,,15.0,,87.8,,,юго-восточный,10.0,,,1.0
1591228800,"Четверг, 4 июня
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,701.0,,,13.2,,84.8,,,восточный,10.0,,,2.0
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,,,,13,,,13,,,,,,,,,703.0,,,14.0,,69.0,13.2,,восточный,0.0,,,2.0
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,16.8,,66.4,,,южный,0.0,,,2.0
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,705.0,,,17.4,,69.6,,,южный,10.0,,,2.0
1591272000,"Четверг, 4 июня
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,18.0,,73.5,,,юго-восточный,10.0,,,2.0
1591282800,"Четверг, 4 июня
15:00 (UTC)",,,,,,менее 0.1,,,,,,,,,,10.0,,703.0,,,16.2,,74.2,,True,юго-восточный,10.0,,18.0,3.0
1591293600,"Четверг, 4 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,13.6,,75.2,,,южный,10.0,,,2.0
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,11.2,,76.4,,,юго-восточный,10.0,,,2.0
1591315200,"Пятница, 5 июня
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,10.6,,77.3,,,южный,10.0,,,2.0
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,705.0,,,11.2,,78.0,10.6,,юго-восточный,10.0,,,2.0
1591336800,"Пятница, 5 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,706.0,,,12.0,,73.9,,,юго-восточный,10.0,,,2.0
1591347600,"Пятница, 5 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,15.2,,59.2,,True,северо-западный,10.0,,,2.0
1591358400,"Пятница, 5 июня
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,18.1,,57.2,,,северо-восточный,10.0,,,2.0
1591369200,"Пятница, 5 июня
15:00 (UTC)",,,,,,менее 0.1,,,,,,,,,,20.0,,708.0,,,18.5,,59.6,,,восточный,10.0,,19.5,2.0
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,709.0,,,14.5,,62.4,,,восточный,10.0,,,2.0
1591390800,"Пятница, 5 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,13.0,,68.3,,,южный,10.0,,,2.0
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,12.1,,69.5,,,южный,10.0,,,2.0
1591412400,"Суббота, 6 июня
03:00 (UTC)",,,,,,0,,,менее 0.1,,,,,,,20.0,,,,,15.0,,82.8,,,восточный,0.0,,,2.0
1591423200,"Суббота, 6 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,17.5,,43.0,,,восточный,0.0,,,2.0
1591434000,"Суббота, 6 июня
09:00 (UTC)",,,,,,,,,,,,,,,,50.0,,708.0,,,21.8,,57.7,,,восточный,10.0,,,3.0
1591444800,"Суббота, 6 июня
12:00 (UTC)",,,,,,,,,,,,,,,,50.0,,707.0,,,23.7,,51.8,,,восточный,2.0,,,2.0
1591455600,"Суббота, 6 июня
15:00 (UTC)",,,,,,,,,,,,,,,,50.0,,707.0,,,22.6,,48.5,,,восточный,1.0,,,2.0
1591466400,"Суббота, 6 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,707.0,,,18.1,,60.3,,,восточный,0.0,,,2.0
1591477200,"Суббота, 6 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,707.0,,,15.4,,65.6,,,восточный,0.0,,,1.0
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,707.0,,,12.6,,71.1,,,северо-восточный,0.0,,,1.0
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,706.0,,,17.2,,64.7,11.5,,,0.0,,,0.0
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,,,,,,,,,,,,,,,50.0,,706.0,,,21.0,,59.4,,,юго-западный,2.0,,,1.0
1591520400,"Воскресенье, 7 июня
09:00 (UTC)",,,,,,,,,,,,,,,,50.0,,706.0,,,23.0,,47.3,,,восточный,1.0,,,2.0
1591531200,"Воскресенье, 7 июня
12:00 (UTC)",,,,,,,,,,,,,,,,50.0,,705.0,,,24.7,,48.7,,,восточный,1.0,,,2.0
1591542000,"Воскресенье, 7 июня
15:00 (UTC)",,,,,,,,,,,,,,,,50.0,,704.0,,,23.2,,50.6,,,восточный,1.0,,25.5,1.0
1591552800,"Воскресенье, 7 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,18.8,,64.6,,,южный,0.0,,,1.0
1591563600,"Воскресенье, 7 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,16.2,,69.4,,,,0.0,,,0.0
1591574400,"Понедельник, 8 июня
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,15.1,,70.1,,,,0.0,,,0.0
1591585200,"Понедельник, 8 июня
03:00 (UTC)",,,,,,0,,,0,,,,,,,50.0,,703.0,,,18.2,,70.3,12.0,,,0.0,,,0.0
1591596000,"Понедельник, 8 июня
06:00 (UTC)",,,,,,,,,,,,,,,,50.0,,703.0,,,20.4,,70.2,,,северный,0.0,,,1.0
1591606800,"Понедельник, 8 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,24.3,,59.4,,,южный,0.0,,,2.0
1591617600,"Понедельник, 8 июня
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,25.0,,49.8,,,юго-восточный,0.0,,,2.0
1591628400,"Понедельник, 8 июня
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,702.0,,,23.2,,53.3,,,юго-восточный,0.0,,27.0,2.0
1591639200,"Понедельник, 8 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,18.0,,55.6,,,южный,0.0,,,2.0
1591650000,"Понедельник, 8 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,15.4,,59.7,,,восточный,0.0,,,2.0
1591660800,"Вторник, 9 июня
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,702.0,,,15.0,,70.1,,,восточный,0.0,,,2.0
1591671600,"Вторник, 9 июня
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,703.0,,,18.1,,64.5,15.0,,южный,0.0,,,2.0
1591682400,"Вторник, 9 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,20.8,,59.8,,,восточный,0.0,,,2.0
1591693200,"Вторник, 9 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,22.6,,39.9,,,юго-восточный,0.0,,,2.0
1591704000,"Вторник, 9 июня
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,27.6,,34.8,,,юго-восточный,0.0,,,2.0
1591714800,"Вторник, 9 июня
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,704.0,,,25.0,,44.5,,,восточный,0.0,,28.5,2.0
1591725600,"Вторник, 9 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,21.1,,49.4,,,юго-восточный,0.0,,,2.0
1591736400,"Вторник, 9 июня
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,18.0,,55.6,,,восточный,0.0,,,2.0
1591747200,"Среда, 10 июня
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,12.0,,83.5,,,юго-восточный,0.0,,,2.0
1591758000,"Среда, 10 июня
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,703.0,,,18.4,,59.6,16.0,,юго-восточный,0.0,,,2.0
