timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Дождь со снегом слабый,В окрестности станции местами туман,"Гроза, но без осадков","Относительная влажность, %",Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Град,Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Балл общей облачности,Туман ослабел (небо не видно),Ливневой снег слабый
1588791600,"Среда, 6 мая
19:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,3,,,,,,,,,,,,741.0,15.9,,,,,,,
1588795200,"Среда, 6 мая
20:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,6,,,,,,,,,,,,741.0,15.0,,,,,,,
1588798800,"Среда, 6 мая
21:00 (UTC)",,11.0,,,,,,,,,100.0,,,,юго-восточный,,,3,,,,,,,,True,,,50.0,741.0,13.9,,,,,10.0,,
1588802400,"Среда, 6 мая
22:00 (UTC)",,,,,,,,,,,3.9,,,,южный,,,3,,,,,,,,,,,,741.0,14.0,,,,,,,
1588806000,"Среда, 6 мая
23:00 (UTC)",,,,,,,,,,,4.0,,,,юго-восточный,,,3,,,,,,,,,,,,740.0,13.8,,,,,,,
1588809600,"Четверг, 7 мая
00:00 (UTC)",,,,,,,,,,,100.0,,,,юго-восточный,,,4,,,,,,,,True,,,50.0,740.0,13.4,,,,,10.0,,
1588813200,"Четверг, 7 мая
01:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,4,,,,,,,,,,,,740.0,13.2,,,,,,,
1588816800,"Четверг, 7 мая
02:00 (UTC)",,,,,,,,,,,4.0,,,,юго-восточный,,,4,,,,,,,,,,,,740.0,13.3,,,,,,,
1588820400,"Четверг, 7 мая
03:00 (UTC)",,,,,,,,,,,100.0,,13.2,,южный,,,5,,,менее 0.1,,,,5,,,,30.0,740.0,13.4,,,True,,10.0,,
1588824000,"Четверг, 7 мая
04:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,5,,,,,,,,,,,,739.0,14.2,,,,,,,
1588827600,"Четверг, 7 мая
05:00 (UTC)",,12.0,,,,,,,,,4.0,,,,южный,,,6,,,,,,,,,,,,739.0,16.6,,,,,,,
1588831200,"Четверг, 7 мая
06:00 (UTC)",,11.0,,,,,,,,,73.5,,,,южный,,,6,,,,,,,,,,,30.0,739.0,18.0,,,,,10.0,,
1588834800,"Четверг, 7 мая
07:00 (UTC)",,12.0,,,,,,,,,4.0,,,,южный,,,7,,,,,,,,,,,,739.0,18.1,,,,,,,
1588838400,"Четверг, 7 мая
08:00 (UTC)",,14.0,,,,,,,,,4.0,,,,южный,,,8,,,,,,,,,,,,739.0,19.3,,,,,,,
1588842000,"Четверг, 7 мая
09:00 (UTC)",,14.0,,,,,,,,,55.8,,,,южный,,,8,,,,,,,,,,,30.0,739.0,20.2,,,,,7.0,,
1588845600,"Четверг, 7 мая
10:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,8,,,,,,,,,,,,740.0,20.9,,,,,,,
1588849200,"Четверг, 7 мая
11:00 (UTC)",,14.0,,,,,,,,,4.0,,,,южный,,,7,,,,,,,,,,,,740.0,21.5,,,,,,,
1588852800,"Четверг, 7 мая
12:00 (UTC)",,13.0,,,,,,,,,45.2,,,,южный,,,6,,,,,,,,,,,30.0,740.0,21.9,,,,,7.0,,
1588856400,"Четверг, 7 мая
13:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,5,,,,,,,,,,,,740.0,21.6,,,,,,,
1588860000,"Четверг, 7 мая
14:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,6,,,,,,,,,,,,740.0,20.8,,,,,,,
1588863600,"Четверг, 7 мая
15:00 (UTC)",,10.0,,,,,,,,,48.5,,,,южный,,22.0,4,,,0,,,,,,,,30.0,740.0,20.4,,,,,9.0,,
1588867200,"Четверг, 7 мая
16:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,3,,,,,,,,,,,,741.0,19.7,,,,,,,
1588870800,"Четверг, 7 мая
17:00 (UTC)",,,,,,,,,,,4.0,,,,юго-западный,,,2,,,,,,,,,,,,741.0,18.1,,,,,,,
1588874400,"Четверг, 7 мая
18:00 (UTC)",,11.0,,,,,,,,,64.7,,,,юго-западный,,,5,,,,,,,,,,,50.0,742.0,17.3,,,True,,10.0,,
1588878000,"Четверг, 7 мая
19:00 (UTC)",,,,,,,,,,,4.0,,,,,,,0,,,,,,,,,,,,742.0,12.8,,,,,,,
1588881600,"Четверг, 7 мая
20:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,1,,,,,,,,,,,,742.0,12.1,,,,,,,
1588885200,"Четверг, 7 мая
21:00 (UTC)",,10.0,,,,,,,,,98.7,,,,южный,,,1,,,,,,,,,,,50.0,742.0,11.7,,,True,,9.0,,
1588888800,"Четверг, 7 мая
22:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,2,,,,,,,,,,,,742.0,11.9,,,,,,,
1588892400,"Четверг, 7 мая
23:00 (UTC)",,,,,,,,,,,4.0,,,,юго-западный,,,2,,,,,,,,,,,,742.0,10.7,,,,,,,
1588896000,"Пятница, 8 мая
00:00 (UTC)",,,,,,,,,,,98.7,,,,юго-западный,,,3,,,,,,,,,,,21.0,742.0,11.3,,,True,,10.0,,
1588899600,"Пятница, 8 мая
01:00 (UTC)",,,,,,,,,,,4.0,,,,западный,,,3,,,,,,,,,,,,743.0,10.6,,,,,,,
1588903200,"Пятница, 8 мая
02:00 (UTC)",,,,,,,,,,,3.9,,,,западный,,,3,,,,,,,,,,,,743.0,9.3,,,,,,,
1588906800,"Пятница, 8 мая
03:00 (UTC)",,,,,,,,,,,95.4,,9.2,,северо-западный,,,1,,,2,,,,2,,,,30.0,744.0,9.2,,,,,10.0,,
1588910400,"Пятница, 8 мая
04:00 (UTC)",,,,,,,,,,,4.0,,,,северо-западный,,,2,,,,,,,,,,,,744.0,9.1,,,,,,,
1588914000,"Пятница, 8 мая
05:00 (UTC)",,,,,,,,,,,4.0,,,,западный,,,3,,,,,,,,,,,,745.0,9.2,,,,,,,
1588917600,"Пятница, 8 мая
06:00 (UTC)",,,,,,,,,,,89.7,,9.0,,западный,,,2,,,,,,,,,,,30.0,745.0,9.5,,,,,10.0,,
1588921200,"Пятница, 8 мая
07:00 (UTC)",,,,,,,,,,,4.0,,,,северо-западный,,,1,,,,,,,,,,,,746.0,10.0,,,,,,,
1588924800,"Пятница, 8 мая
08:00 (UTC)",,,,,,,,,,,4.0,,,,западный,,,2,,,,,,,,,,,,746.0,10.5,,,,,,,
1588928400,"Пятница, 8 мая
09:00 (UTC)",,,,,,,,,,,71.9,,,,северо-западный,,,2,,,,,,,,,,,30.0,746.0,11.9,,,,,10.0,,
1588932000,"Пятница, 8 мая
10:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,747.0,12.9,,,,,,,
1588935600,"Пятница, 8 мая
11:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,747.0,13.7,,,,,,,
1588939200,"Пятница, 8 мая
12:00 (UTC)",,,,,,,,,,,63.5,,,,северный,,,1,,,,,,,,,,,30.0,747.0,13.6,,,,,10.0,,
1588942800,"Пятница, 8 мая
13:00 (UTC)",,,,,,,,,,,4.0,,,,северо-западный,,,2,,,,,,,,,,,,747.0,13.8,,,,,,,
1588946400,"Пятница, 8 мая
14:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,3,,,,,,,,,,,,747.0,14.0,,,,,,,
1588950000,"Пятница, 8 мая
15:00 (UTC)",,,,,,,,,,,65.5,,,,северный,,14.4,2,,,0,,,,,,,,30.0,747.0,12.7,,,,,10.0,,
1588953600,"Пятница, 8 мая
16:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,3,,,,,,,,,,,,748.0,11.9,,,,,,,
1588957200,"Пятница, 8 мая
17:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,748.0,11.4,,,,,,,
1588960800,"Пятница, 8 мая
18:00 (UTC)",,,,,,,,,,,71.2,,,,северный,,,2,,,,,,,,,,,30.0,748.0,10.7,,,,,10.0,,
1588964400,"Пятница, 8 мая
19:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,1,,,,,,,,,,,,748.0,10.1,,,,,,,
1588968000,"Пятница, 8 мая
20:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,748.0,10.2,,,,,,,
1588971600,"Пятница, 8 мая
21:00 (UTC)",,,,,,,,,,,74.6,,,,северный,,,2,,,,,,,,,,,50.0,748.0,10.1,,,True,,10.0,,
1588975200,"Пятница, 8 мая
22:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,748.0,9.0,,,,,,,
1588978800,"Пятница, 8 мая
23:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,748.0,8.4,,,,,,,
1588982400,"Суббота, 9 мая
00:00 (UTC)",,,,,,,,,,,82.9,,,,северный,,,2,,,,,,,,,,,50.0,748.0,7.1,,,True,,4.0,,
1588986000,"Суббота, 9 мая
01:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,748.0,7.3,,,,,,,
1588989600,"Суббота, 9 мая
02:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,748.0,7.5,,,,,,,
1588993200,"Суббота, 9 мая
03:00 (UTC)",,,,,,,,,,,84.8,,7.1,,северный,,,4,,,менее 0.1,,,,менее 0.1,,,,30.0,747.0,8.0,,,,,10.0,,
1588996800,"Суббота, 9 мая
04:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,3,,,,,,,,,,,,748.0,8.7,,,,,,,
1589000400,"Суббота, 9 мая
05:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,3,,,,,,,,,,,,747.0,9.8,,,,,,,
1589004000,"Суббота, 9 мая
06:00 (UTC)",,,,,,,,,,,72.3,,,,северный,,,3,,,,,,,,,,,30.0,747.0,11.2,,,,,7.0,,
1589007600,"Суббота, 9 мая
07:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,3,,,,,,,,,,,,747.0,12.3,,,,,,,
1589011200,"Суббота, 9 мая
08:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,747.0,12.7,,,,,,,
1589014800,"Суббота, 9 мая
09:00 (UTC)",,,,,,,,,,,62.5,,,,северо-западный,,,1,,,,,,,,,,,30.0,747.0,13.1,,,,,10.0,,
1589018400,"Суббота, 9 мая
10:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,746.0,13.4,,,,,,,
1589022000,"Суббота, 9 мая
11:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,746.0,13.6,,,,,,,
1589025600,"Суббота, 9 мая
12:00 (UTC)",,,,,,,,,,,61.0,,,,северный,,,2,,,,,,,,True,,,30.0,746.0,14.1,,,,,10.0,,
1589029200,"Суббота, 9 мая
13:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,1,,,,,,,,,,,,746.0,14.3,,,,,,,
1589032800,"Суббота, 9 мая
14:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,745.0,15.2,,,,,,,
1589036400,"Суббота, 9 мая
15:00 (UTC)",,,,,,,,,,,52.9,,,,северный,,16.0,1,,,менее 0.1,,,,,,,,30.0,745.0,15.9,,,True,,7.0,,
1589040000,"Суббота, 9 мая
16:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,1,,,,,,,,,,,,745.0,15.6,,,,,,,
1589043600,"Суббота, 9 мая
17:00 (UTC)",,,,,,,,,,,4.0,,,,,,,0,,,,,,,,,,,,744.0,14.0,,,,,,,
1589047200,"Суббота, 9 мая
18:00 (UTC)",,,,,,,,,,,58.2,,,,,,,0,,,,,,,,,,,30.0,744.0,14.4,,,True,,9.0,,
1589050800,"Суббота, 9 мая
19:00 (UTC)",,,,,,,,,,,3.9,,,,западный,,,3,,,,,,,,,,,,744.0,14.0,,,,,,,
1589054400,"Суббота, 9 мая
20:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,744.0,11.8,,,,,,,
1589058000,"Суббота, 9 мая
21:00 (UTC)",,,,,,,,,,,66.0,,,,северный,,,5,,,,,,,,,,,50.0,744.0,13.1,,,,,9.0,,
1589061600,"Суббота, 9 мая
22:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,4,,,,,,,,,,,,744.0,12.6,,,,,,,
1589065200,"Суббота, 9 мая
23:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,3,,,,,,,,,,,,744.0,11.9,,,,,,,
1589068800,"Воскресенье, 10 мая
00:00 (UTC)",,,,,,,,,,,78.0,,,,северный,,,3,,,,,,,,,,,50.0,743.0,11.4,,,,,10.0,,
1589072400,"Воскресенье, 10 мая
01:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,4,,,,,,,,,,,,743.0,10.7,,,,,,,
1589076000,"Воскресенье, 10 мая
02:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,3,,,,,,,,,,,,743.0,10.3,,,,,,,
1589079600,"Воскресенье, 10 мая
03:00 (UTC)",,,True,,,,,,,,82.2,,9.6,,северный,,,5,,,0.3,,,,0.3,,,,30.0,742.0,10.2,,,,,10.0,,
1589083200,"Воскресенье, 10 мая
04:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,4,,,,,,,,,,,,742.0,10.9,,,,,,,
1589086800,"Воскресенье, 10 мая
05:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,5,,,,,,,,,,,,742.0,11.9,,,,,,,
1589090400,"Воскресенье, 10 мая
06:00 (UTC)",,10.0,,,,,,,,,68.4,,,,северный,,,6,,,,,,,,,,,30.0,742.0,13.3,,,True,,10.0,,
1589094000,"Воскресенье, 10 мая
07:00 (UTC)",,13.0,,,,,,,,,4.0,,,,северный,,,7,,,,,,,,,,,,742.0,14.4,,,,,,,
1589097600,"Воскресенье, 10 мая
08:00 (UTC)",,14.0,,,,,,,,,4.0,,,,северный,,,7,,,,,,,,,,,,742.0,15.0,,,,,,,
1589101200,"Воскресенье, 10 мая
09:00 (UTC)",,18.0,,,,,,,,,50.0,,,,северный,,,8,,,,,,,,,,,30.0,742.0,16.0,,,,,9.0,,
1589104800,"Воскресенье, 10 мая
10:00 (UTC)",,18.0,,,,,,,,,4.0,,,,северный,,,9,,,,,,,,,,,,742.0,16.4,,,,,,,
1589108400,"Воскресенье, 10 мая
11:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,7,,,,,,,,,,,,742.0,16.7,,,,,,,
1589112000,"Воскресенье, 10 мая
12:00 (UTC)",,15.0,,,,,,,,,41.8,,,,северный,,,8,,,,,,,,,,,30.0,742.0,17.4,,,,,9.0,,
1589115600,"Воскресенье, 10 мая
13:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,6,,,,,,,,,,,,742.0,17.2,,,,,,,
1589119200,"Воскресенье, 10 мая
14:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,6,,,,,,,,,,,,742.0,17.2,,,,,,,
1589122800,"Воскресенье, 10 мая
15:00 (UTC)",,13.0,,,,,,,,,38.8,,,,северный,,17.7,5,,,менее 0.1,,,,,,,,30.0,742.0,16.7,,,,,9.0,,
1589126400,"Воскресенье, 10 мая
16:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,4,,,,,,,,,,,,743.0,16.0,,,,,,,
1589130000,"Воскресенье, 10 мая
17:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,5,,,,,,,,,,,,743.0,15.2,,,,,,,
1589133600,"Воскресенье, 10 мая
18:00 (UTC)",,10.0,,,,,,,,,45.0,,,,северный,,,3,,,,,,,,,,,30.0,743.0,13.6,,,,,7.0,,
1589137200,"Воскресенье, 10 мая
19:00 (UTC)",,13.0,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,743.0,11.5,,,,,,,
1589140800,"Воскресенье, 10 мая
20:00 (UTC)",,13.0,,,,,,,,,4.0,,,,северный,,,2,,,,,,,,,,,,743.0,12.1,,,,,,,
1589144400,"Воскресенье, 10 мая
21:00 (UTC)",,,,,,,,,,,56.3,,,,северный,,,1,,,,,,,,,,,50.0,743.0,11.5,,,,,10.0,,
1589148000,"Воскресенье, 10 мая
22:00 (UTC)",,,,,,,,,,,4.0,,,,,,,0,,,,,,,,,,,,743.0,11.2,,,,,,,
1589151600,"Воскресенье, 10 мая
23:00 (UTC)",,,,,,,,,,,4.0,,,,северо-западный,,,1,,,,,,,,,,,,743.0,10.5,,,,,,,
1589155200,"Понедельник, 11 мая
00:00 (UTC)",,,,,,,,,,,78.4,,,,северо-западный,,,1,,,,,,,,,,,50.0,743.0,10.7,,,,,10.0,,
1589158800,"Понедельник, 11 мая
01:00 (UTC)",,,,,,,,,,,4.0,,,,северный,,,1,,,,,,,,,,,,743.0,10.2,,,,,,,
1589162400,"Понедельник, 11 мая
02:00 (UTC)",,,,,,,,,,,4.0,,,,,,,0,,,,,,,,,,,,743.0,9.8,,,,,,,
1589166000,"Понедельник, 11 мая
03:00 (UTC)",,,,,,,,,,,70.6,,9.8,,западный,,,2,,,0,,,,менее 0.1,,,,30.0,743.0,10.1,,,,,10.0,,
1589169600,"Понедельник, 11 мая
04:00 (UTC)",,,,,,,,,,,4.0,,,,северо-западный,,,1,,,,,,,,,,,,743.0,10.8,,,,,,,
1589173200,"Понедельник, 11 мая
05:00 (UTC)",,,,,,,,,,,3.9,,,,,,,0,,,,,,,,,,,,743.0,11.3,,,,,,,
1589176800,"Понедельник, 11 мая
06:00 (UTC)",,,,,,,,,,,71.1,,,,,,,0,,,,,,,,,,,30.0,743.0,12.6,,,,,10.0,,
1589180400,"Понедельник, 11 мая
07:00 (UTC)",,,,,,,,,,,4.0,,,,северо-западный,,,2,,,,,,,,,,,,743.0,14.2,,,,,,,
1589184000,"Понедельник, 11 мая
08:00 (UTC)",,,,,,,,,,,4.0,,,,северо-западный,,,2,,,,,,,,,,,,743.0,15.4,,,,,,,
1589187600,"Понедельник, 11 мая
09:00 (UTC)",,,,,,,,,,,55.0,,,,западный,,,2,,,,,,,,,,,30.0,743.0,15.7,,,,,10.0,,
1589191200,"Понедельник, 11 мая
10:00 (UTC)",,,,,,,,,,,4.0,,,,юго-западный,,,2,,,,,,,,,,,,742.0,16.6,,,,,,,
1589194800,"Понедельник, 11 мая
11:00 (UTC)",,,,,,,,,,,4.0,,,,юго-западный,,,1,,,,,,,,,,,,742.0,17.9,,,,,,,
1589198400,"Понедельник, 11 мая
12:00 (UTC)",,,,,,,,,,,38.1,,,,юго-западный,,,4,,,,,,,,,,,30.0,742.0,18.1,,,,,7.0,,
1589202000,"Понедельник, 11 мая
13:00 (UTC)",,,,,,,,,,,4.0,,,,юго-западный,,,3,,,,,,,,,,,,742.0,18.3,,,,,,,
1589205600,"Понедельник, 11 мая
14:00 (UTC)",,,,,,,,,,,4.0,,,,юго-западный,,,3,,,,,,,,,,,,742.0,18.1,,,,,,,
1589209200,"Понедельник, 11 мая
15:00 (UTC)",,,,,,,,,,,43.4,,,,южный,,18.9,2,,,0,,,,,,,,30.0,741.0,18.9,,,,,7.0,,
1589212800,"Понедельник, 11 мая
16:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,2,,,,,,,,,,,,741.0,18.3,,,,,,,
1589216400,"Понедельник, 11 мая
17:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,2,,,,,,,,,,,,742.0,14.8,,,,,,,
1589220000,"Понедельник, 11 мая
18:00 (UTC)",,,,,,,,,,,55.2,,,,южный,,,2,,,,,,,,,,,30.0,742.0,11.9,,,,,1.0,,
1589223600,"Понедельник, 11 мая
19:00 (UTC)",,,,,,,,,,,3.9,,,,южный,,,2,,,,,,,,,,,,741.0,11.3,,,,,,,
1589227200,"Понедельник, 11 мая
20:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,3,,,,,,,,,,,,741.0,10.4,,,,,,,
1589230800,"Понедельник, 11 мая
21:00 (UTC)",,,,,,,,,,,52.0,,,,южный,,,4,,,,,,,,,,,50.0,741.0,11.2,,,,,0.0,,
1589234400,"Понедельник, 11 мая
22:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,3,,,,,,,,,,,,741.0,9.6,,,,,,,
1589238000,"Понедельник, 11 мая
23:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,4,,,,,,,,,,,,740.0,10.0,,,,,,,
1589241600,"Вторник, 12 мая
00:00 (UTC)",,,,,,,,,,,53.9,,,,южный,,,4,,,,,,,,,,,50.0,740.0,9.9,,,,,0.0,,
1589245200,"Вторник, 12 мая
01:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,5,,,,,,,,,,,,740.0,9.9,,,,,,,
1589248800,"Вторник, 12 мая
02:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,5,,,,,,,,,,,,740.0,10.1,,,,,,,
1589252400,"Вторник, 12 мая
03:00 (UTC)",,,,,,,,,,,76.4,,9.4,,южный,,,5,,,0,,,,0,,,,30.0,739.0,11.1,,,,,1.0,,
1589256000,"Вторник, 12 мая
04:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,6,,,,,,,,,,,,739.0,14.4,,,,,,,
1589259600,"Вторник, 12 мая
05:00 (UTC)",,12.0,,,,,,,,,4.0,,,,южный,,,6,,,,,,,,,,,,739.0,17.0,,,,,,,
1589263200,"Вторник, 12 мая
06:00 (UTC)",,12.0,,,,,,,,,45.9,,,,южный,,,6,,,,,,,,,,,30.0,738.0,18.9,,,,,9.0,,
1589266800,"Вторник, 12 мая
07:00 (UTC)",,14.0,,,,,,,,,4.0,,,,южный,,,7,,,,,,,,,,,,738.0,21.3,,,,,,,
1589270400,"Вторник, 12 мая
08:00 (UTC)",,14.0,,,,,,,,,4.0,,,,южный,,,8,,,,,,,,,,,,738.0,22.5,,,,,,,
1589274000,"Вторник, 12 мая
09:00 (UTC)",,15.0,,,,,,,,,34.3,,,,южный,,,8,,,,,,,,,,,30.0,737.0,23.4,,,,,1.0,,
1589277600,"Вторник, 12 мая
10:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,8,,,,,,,,,,,,737.0,24.2,,,,,,,
1589281200,"Вторник, 12 мая
11:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,8,,,,,,,,,,,,736.0,24.8,,,,,,,
1589284800,"Вторник, 12 мая
12:00 (UTC)",,15.0,,,,,,,,,33.5,,,,южный,,,9,,,,,,,,,,,30.0,736.0,25.2,,,,,2.0,,
1589288400,"Вторник, 12 мая
13:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,7,,,,,,,,,,,,735.0,24.3,,,,,,,
1589292000,"Вторник, 12 мая
14:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,6,,,,,,,,,,,,735.0,24.0,,,,,,,
1589295600,"Вторник, 12 мая
15:00 (UTC)",,16.0,,,,,,,,,35.5,,,,юго-восточный,,25.4,5,,,0,,,,,,,,30.0,734.0,23.2,,,,,10.0,,
1589299200,"Вторник, 12 мая
16:00 (UTC)",,,,,,,,,,,4.0,,,,юго-восточный,,,5,,,,,,,,,,,,734.0,22.8,,,,,,,
1589302800,"Вторник, 12 мая
17:00 (UTC)",,16.0,,,,,,,,,4.0,,,,юго-восточный,,,5,,,,,,,,,,,,734.0,21.8,,,,,,,
1589306400,"Вторник, 12 мая
18:00 (UTC)",,10.0,,,,,,,,,42.3,,,,юго-восточный,,,5,,,,,,,,,,,30.0,734.0,21.0,,,,,10.0,,
1589310000,"Вторник, 12 мая
19:00 (UTC)",,14.0,,,,,,,,,4.0,,,,южный,,,4,,,,,,,,,,,,733.0,20.0,,,,,,,
1589313600,"Вторник, 12 мая
20:00 (UTC)",,13.0,,,,,,,,,4.0,,,,юго-западный,,,4,,,,,,,,,,,,733.0,18.7,,,,,,,
1589317200,"Вторник, 12 мая
21:00 (UTC)",,11.0,True,,,,,,,,71.0,,,,южный,,,3,,,,,,,,,,,50.0,733.0,17.3,,,,,10.0,,
1589320800,"Вторник, 12 мая
22:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,3,,,,,,,,,,,,733.0,15.9,,,,,,,
1589324400,"Вторник, 12 мая
23:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,4,,,,,,,,,,,,733.0,15.4,,,,,,,
1589328000,"Среда, 13 мая
00:00 (UTC)",,,,,,,,,,,79.6,,,,южный,,,4,,,,,,,,,,,50.0,732.0,15.3,,,True,,10.0,,
1589331600,"Среда, 13 мая
01:00 (UTC)",,,,,,,,,,,4.0,,,,южный,,,5,,,,,,,,,,,,732.0,14.6,,,,,,,
1589335200,"Среда, 13 мая
02:00 (UTC)",,,,,,,,,,,4.0,,,,западный,,,6,,,,,,,,,,,,733.0,8.2,,,,,,,
1589338800,"Среда, 13 мая
03:00 (UTC)",,10.0,True,,,,,,,,83.4,,6.1,,западный,,,4,,,1,,,,1,,,,20.0,734.0,6.1,,,,,10.0,,
1589342400,"Среда, 13 мая
04:00 (UTC)",,,,,,,,,,,4.0,,,,западный,,,5,,,,,,,,,,,,735.0,4.2,,,,,,,
1589346000,"Среда, 13 мая
05:00 (UTC)",,,,,,,,,,,4.0,,,,западный,,,4,,,,,,,,,,,,736.0,3.4,,,,,,,
1589349600,"Среда, 13 мая
06:00 (UTC)",,12.0,,,,,,,,,81.9,,3.4,,западный,,,6,True,,,,,,,,,,30.0,737.0,3.9,,,,,10.0,,
1589353200,"Среда, 13 мая
07:00 (UTC)",,13.0,,,,,,,,,4.0,,,,западный,,,6,,,,,,,,,,,,738.0,4.4,,,,,,,
1589356800,"Среда, 13 мая
08:00 (UTC)",,,,,,,,,,,4.0,,,,западный,,,5,,,,,,,,,,,,739.0,5.1,,,,,,,
1589360400,"Среда, 13 мая
09:00 (UTC)",,15.0,,,,,,,,,68.8,,,,западный,,,6,,,,,,,,,,,30.0,740.0,6.2,,,True,,10.0,,
1589364000,"Среда, 13 мая
10:00 (UTC)",,,,,,,,,,,4.0,,,,западный,,,6,,,,,,,,,,,,741.0,5.9,,,,,,,
1589367600,"Среда, 13 мая
11:00 (UTC)",,,,,,,,,,,4.0,,,,северо-западный,,,4,,,,,,,,,,,,742.0,5.7,,,,,,,
1589371200,"Среда, 13 мая
12:00 (UTC)",,15.0,,,,,True,,,,70.9,,,,западный,,,5,,,,,,,,,,,30.0,743.0,6.6,,,,,6.0,,
1589374800,"Среда, 13 мая
13:00 (UTC)",,,,,,,,,,,4.0,,,,северо-западный,,,6,,,,,,,,,,,,744.0,7.9,,,,,,,
1589378400,"Среда, 13 мая
14:00 (UTC)",,,,,,,,,,,4.0,,,,западный,,,7,,,,,,,,,,,,744.0,8.0,,,,,,,
1589382000,"Среда, 13 мая
15:00 (UTC)",,15.0,,,,,,,,,56.4,,,,северо-западный,,8.2,3,,,3,,,,,,,,30.0,745.0,7.2,,,,,2.0,,
