timestamp,date,Ливневой снег умеренный или сильный,Морось (незамерзающая) умеренная непрерывная,"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,Ливневой дождь со снегом слабый,"Высота снежного покрова, см",В окрестности станции тумана нет,Ливневый дождь со снегом,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Морось (незамерзающая) слабая с перерывами,Ливневый дождь,Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Направление ветра,Балл общей облачности,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий) умеренный непрерывный
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,762,,,-0.1,76.1,,,,,,юго-восточный,7.0,,5.5,3.0,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,763,,,-1.4,73.6,,,,,,восточный,9.0,,,1.0,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,764,,,-1.2,80.6,,,,,,северный,9.0,,,1.0,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,765,,,-2.4,75.7,,,,,,северо-западный,0.0,,,5.0,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,0,,,77.0,,,0,,,,,,,,,50.0,766,,,-1.5,51.5,,,-3.2,,,северный,0.0,,,4.0,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,767,,,1.1,42.3,,,,,,северный,1.0,,,3.0,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,767,,,3.7,34.6,,,,,,северо-западный,9.0,,,1.0,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,767,,,3.0,40.6,,,,,,западный,10.0,,,4.0,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,10.0,,,,0,,,,,,,,,,,,,,,50.0,768,,,1.0,37.5,,,,,,северный,6.0,,4.8,5.0,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,769,,,-0.5,41.5,,,,,,северный,0.0,,,4.0,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,769,,,-1.3,40.5,,,,,,северный,0.0,,,3.0,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,770,,,-1.9,36.3,,,,,,северный,0.0,,,3.0,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,0,,,75.0,,,0,,,,,,,,,50.0,770,,,-3.0,58.0,,,-4.3,,,северо-западный,0.0,,,4.0,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,770,,,0.0,44.7,,,,,,западный,0.0,,,2.0,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,769,,,4.4,30.2,,,,,,южный,0.0,,,1.0,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,768,,,2.4,31.8,,,,,,южный,2.0,,,3.0,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,768,,,0.2,52.0,,,,,,юго-восточный,2.0,,5.5,2.0,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,768,,,-0.9,51.7,,,,,,северный,2.0,,,1.0,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,767,,,-1.4,57.1,,,,,,северный,9.0,,,2.0,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,766,,,-2.8,76.8,,,,,,юго-восточный,9.0,,,1.0,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,0,,,74.0,,,0,,,,,,,,,50.0,765,,,-1.4,62.2,,,-3.0,,,северо-западный,9.0,,,3.0,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,764,,,0.4,52.4,,,,,,северо-западный,9.0,,,1.0,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,762,,,2.6,66.0,,,,,,юго-западный,10.0,,,1.0,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,760,,,1.9,71.5,,,,,,,9.0,,,0.0,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,20.0,759,,,0.6,74.5,,,,,,,10.0,,3.2,0.0,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,757,,,0.3,71.7,,,,,,северный,10.0,,,5.0,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,755,,,0.1,57.0,,,,,,северный,10.0,,,1.0,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,21.0,,,,,,,,,,,,,,,,,,,20.0,755,,,1.1,57.3,,,,,,северо-восточный,10.0,,,8.0,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,20.0,,,,0,,,74.0,,,0,,,,,,,,,20.0,755,,,1.4,54.4,,,-0.3,,,северо-восточный,10.0,,,9.0,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,22.0,,,,,,,,,,,,,,,,,,,20.0,754,,,2.8,46.3,,,,,,северо-восточный,10.0,,,4.0,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,18.0,,,,,,,,,True,,,,,,,,,,20.0,754,,,2.6,48.8,,,,,,восточный,10.0,,,7.0,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,14.0,,,,,,,,,True,,,,,,,,,,20.0,754,,,2.6,51.9,,,,,,восточный,10.0,,,4.0,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,13.0,,,,менее 0.1,,,,,,,,,,,,,,,20.0,755,,,2.3,48.3,,,,True,,восточный,9.0,,2.9,5.0,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,11.0,,,,,,,,,,,,,,,,,,,20.0,756,,,0.9,65.7,,,,True,,северо-западный,10.0,,,1.0,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,756,,,0.6,68.6,,,,,,северный,10.0,,,2.0,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,756,,,0.1,70.6,,,,,,северный,9.0,,,2.0,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,0,,,73.0,,,менее 0.1,,,,,,,,,50.0,757,,,0.2,77.3,,,-0.3,,,северо-западный,9.0,,,1.0,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,757,,,2.4,62.6,,,,,,юго-западный,7.0,,,1.0,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,4.4,57.3,,,,,,южный,9.0,,,1.0,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,10.0,756,,,0.9,76.8,,,,,,юго-восточный,10.0,True,,5.0,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,менее 0.1,,,,,,,,,,,,,,,2.0,757,,,-0.1,87.0,,,,,,юго-восточный,10.0,True,5.4,3.0,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,4.0,758,,,-0.1,85.7,,,,,,юго-восточный,10.0,True,,3.0,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,4.0,758,,,-0.2,83.2,,,,,,юго-восточный,10.0,True,,2.0,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,2.0,759,,,-0.7,88.9,,,,,,юго-восточный,10.0,True,,2.0,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,1,,,71.0,,,1,,,,,,,,,10.0,760,,,0.0,78.4,,,-0.8,,,юго-восточный,10.0,True,,2.0,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,10.0,760,,,0.9,70.8,,,,,,юго-восточный,9.0,True,,5.0,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,761,,,3.4,54.9,,,,True,,южный,9.0,,,2.0,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,761,,,1.8,59.7,,,,True,,южный,4.0,,,2.0,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,менее 0.1,,,,,,,,,,,,,,,20.0,761,,,-0.7,73.2,,,,,,юго-восточный,7.0,,4.5,2.0,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,761,,,-0.8,73.7,,,,,,юго-восточный,9.0,,,2.0,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,761,,,-1.9,81.1,,,,,,юго-восточный,4.0,,,1.0,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,760,,,-1.9,79.9,,,,,,северный,9.0,,,2.0,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,0,,,68.0,,,менее 0.1,,,,,,,,,50.0,760,,,-2.2,78.7,,,-2.8,,,северный,7.0,,,2.0,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,759,,,0.6,64.6,,,,,,западный,5.0,,,1.0,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,True,,20.0,758,,,3.9,55.9,,,,,,южный,6.0,,,1.0,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,True,,20.0,757,,,1.4,63.8,,,,,,юго-восточный,7.0,,,4.0,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,20.0,757,,,-0.2,71.6,,,,,,юго-восточный,9.0,,4.5,4.0,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,756,,,-0.5,67.4,,,,,,восточный,10.0,,,1.0,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,10.0,756,,,-1.3,78.8,,,,,,юго-восточный,9.0,True,,2.0,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,756,,,-1.0,60.8,,,,True,,восточный,5.0,,,3.0,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,0.5,,,66.0,,,0.5,,,,,,,True,,20.0,756,,,-0.3,56.0,,,-1.5,,,северный,9.0,,,3.0,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,756,,,1.3,63.3,,,,,,западный,10.0,True,,1.0,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,,,True,,,,,,,,,,20.0,756,,,1.6,59.2,,,,,,восточный,9.0,,,4.0,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,11.0,,,,,,,,,,,,,,,,,True,,20.0,756,,,1.8,50.5,,,,,,юго-восточный,9.0,,,4.0,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,менее 0.1,,,,,,,,,,,,,,,20.0,757,,,0.6,46.3,,,,,,восточный,10.0,,2.5,2.0,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,,,True,,,,,,,,,,20.0,757,,,-0.2,50.7,,,,,,южный,10.0,,,1.0,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,757,,,-1.1,66.7,,,,,,северный,10.0,,,2.0,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,757,,,-2.3,68.0,,,,True,,северный,10.0,,,2.0,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,менее 0.1,,,65.0,,,менее 0.1,,,,,,,,,50.0,758,,,-1.9,73.0,,,-3.0,,,северный,4.0,,,1.0,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,758,,,0.9,61.3,,,,,,северо-западный,9.0,,,1.0,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,757,,,4.0,48.4,,,,,,южный,6.0,,,1.0,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,757,,,5.0,47.3,,,,,,южный,9.0,,,1.0,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,758,,,1.3,51.5,,,,,,юго-восточный,2.0,,5.0,2.0,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,758,,,0.0,52.3,,,,,,северный,4.0,,,3.0,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,758,,,-1.8,67.1,,,,,,северный,2.0,,,4.0,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,758,,,-2.6,65.9,,,,,,северный,0.0,,,3.0,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,0,,,62.0,,,0,,,,,,,,,50.0,759,,,-2.1,68.6,,,-2.7,,,северо-западный,0.0,,,4.0,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,758,,,1.5,57.4,,,,,,западный,2.0,,,1.0,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,758,,,4.5,47.8,,,,,,южный,5.0,,,1.0,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,757,,,3.2,55.3,,,,,,южный,1.0,,,2.0,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,757,,,-0.1,64.9,,,,,,юго-восточный,2.0,,5.1,3.0,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,757,,,-0.5,69.4,,,,,,юго-восточный,1.0,,,2.0,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,-1.9,69.1,,,,,,южный,0.0,,,1.0,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,-3.1,83.5,,,,,,северный,0.0,,,1.0,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,0,,,61.0,,,0,,,,,,,,,20.0,755,,,-1.8,70.8,,,-3.3,,,северо-западный,9.0,,,3.0,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,754,,,1.3,66.7,,,,,,западный,10.0,,,1.0,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,753,,,3.8,49.9,,,,,,юго-западный,10.0,,,2.0,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,752,,,4.3,46.0,,,,,,юго-западный,9.0,,,1.0,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,20.0,753,,,0.9,58.6,,,,,,восточный,10.0,,4.7,4.0,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,753,,,0.1,58.8,,,,,,юго-восточный,9.0,,,1.0,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,752,,,-0.8,63.8,,,,,,северный,10.0,,,1.0,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,752,,,-1.4,69.2,,,,,,северный,10.0,,,2.0,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,0,,,59.0,,,0,,,,,,,,,50.0,752,,,-0.2,66.9,,,-1.5,,,северный,10.0,,,3.0,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,752,,,2.5,54.3,,,,,,северо-западный,10.0,,,3.0,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,752,,,5.0,48.4,,,,,,юго-западный,10.0,,,1.0,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,752,,,5.1,53.0,,,,True,,,10.0,,,0.0,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,10.0,,,,0.3,,,,,,,,,,,,,,,20.0,754,,,3.7,58.0,,,,,,восточный,10.0,True,5.9,3.0,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,754,,,2.3,74.8,,,,True,,северный,9.0,,,4.0,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,10.0,755,,,2.0,75.3,,,,,,северо-восточный,9.0,True,,1.0,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,755,,,1.5,78.1,,,,,,,9.0,True,,0.0,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,0.2,,,51.0,,,0.5,,,,,,,,,20.0,756,,,2.7,74.4,,,1.4,True,,южный,10.0,,,1.0,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,5.8,53.2,,,,,,южный,9.0,,,1.0,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,756,,,3.8,65.3,,,,,,юго-восточный,9.0,,,1.0,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,757,,,1.0,74.6,,,,,,юго-восточный,2.0,,6.3,3.0,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,758,,,0.6,74.5,,,,,,восточный,4.0,,,2.0,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,758,,,0.4,77.9,,,,,,северный,1.0,,,4.0,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,759,,,0.3,69.6,,,,,,северный,0.0,,,5.0,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,0,,,46.0,,,0,,,,,,,,,50.0,759,,,1.1,61.8,,,-0.3,,,северный,0.0,,,4.0,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,760,,,4.8,59.1,,,,,,северо-западный,0.0,,,2.0,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,759,,,8.5,40.4,,,,,,юго-западный,0.0,,,1.0,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,759,,,7.4,41.3,,,,,,юго-восточный,0.0,,,2.0,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,0,,,,,,,,,,,,,,,50.0,760,,,6.5,36.6,,,,,,северный,0.0,,8.5,3.0,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,760,,,4.3,46.4,,,,,,северный,0.0,,,3.0,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,760,,,3.6,46.9,,,,,,северный,0.0,,,3.0,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,760,,,1.9,67.9,,,,,,северный,0.0,,,4.0,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,0,,,42.0,,,0,,,,,,,,,50.0,760,,,4.2,44.9,,,1.8,,,северный,2.0,,,5.0,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,13.0,,,,,,,,,,,,,,,,,,,50.0,760,,,5.8,51.2,,,,,,западный,7.0,,,4.0,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,16.0,,,,,,,,,,,,,,,,,,,50.0,760,,,4.2,55.1,,,,,,северо-западный,5.0,,,10.0,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,22.0,,,,,,,,,,,,,,,,,,,50.0,761,,,1.0,47.2,,,,,,западный,2.0,,,15.0,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,22.0,,,,0,,,,,,,,,,,,,True,,20.0,762,,,-1.1,52.4,,,,,,северо-западный,5.0,,6.3,15.0,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,19.0,,,,,,,,,,,,,,,,,,,20.0,763,,,-2.4,49.6,,,,,,северо-западный,6.0,,,15.0,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,20.0,,,,,,,,,,,,,,,,,,,20.0,764,,,-3.4,45.1,,,,,,северный,2.0,,,9.0,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,13.0,,,,,,,,,,,,,,,,,,,50.0,765,,,-3.1,43.8,,,,,,северный,5.0,,,5.0,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,0,,,35.0,,,0,,,,,,,,,50.0,766,,,-1.6,35.8,,,-3.6,,,северный,0.0,,,6.0,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,11.0,,,,,,,,,,,,,,,,,,,50.0,766,,,2.4,33.9,,,,,,западный,0.0,,,3.0,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,12.0,,,,,,,,,,,,,,,,,,,50.0,766,,,2.5,35.9,,,,,,западный,1.0,,,6.0,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,13.0,,,,,,,,,,,,,,,,,,,50.0,766,,,2.2,41.3,,,,,,западный,1.0,,,8.0,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,12.0,,,,0,,,,,,,,,,,,,,,50.0,766,,,0.0,56.6,,,,,,западный,1.0,,3.3,6.0,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,12.0,,,,,,,,,,,,,,,,,,,20.0,766,,,-0.7,51.7,,,,,,северный,10.0,,,5.0,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,766,,,-0.8,52.1,,,,,,северный,10.0,,,4.0,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,20.0,765,,,-0.9,51.7,,,,,,северный,9.0,,,4.0,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,0,,,29.0,,,0,,,,,,,,,50.0,766,,,-0.3,49.5,,,-1.0,,,северный,2.0,,,4.0,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,,,,,,50.0,765,,,4.6,36.3,,,,,,,2.0,,,0.0,
