timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневый дождь,Гроза сильная (возможен дождь или снег),Дождь со снегом слабый,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Снег слабый с перерывами,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Морось (незамерзающая) умеренная непрерывная,"Осадки за 12 часов, мм","Высота снежного покрова, см",Туман ослабел (небо видно),Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C",Морось (незамерзающая) сильная непрерывная,Снег слабый непрерывный,Количество облаков не изменилось,Туман без изменений (небо видно),Балл общей облачности,Туман ослабел (небо не видно),Ливневой снег слабый
1589619600,"Суббота, 16 мая
09:00 (UTC)",,,,,,,,,,,,77.3,,,юго-западный,,13.8,1.0,,,1,,,,,,,,50,738,,,,13.7,,,,,4.0,,
1589630400,"Суббота, 16 мая
12:00 (UTC)",,,,,,,,,,,,89.9,,,юго-западный,,,3.0,,,,,,,,,,,50,738,,,,11.0,,,,,6.0,,
1589641200,"Суббота, 16 мая
15:00 (UTC)",,,,,,,,,,,,97.3,,,южный,,,3.0,,,,,,,,,,,50,739,,,,9.0,,,,,6.0,,
1589652000,"Суббота, 16 мая
18:00 (UTC)",,,,,,,,,,,,97.3,,,северо-восточный,,,2.0,,,,,,,,,,,1,737,,True,,8.4,,,,,,,
1589662800,"Суббота, 16 мая
21:00 (UTC)",,,,,,,,,,,,100.0,,7.7,северный,,,1.0,,,0,,,,1,,,True,1,738,,,,8.5,,,,,,,
1589673600,"Воскресенье, 17 мая
00:00 (UTC)",,,,,,,,,,,,98.7,,,южный,,,2.0,,,,,,,,,,,1,739,,,,12.7,,,,True,,,
1589684400,"Воскресенье, 17 мая
03:00 (UTC)",,13.0,,,,,,,,,,93.3,,,южный,,,8.0,,,,,,,,,,,50,739,,,,6.5,,,True,,10.0,,
1589695200,"Воскресенье, 17 мая
06:00 (UTC)",,17.0,,,,,,,,,,92.7,,,юго-восточный,,,8.0,,,,,,,,,,,50,739,,,,6.3,,,True,,10.0,,
1589706000,"Воскресенье, 17 мая
09:00 (UTC)",,19.0,True,,,,,,,,,97.3,,,южный,,13.4,13.0,,,2,,,,,,,,20,740,,,,5.2,,,,,10.0,,
1589716800,"Воскресенье, 17 мая
12:00 (UTC)",,17.0,True,,,,,,,,,96.6,,,южный,,,11.0,,,,,,,,,,,10,741,,,,4.8,,,,,10.0,,
1589727600,"Воскресенье, 17 мая
15:00 (UTC)",,15.0,True,,,,,,,,,95.9,,,южный,,,10.0,,,,,,,,,,,10,742,,,,4.7,,,,,10.0,,
1589738400,"Воскресенье, 17 мая
18:00 (UTC)",,13.0,,,,,,,,,,96.6,True,,южный,,,7.0,,,,,,,,,,,10,741,,,,4.7,,,,,10.0,,
1589749200,"Воскресенье, 17 мая
21:00 (UTC)",,13.0,,,,,,,,,,93.2,,4.6,южный,,,8.0,,,2,,,,3,,,,50,742,,,,4.7,,,True,,10.0,,
1589760000,"Понедельник, 18 мая
00:00 (UTC)",,12.0,,,,,,,,,,93.3,True,,южный,,,6.0,,,,,,,,,,,50,742,,,,5.4,,,,,10.0,,
1589770800,"Понедельник, 18 мая
03:00 (UTC)",,,,,,,,,,,,85.3,,,южный,,,3.0,,,,,,,,,,,50,742,,,,6.9,,,True,,10.0,,
1589781600,"Понедельник, 18 мая
06:00 (UTC)",,,,,,,,,,,,92.7,True,,южный,,,1.0,,,,,,,,,,,10,742,,,,6.6,,,,,10.0,,
1589792400,"Понедельник, 18 мая
09:00 (UTC)",,,,,,,,,,,,95.9,,,северо-западный,,6.9,2.0,,,менее 0.1,,,,,,,,50,743,,,,6.4,,,True,,10.0,,
1589803200,"Понедельник, 18 мая
12:00 (UTC)",,,True,,,,,,,,,96.6,,,северный,,,3.0,,,,,,,,,,,10,742,,,,5.9,,,,,10.0,,
1589814000,"Понедельник, 18 мая
15:00 (UTC)",,,True,,,,,,,,,97.3,,,северный,,,3.0,,,,,,,,,,,10,742,,,,6.3,,,,,10.0,,
1589824800,"Понедельник, 18 мая
18:00 (UTC)",,,True,,,,,,,,,98.6,,,северный,,,4.0,,,,,,,,,,,10,741,,,,6.5,,,,,10.0,,
1589835600,"Понедельник, 18 мая
21:00 (UTC)",,,,,,,,,,,,100.0,,5.9,северный,,,5.0,,,1,,,,1,,,,1,740,,True,,6.7,,,,,,,
1589846400,"Вторник, 19 мая
00:00 (UTC)",,,,,,,,,,,,87.9,,,северный,,,5.0,,,,,,,,,,,50,740,,,,8.7,,,True,,10.0,,
1589857200,"Вторник, 19 мая
03:00 (UTC)",,10.0,,,,,,,,,,77.1,,,северный,,,7.0,,,,,,,,,,,50,740,,,,8.9,,,,,10.0,,
1589868000,"Вторник, 19 мая
06:00 (UTC)",,10.0,,,,,,,,,,53.4,,,северный,,,6.0,,,,,,,,,,,50,739,,,,12.4,,,,,10.0,,
1589878800,"Вторник, 19 мая
09:00 (UTC)",,,,,,,,,,,,48.5,,,северный,,14.0,5.0,,,0,,,,,,,,50,738,,,,14.0,,,,,10.0,,
1589889600,"Вторник, 19 мая
12:00 (UTC)",,,,,,,,,,,,76.7,,,юго-западный,,,3.0,,,,,,,,,,,50,740,,,,7.0,,,,,7.0,,
1589900400,"Вторник, 19 мая
15:00 (UTC)",,,,,,,,,,,,81.0,,,юго-западный,,,3.0,,,,,,,,,,,50,741,,,,5.8,,,,,0.0,,
1589911200,"Вторник, 19 мая
18:00 (UTC)",,,,,,,,,,,,86.3,,,северный,,,2.0,,,,,,,,,,,50,741,,,,5.7,,,,,0.0,,
1589922000,"Вторник, 19 мая
21:00 (UTC)",,,,,,,,,,,,88.7,,4.3,северный,,,6.0,,,0,,,,0,,,,50,742,,,,4.3,,,,,6.0,,
1589932800,"Среда, 20 мая
00:00 (UTC)",,,,,,,,,,,,55.1,,,северный,,,5.0,,,,,,,,,,,50,742,,,,8.4,,,,,2.0,,
1589943600,"Среда, 20 мая
03:00 (UTC)",,,,,,,,,,,,34.9,,,северный,,,3.0,,,,,,,,,,,50,742,,,,14.3,,,,,2.0,,
1589954400,"Среда, 20 мая
06:00 (UTC)",,10.0,,,,,,,,,,46.8,,,южный,,,8.0,,,,,,,,,,,50,743,,,,11.7,,,,,4.0,,
1589965200,"Среда, 20 мая
09:00 (UTC)",,12.0,,,,,,,,,,66.7,,,юго-западный,,14.3,5.0,,,0,,,,,,,,50,743,,,,9.8,,,,,2.0,,
1589976000,"Среда, 20 мая
12:00 (UTC)",,,,,,,,,,,,85.7,,,юго-западный,,,6.0,,,,,,,,,,,50,745,,,,5.5,,,,,2.0,,
1589986800,"Среда, 20 мая
15:00 (UTC)",,11.0,,,,,,,,,,86.9,,,юго-западный,,,6.0,,,,,,,,,,,50,745,,,,4.8,,,,,4.0,,
1589997600,"Среда, 20 мая
18:00 (UTC)",,,,,,,,,,,,85.6,,,юго-западный,,,3.0,,,,,,,,,,,50,745,,,,4.7,,,,,2.0,,
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,,,,,84.5,,4.5,южный,,,2.0,,,0,,,,0,,,,50,745,,,,5.4,,,,,6.0,,
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,,,,,,,,,72.3,,,южный,,,4.0,,,,,,,,,,,50,746,,,,8.8,,,,,9.0,,
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,,,,,,,,,,62.0,,,южный,,,7.0,,,,,,,,,,,50,746,,,,11.2,,,,,7.0,,
1590040800,"Четверг, 21 мая
06:00 (UTC)",,12.0,,,,,,,,,,68.1,,,южный,,,8.0,,,,,,,,,,,50,746,,,,9.9,,,,,7.0,,
1590051600,"Четверг, 21 мая
09:00 (UTC)",,12.0,,,,,,,,,,74.3,,,южный,,11.7,6.0,,,0,,,,,,,,50,746,,,,8.5,,,,,7.0,,
1590062400,"Четверг, 21 мая
12:00 (UTC)",,10.0,,,,,,,,,,91.3,,,южный,,,5.0,,,,,,,,,,,50,747,,,,5.3,,,,,4.0,,
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,,,,,,,,,,93.9,,,южный,,,4.0,,,,,,,,,,,50,747,,,,5.1,,,,,4.0,,
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,,,,,,,,,,97.9,,,южный,,,4.0,,,,,,,,,,,50,746,,,,4.8,,,,,10.0,,
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,,,99.3,,4.6,южный,,,3.0,,,0,,,,0,,,,20,746,,,,5.6,,,,,9.0,,
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,,,,,,,,100.0,,,южный,,,5.0,,,,,,,,,,,1,747,,True,,6.2,,,,,,,
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,,,,,,,,,,74.1,,,южный,,,6.0,,,,,,,,,,,50,746,,,,9.8,,,True,,7.0,,
1590127200,"Пятница, 22 мая
06:00 (UTC)",,13.0,,,,,,,,,,73.1,,,южный,,,7.0,,,,,,,,,,,50,745,,,,10.1,,,True,,6.0,,
1590138000,"Пятница, 22 мая
09:00 (UTC)",,11.0,,,,,,,,,,89.5,,,южный,,10.4,6.0,,,0,,,,,,,,50,745,,,,6.8,,,,,7.0,,
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,,,,,,,,,97.9,,,южный,,,5.0,,,,,,True,,,,,10,746,,,,5.8,,,,,10.0,,
1590159600,"Пятница, 22 мая
15:00 (UTC)",,,,,,,,,,,,100.0,,,южный,,,5.0,,,,,,,,,,True,1,745,,,,5.6,,,,,,,
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,,,,,,,,,,100.0,,,южный,,,6.0,,,,,,,,,,True,0,744,,,,5.7,,,,,,,
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,,,,,,,,,,100.0,,5.4,юго-восточный,,,7.0,,,0.6,,,True,0.6,,,,0,744,,,,5.8,,,,,,,
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,,,,,,,,,,100.0,,,южный,,,6.0,,,,,,True,,,,,0,744,,,,6.5,,,,,,,
1590202800,"Суббота, 23 мая
03:00 (UTC)",,11.0,,,,,,,,,,100.0,True,,южный,,,7.0,,,,,,,,,,,0,743,,,,7.1,,,,,,,
1590213600,"Суббота, 23 мая
06:00 (UTC)",,10.0,,,,,,,,,,100.0,,,юго-восточный,,,6.0,,,,,,,,,,True,0,742,,,,7.3,,,,,,,
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,,,,,,,,,100.0,,,южный,,7.5,7.0,,,2,,,True,,,,,0,742,,,,7.5,,,,,,,
1590235200,"Суббота, 23 мая
12:00 (UTC)",,13.0,,,,,,,,,,100.0,True,,юго-восточный,,,9.0,,,,,,,,,,,0,742,,,,7.4,,,,,,,
1590246000,"Суббота, 23 мая
15:00 (UTC)",,13.0,,,,,,,,,,100.0,True,,юго-восточный,,,9.0,,,,,,,,,,,0,741,,,,7.8,,,,,,,
1590256800,"Суббота, 23 мая
18:00 (UTC)",,16.0,True,,,,,,,,,100.0,,,юго-восточный,,,11.0,,,,,,,,,,,0,740,,,,8.1,,,,,,,
1590267600,"Суббота, 23 мая
21:00 (UTC)",,16.0,,,,,,,,True,,100.0,,7.3,юго-восточный,,,11.0,,,14,,,,16,,,,0,739,,,,8.0,,,,,,,
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,16.0,,,,,,,,,,100.0,True,,юго-восточный,,,10.0,,,,,,,,,,,0,739,,,,8.4,,,,,,,
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,15.0,True,,,,,,,,,100.0,,,юго-восточный,,,9.0,,,,,,,,,,,0,738,,,,9.1,,,,,,,
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,12.0,True,,,,,,,,,98.7,,,юго-восточный,,,6.0,,,,,,,,,,,10,737,,,,9.8,,,,,10.0,,
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,,,,,100.0,,,юго-восточный,,10.0,2.0,,,10,,,,,,,True,1,737,,,,10.0,,,,,,,
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,,,,,,,,,100.0,,,западный,,,1.0,,,,,,,,,,True,0,738,,,,9.3,,,,,,,
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,,,,,,,,,,100.0,,,юго-западный,,,4.0,,,,,,,,,,True,0,738,,,,9.3,,,,,,,
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,,,,,100.0,,,южный,,,2.0,,,,,,,,,,True,0,738,,,,9.2,,,,,,,
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,,,100.0,,8.8,юго-восточный,,,3.0,,,0,,,,10,,,True,0,739,,,,8.9,,,,,,,
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,,,,,100.0,,8.7,восточный,,,2.0,,,,,,,,,,True,1,739,,,,9.4,,,,,,,
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,,,,,,,,97.4,,,юго-восточный,,,7.0,,,,,,,,,,,50,739,,,,11.3,,,True,,2.0,,
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,13.0,,,,,,,,,,92.8,,18.8,северный,,,1.0,,,,,,,,,True,,0,738,,,,8.9,,,,,1.0,,
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,13.0,,,,,,,,,,98.6,,,юго-восточный,,12.0,8.0,,,0.3,,,,,,,,1,738,,True,,7.7,,,,,,,
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,,,,,,,,,100.0,,,юго-восточный,,,6.0,,,,,,,,,,True,0,739,,,,7.7,,,,,,,
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,,,,,,,,,100.0,True,,юго-восточный,,,5.0,,,,,,,,,,,0,739,,,,8.8,,,,,,,
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,,,,,100.0,True,,южный,,,7.0,,,,,,,,,,,0,738,,,,8.3,,,,,,,
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,12.0,,,,,,,,,,100.0,True,6.7,южный,,,6.0,,,0.7,,,,1,,,,0,739,,,,6.7,,,,,,,
1590451200,"Вторник, 26 мая
00:00 (UTC)",,11.0,,,,,,,,,,100.0,,6.6,южный,,,6.0,,,,,,,,,,True,0,739,,,,7.9,,,,,,,
1590462000,"Вторник, 26 мая
03:00 (UTC)",,12.0,,,,,,,,,,100.0,True,,южный,,,8.0,,,,,,,,,,,0,738,,,,8.0,,,,,,,
1590472800,"Вторник, 26 мая
06:00 (UTC)",,12.0,,,,,,,,,,100.0,,,южный,,,4.0,,,,,,,,,,,50,737,,,,8.2,,,True,,10.0,,
1590483600,"Вторник, 26 мая
09:00 (UTC)",,11.0,,,True,,,,,,,96.0,,,юго-западный,,9.4,3.0,,,0.3,,,,,,,,10,737,,,,9.0,,,,,9.0,,
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,,,,,,,,,,99.3,,,северо-западный,,,4.0,,,,,,,,True,,,1,737,,,,8.9,,,,,,,
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,,,,,,,,,,93.5,,,северный,,,3.0,,,,,,,,,,,10,736,,,,10.1,,,True,,4.0,,
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,,,,,,,,,,100.0,,,северо-западный,,,1.0,,,,,,,,,,,1,736,,True,,8.4,,,,,,,
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,,,,,,,98.7,,8.0,северный,,,2.0,,,1,,,,2,,,,20,736,,,,10.1,,,True,,7.0,,
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,,,,,77.2,,,северный,,,1.0,,,,,,,,,,,50,736,,,,13.4,,,True,,4.0,,
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,True,,,,,,,79.3,,,северо-западный,,,4.0,,,,,,,,,,,50,736,,,,13.3,,,,,7.0,,
1590559200,"Среда, 27 мая
06:00 (UTC)",,,,,,,,,,,,63.4,,,западный,,,2.0,,,,,,,,,,,50,735,,,,15.3,,,True,,7.0,,
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,,,77.7,,,северный,,17.2,3.0,,,1,,,,,,,,50,736,,,,13.0,,,True,,7.0,,
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,,,,,,,,78.2,,,западный,,,3.0,,,,,,,,,,,50,737,,,,13.0,,,True,,6.0,,
1590591600,"Среда, 27 мая
15:00 (UTC)",,,,,,,,,,,,79.2,,,северо-западный,,,3.0,,,,,,,,,,,50,737,,,,12.4,,,,,6.0,,
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,,,,,82.4,,,южный,,,2.0,,,,,,,,,,,50,738,,,,11.5,,,,,0.0,,
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,,,66.9,,10.2,северный,,,2.0,,,0,,,,1,,,,50,738,,,,13.1,,,,,0.0,,
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,,,,,59.2,,,северный,,,2.0,,,,,,,,,,,50,739,,,,15.1,,,,,0.0,,
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,,,,,,,,,,45.9,,,северный,,,3.0,,,,,,,,,,,50,738,,,,19.0,,,,,2.0,,
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,,,,,,,,,,42.4,,,западный,,,1.0,,,,,,,,,,,50,738,,,,21.5,,,,,2.0,,
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,,,,,50.0,,,юго-западный,,21.8,4.0,,,0,,,,,,,,50,738,,,,18.4,,,,,2.0,,
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,,,,,,,,51.3,,,юго-западный,,,4.0,,,,,,,,,,,50,740,,,,18.1,,,,,0.0,,
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,,,,,,,,60.4,,,юго-западный,,,1.0,,,,,,,,,,,50,740,,,,16.7,,,,,0.0,,
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,,,,,75.8,,,северный,,,4.0,,,,,,,,,,,50,741,,,,13.7,,,,,0.0,,
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,,,74.2,,12.0,северный,,,4.0,,,0,,,,0,,,,50,742,,,,13.6,,,,,0.0,,
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,,,,,61.1,,,северный,,,3.0,,,,,,,,,,,50,743,,,,17.9,,,,,0.0,,
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,,,,,,,,40.6,,,северный,,,5.0,,,,,,,,,,,50,743,,,,23.2,,,,,2.0,,
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,,,,,,,,,24.1,,,северо-западный,,,3.0,,,,,,,,,,,50,742,,,,26.8,,,,,2.0,,
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,,,,,,28.0,,,юго-западный,,26.8,5.0,,,0,,,,,,,,50,743,,,,23.7,,,,,0.0,,
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,,,,,,,,,41.8,,,южный,,,4.0,,,,,,,,,,,50,744,,,,20.5,,,,,0.0,,
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,,,,,,,,,,47.3,,,южный,,,4.0,,,,,,,,,,,50,744,,,,18.2,,,,,0.0,,
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,,,,,,,,,,49.5,,,южный,,,6.0,,,,,,,,,,,50,745,,,,16.6,,,,,0.0,,
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,,,,,72.6,,13.0,юго-восточный,,,6.0,,,0,,,,0,,,,50,746,,,,13.0,,,,,0.0,,
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,,,,,,,,71.1,,12.9,южный,,,7.0,,,,,,,,,,,50,746,,,,15.0,,,,,0.0,,
1590807600,"Суббота, 30 мая
03:00 (UTC)",,11.0,,,,,,,,,,80.7,,,юго-восточный,,,9.0,,,,,,,,,,,50,746,,,,15.5,,,,,2.0,,
1590818400,"Суббота, 30 мая
06:00 (UTC)",,12.0,,,,,,,,,,75.3,,,южный,,,8.0,,,,,,,,,,,50,745,,,,16.9,,,,,0.0,,
1590829200,"Суббота, 30 мая
09:00 (UTC)",,11.0,,,,,,,,,,78.5,,,юго-восточный,,17.1,7.0,,,0,,,,,,,,50,745,,,,14.8,,,,,0.0,,
1590840000,"Суббота, 30 мая
12:00 (UTC)",,11.0,,,,,,,,,,95.5,,,южный,,,8.0,,,,,,,,,,,50,745,,,,11.8,,,,,0.0,,
1590850800,"Суббота, 30 мая
15:00 (UTC)",,10.0,,,,,,,,,,88.7,,,южный,,,8.0,,,,,,,,,,,50,745,,,,11.7,,,,,0.0,,
1590861600,"Суббота, 30 мая
18:00 (UTC)",,11.0,,,,,,,,,,89.3,,,южный,,,8.0,,,,,,,,,,,50,745,,,,11.9,,,,,0.0,,
1590872400,"Суббота, 30 мая
21:00 (UTC)",,12.0,,,,,,,,,,94.2,,11.5,южный,,,8.0,,,0,,,,0,,,,50,745,,,,11.8,,,,,10.0,,
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,11.0,,,,,,,,,,94.8,,,южный,,,7.0,,,,,,,,,,,20,745,,,,11.4,,,True,,10.0,,
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,11.0,,,,,,,,,,83.2,,,южный,,,8.0,,,,,,,,,,,50,744,,,,13.7,,,,,9.0,,
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,11.0,,,,,,,,,,79.1,,,южный,,,7.0,,,,,,,,,,,50,742,,,,15.6,,,,,2.0,,
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,10.0,,,,,,,,,,86.4,,,юго-восточный,,15.9,6.0,,,менее 0.1,,,,,,,,20,741,,,,11.6,,,,,0.0,,
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,11.0,,,,,,,,,,100.0,,,южный,,,6.0,,,,,,,,,,True,1,741,,,,8.6,,,,,,,
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,10.0,,,,,,,,,,100.0,True,,южный,,,5.0,,,,,,,,,,,0,740,,,,9.7,,,,,,,
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,12.0,,,,,,,,,,100.0,,,южный,,,8.0,,,,,,,,,,True,0,738,,,,10.2,,,,,,,
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,16.0,,,,,,,,,,100.0,,8.0,юго-восточный,,,11.0,,,1,,,,1,,,True,0,736,,,,11.7,,,,,,,
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,22.0,,,,,,,,True,,100.0,,,юго-восточный,,,13.0,,,,,,,,,,,1,734,,,,12.0,,,,,,,
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,19.0,,,,,,,,,,100.0,,,юго-восточный,,,7.0,,,,,,,,,,True,0,734,,,,11.3,,,,,,,
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,,,,,100.0,,,южный,,,3.0,,,,,,,,,,True,0,733,,,,11.5,,,,,,,
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,,,,,,100.0,,,юго-восточный,,13.9,4.0,,,21,,,,,,,,0,733,,True,,12.7,,,,,,,
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,,,,,,,,,,100.0,,,юго-западный,,,4.0,,,,,,,,,,,1,734,,,,12.3,,,,True,7.0,,
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,,,,,,True,,,,89.4,,,западный,,,4.0,,,,,,,,,,,10,735,,,,13.3,,,,,7.0,,
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,,,,,83.2,,,юго-западный,,,2.0,,,,,,,,,,,10,735,,,,13.6,,,True,,0.0,,
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,,,79.3,,11.2,юго-западный,,,4.0,,,менее 0.1,,,,21,,,,50,736,,,,13.3,,,,,4.0,,
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,,,,,,,,65.5,,,юго-западный,,,4.0,,,,,,,,,,,50,735,,,,17.0,,,,,2.0,,
1591066800,"Вторник, 2 июня
03:00 (UTC)",,14.0,,,,,,,,,,40.1,,,юго-западный,,,9.0,,,,,,,,,,,50,734,,,,20.5,,,,,9.0,,
1591077600,"Вторник, 2 июня
06:00 (UTC)",,16.0,,,,,,,,,,35.4,,,южный,,,9.0,,,,,,,,,,,50,734,,,,21.2,,,,,9.0,,
1591088400,"Вторник, 2 июня
09:00 (UTC)",,17.0,,,,,,,,,,49.2,,,юго-западный,,21.5,6.0,,,0,,,,,,,,50,733,,,,18.1,,,,,9.0,,
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,,,,,,,,,,68.2,,,южный,,,6.0,,,,,,,,,,,50,734,,,,14.6,,,,,9.0,,
1591110000,"Вторник, 2 июня
15:00 (UTC)",,10.0,,,,,,,,,,68.6,,,южный,,,2.0,,,,,,,,,,,50,734,,,,14.4,,,,,7.0,,
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,,,,,91.1,,,восточный,,,3.0,,,,,,,,,,,50,734,,,,10.9,,,,,7.0,,
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,,,93.6,,10.6,юго-восточный,,,6.0,,,0,,,,0,,,,50,735,,,,11.2,,,,,2.0,,
1591142400,"Среда, 3 июня
00:00 (UTC)",,10.0,,,,,,,,,,82.7,,,юго-восточный,,,7.0,,,,,,,,,,,50,735,,,,14.3,,,,,7.0,,
1591153200,"Среда, 3 июня
03:00 (UTC)",,12.0,,,,,,,,,,81.1,,,южный,,,7.0,,,,,,,,,,,50,735,,,,14.6,,,,,4.0,,
1591164000,"Среда, 3 июня
06:00 (UTC)",,14.0,,,,,,,,,,97.4,,,южный,,,10.0,,,,,,,,,,True,1,733,,,,12.9,,,,,,,
1591174800,"Среда, 3 июня
09:00 (UTC)",,16.0,,,,,,,,,,89.4,,,южный,,21.0,11.0,,,0,,,,,,,,20,733,,,,13.0,,,True,,10.0,,
1591185600,"Среда, 3 июня
12:00 (UTC)",,15.0,True,,,,,,,,,96.8,,,северо-восточный,,,4.0,,,,,,,,,,,10,735,,,,12.8,,,,,10.0,,
1591196400,"Среда, 3 июня
15:00 (UTC)",,21.0,,,,,,,,,,96.1,,,южный,,,11.0,,,,,,,,,,,20,733,,,,12.1,,,True,,10.0,,
1591207200,"Среда, 3 июня
18:00 (UTC)",,16.0,,,,,,,,,,96.1,,,южный,,,4.0,,,,,,,,,,,20,733,,,,12.0,,,True,,10.0,,
1591218000,"Среда, 3 июня
21:00 (UTC)",,14.0,,,,,,,,,,100.0,,11.1,юго-восточный,,,7.0,,,6,,,,6,,,,1,732,,,,11.5,,,True,,,,
1591228800,"Четверг, 4 июня
00:00 (UTC)",,10.0,,,,,,True,,,,100.0,,,южный,,,6.0,,,,,,,,,,,1,733,,,,12.2,,,,,,,
1591239600,"Четверг, 4 июня
03:00 (UTC)",,10.0,,,,,,,,,,91.9,,,южный,,,3.0,,,,,,,,,,,50,733,,,,14.0,,,True,,9.0,,
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,,,,,,,,,True,69.5,,,северо-западный,,,2.0,,,,,,,,,,,50,733,,,,16.6,,,,,7.0,,
