timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %",Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Туман ослабел (небо не видно),Туман без изменений (небо не видно),Морось (незамерзающая) слабая непрерывная
1589846400,"Вторник, 19 мая
00:00 (UTC)",,,,,,,True,,,10,743,,,,4.3,85.0,,,,западный,0.0,,,,4.0,,,
1589857200,"Вторник, 19 мая
03:00 (UTC)",,,2,,,2,,,,10,743,,,,4.6,85.6,,4.2,,западный,0.0,,,,4.0,,,
1589868000,"Вторник, 19 мая
06:00 (UTC)",,,0.5,,,,,,,10,743,,,,10.5,65.0,,4.2,,юго-западный,2.0,,,,4.0,,,
1589878800,"Вторник, 19 мая
09:00 (UTC)",,12.0,,,,,,,,10,743,,,,13.5,41.9,,,,западный,7.0,,,,6.0,,,
1589889600,"Вторник, 19 мая
12:00 (UTC)",,12.0,,,,,,,,10,742,,,,13.7,42.2,,,,западный,9.0,,,,8.0,,,
1589900400,"Вторник, 19 мая
15:00 (UTC)",,12.0,0,,,,,,,10,741,,,,12.2,55.3,,,,западный,9.0,,,,6.0,,,
1589911200,"Вторник, 19 мая
18:00 (UTC)",,10.0,0,,,,,,,10,741,,,,10.9,73.7,,,,западный,9.0,,,14.4,4.0,,,
1589922000,"Вторник, 19 мая
21:00 (UTC)",,,,,,,,,,10,740,,,,10.2,83.3,,,,юго-западный,9.0,,,,3.0,,,
1589932800,"Среда, 20 мая
00:00 (UTC)",,,,,,,,,True,4,738,,,,10.2,91.0,,,,юго-западный,10.0,,,,3.0,,,
1589943600,"Среда, 20 мая
03:00 (UTC)",,,5,,,5,,,True,2,736,,,,10.6,93.5,,9.9,,юго-западный,10.0,,,,3.0,,,
1589954400,"Среда, 20 мая
06:00 (UTC)",,10.0,6,,,,True,,,10,735,,,,12.6,87.0,,9.9,,западный,7.0,,,,6.0,,,
1589965200,"Среда, 20 мая
09:00 (UTC)",,13.0,,,,,,,,10,736,,,,15.0,69.2,,,True,северо-западный,7.0,,,,6.0,,,
1589976000,"Среда, 20 мая
12:00 (UTC)",,10.0,,,,,True,,,10,736,,,,14.8,70.1,,,,западный,7.0,,,,3.0,,,
1589986800,"Среда, 20 мая
15:00 (UTC)",,,2,,,,,,True,4,736,,,,11.5,88.7,,,,северо-западный,7.0,,,,5.0,,,
1589997600,"Среда, 20 мая
18:00 (UTC)",,,1,,,,True,,,10,737,,,,10.8,77.4,,,,северо-западный,7.0,,,15.6,5.0,,,
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,,,10,737,,,,8.5,84.9,,,,северо-западный,4.0,,,,3.0,,,
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,,,,,,,10,738,,,,5.9,84.6,,,,северо-западный,2.0,,,,4.0,,,
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,менее 0.1,,,2,,,,10,738,,,,5.2,81.0,,4.2,,северо-западный,0.0,,,,4.0,,,
1590040800,"Четверг, 21 мая
06:00 (UTC)",,,0,,,,,,,10,739,,,,9.2,52.2,,4.2,,северо-западный,2.0,,,,6.0,,,
1590051600,"Четверг, 21 мая
09:00 (UTC)",,10.0,,,,,,,,10,739,,,,11.8,39.3,,,,северо-западный,6.0,,,,6.0,,,
1590062400,"Четверг, 21 мая
12:00 (UTC)",,10.0,,,,,,,,10,739,,,,12.7,36.2,,,,северо-западный,7.0,,,,5.0,,,
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,0,,,,,,,10,739,,,,12.5,34.9,,,,северо-западный,6.0,,,,3.0,,,
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,0,,,,,,,10,739,,,,8.5,55.9,,,,северо-западный,2.0,,,14.1,3.0,,,
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,10,739,,,,8.4,55.9,,,,северо-западный,0.0,,,,1.0,,,
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,,,,,,10,739,,,,4.8,74.7,,,,западный,0.0,,,,2.0,,,
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,0,,,0,,,,10,739,,,,6.2,71.8,,4.5,,западный,0.0,,,,1.0,,,
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,0,,,,,,,10,739,,,,11.6,42.2,,4.5,,западный,2.0,,,,2.0,,,
1590138000,"Пятница, 22 мая
09:00 (UTC)",,,,,,,,,,10,739,,,,12.1,32.7,,,,юго-западный,7.0,,,,6.0,,,
1590148800,"Пятница, 22 мая
12:00 (UTC)",,12.0,,,,,,,,10,740,,,,9.5,56.6,,,,северо-западный,7.0,,,,4.0,,,
1590159600,"Пятница, 22 мая
15:00 (UTC)",,10.0,менее 0.1,,,,,,,10,740,,,,10.2,51.7,,,True,западный,7.0,,,,4.0,,,
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,менее 0.1,,,,,,,10,740,,,,8.1,68.2,,,True,юго-западный,7.0,,,13.9,3.0,,,
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,,,,,,,,10,741,,,,4.4,80.3,,,,западный,4.0,,,,3.0,,,
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,,,,,,,,10,741,,,,3.2,84.2,,,,западный,0.0,,,,2.0,,,
1590202800,"Суббота, 23 мая
03:00 (UTC)",,,менее 0.1,,,менее 0.1,,,,10,741,,,,3.1,86.1,,2.4,,западный,2.0,,,,3.0,,,
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,0,,,,,,,10,741,,,,7.7,76.3,,2.4,,западный,9.0,,,,3.0,,,
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,,,,,,,10,742,,,,9.4,63.8,,,,северо-западный,9.0,,,,6.0,,,
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,,,,,,,,10,742,,,,11.9,52.5,,,,западный,9.0,,,,4.0,,,
1590246000,"Суббота, 23 мая
15:00 (UTC)",,10.0,0,,,,,,,10,743,,,,11.8,52.1,,,,северо-западный,7.0,,,,4.0,,,
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,0,,,,,,,10,743,,,,6.6,79.4,,,,северо-западный,6.0,,,13.5,3.0,,,
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,,,,,,,,10,743,,,,6.6,82.3,,,,юго-западный,7.0,,,,2.0,,,
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,,,,,,,10,743,,,,5.4,88.8,,,,юго-западный,5.0,,,,3.0,,,
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,0,,,0,,,,10,744,,,,5.3,90.7,,5.2,,западный,9.0,,,,3.0,,,
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,0,,,,,,,10,744,,,,9.7,70.5,,5.0,,северный,9.0,,,,2.0,,,
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,11.0,,,,,,,,10,744,,,,13.0,56.3,,,,западный,9.0,,,,5.0,,,
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,12.0,,,,,True,,,10,744,,,,15.2,44.2,,,,северо-западный,5.0,,,,3.0,,,
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,2,,,,,,,10,745,,,,13.0,48.9,,,True,северо-восточный,7.0,,,,2.0,,,
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,2,,,,True,,,10,746,,,,10.7,61.9,,,,юго-восточный,2.0,,,15.3,2.0,,,
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,10,746,,,,9.4,74.0,,,,южный,6.0,,,,3.0,,,
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,,,10,746,,,,8.5,74.3,,,,юго-западный,6.0,,,,3.0,,,
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,0,,,2,,,,10,747,,,,7.5,80.1,,6.0,,южный,2.0,,,,2.0,,,
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,0,,,,,,,10,747,,,,12.6,59.0,,6.0,,юго-восточный,6.0,,,,3.0,,,
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,,,,10,747,,,,16.9,36.7,,,,юго-восточный,7.0,,,,3.0,,,
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,,,,,,,10,747,,,,17.0,37.0,,,,юго-восточный,7.0,,,,3.0,,,
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,0,,,,,,,10,747,,,,18.0,35.5,,,,юго-восточный,5.0,,,,5.0,,,
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,0,,,,,,,10,747,,,,14.2,49.2,,,,восточный,9.0,,,18.7,3.0,,,
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,,,,10,747,,,,12.5,48.0,,,,северо-восточный,9.0,,,,3.0,,,
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,,,,,,,10,747,,,,11.9,62.2,,,,северо-восточный,9.0,,,,3.0,,,
1590462000,"Вторник, 26 мая
03:00 (UTC)",,10.0,0.3,,,0.3,,,True,10,748,,,,10.2,85.6,,10.1,,юго-восточный,10.0,,,,4.0,,,
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,1,,,,,,True,4,748,,,,11.0,88.7,,10.1,,северо-восточный,9.0,,,,4.0,,,
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,,,,,,,True,10,747,,,,11.1,86.3,,,,восточный,9.0,,,,5.0,,,
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,,,,,,,True,10,747,,,,12.3,88.2,,,,восточный,9.0,,,,4.0,,,
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,11,,,,,,True,10,732,,,,11.9,90.5,,,,восточный,9.0,,,,3.0,,,
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,13,,,,,True,,4,747,,,,11.3,93.6,,,,северо-восточный,9.0,,,12.7,2.0,,,
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,,,True,,2,747,,,,10.8,97.4,,,,северный,6.0,,,,1.0,,,
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,True,,2,747,,,,10.3,97.4,,,,северо-восточный,5.0,,,,1.0,,,
1590548400,"Среда, 27 мая
03:00 (UTC)",,,2,,,14,,True,,1,747,,,,10.2,97.4,,10.0,,северо-восточный,9.0,,,,2.0,,,
1590559200,"Среда, 27 мая
06:00 (UTC)",,,0,,,,,,,10,747,,,,12.8,84.8,,10.0,,восточный,9.0,,,,2.0,,,
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,10,747,,,,16.0,68.0,,,,восточный,9.0,,,,4.0,,,
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,,,,,,10,747,,,,17.8,64.4,,,,юго-восточный,9.0,,,,5.0,,,
1590591600,"Среда, 27 мая
15:00 (UTC)",,,0,,,,,,,10,747,,,,15.9,66.2,,,,юго-восточный,9.0,,,,4.0,,,
1590602400,"Среда, 27 мая
18:00 (UTC)",,,0,,,,,,,10,747,,,,13.9,76.3,,,,восточный,9.0,,,18.0,2.0,,,
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,10,747,,,,12.4,83.6,,,,северо-восточный,9.0,,,,3.0,,,
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,,,10,746,,,,12.2,79.7,,,,северо-восточный,9.0,,,,4.0,,,
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,0.3,,,0.3,,,True,10,746,,,,11.4,85.2,,11.4,,северо-восточный,9.0,,,,4.0,,,
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,12,,,,,,True,4,745,,,,11.3,94.8,,11.3,,северо-восточный,10.0,,,,5.0,,,
1590656400,"Четверг, 28 мая
09:00 (UTC)",,10.0,,,,,,,True,4,744,,,,11.9,93.6,,,,северо-восточный,9.0,,,,5.0,,,
1590667200,"Четверг, 28 мая
12:00 (UTC)",,14.0,,,,,True,,,10,742,,,,14.2,84.4,,,,северо-восточный,9.0,,,,8.0,,,
1590678000,"Четверг, 28 мая
15:00 (UTC)",,13.0,24,,,,,,,10,741,,,,17.4,79.9,,,,северо-восточный,7.0,,,,5.0,,,
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,12,,,,,,,10,740,,,,17.0,72.9,,,,северо-восточный,7.0,,,18.1,5.0,,,
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,10,739,,,,17.3,69.2,,,,юго-восточный,7.0,,,,4.0,,,
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,,True,10,739,,,,16.7,79.3,,,,юго-восточный,7.0,,,,3.0,,,
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,2,,,26,,,True,10,739,,,,15.5,90.2,,15.3,,восточный,9.0,,,,4.0,,,
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,4,,,,,,True,10,739,,,,16.0,86.2,,15.3,,северо-восточный,9.0,,,,2.0,,,
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,,,,10,739,,,,18.8,79.6,,,True,западный,9.0,,,,5.0,,,
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,,,,True,,,10,738,,,,21.2,72.7,,,,северный,9.0,,,,3.0,,,
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,2,,,,,,,10,736,,,,22.1,70.6,,,,северо-восточный,7.0,,,,3.0,,,
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,менее 0.1,,,,,,,10,735,,,,19.8,82.3,,,,западный,9.0,,,22.3,3.0,,,
1590786000,"Пятница, 29 мая
21:00 (UTC)",,15.0,,,,,,,,10,735,,,,14.0,94.3,,,,северо-восточный,9.0,True,,,3.0,,,
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,True,,,,,10,734,,,,14.4,95.6,,,,северо-восточный,9.0,,,,3.0,,,
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,12,,,14,,,True,4,733,,,,14.3,97.4,,14.0,,юго-западный,10.0,,,,2.0,,,
1590818400,"Суббота, 30 мая
06:00 (UTC)",,,21,,,,,,True,10,733,,,,14.8,90.1,,14.0,,южный,10.0,,,,4.0,,,
1590829200,"Суббота, 30 мая
09:00 (UTC)",,10.0,,,,,True,,,10,734,,,,13.6,80.4,,,,южный,9.0,,,,6.0,,,
1590840000,"Суббота, 30 мая
12:00 (UTC)",,12.0,,,,,True,,,10,735,,,,16.3,62.8,,,,южный,7.0,,,,6.0,,,
1590850800,"Суббота, 30 мая
15:00 (UTC)",,11.0,9,,,,,,True,10,735,,,,17.6,63.1,,,,южный,7.0,,,,5.0,,,
1590861600,"Суббота, 30 мая
18:00 (UTC)",,13.0,0.5,,,,True,,,10,736,,,,14.6,78.0,,,,южный,4.0,,,18.8,3.0,,,
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,,,10,737,,,,12.9,84.8,,,,южный,7.0,,,,4.0,,,
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,,,,,,10,737,,,,12.8,87.1,,,,южный,9.0,,,,3.0,,,
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,менее 0.1,,,9,,,True,4,737,,,,12.3,89.4,,12.3,,юго-западный,9.0,,,,4.0,,,
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,менее 0.1,,,,,,,10,738,,,,13.7,78.3,,12.1,True,юго-западный,9.0,,,,6.0,,,
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,10.0,,,,,,,,10,739,,,,17.3,63.0,,,,юго-западный,9.0,,,,6.0,,,
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,10.0,,,,,,,,10,738,,,,17.3,60.1,,,,юго-западный,9.0,,,,6.0,,,
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,11.0,менее 0.1,,,,,,,10,737,,,,17.4,55.9,,,,юго-западный,7.0,,,,5.0,,,
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,13.0,менее 0.1,,,,,,,10,737,,,,11.8,84.1,,,True,южный,7.0,,,18.8,2.0,,,
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,,,10,737,,,,11.2,87.5,,,,юго-западный,5.0,,,,2.0,,,
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,,,,,True,,4,736,,,,10.4,92.3,,,,южный,5.0,,,,3.0,,,
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,менее 0.1,,True,менее 0.1,,,,10,735,,,,11.6,86.4,,10.3,,южный,9.0,,,,3.0,,,
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,0.5,,,,,,True,10,736,,,,12.5,87.0,,10.3,,юго-западный,9.0,,,,3.0,,,
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,,,True,10,735,,,,12.9,89.4,,,,южный,9.0,,,,1.0,,,
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,11.0,,,,,,,,10,735,,,True,13.9,88.9,,,,юго-западный,9.0,,,,3.0,,,
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,11.0,12,,True,,,,,10,735,,,,13.3,86.0,,,,юго-восточный,9.0,,,,3.0,,,
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,12,,,,,True,,4,735,,,,12.3,93.0,,,,южный,7.0,,,15.8,3.0,,,
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,10,734,,,,11.9,92.4,,,,юго-восточный,7.0,,,,4.0,,,
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,,,,True,,4,734,,,,11.7,93.6,,,,юго-восточный,9.0,,,,4.0,,,
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,0.3,,,12,,,,10,734,,,,11.7,88.7,,11.5,,южный,10.0,,,,4.0,,,
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,0.3,,,,,,,10,735,,,,13.8,69.9,,11.5,,южный,9.0,,,,5.0,,,
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,,,,,,,,10,736,,,,15.4,58.9,,,,южный,9.0,,,,5.0,,,
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,,,,,,,,10,736,,,,16.1,57.8,,,,юго-западный,9.0,,,,4.0,,,
1591110000,"Вторник, 2 июня
15:00 (UTC)",,,0,,,,,,,10,736,,,,17.1,52.8,,,,южный,9.0,,,,2.0,,,
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,0,,,,,,,10,736,,,,13.9,68.0,,,,северо-западный,7.0,,,17.8,2.0,,,
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,10,736,,,,12.0,71.4,,,,северо-западный,7.0,,,,2.0,,,
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,,,,,,,10,736,,,,11.1,82.9,,,,северный,9.0,,,,2.0,,,
1591153200,"Среда, 3 июня
03:00 (UTC)",,,0,,,0,,,,10,736,,,,11.3,85.2,,9.4,,северо-западный,9.0,,,,2.0,,,
1591164000,"Среда, 3 июня
06:00 (UTC)",,,0,,,,,,,10,736,,,,15.9,62.3,,9.4,,северный,7.0,,,,2.0,,,
1591174800,"Среда, 3 июня
09:00 (UTC)",,,,,,,,,,10,736,,,,18.3,50.0,,,,западный,9.0,,,,2.0,,,
1591185600,"Среда, 3 июня
12:00 (UTC)",,,,,,,,,,10,735,,,,19.4,43.0,,,,северо-западный,9.0,,,,3.0,,,
1591196400,"Среда, 3 июня
15:00 (UTC)",,,0,,,,,,,10,734,,,,20.3,35.9,,,,западный,6.0,,,,2.0,,,
1591207200,"Среда, 3 июня
18:00 (UTC)",,,0,,,,,,,10,735,,,,15.0,64.2,,,,северо-восточный,4.0,,,20.8,3.0,,,
1591218000,"Среда, 3 июня
21:00 (UTC)",,,,,,,,,,10,735,,,,13.4,77.2,,,,юго-восточный,6.0,,,,2.0,,,
1591228800,"Четверг, 4 июня
00:00 (UTC)",,,,,,,,,,10,734,,,,12.8,72.1,,,,юго-западный,6.0,,,,4.0,,,
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,0,,,0,,,,10,735,,,,11.5,82.9,,11.1,,западный,4.0,,,,2.0,,,
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,менее 0.1,,,,,,True,10,736,,,,13.8,72.3,,11.1,,западный,9.0,,,,5.0,,,
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,,,,,True,,,10,736,,,,16.9,59.6,,,,юго-западный,7.0,,,,5.0,,,
1591272000,"Четверг, 4 июня
12:00 (UTC)",,,,,,,,,,10,737,,,,18.5,48.0,,,True,юго-западный,7.0,,,,5.0,,,
1591282800,"Четверг, 4 июня
15:00 (UTC)",,12.0,менее 0.1,,,,,,True,10,737,,,,15.9,59.4,,,,юго-западный,9.0,,,,4.0,,,
1591293600,"Четверг, 4 июня
18:00 (UTC)",,12.0,менее 0.1,,,,True,,,10,738,,,,13.8,68.0,,,,южный,7.0,,,20.1,3.0,,,
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,,,,,,,10,738,,,,13.4,66.5,,,,южный,5.0,,,,5.0,,,
1591315200,"Пятница, 5 июня
00:00 (UTC)",,,,,,,,,,10,739,,,,11.4,76.9,,,,южный,5.0,,,,3.0,,,
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,менее 0.1,,,менее 0.1,,,,10,739,,,,12.0,77.0,,11.2,,южный,5.0,,,,5.0,,,
1591336800,"Пятница, 5 июня
06:00 (UTC)",,10.0,0,,,,,,,10,739,,,,14.4,68.6,,11.2,,южный,9.0,,,,5.0,,,
1591347600,"Пятница, 5 июня
09:00 (UTC)",,14.0,,,,,,,,10,739,,,,19.0,50.2,,,,южный,7.0,,,,8.0,,,
1591358400,"Пятница, 5 июня
12:00 (UTC)",,17.0,,,,,,,True,4,740,,,,14.9,87.8,,,,южный,9.0,,,,5.0,,,
1591369200,"Пятница, 5 июня
15:00 (UTC)",,10.0,3,,,,,,True,10,739,,,,16.0,85.1,,,,южный,9.0,,,,4.0,,,
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,3,,,,,,True,10,740,,,,15.7,86.8,,,,южный,9.0,,,19.6,4.0,,,
1591390800,"Пятница, 5 июня
21:00 (UTC)",True,,,,,,,,,4,741,,,,14.4,94.3,,,,юго-западный,9.0,,,,4.0,,,
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,,,,True,,,10,741,,,,14.1,93.1,,,,южный,7.0,,,,5.0,,,
1591412400,"Суббота, 6 июня
03:00 (UTC)",,,9,,,12,,,,10,741,,,,14.9,83.9,,13.9,,юго-западный,9.0,,,,4.0,,,
1591423200,"Суббота, 6 июня
06:00 (UTC)",,10.0,9,,,,,,,10,741,,,,18.5,65.0,,13.9,,юго-западный,4.0,,,,6.0,,,
1591434000,"Суббота, 6 июня
09:00 (UTC)",,11.0,,,,,,,,10,742,,,,23.2,49.0,,,,юго-западный,2.0,,,,5.0,,,
1591444800,"Суббота, 6 июня
12:00 (UTC)",,12.0,,,,,,,,10,742,,,,25.1,40.1,,,,юго-западный,7.0,,,,7.0,,,
1591455600,"Суббота, 6 июня
15:00 (UTC)",,12.0,0,,,,,,,10,741,,,,25.9,36.0,,,,юго-западный,4.0,,,,5.0,,,
1591466400,"Суббота, 6 июня
18:00 (UTC)",,10.0,0,,,,,,,10,742,,,,22.6,56.1,,,,южный,2.0,,,26.2,2.0,,,
1591477200,"Суббота, 6 июня
21:00 (UTC)",,,,,,,,,,10,742,,,,20.3,58.5,,,,юго-западный,0.0,,,,3.0,,,
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,,,,,,,,,10,743,,,,18.1,66.6,,,,юго-западный,0.0,,,,3.0,,,
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,,0,,,0,,,,10,743,,,,17.4,71.5,,13.8,,юго-западный,0.0,,,,3.0,,,
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,,0,,,,,,,10,744,,,,22.5,48.8,,17.0,,юго-западный,0.0,,,,2.0,,,
1591520400,"Воскресенье, 7 июня
09:00 (UTC)",,,,,,,,,,10,744,,,,25.9,32.3,,,,южный,0.0,,,,4.0,,,
1591531200,"Воскресенье, 7 июня
12:00 (UTC)",,,,,,,,,,10,744,,,,26.7,35.0,,,,юго-восточный,0.0,,,,3.0,,,
1591542000,"Воскресенье, 7 июня
15:00 (UTC)",,,0,,,,,,,10,743,,,,26.3,33.3,,,,юго-восточный,0.0,,,,3.0,,,
1591552800,"Воскресенье, 7 июня
18:00 (UTC)",,,0,,,,,,,10,743,,,,21.5,45.4,,,,юго-восточный,0.0,,,27.2,3.0,,,
1591563600,"Воскресенье, 7 июня
21:00 (UTC)",,,,,,,,,,10,743,,,,18.5,57.7,,,,восточный,0.0,,,,3.0,,,
1591574400,"Понедельник, 8 июня
00:00 (UTC)",,,,,,,,,,10,743,,,,17.7,64.4,,,,восточный,0.0,,,,3.0,,,
1591585200,"Понедельник, 8 июня
03:00 (UTC)",,,0,,,0,,,,10,743,,,,17.8,65.3,,15.7,,юго-восточный,0.0,,,,2.0,,,
1591596000,"Понедельник, 8 июня
06:00 (UTC)",,,0,,,,,,,10,743,,,,24.5,56.9,,15.7,,восточный,0.0,,,,2.0,,,
1591606800,"Понедельник, 8 июня
09:00 (UTC)",,,,,,,,,,10,743,,,,27.4,49.5,,,,юго-восточный,7.0,,,,3.0,,,
1591617600,"Понедельник, 8 июня
12:00 (UTC)",,,,,,,,,,10,743,,,,27.9,38.0,,,,юго-восточный,6.0,,,,5.0,,,
1591628400,"Понедельник, 8 июня
15:00 (UTC)",,,0,,,,,,,10,742,,,,27.2,42.3,,,,восточный,1.0,,,,4.0,,,
1591639200,"Понедельник, 8 июня
18:00 (UTC)",,,0,,,,,,,10,742,,,,23.1,55.4,,,,восточный,2.0,,,28.1,3.0,,,
1591650000,"Понедельник, 8 июня
21:00 (UTC)",,,,,,,,,,10,742,,,,19.3,64.7,,,,восточный,2.0,,,,3.0,,,
1591660800,"Вторник, 9 июня
00:00 (UTC)",,,,,,,,,,10,742,,,,17.7,68.8,,,,северо-восточный,2.0,,,,2.0,,,
1591671600,"Вторник, 9 июня
03:00 (UTC)",,,0,,,0,,,,10,742,,,,18.4,71.2,,16.7,,северо-восточный,2.0,,,,2.0,,,
1591682400,"Вторник, 9 июня
06:00 (UTC)",,,0,,,,,,,10,742,,,,25.6,57.2,,16.7,,восточный,0.0,,,,3.0,,,
1591693200,"Вторник, 9 июня
09:00 (UTC)",,,,,,,,,,10,742,,,,29.2,39.7,,,,юго-восточный,2.0,,,,4.0,,,
1591704000,"Вторник, 9 июня
12:00 (UTC)",,,,,,,,,,10,742,,,,29.6,35.9,,,,восточный,1.0,,,,5.0,,,
1591714800,"Вторник, 9 июня
15:00 (UTC)",,,0,,,,,,,10,742,,,,28.9,39.8,,,,восточный,0.0,,,,4.0,,,
1591725600,"Вторник, 9 июня
18:00 (UTC)",,,0,,,,,,,10,742,,,,24.1,50.2,,,,восточный,0.0,,,30.0,3.0,,,
1591736400,"Вторник, 9 июня
21:00 (UTC)",,,,,,,,,,10,742,,,,21.3,61.1,,,,восточный,0.0,,,,4.0,,,
1591747200,"Среда, 10 июня
00:00 (UTC)",,,,,,,,,,10,742,,,,19.4,77.2,,,,восточный,0.0,,,,4.0,,,
