timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневый дождь,Дымка (видимость больше 1 км),Ливневой дождь слабый,Мгла,Ухудшение видимости из-за дыма или вулканического пепла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Туман без изменений (небо видно),Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой снег слабый,Ливневый дождь со снегом
1589965200,"Среда, 20 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,29.1,26.8,,,,северо-восточный,7,,,1,,
1589976000,"Среда, 20 мая
12:00 (UTC)",,,,менее 0.1,,,,,,,,,,,,20,748,,,22.4,55.3,,,,западный,10,True,29.2,3,,
1589986800,"Среда, 20 мая
15:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,21.0,63.0,,,,северо-западный,10,,,3,,
1589997600,"Среда, 20 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,17.5,61.4,,,,северо-западный,10,,,3,,
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,15.5,60.1,,,,северо-западный,9,,,3,,
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,0,,,,,менее 0.1,,,,,,,20,751,,,14.7,67.7,14.1,,,северо-западный,9,,,4,,
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,17.3,63.9,,,,северный,9,,,2,,
1590040800,"Четверг, 21 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,21.4,53.2,,,,северо-восточный,7,,,1,,
1590051600,"Четверг, 21 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,21.6,52.6,,,,восточный,9,,,2,,
1590062400,"Четверг, 21 мая
12:00 (UTC)",,,,0,,,,,,,,,,,,20,751,,,17.2,81.5,,,,западный,10,,22.3,3,,
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,,,,,,,,,True,,,,,20,752,,,15.1,92.5,,,,западный,10,,,1,,
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,14.7,92.5,,True,,западный,10,,,1,,
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,,,,True,,,10,753,,,13.7,96.2,,,,северо-западный,10,,,1,,
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,6,,,,,6,,,,,,,4,753,True,,13.5,96.2,13.5,,,западный,10,,,2,,
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,,,,,,,,,,,,,,4,753,True,,13.8,97.4,13.4,,,северо-западный,10,,,1,,
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,,,,,,,,,,,True,,,10,754,,,14.1,95.6,,,,северо-западный,10,,,2,,
1590138000,"Пятница, 22 мая
09:00 (UTC)",,,,,,,,,,,,,True,,,10,754,,,13.7,92.5,,,,северо-западный,10,,,4,,
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,13,,,,,,,,,,,,20,754,,,14.3,87.2,,True,,северо-западный,10,,14.5,2,,
1590159600,"Пятница, 22 мая
15:00 (UTC)",,,,,,,,,,,,,True,,,10,755,,,12.8,93.6,,,,западный,10,,,1,,
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,,,,,,,,,,,True,,,10,755,,,12.4,94.9,,,,западный,10,,,2,,
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,,,,,,,,,True,,,,,20,755,,,11.8,96.8,,,,,10,,,0,,
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,,3,,,,,16,,,,,,,10,755,,,12.7,96.1,11.4,True,,,10,,,0,,
1590202800,"Суббота, 23 мая
03:00 (UTC)",,,,,,,,,,,,,,,,10,756,,,15.8,79.7,,,,западный,10,,,1,,
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20,756,,,17.6,68.3,,,,восточный,10,,,1,,
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,19.6,58.3,,,,восточный,7,,,2,,
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,,0,,,,,,,,,,,,20,755,,,20.9,49.3,,,,,6,,20.9,0,,
1590246000,"Суббота, 23 мая
15:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,13.1,92.4,,,,,6,,,0,,
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,,,,,,,,,,,,,,10,756,,,10.2,96.7,,,,,4,,,0,,
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,,,,,,,,,,True,,,,4,756,,,9.4,97.3,,,,южный,2,,,1,,
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,0,,,,,0,,,True,,,,1,756,,,9.4,98.0,7.8,,,юго-восточный,10,,,1,,
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,,,,,,,,,,,,,,10,755,,,18.1,75.5,,,,юго-восточный,6,,,2,,
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,22.5,43.6,,,,южный,9,,,3,,
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,22.8,34.6,,,,юго-западный,10,,,2,,
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,1,,,,,,,True,,,,,20,755,,,17.5,85.8,,,,северо-западный,10,,24.0,1,,
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,,,,,,,,,,,,,,10,755,,,14.8,93.7,,,,,10,,,0,,
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,,,,,,,,,10,756,,,11.6,98.0,,,,,6,,,0,,
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,,,True,,,,2,756,,,10.1,98.7,,,,,7,,,0,,
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,0,,,True,,1,,,,,,,0,756,,,11.8,98.7,9.8,,,,10,,,0,,
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,,,,,,,,,,,,10,756,,,16.1,89.7,,True,,юго-восточный,10,,,1,,
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,22.5,55.3,,True,,юго-западный,9,,,3,,
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,22.3,55.2,,,,западный,9,,,4,,
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,0,,,,,,,,,,,,20,753,,,21.1,59.5,,,,юго-западный,6,,23.7,3,,
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,18.7,74.1,,,,южный,9,,,2,,
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,15.5,91.4,,,,,4,,,0,,
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20,751,,,13.4,96.8,,,,южный,2,,,1,,
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,750,,,14.9,95.6,12.5,,,южный,5,,,1,,
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,22.2,74.2,,,,южный,4,,,3,,
1590472800,"Вторник, 26 мая
06:00 (UTC)",,12.0,,,,,,,,,,,,,,20,743,,,28.5,43.2,,,,юго-западный,7,,,5,,
1590483600,"Вторник, 26 мая
09:00 (UTC)",,16.0,,,,,,,,,,,,,,20,739,,,32.3,29.4,,,,юго-западный,6,,,7,,
1590494400,"Вторник, 26 мая
12:00 (UTC)",,18.0,,менее 0.1,,,,,,,,,,,,20,736,,,29.9,26.3,,True,,юго-западный,10,,32.6,6,,
1590505200,"Вторник, 26 мая
15:00 (UTC)",,22.0,,,,,,,,,,,,,,20,741,,,17.2,52.5,,True,,северо-западный,5,,,6,,
1590516000,"Вторник, 26 мая
18:00 (UTC)",,14.0,,,,,,,,,True,,,,,20,745,,,10.3,81.1,,,,северный,7,,,4,,
1590526800,"Вторник, 26 мая
21:00 (UTC)",,11.0,,,,,,,,,,,,,,20,748,,,7.9,64.9,,,,северный,9,,,4,,
1590537600,"Среда, 27 мая
00:00 (UTC)",,11.0,,менее 0.1,,,,,менее 0.1,,,,,,,20,750,,,7.2,67.6,5.9,,,северный,2,,,3,,
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,,,,,,,,,,,,50,752,,,10.8,43.6,,,,северный,6,,,4,,
1590559200,"Среда, 27 мая
06:00 (UTC)",,11.0,,,,,,,,,,,,,,50,752,,,13.3,39.7,,,,северо-западный,9,,,3,,
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20,753,,,13.4,43.7,,,,северный,9,,,4,,
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,0,,,,,,,,,,,,20,754,,,12.3,50.8,,,,северо-западный,10,,14.7,5,,
1590591600,"Среда, 27 мая
15:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,8.3,68.8,,,,северо-западный,2,,,2,,
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,8.2,83.1,,,,,10,,,0,,
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,8.3,81.4,,,,западный,10,,,1,,
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,755,,,9.0,77.1,7.0,,,западный,10,,,1,,
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,11.3,52.0,,,,западный,10,,,3,,
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20,753,,,13.9,44.1,,,,западный,10,,,3,,
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,14.8,42.6,,,,северо-западный,9,,,2,,
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,0,,,,,,,,,,,,20,752,,,14.6,39.3,,,,северо-западный,7,,15.5,2,,
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,8.6,71.3,,,,юго-западный,9,,,1,,
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,5.0,90.7,,,,западный,6,,,1,,
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20,751,,,3.6,95.2,,,,юго-западный,7,,,1,,
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,752,,,7.1,87.1,2.1,,,юго-восточный,2,,,1,,
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,,,,,,,,,,,,20,751,,,14.9,59.6,,,,юго-восточный,2,,,2,,
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,18.6,32.5,,,,юго-западный,6,,,3,,
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,19.6,32.8,,,,юго-западный,9,,,2,,
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,менее 0.1,,,,,,,,,,,,20,747,,,18.0,43.8,,True,,юго-западный,9,,19.8,2,,
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,,,,,,,,,True,,,,,20,745,,,15.9,54.0,,,,южный,10,,,2,,
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20,742,,,14.1,60.6,,True,,юго-восточный,10,,,2,,
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,,,,,,,,,4,741,True,,11.5,90.5,,,,южный,10,,,2,,
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,4,,,,,4,,,,,,,20,740,,,13.3,90.0,11.3,True,,юго-западный,10,,,3,,
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,,,,,,,,,,,,,,20,740,,,17.9,71.1,,,,западный,7,,,3,,
1590818400,"Суббота, 30 мая
06:00 (UTC)",,11.0,,,,,,,,,,,,,,20,740,,,18.6,48.4,,True,,западный,7,,,6,,
1590829200,"Суббота, 30 мая
09:00 (UTC)",,12.0,,,,,,,,,,,,,,20,740,,,16.2,59.9,,True,,западный,10,,,3,,
1590840000,"Суббота, 30 мая
12:00 (UTC)",,16.0,,2,,,,,,,True,,,,,20,740,,,14.8,78.0,,,,западный,10,,19.6,2,,
1590850800,"Суббота, 30 мая
15:00 (UTC)",,11.0,,,,,,,,,,,True,,,10,741,,,12.7,74.6,,,,северо-западный,10,,,4,,
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20,742,,,12.0,77.5,,True,,западный,10,,,3,,
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,10.9,79.5,,,,западный,7,,,2,,
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,0.3,,,,,2,,,,,,,20,743,,,10.8,80.1,9.2,,,юго-западный,10,,,3,,
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,,,,,,,,,,,True,,,10,743,,,11.1,91.7,,,,юго-западный,10,,,4,,
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,10.0,,,,,,,,,,,True,,,10,742,,,13.4,89.4,,,,западный,10,,,4,,
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,14.0,,,,,,,,,,,,,,20,742,,,15.9,70.8,,True,,западный,9,,,5,,
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,13.0,,6,,,,,,,,,,,,20,742,,,15.9,66.6,,True,,западный,10,,16.5,5,,
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,10.0,,,,,,,,,,,,,,20,743,,,13.8,77.8,,,,западный,10,,,3,,
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,,,,,,,,,,,,,,,20,744,,,12.0,72.9,,,,северо-западный,9,,,1,,
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,9.9,83.3,,,,юго-западный,10,,,1,,
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,0,,,,,6,,,,,,,20,744,,,11.0,86.9,9.4,,,,10,,,0,,
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,744,,,13.1,72.6,,,,юго-западный,10,,,3,,
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,16.9,50.3,,,,западный,7,,,3,,
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20,744,,,17.9,41.4,,,,западный,9,,,3,,
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,,0,,,,,,,,,,,,20,744,,,17.4,44.5,,,,западный,10,,18.9,2,,
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,13.8,67.5,,,,южный,10,,,1,,
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,,,,,,True,,,10,742,,,11.9,93.0,,,,,10,,,0,,
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,,,,True,,,10,741,,,10.9,96.1,,,,южный,10,,,1,,
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,6,,,,,6,,,,,,,20,739,,,11.3,92.9,10.6,True,,юго-восточный,10,,,1,,
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,15.8,75.1,,,,юго-восточный,7,,,2,,
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,21.1,66.4,,,,юго-западный,9,,,2,,
1591088400,"Вторник, 2 июня
09:00 (UTC)",,11.0,,,,,,,,,,,,,,20,737,,,22.4,48.1,,,,западный,7,,,6,,
1591099200,"Вторник, 2 июня
12:00 (UTC)",,12.0,,0,,,,,,,,,,,,20,739,,,18.3,59.6,,,,западный,6,,23.4,5,,
1591110000,"Вторник, 2 июня
15:00 (UTC)",,11.0,,,,,,,,,,,,,,20,741,,,13.2,69.8,,,,западный,9,,,2,,
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,,,,True,,,,,20,741,,,11.1,90.5,,,,западный,10,,,2,,
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20,741,,,10.4,87.4,,,,западный,10,,,2,,
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,0.5,,,,,0.5,,,,,,,20,742,,,10.8,86.9,9.9,,,западный,10,,,3,,
1591153200,"Среда, 3 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,11.3,81.8,9.8,True,,западный,9,,,3,,
1591164000,"Среда, 3 июня
06:00 (UTC)",,13.0,,,,,,,,,,,,,,20,745,,,12.5,62.3,,True,,западный,9,,,4,,
1591174800,"Среда, 3 июня
09:00 (UTC)",,10.0,,,,,,,,,,,,,,20,746,,,14.5,48.9,,,,западный,7,,,4,,
1591185600,"Среда, 3 июня
12:00 (UTC)",,,,2,,,,,,,,,,,,20,746,,,13.3,52.9,,,,северо-западный,7,,15.8,2,,
1591196400,"Среда, 3 июня
15:00 (UTC)",,,,,,,,,,,,,,,,20,746,,,10.0,82.7,,,,юго-западный,5,,,1,,
1591207200,"Среда, 3 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20,746,,,9.2,67.0,,,,западный,7,,,2,,
1591218000,"Среда, 3 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20,745,,,4.4,94.5,,,,,10,,,0,,
1591228800,"Четверг, 4 июня
00:00 (UTC)",,,,0,,,,,2,,,,,,,20,745,,,9.2,81.5,4.3,,,,7,,,0,,
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,745,,,12.9,51.7,,,,западный,6,,,2,,
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20,744,,,14.9,33.1,,,,западный,6,,,3,,
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,14.5,36.5,,,,западный,7,,,3,,
1591272000,"Четверг, 4 июня
12:00 (UTC)",,,,0,,,,,,,,,,,,20,743,,,15.2,35.1,,,,северо-западный,7,,16.3,2,,
1591282800,"Четверг, 4 июня
15:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,9.6,74.5,,,,,9,,,0,,
1591293600,"Четверг, 4 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20,742,,,6.3,90.1,,,,западный,7,,,1,,
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20,741,,,4.2,94.5,,,,западный,10,,,1,,
1591315200,"Пятница, 5 июня
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,741,,,8.4,79.7,3.1,,,северо-западный,9,,,3,,
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,741,,,11.8,60.5,,True,,северный,9,,,3,,
1591336800,"Пятница, 5 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20,741,,,15.2,49.5,,True,,северо-западный,7,,,3,,
1591347600,"Пятница, 5 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20,742,,,13.7,49.4,,True,,северо-западный,9,,,2,,
1591358400,"Пятница, 5 июня
12:00 (UTC)",,,,0.3,,,,,,,,,,,,20,743,,,15.0,43.2,,True,,северный,6,,15.7,4,,
1591369200,"Пятница, 5 июня
15:00 (UTC)",,,,,,,,,,,,,,,,20,744,,,9.0,71.4,,,,западный,2,,,1,,
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20,745,,,7.7,86.6,,,,западный,7,,,1,,
1591390800,"Пятница, 5 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20,745,,,3.6,96.5,,,,юго-западный,5,,,1,,
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,0,,,,,0.3,,,,,,,20,746,,,7.2,89.6,3.0,,,северо-западный,2,,,1,,
1591412400,"Суббота, 6 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,746,,,13.3,65.6,,,,северный,2,,,1,,
1591423200,"Суббота, 6 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,15.2,51.2,,,,северо-западный,9,,,3,,
1591434000,"Суббота, 6 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,17.1,44.4,,,,северо-западный,7,,,4,,
1591444800,"Суббота, 6 июня
12:00 (UTC)",,,,0,,,,,,,,,,,,20,748,,,16.5,44.6,,,,северо-западный,7,,18.1,4,,
1591455600,"Суббота, 6 июня
15:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,13.5,60.5,,,,западный,9,,,2,,
1591466400,"Суббота, 6 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,12.3,85.8,,,,западный,9,,,2,,
1591477200,"Суббота, 6 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,11.0,96.1,,True,,западный,10,,,2,,
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,,,2,,,,,2,,True,,,,,20,749,,,12.6,93.0,10.7,,,западный,9,,,3,,
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,16.6,75.2,,,,западный,6,,,2,,
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,12.0,,,,,,,,,,,,,,50,747,,,20.6,42.7,,,,северо-западный,6,,,6,,
1591520400,"Воскресенье, 7 июня
09:00 (UTC)",,17.0,,,,,,,,,,,,,,50,746,,,21.1,40.9,,True,,северо-западный,2,,,7,,
1591531200,"Воскресенье, 7 июня
12:00 (UTC)",,15.0,,0.3,,,,,,,,,,,,50,747,,,21.3,19.2,,True,,северо-западный,1,,22.1,6,,
1591542000,"Воскресенье, 7 июня
15:00 (UTC)",,11.0,,,,,,,,,,,,,,20,747,,,15.5,36.0,,,,северо-западный,1,,,3,,
1591552800,"Воскресенье, 7 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,8.5,70.8,,,,западный,2,,,1,,
1591563600,"Воскресенье, 7 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,5.6,88.2,,,,западный,7,,,1,,
1591574400,"Понедельник, 8 июня
00:00 (UTC)",,,,0,,,,,0.3,,,,,,,20,749,,,10.9,73.7,4.3,,,,6,,,0,,
1591585200,"Понедельник, 8 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,17.2,44.8,,,,северо-западный,9,,,1,,
1591596000,"Понедельник, 8 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,20.0,34.1,,,,северо-западный,7,,,3,,
1591606800,"Понедельник, 8 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,19.6,36.7,,,,западный,9,,,1,,
1591617600,"Понедельник, 8 июня
12:00 (UTC)",,,,менее 0.1,,,,,,,,,,,,20,744,,,18.1,46.6,,True,,южный,10,,20.5,2,,
1591628400,"Понедельник, 8 июня
15:00 (UTC)",,12.0,,,,,,,,,True,,,,,20,742,,,14.7,93.7,,,,юго-западный,9,,,2,,
1591639200,"Понедельник, 8 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20,742,,,14.8,89.6,,True,,северо-западный,10,,,4,,
1591650000,"Понедельник, 8 июня
21:00 (UTC)",,11.0,,,,,,,,,,,,,,20,744,,,10.8,88.0,,,,северный,10,,,4,,
1591660800,"Вторник, 9 июня
00:00 (UTC)",,,,5,,,,,5,,,,,,,20,745,,,11.0,81.7,10.0,,,северо-западный,4,,,3,,
1591671600,"Вторник, 9 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,745,,,15.2,61.7,,,,северо-западный,2,,,4,,
1591682400,"Вторник, 9 июня
06:00 (UTC)",,10.0,,,,,,,,,,,,,,20,746,,,16.1,42.0,,,,северный,9,,,4,,
1591693200,"Вторник, 9 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,17.0,37.5,,,,северный,9,,,4,,
1591704000,"Вторник, 9 июня
12:00 (UTC)",,10.0,,0,,,,,,,,,,,,20,748,,,16.4,40.9,,,,северо-западный,10,,17.6,3,,
1591714800,"Вторник, 9 июня
15:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,14.4,58.6,,,,западный,7,,,2,,
1591725600,"Вторник, 9 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,14.7,50.4,,,,северо-западный,10,,,3,,
1591736400,"Вторник, 9 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,9.2,91.0,,,,северо-западный,10,,,1,,
1591747200,"Среда, 10 июня
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,749,,,10.9,77.9,9.0,,,восточный,7,,,1,,
1591758000,"Среда, 10 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,12.6,65.9,,,,,10,,,0,,
1591768800,"Среда, 10 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,13.7,57.6,,,,северный,10,,,1,,
1591779600,"Среда, 10 июня
09:00 (UTC)",,,,,,,,,,,,,True,,,10,750,,,13.5,72.2,,,,северный,9,,,1,,
1591790400,"Среда, 10 июня
12:00 (UTC)",,,,0.8,,,,,,,,,,,,20,750,,,15.9,67.1,,,,северо-западный,5,,16.0,2,,
1591801200,"Среда, 10 июня
15:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,11.5,87.5,,,,западный,4,,,1,,
1591812000,"Среда, 10 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,7.7,96.6,,,,западный,1,,,1,,
1591822800,"Среда, 10 июня
21:00 (UTC)",,,,,,,,,,,,True,,,,1,750,,,6.1,98.0,,,,,2,,,0,,
1591833600,"Четверг, 11 июня
00:00 (UTC)",,,,0,,,,,0.8,,,,,,,0,750,,,8.4,98.7,5.9,,True,,2,,,0,,
1591844400,"Четверг, 11 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,17.7,61.9,,True,,западный,4,,,1,,
1591855200,"Четверг, 11 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,19.3,53.0,,True,,западный,9,,,2,,
1591866000,"Четверг, 11 июня
09:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,21.5,44.2,,True,,юго-западный,6,,,3,,
1591876800,"Четверг, 11 июня
12:00 (UTC)",,,,менее 0.1,,,,,,,,,,,,20,746,,,22.6,43.3,,True,,западный,7,,23.3,2,,
1591887600,"Четверг, 11 июня
15:00 (UTC)",,,,,,,,,,,,,,,,20,746,,,18.9,62.1,,,,юго-западный,7,,,1,,
1591898400,"Четверг, 11 июня
18:00 (UTC)",,,,,,,,,,,,,,,,20,746,,,15.0,82.8,,,,юго-восточный,7,,,1,,
1591909200,"Четверг, 11 июня
21:00 (UTC)",,,,,,,,,,,,,,,,20,746,,,14.4,86.1,,,,южный,4,,,1,,
1591920000,"Пятница, 12 июня
00:00 (UTC)",,,,0,,,,,менее 0.1,,,,,,,20,746,,,15.8,84.5,13.2,,,юго-восточный,2,,,1,,
1591930800,"Пятница, 12 июня
03:00 (UTC)",,,,,,,,,,,,,,,,20,746,,,21.4,70.9,,,,юго-восточный,2,,,1,,
1591941600,"Пятница, 12 июня
06:00 (UTC)",,,,,,,,,,,,,,,,20,746,,,25.0,55.6,,,,западный,5,,,2,,
