timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) умеренный с перерывами,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1589565600,"Пятница, 15 мая
18:00 (UTC)",,,,,,,,63.9,,,юго-восточный,,,1,,,,,,,,,,,10.0,701,,,15.7,,,2.0,
1589576400,"Пятница, 15 мая
21:00 (UTC)",,,,,,,,48.0,,,южный,,,3,,,,,,,,,,,10.0,701,,,17.3,,,0.0,
1589587200,"Суббота, 16 мая
00:00 (UTC)",,,,,,,,48.7,,,южный,,,2,,,,,,,,,,,10.0,700,,,16.2,,,0.0,
1589598000,"Суббота, 16 мая
03:00 (UTC)",,,,,,,,51.1,,14.2,южный,,,1,,,,0,,0,,,,,50.0,700,,,15.9,,,0.0,
1589608800,"Суббота, 16 мая
06:00 (UTC)",,,,,,,,26.4,,,восточный,,,1,,,,,,,,,,,50.0,699,,,26.3,,,2.0,
1589619600,"Суббота, 16 мая
09:00 (UTC)",,,,,,,,14.5,,,восточный,,,2,,,,,,,,,,,50.0,696,,,31.1,,,4.0,
1589630400,"Суббота, 16 мая
12:00 (UTC)",,,,,,,,41.4,,,западный,,,2,,,,,,,True,,,,20.0,698,,,26.0,,,9.0,
1589641200,"Суббота, 16 мая
15:00 (UTC)",,,,,,,,38.1,,,восточный,,32.2,2,,,,менее 0.1,,,,,,,20.0,696,,,25.3,,True,7.0,
1589652000,"Суббота, 16 мая
18:00 (UTC)",,,,,,,,54.9,,,северо-западный,,,2,,,,,,,,,,,10.0,700,,,20.8,,True,7.0,
1589662800,"Суббота, 16 мая
21:00 (UTC)",,,,,,,,89.1,,,западный,True,,1,,,,,,,,,,,10.0,702,,,15.8,,,10.0,
1589673600,"Воскресенье, 17 мая
00:00 (UTC)",,,,,,,,89.9,,,северный,,,1,,,,,,,True,,,,10.0,705,,,11.4,,,10.0,
1589684400,"Воскресенье, 17 мая
03:00 (UTC)",,,True,,,,,91.0,,9.3,северо-западный,,,2,,,,17,,17,,,,,2.0,706,,,9.3,,,10.0,
1589695200,"Воскресенье, 17 мая
06:00 (UTC)",,,True,,,,,89.1,,8.5,восточный,,,1,,,,,,,,,,,2.0,707,,,9.0,,,10.0,
1589706000,"Воскресенье, 17 мая
09:00 (UTC)",,,,,,,,76.5,,,северо-восточный,,,1,,,,,,,,,,,10.0,708,,,11.7,,True,10.0,
1589716800,"Воскресенье, 17 мая
12:00 (UTC)",,,,,,,,74.9,,,восточный,,,2,,,,,,,,,,,10.0,707,,,11.9,,True,10.0,
1589727600,"Воскресенье, 17 мая
15:00 (UTC)",,,,,,,,67.4,,,,,14.2,0,,,,2,,,,,,,10.0,706,,,13.0,,,7.0,
1589738400,"Воскресенье, 17 мая
18:00 (UTC)",,,,,,,,89.1,,,южный,,,1,,,,,,,,,,,10.0,706,,,9.4,,,2.0,
1589749200,"Воскресенье, 17 мая
21:00 (UTC)",,,,,,,,84.9,,,юго-западный,,,1,,,,,,,,,,,10.0,705,,,8.7,,,0.0,
1589760000,"Понедельник, 18 мая
00:00 (UTC)",,,,,,,,83.5,,,южный,,,1,,,,,,,,,,,10.0,703,,,7.1,,,7.0,
1589770800,"Понедельник, 18 мая
03:00 (UTC)",,,,,,,,72.8,,7.1,юго-восточный,,,1,,,,0,,2,,,,,20.0,701,,,8.5,,,10.0,
1589781600,"Понедельник, 18 мая
06:00 (UTC)",,,,,,,,65.8,,,западный,,,1,,,,,,,,,,,50.0,702,,,14.3,,,4.0,
1589792400,"Понедельник, 18 мая
09:00 (UTC)",,,,,,,,21.8,,,восточный,,,1,,,,,,,,,,,50.0,700,,,22.1,,,4.0,
1589803200,"Понедельник, 18 мая
12:00 (UTC)",,,,,,,,24.3,,,северо-западный,,,3,,,,,,,,,,,20.0,700,,,22.6,,,6.0,
1589814000,"Понедельник, 18 мая
15:00 (UTC)",,,,,,,,46.6,,,северо-восточный,,23.9,1,,,,0,,,,,,,10.0,702,,,18.0,,,10.0,
1589824800,"Понедельник, 18 мая
18:00 (UTC)",,,,,,,,58.9,,,северо-западный,,,1,,,,,,,,,,,10.0,703,,,15.5,,,10.0,
1589835600,"Понедельник, 18 мая
21:00 (UTC)",,,,,,,,74.6,,,юго-восточный,,,1,,,,,,,,,,,10.0,703,,,12.7,,,10.0,
1589846400,"Вторник, 19 мая
00:00 (UTC)",,,,,,,,74.1,,,,,,0,,,,,,,,,,,10.0,703,,,12.7,,,10.0,
1589857200,"Вторник, 19 мая
03:00 (UTC)",,,,,,,,78.1,,12.1,,,,0,,,,менее 0.1,,менее 0.1,,,,,10.0,705,,,12.2,,True,10.0,
1589868000,"Вторник, 19 мая
06:00 (UTC)",,,,,,,,51.3,,,западный,,,1,,,,,,,,,,,20.0,705,,,14.1,,True,10.0,
1589878800,"Вторник, 19 мая
09:00 (UTC)",,,,,,,,42.3,,,западный,,,2,,,,,,,,,,,20.0,704,,,17.9,,,4.0,
1589889600,"Вторник, 19 мая
12:00 (UTC)",,,,,,,,38.8,,,западный,,,1,,,,,,,,,,,20.0,704,,,19.8,,,7.0,
1589900400,"Вторник, 19 мая
15:00 (UTC)",,,,,,,,49.3,,,южный,,20.3,1,,,,0,,,,,,,20.0,704,,,17.1,,,9.0,
1589911200,"Вторник, 19 мая
18:00 (UTC)",,,,,,,,59.2,,,южный,,,1,,,,,,,,,,,10.0,705,,,15.3,,,7.0,
1589922000,"Вторник, 19 мая
21:00 (UTC)",,,,,,,,69.4,,,юго-восточный,,,1,,,,,,,,,,,10.0,705,,,13.9,,,7.0,
1589932800,"Среда, 20 мая
00:00 (UTC)",,,,,,,,78.0,,,южный,,,1,,,,,,,,,,,10.0,703,,,11.6,,,0.0,
1589943600,"Среда, 20 мая
03:00 (UTC)",,,,,,,,66.8,,10.0,южный,,,1,,,,0,,0,,,,,50.0,703,,,12.3,,,2.0,
1589954400,"Среда, 20 мая
06:00 (UTC)",,,,,,,,41.0,,,восточный,,,2,,,,,,,,,,,20.0,701,,,18.5,,,5.0,
1589965200,"Среда, 20 мая
09:00 (UTC)",,,,,,,,36.0,,,восточный,,,1,,,,,,,,,,,20.0,700,,,22.5,,,6.0,
1589976000,"Среда, 20 мая
12:00 (UTC)",,,,,,,,33.5,,,северо-западный,,,2,,,,,,,,,,,50.0,698,,,24.5,,,2.0,
1589986800,"Среда, 20 мая
15:00 (UTC)",,,,,,,,32.1,,,северо-восточный,,24.9,1,,,,0,,,,,,,50.0,698,,,22.9,,,0.0,
1589997600,"Среда, 20 мая
18:00 (UTC)",,,,,,,,65.2,,,юго-восточный,,,1,,,,,,,,,,,10.0,699,,,15.6,,,0.0,
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,68.4,,,южный,,,1,,,,,,,,,,,10.0,698,,,13.5,,,2.0,
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,,,,,59.7,,,южный,,,1,,,,,,,,,,,10.0,697,,,13.7,,,2.0,
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,,,,,,61.9,,12.7,юго-восточный,,,1,,,,0,,0,,,,,50.0,698,,,14.2,,,0.0,
1590040800,"Четверг, 21 мая
06:00 (UTC)",,,,,,,,34.6,,,восточный,,,1,,,,,,,,,,,50.0,697,,,22.7,,,0.0,
1590051600,"Четверг, 21 мая
09:00 (UTC)",,,,,,,,32.5,,,северо-западный,,,1,,,,,,,,,,,20.0,697,,,25.9,,,4.0,
1590062400,"Четверг, 21 мая
12:00 (UTC)",,,,,,,,28.2,,,северный,,,2,,,,,,,,,,,20.0,695,,,28.9,,,7.0,
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,,,,,,50.0,,,северо-западный,,29.8,1,,,,0,,,,,,,20.0,696,,,23.5,,,7.0,
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,,,,,,61.0,,,южный,,,1,,,,,,,,,,,10.0,695,,,20.8,,,7.0,
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,73.6,,,западный,,,3,,,,,,,,,,,10.0,696,,,18.5,,,9.0,
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,,,,70.7,,,западный,,,2,,,,,,,,,,,10.0,695,,,18.0,,,5.0,
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,,,,,,69.8,,15.4,,,,0,,,,0,,0,,,,,20.0,695,,,18.4,,,4.0,
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,,,,,,58.6,,,западный,,,3,,,,,,,,,,,20.0,695,,,22.2,,,7.0,
1590138000,"Пятница, 22 мая
09:00 (UTC)",,,,,,,,48.2,,,северо-восточный,,,2,,,,,,,,,,,20.0,694,,,25.0,,,5.0,
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,,,,,52.4,,,северный,,,2,,,,,,,,,,,20.0,695,,,25.0,,,6.0,
1590159600,"Пятница, 22 мая
15:00 (UTC)",True,,,,,,,81.7,,,западный,,28.3,4,,,,3,,,,,,,10.0,696,,,19.0,,,10.0,
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,,,,,,85.2,,,западный,,,2,,,,,,,,,,,10.0,695,,,16.8,,True,2.0,
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,,,,,,87.2,,,юго-восточный,,,2,,,,,,,,,,,10.0,697,,,14.6,,,9.0,
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,,,,,,81.7,,,южный,,,1,,,,,,,,,,,10.0,695,,,14.7,,,10.0,
1590202800,"Суббота, 23 мая
03:00 (UTC)",True,,,,,,,90.1,,13.7,северо-западный,,,1,,,,5,,8,,,,,10.0,696,,,14.0,,,10.0,
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,,,,,,92.2,,9.4,западный,,,3,,,,,,,True,,,,4.0,699,,,9.4,,,10.0,
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,,,,,90.9,,,северо-западный,,,3,,,,,,,True,,,,4.0,700,,,8.0,,,10.0,
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,True,,,,,89.6,,,северо-западный,,,2,,,,,,,,,,,4.0,703,,,7.3,,,10.0,
1590246000,"Суббота, 23 мая
15:00 (UTC)",,,,,,,,86.6,,,западный,,14.2,1,,,,15,,,,True,,,4.0,704,,,7.8,,,10.0,
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,,,,,,86.0,,,западный,,,1,,,,,,,,True,,,4.0,705,,,7.9,,,10.0,
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,,,,,,87.0,,,южный,,,1,,,,,,,True,,,,4.0,705,,,6.6,,,10.0,
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,,,,,87.0,,,юго-западный,,,1,,,,,,,True,,,,4.0,705,,,6.4,,,10.0,
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,,,,,,86.0,,6.3,южный,,,1,,,,2,,17,,,,,10.0,705,,,7.7,,True,10.0,
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,,,,,,86.0,,,юго-западный,,,1,,,,,,,,,,,10.0,705,,,7.7,,True,10.0,
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,79.8,,,северо-западный,,,1,,,,,,,,,,,10.0,705,,,9.1,,,10.0,
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,,,,,84.9,,,западный,,,2,,,,,,,,,,,10.0,706,,,8.5,,,10.0,
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,,,,,,84.3,,,северо-западный,,9.4,1,,,,0,,,,,,,10.0,706,,,8.5,,,10.0,
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,87.8,,,,,,0,,,,,,,,,,,10.0,707,,,8.2,,,10.0,
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,90.2,,,,,,0,,,,,,,,,,,10.0,707,,,6.8,,,7.0,
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,90.7,,,юго-восточный,,,1,,,,,,,,,,,10.0,707,,,6.3,,,7.0,
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,,,,88.3,,5.6,,,,0,,,,0,,0,,,,,20.0,706,,,6.8,,,7.0,
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,,,,,,69.6,,,северный,,,1,,,,,,,,,,,10.0,705,,,12.2,,,10.0,
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,,78.5,,,северо-западный,,,1,,,,,,,True,,,,4.0,704,,,11.5,,,10.0,
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,,,,,81.2,,,западный,,,2,,,,,,,True,,,,4.0,704,,,11.3,,,10.0,
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,True,,,,79.6,,,южный,,13.1,1,,,,3,,,,,,,20.0,701,,,11.5,,,6.0,
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,88.0,,,западный,,,1,,,,,,,,,,,10.0,701,,,10.0,,True,10.0,
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,,89.1,,,,,,0,,,,,,,,,,,10.0,701,,,9.2,,,10.0,
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,,,,,87.8,,,южный,,,1,,,,,,,,,,,10.0,702,,,8.4,,,10.0,
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,,,,,,80.0,,8.2,южный,,,1,,,,0,,3,,,,,50.0,703,,,10.6,,,0.0,
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,,,,,,58.0,,,северный,,,1,,,,,,,,,,,20.0,704,,,16.8,,,2.0,
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,,,,,,51.1,,,северо-западный,,,3,,,,,,,,,,,20.0,705,,,18.8,,,4.0,
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,,,,,,50.8,,,северный,,,1,,,,,,,,,,,20.0,705,,,18.7,,,9.0,
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,,,,,,61.5,,,восточный,,20.0,2,,,,0,,,,,,,10.0,705,,,17.8,,,10.0,
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,,,,,,71.3,,,,,,0,,,,,,,,,,,10.0,706,,,16.1,,,9.0,
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,,,86.4,,,юго-восточный,,,1,,,,,,,,,,,10.0,705,,,11.9,,,6.0,
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,86.9,,,юго-восточный,,,1,,,,,,,,,,,10.0,705,,,10.7,,,7.0,
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,,,,86.4,,9.9,,,,0,,,,0,,0,,,,,20.0,705,,,11.7,,,7.0,
1590559200,"Среда, 27 мая
06:00 (UTC)",,,,,,,,75.0,,,западный,,,2,,,,,,,,,,,20.0,705,,,15.4,,,7.0,
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,66.5,,,северный,,,1,,,,,,,,,,,20.0,705,,,17.5,,,10.0,
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,,,,58.1,,,северо-западный,,,2,,,,,,,,,,,20.0,704,,,20.2,,,7.0,
1590591600,"Среда, 27 мая
15:00 (UTC)",,,,,,,,64.7,,,западный,,21.1,1,,,,0,,,,,,,20.0,704,,,19.0,,,9.0,
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,74.8,,,южный,,,1,,,,,,,,,,,10.0,704,,,17.0,,,2.0,
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,84.8,,,южный,,,1,,,,,,,,,,,10.0,703,,,13.5,,,1.0,
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,88.1,,,южный,,,1,,,,,,,,,,,10.0,702,,,12.0,,,0.0,
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,,,,,,82.6,,11.5,южный,,,1,,,,0,,0,,,,,50.0,702,,,13.7,,,2.0,
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,,,,,,64.9,,,северо-западный,,,1,,,,,,,,,,,50.0,701,,,20.1,,,1.0,
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,58.1,,,северо-западный,,,2,,,,,,,,,,,50.0,701,,,23.5,,,4.0,
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,,,,55.0,,,северо-западный,,,2,,,,,,,,,,,20.0,700,,,25.5,,,9.0,
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,,,,59.8,,,северо-восточный,,26.5,1,,,,0,,,,,,,20.0,700,,,24.0,,,6.0,
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,83.8,,,,,,0,,,,,,,,,,,10.0,700,,,18.8,,,2.0,
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,86.9,,,южный,,,1,,,,,,,,,,,10.0,699,,,17.3,,,0.0,
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,89.0,,,южный,,,1,,,,,,,,,,,10.0,698,,,15.4,,,0.0,
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,,,,83.6,,14.7,восточный,,,1,,,,0,,0,,,,,20.0,698,,,17.2,,,9.0,
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,,,,,55.1,,,северо-западный,,,2,,,,,,,,,,,20.0,697,,,25.9,,,7.0,
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,,57.8,,,северный,,,2,,,,,,,,,,,20.0,696,,,26.7,,,7.0,
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,,,,,48.0,,,северо-западный,,,2,,,,,,,,,,,20.0,694,,,28.8,,,9.0,
1590764400,"Пятница, 29 мая
15:00 (UTC)",True,,,,,,,69.2,,,северо-восточный,,28.9,2,,,,0,,,,,,,20.0,694,,,24.3,,,9.0,
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,,,,,,64.4,,,западный,,,4,,,,,,,,,,,10.0,695,,,21.6,,True,10.0,
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,77.1,,,западный,,,2,,,,,,,,,,,10.0,697,,,19.2,,,10.0,
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,,,,82.4,,,восточный,,,2,,,,,,,,,,,10.0,699,,,15.9,,,10.0,
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,,True,,,,88.9,,12.9,южный,,,1,,,,1,,1,,,,,10.0,701,,,13.5,,,10.0,
1590818400,"Суббота, 30 мая
06:00 (UTC)",,,,,,,,76.4,,,северо-восточный,,,1,,,,,,,,,,,10.0,701,,,14.5,,True,10.0,
1590829200,"Суббота, 30 мая
09:00 (UTC)",,,,,,,,63.2,,,восточный,,,2,,,,,,,,,,,20.0,702,,,16.4,,,9.0,
1590840000,"Суббота, 30 мая
12:00 (UTC)",,,,,,,,56.3,,,восточный,,,2,,,,,,,,,,,20.0,702,,,17.5,,,10.0,
1590850800,"Суббота, 30 мая
15:00 (UTC)",,,,,,,,65.9,,,юго-восточный,,17.8,2,,,,0,,,,,,,10.0,702,,,16.5,,,10.0,
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,,,,,,74.5,,,,,,0,,,,,,,,,,,10.0,703,,,15.1,,,10.0,
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,88.3,,,юго-восточный,,,1,,,,,,,True,,,,10.0,703,,,13.7,,,10.0,
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,,,,88.9,,,,,,0,,,,,,,True,,,,4.0,703,,,13.4,,,10.0,
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,,True,,,,88.8,,13.1,юго-восточный,,,1,,,,2,,2,,,,,20.0,703,,,13.2,,,10.0,
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,,,,,,70.4,,,западный,,,1,,,,,,,,,,,20.0,703,,,16.7,,True,9.0,
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,,,,,,,56.2,,,западный,,,2,,,,,,,,,,,20.0,702,,,20.1,,,9.0,
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,,,,,,,57.0,,,северо-восточный,,,1,,,,,,,,,,,20.0,701,,,20.3,,,9.0,
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,,,,,,,64.7,,,восточный,,21.4,2,,,,0,,,,,,,20.0,701,,,19.1,,,7.0,
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,,,,,,,76.1,,,юго-восточный,,,1,,,,,,,,,,,10.0,701,,,15.9,,,2.0,
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,84.9,,,южный,,,1,,,,,,,,,,,10.0,700,,,13.7,,,0.0,
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,,,,,87.0,,,южный,,,1,,,,,,,,,,,10.0,700,,,12.2,,,0.0,
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,,,,,,80.0,,11.5,южный,,,1,,,,0,,0,,,,,20.0,699,,,13.9,,,2.0,
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,55.3,,,северный,,,2,,,,,,,,,,,20.0,697,,,21.0,,,2.0,
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,,50.5,,,северо-западный,,,3,,,,,,,,,,,50.0,697,,,22.9,,,2.0,
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,,,,,,44.1,,,северо-западный,,,2,,,,,,,,,,,50.0,697,,,24.4,,,4.0,
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,,,,,,43.3,,,северо-западный,,25.2,1,,,,0,,,,,,,50.0,697,,,23.7,,,4.0,
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,77.8,,,южный,,,1,,,,,,,,,,,10.0,697,,,17.0,,,2.0,
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,80.7,,,западный,,,1,,,,,,,,,,,10.0,698,,,15.3,,,1.0,
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,,,,85.9,,,,,,0,,,,,,,,,,,10.0,697,,,12.9,,,0.0,
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,,,,,,77.4,,12.6,южный,,,1,,,,0,,0,,,,,50.0,697,,,14.7,,,4.0,
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,,,,,,65.9,,,западный,,,1,,,,,,,,,,,50.0,696,,,18.6,,,5.0,
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,,,,,,50.9,,,восточный,,,3,,,,,,,,,,,20.0,695,,,22.8,,,7.0,
1591099200,"Вторник, 2 июня
12:00 (UTC)",,14.0,,,,,,42.3,,,южный,,,3,,,,,,,True,,,,10.0,696,,,21.3,,,10.0,
1591110000,"Вторник, 2 июня
15:00 (UTC)",,14.0,,,,,,31.4,,,южный,,26.2,2,,,,менее 0.1,,,,,,,20.0,694,,,23.5,,True,7.0,
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,59.9,,,юго-восточный,,,1,,,,,,,,,,,10.0,694,,,21.2,,True,7.0,
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,67.8,,,южный,,,1,,,,,,,,,,,10.0,693,,,17.2,,,5.0,
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,,,,,72.0,,,южный,,,1,,,,,,,,,,,10.0,693,,,14.8,,,0.0,
1591153200,"Среда, 3 июня
03:00 (UTC)",,,,,,,,71.8,,13.4,южный,,,1,,,,0,,менее 0.1,,,,,50.0,694,,,16.4,,,2.0,
1591164000,"Среда, 3 июня
06:00 (UTC)",,,,,,,,57.7,,,северо-западный,,,2,,,,,,,,,,,20.0,694,,,21.8,,,4.0,
1591174800,"Среда, 3 июня
09:00 (UTC)",,,,,,,,54.9,,,западный,,,2,,,,,,,,,,,20.0,695,,,22.5,,,9.0,
1591185600,"Среда, 3 июня
12:00 (UTC)",,,,,,,,64.5,,,южный,,,1,,,,,,,,,,,10.0,696,,,22.0,,,9.0,
1591196400,"Среда, 3 июня
15:00 (UTC)",,15.0,,,True,,,88.4,,,западный,,24.1,6,,,,8,,,,,,,4.0,697,,,14.6,,,10.0,
1591207200,"Среда, 3 июня
18:00 (UTC)",,11.0,,,,,,91.9,,,западный,,,2,,,,,,,,,,,4.0,699,,,13.9,,True,10.0,
1591218000,"Среда, 3 июня
21:00 (UTC)",,,,,,,,91.2,,,юго-восточный,,,2,,,,,,,,,,,10.0,699,,,13.5,,,10.0,
1591228800,"Четверг, 4 июня
00:00 (UTC)",,,,,,,,91.1,,,южный,,,1,,,,,,,,,,,10.0,699,,,12.0,,,5.0,
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,,,,,,84.8,,11.2,южный,,,1,,,,6,,13,,,,,50.0,700,,,13.5,,,2.0,
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,,,,,,60.9,,,северный,,,1,,,,,,,,,,,20.0,699,,,18.8,,,6.0,
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,,,,,,59.8,,,восточный,,,3,,,,,,,,,,,10.0,699,,,19.3,,,9.0,
1591272000,"Четверг, 4 июня
12:00 (UTC)",,,,,,,,64.6,,,восточный,,,3,,,,,,,,,,,10.0,699,,,18.6,,,10.0,
1591282800,"Четверг, 4 июня
15:00 (UTC)",,,,,,,,81.9,,,юго-восточный,,20.6,2,,,,0.3,,,True,,,,10.0,700,,,16.1,,,10.0,
1591293600,"Четверг, 4 июня
18:00 (UTC)",,,,,,,,89.0,,,юго-западный,,,1,,,,,,,,,,,10.0,699,,,14.6,,True,7.0,
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,,,,,88.3,,,южный,,,1,,,,,,,,,,,10.0,700,,,14.0,,,7.0,
1591315200,"Пятница, 5 июня
00:00 (UTC)",,,,,,,,86.7,,,,,,0,,,,,,,True,,,,10.0,702,,,14.7,,,10.0,
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,,,,,,91.9,,13.7,западный,,,2,,,,4,,4,True,,,,2.0,703,,,14.1,,,10.0,
1591336800,"Пятница, 5 июня
06:00 (UTC)",,,,,,,,91.2,,12.6,северо-западный,,,1,,,,,,,True,,,,2.0,705,,,12.8,,,10.0,
1591347600,"Пятница, 5 июня
09:00 (UTC)",,,,,,,,79.2,,,северный,,,1,,,,,,,,,,,10.0,705,,,15.8,,True,10.0,
1591358400,"Пятница, 5 июня
12:00 (UTC)",,,,,,,,65.9,,,южный,,,1,,,,,,,,,,,10.0,705,,,18.8,,True,9.0,
1591369200,"Пятница, 5 июня
15:00 (UTC)",,,,,,,,72.8,,,юго-восточный,,19.1,1,,,,4,,,,,,,20.0,704,,,16.9,,True,7.0,
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,,,,,,86.1,,,,,,0,,,,,,,,,,,10.0,706,,,14.6,,True,7.0,
1591390800,"Пятница, 5 июня
21:00 (UTC)",,,,,,,,74.8,,,юго-восточный,,,3,,,,,,,,,,,50.0,705,,,14.1,,,0.0,
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,,,,,71.2,,,юго-восточный,,,3,,,,,,,,,,,50.0,704,,,13.4,,,0.0,
