timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C",Дождь со снегом (ледяной дождь),"Средняя скорость ветра, м/с",Дождь (незамерзающий),Зарница,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Снег умеренный непрерывный,"Температура воздуха, °C",Снег сильный непрерывный,Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности
1589382000,"Среда, 13 мая
15:00 (UTC)",,11.0,,,,,,,,68.7,,,,северо-западный,,14.9,,4,,,3,,,,,,,10.0,743,,7.9,,,True,9.0
1589392800,"Среда, 13 мая
18:00 (UTC)",,,,,,True,,,,68.9,,,,западный,,,,2,,,,,,,,,,10.0,745,,6.6,,,,2.0
1589403600,"Среда, 13 мая
21:00 (UTC)",,,,,,,,,,86.0,,,,западный,,,,1,,,,,,,,,,10.0,746,,2.3,,,,0.0
1589414400,"Четверг, 14 мая
00:00 (UTC)",,,,,,,,,,84.7,,,,юго-западный,,,,2,,,,,,,,,,10.0,747,,1.4,,,,2.0
1589425200,"Четверг, 14 мая
03:00 (UTC)",,,,,,,,,,83.0,,,0.6,западный,,,,1,,,0,,,,3,,,10.0,748,,2.9,,,,2.0
1589436000,"Четверг, 14 мая
06:00 (UTC)",,,,,,,,,,55.7,,,,юго-западный,,,,2,,,,,,,,,,10.0,749,,10.8,,,,5.0
1589446800,"Четверг, 14 мая
09:00 (UTC)",,,,,,,,,,32.7,,,,западный,,,,2,,,,,,,,,,10.0,748,,13.0,,,,7.0
1589457600,"Четверг, 14 мая
12:00 (UTC)",,,,,,,,,,35.6,,,,западный,,,,3,,,,,,,,,,10.0,747,,14.3,,,,7.0
1589468400,"Четверг, 14 мая
15:00 (UTC)",,,,,,,,,,40.5,,,,юго-западный,,15.1,,3,,,0,,,,,,,10.0,746,,13.8,,,,10.0
1589479200,"Четверг, 14 мая
18:00 (UTC)",,,,,,,,,,55.1,,,,южный,,,,2,,,,,,,,,,10.0,746,,11.4,,,,10.0
1589490000,"Четверг, 14 мая
21:00 (UTC)",,,True,,,,,,,74.5,,,,южный,,,,1,,,,,,,,,,4.0,745,,9.3,,,,10.0
1589500800,"Пятница, 15 мая
00:00 (UTC)",,,,,,,,,,78.6,,,,южный,,,,1,,,,,,,,,,10.0,744,,8.5,,,True,10.0
1589511600,"Пятница, 15 мая
03:00 (UTC)",,,True,,,,,,,86.6,,,7.9,южный,,,,3,,,2,,,,2,,,4.0,741,,8.1,,,,10.0
1589522400,"Пятница, 15 мая
06:00 (UTC)",,,True,,,,,,,87.2,,,,южный,,,,3,,,,,,,,,,4.0,739,,8.2,,,,10.0
1589533200,"Пятница, 15 мая
09:00 (UTC)",,,True,,,,,,,95.4,,,,юго-западный,,,,3,,,,,,,,,,4.0,738,,9.0,,,,10.0
1589544000,"Пятница, 15 мая
12:00 (UTC)",,11.0,,,,,,,,89.1,,,,западный,,,,6,,,,,,,,True,,4.0,738,,9.6,,,,10.0
1589554800,"Пятница, 15 мая
15:00 (UTC)",,12.0,,,,,,,,79.3,,,,северо-западный,,11.0,,4,True,,5,,,,,,,4.0,740,,9.1,,,,10.0
1589565600,"Пятница, 15 мая
18:00 (UTC)",,,,,,,,,,82.9,,,,западный,,,,1,,,,,,,,,,10.0,741,,6.6,,,True,0.0
1589576400,"Пятница, 15 мая
21:00 (UTC)",,,,,,,,,,93.8,,,,юго-западный,,,,1,,,,,,,,,,10.0,742,,3.5,,,,10.0
1589587200,"Суббота, 16 мая
00:00 (UTC)",,,,,,,,,,93.8,,,,юго-западный,,,,2,,,,,,,,,,10.0,743,,2.7,,,,0.0
1589598000,"Суббота, 16 мая
03:00 (UTC)",,,,,,,,,,90.0,,,2.3,юго-западный,,,,2,,,менее 0.1,,,,5,,,10.0,744,,4.4,,,,2.0
1589608800,"Суббота, 16 мая
06:00 (UTC)",,,,,,,,,,57.7,,,,южный,,,,1,,,,,,,,,,10.0,744,,10.7,,,,7.0
1589619600,"Суббота, 16 мая
09:00 (UTC)",,,,,,,,,,39.3,,,,западный,,,,2,,,,,,,,,,10.0,744,,12.9,,,,9.0
1589630400,"Суббота, 16 мая
12:00 (UTC)",,,,,,,,,,39.7,,,,западный,,,,4,,,,,,,,,,10.0,743,,13.3,,,,9.0
1589641200,"Суббота, 16 мая
15:00 (UTC)",,,,,,,,,,36.6,,,,западный,,14.3,,3,,,0,,,,,,,10.0,743,,13.8,,,,7.0
1589652000,"Суббота, 16 мая
18:00 (UTC)",,,,,,,,,,74.9,,,,юго-западный,,,,2,,,,,,,,,,10.0,744,,8.6,,,,6.0
1589662800,"Суббота, 16 мая
21:00 (UTC)",,,,,,,,,,76.1,,,,юго-западный,,,,2,,,,,,,,,,10.0,745,,6.1,,,,2.0
1589673600,"Воскресенье, 17 мая
00:00 (UTC)",,,,,,,,,,82.7,,,,юго-западный,,,,2,,,,,,,,,,10.0,746,,5.1,,,,5.0
1589684400,"Воскресенье, 17 мая
03:00 (UTC)",,,,,True,,,,,83.9,,,4.7,юго-западный,,,,1,,,0.4,,,,0.4,,,10.0,746,,5.4,,,,7.0
1589695200,"Воскресенье, 17 мая
06:00 (UTC)",,,,,,True,,,,55.1,,,,западный,,,,4,,,,,,,,,,10.0,746,,13.2,,,,5.0
1589706000,"Воскресенье, 17 мая
09:00 (UTC)",,13.0,,,True,,,,,66.9,,,,западный,,,,6,,,,,,,,,,10.0,746,,10.6,,,,9.0
1589716800,"Воскресенье, 17 мая
12:00 (UTC)",,12.0,,,True,,,,,36.2,,,,западный,,,,7,,,,,,,,,,10.0,745,,16.0,,,,5.0
1589727600,"Воскресенье, 17 мая
15:00 (UTC)",,13.0,,,,,,,,34.7,,,,западный,,16.9,,3,,,менее 0.1,,,,,,,10.0,745,,15.3,,,,7.0
1589738400,"Воскресенье, 17 мая
18:00 (UTC)",,11.0,,,,,,,,62.6,,,,юго-западный,,,,2,,,,,,,,,,,745,,9.8,,,,2.0
1589749200,"Воскресенье, 17 мая
21:00 (UTC)",,,,,,,,,,75.2,,,,западный,,,,2,,,,,,,,,,,745,,7.4,,,,
1589760000,"Понедельник, 18 мая
00:00 (UTC)",,,,,,,,,,77.8,,,,западный,,,,1,,,,,,,,,,10.0,744,,6.5,,,,0.0
1589770800,"Понедельник, 18 мая
03:00 (UTC)",,,,,,,,,,70.0,,,5.6,,,,,0,,,0,,,,0.5,,,0.0,743,,9.8,,,,6.0
1589781600,"Понедельник, 18 мая
06:00 (UTC)",,,,,,,,,,52.5,,,,юго-западный,,,,2,,,,,,,,,,10.0,742,,14.6,,,,6.0
1589792400,"Понедельник, 18 мая
09:00 (UTC)",,,,,,,,,,37.7,,,,юго-западный,,,,3,,,,,,,,,,10.0,741,,16.0,,,,9.0
1589803200,"Понедельник, 18 мая
12:00 (UTC)",,,,,,,,,,35.9,,,,западный,,,,4,,,,,,,,,,10.0,740,,16.2,,,,7.0
1589814000,"Понедельник, 18 мая
15:00 (UTC)",,,,,,,,,,38.6,,,,западный,,17.8,,3,,,0,,,,,,,10.0,739,,16.0,,,,7.0
1589824800,"Понедельник, 18 мая
18:00 (UTC)",,11.0,,,,,,,,72.8,,,,юго-западный,,,,2,,,,,,True,,,,10.0,739,,11.2,,,,10.0
1589835600,"Понедельник, 18 мая
21:00 (UTC)",,,,,,,,,,85.0,,,,западный,,,,3,,,,,,,,True,,4.0,738,,9.8,,,,10.0
1589846400,"Вторник, 19 мая
00:00 (UTC)",,,True,,,,,,,95.3,,,,юго-западный,,,,3,,,,,,,,,,4.0,738,,7.8,,,,10.0
1589857200,"Вторник, 19 мая
03:00 (UTC)",,12.0,,,,,,,,87.0,,,5.6,северо-западный,,,,5,True,,4,,,,4,,,10.0,739,,5.7,,,,10.0
1589868000,"Вторник, 19 мая
06:00 (UTC)",,11.0,,,,,,,,67.6,,,,северо-западный,,,,5,,,,,,,,,,10.0,740,,7.4,,,True,7.0
1589878800,"Вторник, 19 мая
09:00 (UTC)",,12.0,,,,,,,,56.4,,,,северо-западный,,,,6,,,,,,,,,,10.0,740,,8.9,,,,7.0
1589889600,"Вторник, 19 мая
12:00 (UTC)",,12.0,,,True,,,,,51.2,,,,северо-западный,,,,7,,,,,,,,,,10.0,741,,9.9,,,,10.0
1589900400,"Вторник, 19 мая
15:00 (UTC)",,12.0,,,,,,,,48.1,,,,северо-западный,,11.0,,4,,,менее 0.1,,,,,,,10.0,741,,10.2,,,True,7.0
1589911200,"Вторник, 19 мая
18:00 (UTC)",,,,,,,,,,62.2,,,,западный,,,,3,,,,,,,,,,10.0,742,,8.2,,,True,7.0
1589922000,"Вторник, 19 мая
21:00 (UTC)",,,,,,,,,,77.4,,,,западный,,,,2,,,,,,,,,,10.0,741,,4.2,,,,2.0
1589932800,"Среда, 20 мая
00:00 (UTC)",,,,,,,,,,85.3,,,,западный,,,,2,,,,,,,,,,10.0,741,,2.0,,,,0.0
1589943600,"Среда, 20 мая
03:00 (UTC)",,,,,,,,,,77.4,,,1.2,юго-западный,,,,2,,,0,,,,менее 0.1,,,10.0,741,,4.5,,,,0.0
1589954400,"Среда, 20 мая
06:00 (UTC)",,,,,,,,,,45.6,,,,западный,,,,4,,,,,,,,,,10.0,740,,12.1,,,,2.0
1589965200,"Среда, 20 мая
09:00 (UTC)",,11.0,,,,,,,,33.3,,,,северо-западный,,,,4,,,,,,,,,,10.0,739,,13.2,,,,7.0
1589976000,"Среда, 20 мая
12:00 (UTC)",,,,,,,,,,30.4,,,,северо-западный,,,,3,,,,,,,,,,10.0,739,,14.5,,,,7.0
1589986800,"Среда, 20 мая
15:00 (UTC)",,,,,,,,,,32.0,,,,северо-западный,,15.9,,2,,,0,,,,,,,10.0,739,,14.4,,,,7.0
1589997600,"Среда, 20 мая
18:00 (UTC)",,,,,,,,,,60.2,,,,,,,,0,,,,,,,,,,10.0,739,,8.9,,,,6.0
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,,,69.6,,,,,,,,0,,,,,,,,,,10.0,740,,7.7,,,,7.0
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,,,,,,,81.1,,,,,,,,0,,,,,,,,,,10.0,739,,6.3,,,,7.0
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,,,,,,,,80.7,,,5.3,,,,,0,,,0,,,,0,,,10.0,739,,7.8,,,,7.0
1590040800,"Четверг, 21 мая
06:00 (UTC)",,,,,,,,,,56.4,,,,юго-восточный,,,,4,,,,,,,,,,10.0,739,,12.1,,,,9.0
1590051600,"Четверг, 21 мая
09:00 (UTC)",,11.0,,,,,,,,84.0,,,,западный,,,,4,,,,,,,,True,,4.0,739,,10.7,,,,9.0
1590062400,"Четверг, 21 мая
12:00 (UTC)",,11.0,,,,,,,,80.0,,,,западный,,,,4,,,,,,,,True,,4.0,740,,10.1,,,,9.0
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,,,,True,,,,54.1,,,,северо-западный,,14.2,,3,,,0.9,,,,,,,10.0,740,,12.0,,,,5.0
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,,,,,,,,81.0,,,,юго-западный,,,,1,,,,,,,,,,10.0,741,,5.9,,,,2.0
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,84.4,,,,западный,,,,1,,,,,,,,,,10.0,742,,4.1,,,,0.0
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,,,,,,90.4,,,,западный,,,,1,,,,,,,,,,10.0,742,,2.1,,,,0.0
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,,,,,,,,83.9,,,1.5,западный,,,,1,,,0,,,,0.9,,,10.0,743,,5.2,,,,0.0
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,,,,,,,,47.2,,,,юго-западный,,,,4,,,,,,,,,,10.0,743,,12.0,,,,2.0
1590138000,"Пятница, 22 мая
09:00 (UTC)",,11.0,,,,,,,,33.6,,,,западный,,,,4,,,,,,,,,,10.0,742,,14.4,,,,6.0
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,,,,,,,30.5,,,,западный,,,,4,,,,,,,,,,10.0,743,,15.7,,,,5.0
1590159600,"Пятница, 22 мая
15:00 (UTC)",,,,,,,,,,30.6,,,,западный,,16.4,,2,,,0,,,,,,,10.0,743,,16.2,,,,7.0
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,,,,,,,,53.4,,,,северо-восточный,,,,1,,,,,,,,,,10.0,744,,12.5,,,,7.0
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,,,,,,,,69.0,,,,северо-восточный,,,,2,,,,,,,,,,10.0,744,,9.7,,,,10.0
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,,,,,,,,75.4,,,,северо-восточный,,,,2,,,,,,,,,,10.0,745,,8.4,,,,9.0
1590202800,"Суббота, 23 мая
03:00 (UTC)",,,,,,,,,,75.3,,,7.5,северо-восточный,,,,2,,,0,,,,0,,,10.0,745,,8.1,,,,10.0
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,,,,,,,,60.3,,,,северо-восточный,,,,3,,,,,,,,,,10.0,746,,11.0,,,,10.0
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,,,,,,,,59.5,,,,северный,,,,2,True,,,,,,,,,10.0,746,,11.5,,,,10.0
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,,,,,,,,60.7,,,,северный,,,,2,,,,,,,,,,10.0,747,,10.9,,,True,10.0
1590246000,"Суббота, 23 мая
15:00 (UTC)",,,,,,,,True,,97.3,,,,северный,,11.7,,2,,,3,,,,,,,4.0,747,,6.9,,,,10.0
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,True,,,,,,,94.0,,,,северный,,,,2,,,,,,,,,,4.0,745,,7.5,,,,10.0
1590267600,"Суббота, 23 мая
21:00 (UTC)",,11.0,True,,,,,,,94.7,,,,северо-западный,,,,3,,,,,,,,,,4.0,744,,7.2,,,,10.0
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,True,,,,,,,92.7,,,,северо-западный,,,,4,,,,,,,,,,4.0,744,,6.9,,,,10.0
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,,,,,,,,93.3,,,6.5,западный,,,,3,True,,32,,,,35,,,4.0,745,,6.9,,,,10.0
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,,,,,,,,78.1,,,,западный,,,,4,,,,,,,,,,10.0,747,,8.5,,,True,10.0
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,,,66.5,,,,западный,,,,4,,,,,,,,,,10.0,749,,11.2,,,,9.0
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,,,,,,,55.3,,,,северо-западный,,,,1,,,,,,,,,,10.0,749,,13.8,,,,7.0
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,True,,,,,,,88.6,,,,восточный,,15.4,,3,,,1,,,,,,,4.0,750,,10.2,,,,10.0
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,,,86.8,,,,северо-западный,,,,1,True,,,,,,,,,10.0,751,,10.1,,,,10.0
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,96.0,,,,западный,,,,2,,,,,,,,,,10.0,751,,7.4,,,,6.0
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,,,96.6,,,,,,,,0,,,,,,,,,True,4.0,751,,4.4,,,,0.0
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,,,,,,93.4,,,3.8,западный,,,,1,,,менее 0.1,,,,1,,True,4.0,752,,7.7,,,,0.0
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,,,,,,,,63.1,,,,юго-западный,,,,3,,,,,,,,,,10.0,753,,14.1,,,,0.0
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,,,,44.1,,,,западный,,,,3,,,,,,True,,,,10.0,754,,17.0,,,,0.0
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,,,,,,,38.5,,,,юго-восточный,,,,1,,,,,,,,,,10.0,754,,17.7,,,,6.0
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,,,,,,,40.2,,,,юго-восточный,,18.8,,2,,,0,,,,,,,10.0,754,,17.8,,,,7.0
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,,,67.7,,,,,,,,0,,,,,,,,,,10.0,755,,12.5,,,,4.0
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,,,,80.0,,,,,,,,0,,,,,,,,,,10.0,755,,10.6,,,,10.0
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,,,,,,,69.0,,,,северо-восточный,,,,2,,,,,,,,,,10.0,755,,11.7,,,,10.0
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,,,,,,,,67.6,,,9.6,северо-восточный,,,,1,,,0,,,,0,,,10.0,755,,12.1,,,,10.0
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,,,,,,,,65.2,,,,северо-восточный,,,,1,True,,,,,,,,,10.0,755,,13.5,,,,10.0
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,,,,,,,,60.0,,,,северо-восточный,,,,2,,,,,,,,,,10.0,753,,16.6,,,,10.0
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,,,,,,,,38.9,,,,северо-восточный,,,,3,,,,,,,,,,10.0,751,,19.2,,,,10.0
1590505200,"Вторник, 26 мая
15:00 (UTC)",,13.0,True,,,,,,,46.1,,,,северо-восточный,,19.4,,2,,,0.3,,,,,,,4.0,750,,17.5,,,,10.0
1590516000,"Вторник, 26 мая
18:00 (UTC)",,10.0,True,,,,,,,78.3,,,,северо-западный,,,,1,,,,,,,,,,4.0,749,,13.3,,,,10.0
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,True,,,,80.8,,,,северный,,,,2,,,,,,,,,,10.0,748,,12.6,,,,7.0
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,,,83.5,,,,северо-западный,,,,2,,,,,,,,,,10.0,748,,12.0,,,True,7.0
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,,,,,,81.9,,,10.8,северный,,,,2,,,2,,,,2,,,10.0,748,,12.4,,,,2.0
1590559200,"Среда, 27 мая
06:00 (UTC)",,,,,,,,,,75.4,,,,северо-западный,,,,2,,,,,,,,,,10.0,749,,14.5,,,,6.0
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,76.9,,,,северо-западный,,,,3,,,,,,,,,,10.0,750,,14.6,,,,10.0
1590580800,"Среда, 27 мая
12:00 (UTC)",,,,,,,,,,73.5,,,,западный,,,,2,,,,,,,,,,10.0,751,,15.4,,,,10.0
1590591600,"Среда, 27 мая
15:00 (UTC)",,,,,,,,,,62.7,,,,северо-восточный,,18.6,,2,,,0,,,,,,,10.0,751,,17.9,,,,6.0
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,,,78.3,,,,,,,,0,,,,,,,,,,10.0,752,,13.5,,,,2.0
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,94.7,,,,,,,,0,,,,,,,,,,10.0,752,,9.1,,,,0.0
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,,,97.3,,,,,,,,0,,,,,,,,,True,4.0,753,,6.8,,,,0.0
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,,,,,,,,92.9,,,6.5,,,,,0,,,0,,,,0,,,10.0,753,,10.2,,,,0.0
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,,,,,,,,60.2,,,,восточный,,,,1,,,,,,,,,,10.0,753,,17.7,,,,2.0
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,,,46.1,,,,юго-восточный,,,,1,,,,,,,,,,10.0,752,,20.8,,,,6.0
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,,,,,,40.8,,,,западный,,,,1,,,,,,,,,,10.0,751,,22.8,,,,4.0
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,,,,,,40.7,,,,юго-восточный,,23.1,,1,,,0,,,,,,,10.0,751,,22.6,,,,4.0
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,,,55.9,,,,северо-восточный,,,,1,,,,,,,,,,10.0,751,,18.9,,,,2.0
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,71.1,,,,восточный,,,,2,,,,,,,,,,10.0,751,,15.2,,,,2.0
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,,,81.5,,,,восточный,,,,2,,,,,,,,,,10.0,751,,13.2,,,,0.0
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,,,,,,67.9,,,11.7,юго-восточный,,,,1,,,0,,,,0,,,10.0,751,,15.6,,,,0.0
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,,,,,,,50.4,,,,юго-восточный,,,,4,,,,,,,,,,10.0,751,,20.0,,,,0.0
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,,,,42.7,,,,юго-восточный,,,,4,,,,,,,,,,10.0,749,,23.7,,,,2.0
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,,,,,,,,38.8,,,,юго-восточный,,,,4,,,,,,,,,,10.0,748,,26.0,,,,0.0
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,,,,,,,,35.7,,,,юго-восточный,,26.5,,3,,,0,,,,,,,10.0,747,,25.7,,,,2.0
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,,,,,,,,50.2,,,,восточный,,,,2,,,,,,,,,,10.0,747,,20.5,,,,4.0
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,,,58.6,,,,восточный,,,,1,,,,,,,,,,10.0,747,,17.4,,,,0.0
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,,,,,,,,67.5,,,,восточный,,,,1,,,,,,,,,,10.0,746,,15.6,,,,0.0
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,,,,,,,,60.2,,,15.1,юго-восточный,,,,2,,,0,,,,0,,,10.0,745,,17.5,,,,2.0
1590818400,"Суббота, 30 мая
06:00 (UTC)",,,,,,,,,,45.5,,,,восточный,,,,3,,,,,,,,,,10.0,744,,22.1,,,,4.0
1590829200,"Суббота, 30 мая
09:00 (UTC)",,,,,,,,,,30.2,,,,восточный,,,,4,,,,,,,,,,10.0,743,,26.1,,,,5.0
1590840000,"Суббота, 30 мая
12:00 (UTC)",,,,,,,,,,38.9,,,,юго-восточный,,,,4,,,,,,,,,,10.0,742,,26.6,,,,9.0
1590850800,"Суббота, 30 мая
15:00 (UTC)",,,,,,,,,,56.3,,,,юго-западный,,27.3,,1,,,менее 0.1,,,,,,,10.0,741,,23.5,,,True,10.0
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,,,,,,,,77.1,,,,юго-западный,,,,2,,,,,,,,,,10.0,742,,18.9,,,True,10.0
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,,,83.1,,,,западный,,,,3,,,,,,,,,,10.0,742,,17.2,,,,9.0
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,,,,,,86.6,,,,западный,,,,3,,,,,,,,,True,4.0,742,,14.4,,,,10.0
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,,,,,,,,86.1,,,12.2,западный,,,,2,,,0,,,,менее 0.1,,,10.0,742,,14.3,,,,10.0
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,,,,,,,,63.5,,,,западный,,,,4,,,,,,,,,,10.0,741,,19.2,,,,2.0
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,11.0,,,,,,,,48.9,,,,юго-западный,,,,6,,,,,,,,,,10.0,741,,20.6,,,,7.0
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,13.0,,,,,,,,46.1,,,,юго-западный,,,,8,,,,,,,,,,10.0,740,,20.8,,,,7.0
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,14.0,,,,,,,,58.8,,,,юго-западный,,21.8,,6,True,,менее 0.1,,,,,,,10.0,740,,18.3,,,,7.0
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,11.0,,,,True,,,,80.5,,,,юго-западный,,,,3,,,,,,,,,,10.0,741,,14.2,,,,4.0
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,,,83.7,,,,юго-западный,,,,4,,,,,,,,,,10.0,741,,13.2,,,,0.0
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,,,,,,,84.1,,,,западный,,,,3,,,,,,,,,,10.0,741,,11.6,,,,2.0
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,,,,,,,,81.4,,,10.6,юго-западный,,,,3,,,менее 0.1,,,,менее 0.1,,,10.0,741,,12.9,,,,5.0
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,,,66.1,,,,юго-западный,,,,3,,,,,,,,,,10.0,742,,17.6,,,,7.0
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,10.0,,,,,,,,50.4,,,,юго-западный,,,,4,,,,,,,,,,10.0,743,,19.9,,,,7.0
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,11.0,,,,,,,,41.9,,,,юго-западный,,,,3,,,,,,,,,,10.0,742,,21.8,,,,9.0
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,16.0,,,,,,,,67.7,,,,северо-восточный,,22.6,,2,,,2,,,,,,,10.0,743,,17.0,,,True,9.0
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,,,83.8,,,,северо-восточный,,,,2,,,,,,,,,,10.0,744,,14.4,,,True,7.0
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,84.3,,,,восточный,,,,3,,,,,,True,,,,10.0,744,,13.9,,,,10.0
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,True,,,,,89.4,,,,юго-восточный,,,,1,,,,,,,,,,4.0,744,,13.0,,,,10.0
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,True,,,,,,,97.4,,,12.6,восточный,,,,1,,,4,,,,6,,,4.0,744,,12.7,,,,10.0
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,True,,,,,,,96.2,,,,восточный,,,,2,,,,,,,,,,4.0,745,,13.8,,,,10.0
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,,,,,,,,91.9,,,,юго-восточный,,,,2,,,,,,,,True,,4.0,745,,14.9,,,,10.0
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,,,,True,,,,76.0,,,,восточный,,,,3,,,,,,,,,,10.0,745,,18.0,,,,7.0
1591110000,"Вторник, 2 июня
15:00 (UTC)",,,,,,,,,,75.0,,,,восточный,,19.0,,2,,,6,,,,,,,10.0,744,,18.1,,,,7.0
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,,,85.5,,,,восточный,,,,3,,,,,,,,,,10.0,745,,14.8,,,,9.0
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,93.1,,,,восточный,,,,2,,,,,,,,,,10.0,744,,14.4,,,,10.0
1591142400,"Среда, 3 июня
00:00 (UTC)",,,,,,,,,,90.7,,,,восточный,,,,2,,,,,,,,,,,743,,14.3,,,,
