timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Пыльная или песчаная буря (сильная) началась (усилилась),"Осадки за 12 часов, мм",Ливневый дождь,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,Гроза сильная (возможен град),"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый",Туман начался (усилился). Небо не видно,"Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1589695200,"Воскресенье, 17 мая
06:00 (UTC)",,,15.0,,,,,,,,,,20.0,770.0,,,,,13.5,,,67.9,,,северный,10.0,,,6
1589706000,"Воскресенье, 17 мая
09:00 (UTC)",,,13.0,,,,,,,,,,20.0,770.0,,,,,16.0,,,57.0,,,северный,9.0,,,8
1589716800,"Воскресенье, 17 мая
12:00 (UTC)",,,13.0,,,,,,,,,,20.0,770.0,,,,,18.1,,,49.6,,,северный,5.0,,,5
1589727600,"Воскресенье, 17 мая
15:00 (UTC)",,,11.0,,,,0,,,,,,20.0,770.0,,,,,17.9,,,50.9,,,северный,2.0,,18.7,3
1589738400,"Воскресенье, 17 мая
18:00 (UTC)",,,,,,,,,,,,,20.0,770.0,,,,,15.2,,,68.7,,,,7.0,,,0
1589749200,"Воскресенье, 17 мая
21:00 (UTC)",,,,,,,,,,,,,20.0,769.0,,,,,11.0,,,87.5,,,западный,2.0,,,1
1589760000,"Понедельник, 18 мая
00:00 (UTC)",,,,,,,,,,,,,20.0,767.0,,,,,13.4,,,70.7,,,южный,0.0,,,1
1589770800,"Понедельник, 18 мая
03:00 (UTC)",,,,,,,0,,0,,,,20.0,765.0,,,,,14.6,,,70.5,10.1,,южный,0.0,,,3
1589781600,"Понедельник, 18 мая
06:00 (UTC)",,,,,,,,,,,,,20.0,763.0,,,,,16.1,,,64.9,,,юго-восточный,7.0,,,5
1589792400,"Понедельник, 18 мая
09:00 (UTC)",,,12.0,,,,,,,,,,20.0,763.0,,,,,14.7,,,69.1,,,юго-восточный,10.0,,,5
1589803200,"Понедельник, 18 мая
12:00 (UTC)",,,11.0,,,,,,,,,,20.0,762.0,,,,,15.6,,,69.8,,,юго-восточный,9.0,,,4
1589814000,"Понедельник, 18 мая
15:00 (UTC)",,,,,,,0,,,,,,20.0,763.0,,,,,13.6,,,80.4,,,юго-восточный,9.0,,17.5,2
1589824800,"Понедельник, 18 мая
18:00 (UTC)",,,,,,,,,,,,,20.0,764.0,,,,,13.1,,,86.5,,,южный,9.0,,,2
1589835600,"Понедельник, 18 мая
21:00 (UTC)",,,,,,,,,,,,,20.0,764.0,,,,,13.5,,,90.6,,True,южный,7.0,,,1
1589846400,"Вторник, 19 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,764.0,,,,,14.2,,,89.5,,True,,10.0,,,0
1589857200,"Вторник, 19 мая
03:00 (UTC)",,,,,,,0.8,,0.8,,,,10.0,765.0,,,,,16.4,,,71.8,13.0,True,западный,9.0,,,2
1589868000,"Вторник, 19 мая
06:00 (UTC)",,,15.0,,,,,,,,,,10.0,766.0,,,,,19.8,,,52.5,,True,северный,0.0,,,6
1589878800,"Вторник, 19 мая
09:00 (UTC)",,,14.0,,,,,,,,,,10.0,766.0,,,,,22.6,,,37.3,,,северо-западный,0.0,,,6
1589889600,"Вторник, 19 мая
12:00 (UTC)",,,13.0,,,,,,,,,,10.0,765.0,,,,,23.9,,,34.0,,,северный,0.0,,,6
1589900400,"Вторник, 19 мая
15:00 (UTC)",,,12.0,,,,0,,,,,,10.0,765.0,,,,,23.2,,,36.2,,,северо-западный,2.0,,24.2,4
1589911200,"Вторник, 19 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,767.0,,,,,17.8,,,55.6,,,южный,9.0,,,2
1589922000,"Вторник, 19 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,767.0,,,,,16.9,,,54.6,,,западный,9.0,,,1
1589932800,"Среда, 20 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,766.0,,,,,14.5,,,68.1,,,,9.0,,,0
1589943600,"Среда, 20 мая
03:00 (UTC)",,,,,,,0,,0,,,,10.0,765.0,,,,,15.8,,,71.7,14.0,,северный,6.0,,,1
1589954400,"Среда, 20 мая
06:00 (UTC)",,,,,,,,,,,,,20.0,764.0,,,,,17.7,,,59.0,,,южный,0.0,,,4
1589965200,"Среда, 20 мая
09:00 (UTC)",,,,,,,,,,,,,20.0,762.0,,,,,19.2,,,54.8,,,юго-восточный,6.0,,,5
1589976000,"Среда, 20 мая
12:00 (UTC)",,,,,,,,,,,,,20.0,761.0,,,,,17.6,,,72.5,,,юго-восточный,7.0,,,4
1589986800,"Среда, 20 мая
15:00 (UTC)",,,,,,,0,,,,,,20.0,760.0,,,,,15.9,,,79.2,,,юго-восточный,9.0,,19.8,3
1589997600,"Среда, 20 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,760.0,,,,,14.4,,,86.6,,,южный,7.0,,,3
1590008400,"Среда, 20 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,759.0,,,,,12.8,,,90.0,,,северо-западный,7.0,,,2
1590019200,"Четверг, 21 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,758.0,,,,,12.9,,,90.0,,,западный,7.0,,,1
1590030000,"Четверг, 21 мая
03:00 (UTC)",,,,,,,0,,0,,,,20.0,758.0,,,,,15.0,,,89.6,12.2,,,7.0,,,0
1590040800,"Четверг, 21 мая
06:00 (UTC)",,,,,,,,,,,,,20.0,759.0,,,,,19.1,,,68.6,,,восточный,4.0,,,1
1590051600,"Четверг, 21 мая
09:00 (UTC)",,,,,,,,,,,,,20.0,758.0,,,,,19.1,,,73.7,,,юго-восточный,7.0,,,2
1590062400,"Четверг, 21 мая
12:00 (UTC)",,,,,,,,,,,,,20.0,758.0,,,,,18.4,,,75.5,,,юго-восточный,9.0,,,3
1590073200,"Четверг, 21 мая
15:00 (UTC)",,,11.0,,,,0,,,,,,20.0,756.0,,,,,16.8,,,80.4,,,юго-восточный,9.0,,19.8,5
1590084000,"Четверг, 21 мая
18:00 (UTC)",,,11.0,,,,,,,,,,20.0,756.0,,,,,17.0,,,71.9,,,южный,0.0,,,3
1590094800,"Четверг, 21 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,755.0,,,,,16.4,,,76.7,,,западный,2.0,,,2
1590105600,"Пятница, 22 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,755.0,,,,,13.4,,,88.9,,,северный,0.0,,,1
1590116400,"Пятница, 22 мая
03:00 (UTC)",,,,,,,0,,0,,,,20.0,755.0,,,,,17.6,,,75.4,13.4,,северо-западный,4.0,,,3
1590127200,"Пятница, 22 мая
06:00 (UTC)",,,,,,,,,,,,,20.0,755.0,,,,,23.9,,,54.9,,,северный,7.0,,,3
1590138000,"Пятница, 22 мая
09:00 (UTC)",,,,,,,,,,,,,20.0,755.0,,,,,19.4,,,74.7,,,юго-восточный,7.0,,,2
1590148800,"Пятница, 22 мая
12:00 (UTC)",,,,,,,,,,,,,20.0,755.0,,,,,20.2,,,69.3,,,южный,0.0,,,2
1590159600,"Пятница, 22 мая
15:00 (UTC)",,,,,,,0,,,,,,20.0,755.0,,,,,21.1,,,69.9,,,,10.0,,26.4,0
1590170400,"Пятница, 22 мая
18:00 (UTC)",,,,,,,,,,,,,20.0,757.0,,,,,22.0,,,70.1,,,северо-западный,10.0,,,2
1590181200,"Пятница, 22 мая
21:00 (UTC)",,,10.0,,,,,,,,,,20.0,754.0,,,,,26.9,,,32.2,,,северо-восточный,10.0,,,3
1590192000,"Суббота, 23 мая
00:00 (UTC)",,,16.0,,,,,,,,,,20.0,756.0,,,,,19.5,,,69.6,,,северо-западный,4.0,,,3
1590202800,"Суббота, 23 мая
03:00 (UTC)",,,,,,,0,,0,,,,20.0,756.0,,,,,21.3,,,63.5,19.0,,северо-западный,10.0,,,2
1590213600,"Суббота, 23 мая
06:00 (UTC)",,,11.0,,,,,,,,,,10.0,757.0,,,,,22.6,,,59.4,,,северный,9.0,,,6
1590224400,"Суббота, 23 мая
09:00 (UTC)",,,19.0,,,,,,,,,,10.0,758.0,,,,,18.7,,,65.5,,,северо-западный,9.0,,,8
1590235200,"Суббота, 23 мая
12:00 (UTC)",,,23.0,,,,,,,,,,10.0,762.0,,,,,14.6,,,69.6,,,северо-западный,10.0,,,11
1590246000,"Суббота, 23 мая
15:00 (UTC)",,,21.0,,,,1,True,,,,,10.0,765.0,,,,,13.7,,,76.3,,,северо-западный,9.0,,23.6,7
1590256800,"Суббота, 23 мая
18:00 (UTC)",,,16.0,,,,,,,,,,10.0,766.0,,,,,14.7,,,59.9,,True,северо-западный,10.0,,,6
1590267600,"Суббота, 23 мая
21:00 (UTC)",,,12.0,,,,,,,,,,10.0,767.0,,,,,14.3,,,61.5,,,северо-западный,10.0,,,6
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,768.0,,,,,13.7,,,66.1,,,северо-западный,10.0,,,4
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,,,,,,0,,1,,,,10.0,769.0,,,,,12.8,,,72.1,12.8,,северо-западный,9.0,,,4
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,,,,,,,,,,,,20.0,769.0,,,,,16.2,,,56.7,12.4,,северный,9.0,,,2
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,,,,,,,,,,,,20.0,769.0,,,,,17.7,,,59.8,,,юго-восточный,9.0,,,2
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,,,,,,,,,,,,20.0,768.0,,,,,15.7,,,65.2,,,юго-восточный,10.0,,,2
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,,,,,,0,,,,,,20.0,769.0,,,,,15.7,,,61.4,,,,10.0,,17.9,0
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,770.0,,,,,14.9,,,64.2,,,северо-западный,10.0,,,1
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,770.0,,,,,12.4,,,79.2,,,северо-западный,10.0,,,2
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,770.0,,,,,13.5,,,70.8,,,северо-западный,10.0,,,3
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,,,,,,0,,0,,,,20.0,771.0,,,,,14.0,,,71.8,11.3,,северо-западный,9.0,,,2
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,,,,,,,,,,,,20.0,770.0,,,,,18.6,,,51.4,,,восточный,2.0,,,1
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,,,,,,,,,,,,20.0,768.0,,,,,20.4,,,47.9,,,юго-восточный,2.0,,,2
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,,,,,,,,,,,,20.0,765.0,,,,,18.6,,,66.7,,,восточный,0.0,,,3
1590418800,"Понедельник, 25 мая
15:00 (UTC)",,,,,,,0,,,,,,20.0,764.0,,,,,16.6,,,75.7,,,юго-восточный,9.0,,20.8,2
1590429600,"Понедельник, 25 мая
18:00 (UTC)",,,,,,,,,,,,,20.0,763.0,,,,,14.0,,,82.7,,,,2.0,,,0
1590440400,"Понедельник, 25 мая
21:00 (UTC)",,,,,,,,,,,,,20.0,762.0,,,,,13.6,,,77.8,,,северо-западный,2.0,,,2
1590451200,"Вторник, 26 мая
00:00 (UTC)",,,,,,,,,,,,,20.0,762.0,,,,,13.1,,,76.2,,,северо-западный,0.0,,,2
1590462000,"Вторник, 26 мая
03:00 (UTC)",,,13.0,,,,0,,0,,,,20.0,763.0,,,,,16.9,,,60.4,12.4,,северо-западный,0.0,,,6
1590472800,"Вторник, 26 мая
06:00 (UTC)",,,15.0,,,,,,,,,,20.0,764.0,,,,,21.0,,,45.2,,,северный,0.0,,,7
1590483600,"Вторник, 26 мая
09:00 (UTC)",,,15.0,,,,,,,,,,20.0,765.0,,,,,24.0,,,43.7,,,северный,0.0,,,7
1590494400,"Вторник, 26 мая
12:00 (UTC)",,,14.0,,,,,,,,,,20.0,766.0,,,,,25.1,,,39.8,,,северо-западный,0.0,,,7
1590505200,"Вторник, 26 мая
15:00 (UTC)",,,11.0,,,,0,,,,,,20.0,767.0,,,,,25.2,,,39.9,,,северо-западный,0.0,,25.9,3
1590516000,"Вторник, 26 мая
18:00 (UTC)",,,,,,,,,,,,,20.0,768.0,,,,,20.2,,,54.4,,,южный,0.0,,,1
1590526800,"Вторник, 26 мая
21:00 (UTC)",,,,,,,,,,,,,20.0,768.0,,,,,16.7,,,74.8,,,южный,0.0,,,1
1590537600,"Среда, 27 мая
00:00 (UTC)",,,,,,,,,,,,,20.0,768.0,,,,,14.0,,,83.8,,,,0.0,,,0
1590548400,"Среда, 27 мая
03:00 (UTC)",,,,,,,0,,0,,,,20.0,769.0,,,,,19.5,,,66.5,13.4,,юго-восточный,0.0,,,1
1590559200,"Среда, 27 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,768.0,,,,,21.3,,,63.5,,,юго-восточный,0.0,,,2
1590570000,"Среда, 27 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,767.0,,,,,20.0,,,68.4,,,юго-восточный,4.0,,,5
1590580800,"Среда, 27 мая
12:00 (UTC)",,,12.0,,,,,,,,,,10.0,767.0,,,,,19.1,,,68.6,,,юго-восточный,7.0,,,5
1590591600,"Среда, 27 мая
15:00 (UTC)",,,,,,,0,,,,,,10.0,766.0,,,,,17.9,,,75.9,,,юго-восточный,9.0,,21.7,3
1590602400,"Среда, 27 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,766.0,,,,,16.8,,,84.6,,,юго-восточный,0.0,,,3
1590613200,"Среда, 27 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,765.0,,,,,16.7,,,82.5,,,южный,0.0,,,4
1590624000,"Четверг, 28 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,765.0,,,,,16.1,,,86.8,,,юго-восточный,0.0,,,2
1590634800,"Четверг, 28 мая
03:00 (UTC)",,,,,,,0,,0,,,,10.0,764.0,,,,,17.2,,,78.9,16.0,,юго-восточный,4.0,,,2
1590645600,"Четверг, 28 мая
06:00 (UTC)",,,,,,,,,,,,,20.0,764.0,,,,,19.8,,,73.4,,,восточный,7.0,,,2
1590656400,"Четверг, 28 мая
09:00 (UTC)",,,,,,,,,,,,,20.0,763.0,,,,,20.2,,,67.1,,,юго-восточный,7.0,,,3
1590667200,"Четверг, 28 мая
12:00 (UTC)",,,,,,,,,,,,,20.0,762.0,,,,,19.9,,,75.8,,,юго-восточный,7.0,,,3
1590678000,"Четверг, 28 мая
15:00 (UTC)",,,,,,,0,,,,,,20.0,761.0,,,,,18.7,,,77.1,,,юго-восточный,7.0,,20.6,5
1590688800,"Четверг, 28 мая
18:00 (UTC)",,,,,,,,,,,,,20.0,761.0,,,,,17.8,,,78.4,,,южный,7.0,,,3
1590699600,"Четверг, 28 мая
21:00 (UTC)",,,,,,,,,,,,,20.0,761.0,,,,,17.0,,,85.2,,,южный,7.0,,,2
1590710400,"Пятница, 29 мая
00:00 (UTC)",,,,,,,,,,,,,10.0,760.0,,,,,16.1,,,87.9,,,южный,7.0,,,2
1590721200,"Пятница, 29 мая
03:00 (UTC)",,,,,,,0,,0,,,,20.0,759.0,,,,,17.8,,,78.4,15.5,,юго-восточный,7.0,,,1
1590732000,"Пятница, 29 мая
06:00 (UTC)",,,,,,,,,,True,,,2.0,758.0,,,,,17.3,,,86.9,,,юго-восточный,9.0,,,4
1590742800,"Пятница, 29 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,757.0,,,,,19.4,,,77.2,,,юго-восточный,7.0,,,4
1590753600,"Пятница, 29 мая
12:00 (UTC)",,,14.0,,,,,,,,,,10.0,755.0,,,,,20.7,,,71.7,,,юго-восточный,9.0,True,,3
1590764400,"Пятница, 29 мая
15:00 (UTC)",,,,,,,менее 0.1,,,,,,10.0,753.0,,,,,18.3,,,78.0,,,восточный,6.0,,22.4,5
1590775200,"Пятница, 29 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,755.0,,,,,19.0,,,76.1,,,северный,9.0,,,2
1590786000,"Пятница, 29 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,755.0,,,,,17.9,,,81.6,,,юго-западный,10.0,,,2
1590796800,"Суббота, 30 мая
00:00 (UTC)",,,17.0,,,,,True,,,,,10.0,756.0,,,,,22.4,,,67.5,,,северо-западный,9.0,,,8
1590807600,"Суббота, 30 мая
03:00 (UTC)",,,20.0,,,,менее 0.1,,менее 0.1,,,,10.0,760.0,,,,,21.8,,,60.4,17.2,,северо-западный,2.0,,,7
1590818400,"Суббота, 30 мая
06:00 (UTC)",,,18.0,,,,,,,,,,20.0,761.0,,,,,23.7,,,44.5,,,северо-западный,0.0,,,9
1590829200,"Суббота, 30 мая
09:00 (UTC)",,,18.0,,,,,,,,,,20.0,762.0,,,,,25.0,,,39.5,,,северный,0.0,,,7
1590840000,"Суббота, 30 мая
12:00 (UTC)",,,13.0,,,,,,,,,,20.0,763.0,,,,,26.3,,,38.9,,,северо-западный,0.0,,,5
1590850800,"Суббота, 30 мая
15:00 (UTC)",,,11.0,,,,0,,,,,,20.0,763.0,,,,,24.7,,,41.6,,,северо-западный,10.0,,26.3,3
1590861600,"Суббота, 30 мая
18:00 (UTC)",,,,,,,,,,,,,20.0,763.0,,,,,24.0,,,39.0,,,северо-западный,10.0,,,3
1590872400,"Суббота, 30 мая
21:00 (UTC)",,,,,,,,,,,,,20.0,764.0,,,,,20.4,,,52.6,,,западный,0.0,,,2
1590883200,"Воскресенье, 31 мая
00:00 (UTC)",,,,,,,,,,,,,20.0,764.0,,,,,19.4,,,59.8,,,западный,10.0,,,2
1590894000,"Воскресенье, 31 мая
03:00 (UTC)",,,,,,,0,,0,,,,20.0,765.0,,,,,20.2,,,58.5,19.0,,северо-западный,10.0,,,2
1590904800,"Воскресенье, 31 мая
06:00 (UTC)",,,,,,,,,,,,,10.0,765.0,,,,,23.8,,,45.7,,,северо-восточный,0.0,,,3
1590915600,"Воскресенье, 31 мая
09:00 (UTC)",,,,,,,,,,,,,10.0,765.0,,,,,24.1,,,57.9,,,восточный,0.0,,,2
1590926400,"Воскресенье, 31 мая
12:00 (UTC)",,,,,,,,,,,,,10.0,764.0,,,,,23.0,,,56.1,,,юго-восточный,0.0,,,1
1590937200,"Воскресенье, 31 мая
15:00 (UTC)",,,,,,,0,,,,,,10.0,764.0,,,,,20.2,,,71.6,,,юго-восточный,0.0,,24.4,2
1590948000,"Воскресенье, 31 мая
18:00 (UTC)",,,,,,,,,,,,,10.0,764.0,,,,,17.8,,,80.0,,,юго-восточный,0.0,,,1
1590958800,"Воскресенье, 31 мая
21:00 (UTC)",,,,,,,,,,,,,10.0,763.0,,,,,14.8,,,85.0,,,,0.0,,,0
1590969600,"Понедельник, 1 июня
00:00 (UTC)",,,,,,,,,,,,,10.0,762.0,,,,,13.4,,,88.3,,,северо-западный,0.0,,,1
1590980400,"Понедельник, 1 июня
03:00 (UTC)",,,,,,,0,,0,,,,10.0,762.0,,,,,17.7,,,79.4,12.7,,юго-восточный,5.0,,,2
1590991200,"Понедельник, 1 июня
06:00 (UTC)",,,,,,,,,,,,,20.0,761.0,,,,,20.9,,,61.8,,,юго-восточный,0.0,,,3
1591002000,"Понедельник, 1 июня
09:00 (UTC)",,,,,,,,,,,,,20.0,759.0,,,,,20.7,,,66.8,,,юго-восточный,7.0,,,3
1591012800,"Понедельник, 1 июня
12:00 (UTC)",,,10.0,,,,,,,,,,20.0,757.0,,,,,20.6,,,74.0,,,юго-восточный,7.0,,,5
1591023600,"Понедельник, 1 июня
15:00 (UTC)",,,,,,,0,,,,,,20.0,757.0,,,,,19.9,,,75.8,,,юго-восточный,6.0,,21.2,4
1591034400,"Понедельник, 1 июня
18:00 (UTC)",,,,,,,,,,,,,20.0,758.0,,,,,18.9,,,72.7,,,юго-восточный,6.0,,,2
1591045200,"Понедельник, 1 июня
21:00 (UTC)",,,,,,,,,,,,,20.0,757.0,,,,,15.5,,,84.5,,,северо-западный,0.0,,,1
1591056000,"Вторник, 2 июня
00:00 (UTC)",,,,,,,,,,,,,10.0,757.0,,,,,16.0,,,79.2,,,северо-западный,6.0,,,3
1591066800,"Вторник, 2 июня
03:00 (UTC)",,,,,,,0,,0,,,,10.0,757.0,,,,,18.9,,,72.7,15.0,,северо-западный,7.0,,,3
1591077600,"Вторник, 2 июня
06:00 (UTC)",,,,,,,,,,,,,20.0,757.0,,,,,24.7,,,53.7,,,северный,7.0,,,4
1591088400,"Вторник, 2 июня
09:00 (UTC)",,,,,,,,,,,,,20.0,756.0,,,,,24.3,,,56.8,,,юго-восточный,6.0,,,1
1591099200,"Вторник, 2 июня
12:00 (UTC)",,,,,,,,,,,,,20.0,755.0,,,,,23.3,,,56.6,,,южный,2.0,,,3
1591110000,"Вторник, 2 июня
15:00 (UTC)",,,,,,,0,,,,,,20.0,756.0,,,,,20.7,,,72.6,,,восточный,9.0,,27.1,2
1591120800,"Вторник, 2 июня
18:00 (UTC)",,,,,,,,,,,,,10.0,755.0,,,,,22.1,,,66.2,,,южный,10.0,,,2
1591131600,"Вторник, 2 июня
21:00 (UTC)",,,,,,,,,,,,,10.0,752.0,,,,,21.7,,,74.2,,,южный,10.0,,,2
1591142400,"Среда, 3 июня
00:00 (UTC)",,,12.0,,,,,,,,,,10.0,751.0,,,,,23.6,,,49.7,,,южный,9.0,,,3
1591153200,"Среда, 3 июня
03:00 (UTC)",,,,,,,0,,0,,,,20.0,753.0,,,,,23.2,,,56.9,20.2,,западный,0.0,,,1
1591164000,"Среда, 3 июня
06:00 (UTC)",,,10.0,,,,,,,,,,20.0,753.0,,,,,27.4,,,42.4,,,северо-западный,0.0,,,6
1591174800,"Среда, 3 июня
09:00 (UTC)",,,10.0,,,,,,,,,,20.0,753.0,,,,,30.9,,,36.4,,,северный,0.0,,,4
1591185600,"Среда, 3 июня
12:00 (UTC)",,,11.0,,,,,,,,,,20.0,753.0,,,,,31.6,,,36.2,,,северный,9.0,,,4
1591196400,"Среда, 3 июня
15:00 (UTC)",,,11.0,,,,0,,,,,,20.0,754.0,,,,,27.7,,,47.1,,,северо-западный,7.0,,31.7,3
1591207200,"Среда, 3 июня
18:00 (UTC)",,,25.0,,,,,,,,,,20.0,758.0,,,,,22.0,,,58.9,,,северо-западный,7.0,,,12
1591218000,"Среда, 3 июня
21:00 (UTC)",,,24.0,,,,,,,,,,20.0,759.0,,,,,18.9,,,71.8,,,северо-западный,0.0,,,4
1591228800,"Четверг, 4 июня
00:00 (UTC)",,,11.0,,,,,,,,,,20.0,759.0,,,,,17.9,,,81.0,,,северо-западный,10.0,,,3
1591239600,"Четверг, 4 июня
03:00 (UTC)",,,,,,,0,,0,,,,20.0,761.0,,,,,20.0,,,63.6,17.9,,северо-западный,0.0,,,3
1591250400,"Четверг, 4 июня
06:00 (UTC)",,,10.0,,,,,,,,,,20.0,762.0,,,,,23.7,,,49.4,,,северный,9.0,,,4
1591261200,"Четверг, 4 июня
09:00 (UTC)",,,,,,,,,,,,,20.0,761.0,,,,,23.8,,,61.7,,,юго-восточный,9.0,,,2
1591272000,"Четверг, 4 июня
12:00 (UTC)",,,,,,,,,,,,,20.0,761.0,,,,,22.0,,,67.9,,,южный,9.0,,,3
1591282800,"Четверг, 4 июня
15:00 (UTC)",,,,,,,0,,,,,,20.0,761.0,,,,,21.0,,,71.3,,,юго-восточный,9.0,,25.5,3
1591293600,"Четверг, 4 июня
18:00 (UTC)",,,,,,,,,,,,,20.0,762.0,,,,,19.7,,,79.2,,,северо-восточный,7.0,,,1
1591304400,"Четверг, 4 июня
21:00 (UTC)",,,,,,,,,,,,,20.0,761.0,,,,,19.3,,,81.7,,,южный,9.0,,,2
1591315200,"Пятница, 5 июня
00:00 (UTC)",,,,,,,,,,,,,20.0,761.0,,,,,18.4,,,77.0,,,северный,9.0,,,2
1591326000,"Пятница, 5 июня
03:00 (UTC)",,,,,,,0,,0,,,,20.0,764.0,,,,,19.9,,,68.8,17.2,,северо-западный,9.0,True,,4
1591336800,"Пятница, 5 июня
06:00 (UTC)",,,12.0,,,,,,,,,,,765.0,,,,,22.5,,,58.3,,,северо-западный,,,,6
1591347600,"Пятница, 5 июня
09:00 (UTC)",,,10.0,,,,,,,,,,10.0,765.0,,,,,25.3,,,50.2,,True,северный,6.0,,,6
1591358400,"Пятница, 5 июня
12:00 (UTC)",,,11.0,,,,,,,,,,10.0,766.0,,,,,24.9,,,51.4,,,северо-западный,7.0,,,5
1591369200,"Пятница, 5 июня
15:00 (UTC)",,True,,,,,0.1,,,,,,10.0,766.0,,,,,21.4,,,73.6,,,западный,9.0,,25.4,2
1591380000,"Пятница, 5 июня
18:00 (UTC)",,,,,,,,,,,,,10.0,767.0,,,,,20.6,,,68.5,,,северо-западный,6.0,True,,2
1591390800,"Пятница, 5 июня
21:00 (UTC)",,,,,,,,,,,,,10.0,766.0,,,,,19.0,,,71.3,,True,северо-западный,2.0,,,2
1591401600,"Суббота, 6 июня
00:00 (UTC)",,,,,,,,,,,,,10.0,766.0,,,,,18.1,,,69.8,,,северо-западный,6.0,,,2
1591412400,"Суббота, 6 июня
03:00 (UTC)",,,,,,,0,,0.1,,,,10.0,768.0,,,,,19.1,,,69.1,16.9,,северо-западный,2.0,,,1
1591423200,"Суббота, 6 июня
06:00 (UTC)",,,,,,,,,,,,,20.0,767.0,,,,,24.9,,,54.8,,,восточный,0.0,,,2
1591434000,"Суббота, 6 июня
09:00 (UTC)",,,,,,,,,,,,,20.0,767.0,,,,,24.6,,,57.6,,,юго-восточный,0.0,,,1
1591444800,"Суббота, 6 июня
12:00 (UTC)",,,,,,,,,,,,,20.0,767.0,,,,,24.8,,,59.2,,,южный,0.0,,,2
1591455600,"Суббота, 6 июня
15:00 (UTC)",,,,,,,0,,,,,,20.0,766.0,,,,,22.6,,,66.7,,,юго-восточный,2.0,,26.1,2
1591466400,"Суббота, 6 июня
18:00 (UTC)",,,,,,,,,,,,,20.0,766.0,,,,,21.6,,,61.5,,,южный,0.0,,,2
1591477200,"Суббота, 6 июня
21:00 (UTC)",,,,,,,,,,,,,20.0,765.0,,,,,15.8,,,71.2,,,западный,0.0,,,1
1591488000,"Воскресенье, 7 июня
00:00 (UTC)",,,,,,,,,,,,,10.0,765.0,,,,,12.5,,,85.3,,,,0.0,,,0
1591498800,"Воскресенье, 7 июня
03:00 (UTC)",,,,,,,0,,0,,,,20.0,765.0,,,,,20.4,,,57.4,12.5,,юго-восточный,0.0,,,2
1591509600,"Воскресенье, 7 июня
06:00 (UTC)",,,,,,,,,,,,,20.0,765.0,,,,,22.2,,,62.5,,,юго-восточный,0.0,,,4
1591520400,"Воскресенье, 7 июня
09:00 (UTC)",,,,,,,,,,,,,20.0,765.0,,,,,23.0,,,57.6,,,юго-восточный,0.0,,,4
1591531200,"Воскресенье, 7 июня
12:00 (UTC)",,,,,,,,,,,,,20.0,764.0,,,,,22.6,,,65.4,,,юго-восточный,0.0,,,4
1591542000,"Воскресенье, 7 июня
15:00 (UTC)",,,,,,,0,,,,,,20.0,763.0,,,,,21.5,,,70.4,,,юго-восточный,0.0,,23.9,5
1591552800,"Воскресенье, 7 июня
18:00 (UTC)",,,,,,,,,,,,,20.0,763.0,,,,,19.9,,,77.2,,,южный,0.0,,,4
